"project","github_repo","debian_sources","homebrew_formulas","in_debian","in_homebrew","is_cpp","is_oss_fuzz","debian_dl_avg","homebrew_dl_avg","debian_dl_p","homebrew_dl_p","debian_share","homebrew_share","categories","licenses","2021","2022","2023","2024","2025"
"openjdk","openjdk/jdk25u","","openjdk|openjdk@11|openjdk@17|openjdk@21|openjdk@8","False","True","True","False","0","1196957","","38.01","","0.5926","misc","","0","2087942","510361","1194346","995182"
"libxau","","libxau","libxau","True","True","True","False","227983","1129290","12.36","40.28","0.2012","0.5591","x11","","205480","2693246","566705","955315","1236333"
"libuv","libuv/libuv","libuv1","libuv","True","True","True","False","139346","1232141","38.16","36.82","0.1230","0.6100","misc","","85849","2738009","637354","1139231","1024854"
"gcc","","gcc-12|gcc-13|gcc-14|libiberty","arm-none-eabi-gcc|gcc|gcc@11|gcc@13|libgccjit","True","True","True","False","230118","1109102","2.84","41.39","0.2030","0.5491","misc|non-free/misc","","207353","1333864","853591","1831387","1360805"
"brotli","google/brotli","brotli","brotli","True","True","True","True","177778","1156315","27.05","39.16","0.1569","0.5724","utils","","115399","2226252","636576","1179205","1356724"
"cmake","Kitware/CMake","cmake","cmake|cmake-docs","True","True","True","False","27060","1332849","87.89","34.34","0.0239","0.6598","devel","","24626","1464815","748759","1626790","1601709"
"krb5","","krb5","krb5","True","True","True","False","229140","1056264","9.94","42.44","0.2022","0.5229","net","","205874","2092725","839109","1155969","1077086"
"pango","","pango1.0","pango","True","True","True","False","161379","1136114","31.47","39.72","0.1424","0.5624","libs","","148297","1689536","470927","1421495","1621101"
"pixman","","pixman","pixman","True","True","True","False","169887","1123316","28.12","40.84","0.1499","0.5561","devel","","160322","2235012","510262","971733","1465373"
"libxext","","libxext","libxext","True","True","True","False","227097","1047804","14.17","42.96","0.2004","0.5187","x11","","204686","2231175","568814","1285121","1036907"
"ffmpeg","","ffmpeg","ffmpeg|ffmpeg@4|ffmpeg@6|ffmpeg@7","True","True","True","False","49970","1266137","79.75","35.59","0.0441","0.6268","misc","","44312","1689410","470549","1531039","1579091"
"imath","AcademySoftwareFoundation/Imath","imath","imath","True","True","True","False","49172","1008002","80.10","45.50","0.0434","0.4990","misc","","0","2224363","438935","884227","681173"
"go","","","go","False","True","True","False","0","1047691","","43.47","","0.5187","misc","","0","1392512","513029","1056974","1228249"
"c-ares","c-ares/c-ares","c-ares","c-ares","True","True","True","True","40850","1237988","82.43","36.21","0.0360","0.6129","libs","","43492","1990987","521451","1598068","1002209"
"curl","","curl","curl","True","True","True","False","163238","1060193","30.76","41.91","0.1440","0.5249","libs","","127253","1874111","730684","1214206","1110711"
"libxdmcp","","libxdmcp","libxdmcp","True","True","True","False","227996","978297","12.16","46.48","0.2012","0.4843","x11","","205511","2167754","568919","1163702","947286"
"libtool","","libtool","libtool","True","True","True","False","179341","1032999","26.58","44.50","0.1582","0.5114","devel","","167718","2532166","432622","962503","933695"
"ncurses","","ncurses","ncurses","True","True","True","False","230113","964676","3.45","47.92","0.2030","0.4776","libs","","207353","1525945","595850","1209154","1470968"
"p11-kit","p11-glue/p11-kit","p11-kit","p11-kit","True","True","True","True","227578","965128","13.56","47.44","0.2008","0.4778","misc","","203470","2071607","586465","1126080","1010783"
"openexr","AcademySoftwareFoundation/openexr","openexr","openexr","True","True","True","True","54572","1181137","78.13","38.59","0.0482","0.5847","libs","","5562","1660365","733007","1224727","1373751"
"cairo-graphics-library","","cairo","cairo","True","True","True","False","168977","1015615","28.42","45.00","0.1491","0.5028","libs","","159384","1562146","477915","1314791","1393111"
"wget","","wget","wget","True","True","True","False","226288","939560","14.77","49.79","0.1997","0.4651","misc|web","","204554","1551307","775309","1376183","982333"
"nettle","","nettle","nettle","True","True","True","False","131546","1036662","41.85","43.99","0.1161","0.5132","libs","","59292","2228823","582403","949774","984086"
"gdbm","","gdbm","gdbm","True","True","True","False","173519","968923","27.82","46.96","0.1531","0.4797","libs","","144497","2771945","377301","761555","687992"
"zlib","","zlib","minizip|zlib","True","True","True","False","230123","890331","2.03","51.60","0.2031","0.4408","libs","","207365","1347239","701585","1242633","1213119"
"libxrender","","libxrender","libxrender","True","True","True","False","174911","944970","27.51","49.33","0.1543","0.4678","libs","","164668","2075261","506810","828401","1079298"
"giflib","","giflib","giflib","True","True","True","False","110978","963324","52.04","48.39","0.0979","0.4769","libs","","99588","1840411","428761","1162103","877325"
"libtasn1","","libtasn1-6","libtasn1","True","True","True","False","222853","796456","15.95","54.07","0.1966","0.3943","misc","","196016","2057486","421652","672699","952239"
"ruby-build","rbenv/ruby-build","","ruby-build","False","True","True","False","0","846438","","52.87","","0.4190","","","0","1827694","233082","759227","565752"
"protobuf","google/protobuf","protobuf","protobuf|protobuf@21|protobuf@29","True","True","True","False","34803","1003974","85.07","46.00","0.0307","0.4970","devel|misc","","2987","1726005","377760","1069044","1014121"
"gnupg","","gnupg2","gnupg","True","True","True","False","228528","759991","11.55","55.22","0.2016","0.3762","misc|oldlibs","","207352","1119768","499435","1216337","1139716"
"imagemagick","","imagemagick","imagemagick|imagemagick@6","True","True","True","False","74274","945142","70.63","48.86","0.0655","0.4679","graphics","","75921","1641224","524304","987717","922775"
"m4","","m4","m4","True","True","True","False","77602","926897","70.09","50.25","0.0685","0.4589","interpreters","","87527","2285969","329867","557329","834910"
"ruby","","ruby3.3","ruby|ruby@3.0|ruby@3.1","True","True","True","False","7558","802348","96.62","53.68","0.0067","0.3972","misc","","0","1362620","350990","769320","741579"
"llvm","llvm/llvm-project","llvm-toolchain-17|llvm-toolchain-18|llvm-toolchain-19","clang-format|clang-format@11|libomp|lld|lld@19|lld@20|lld@21|llvm|llvm@12|llvm@14|llvm@15|llvm@16|llvm@17|llvm@18|llvm@19|llvm@20|llvm@21","True","True","True","True","40600","686364","82.68","59.77","0.0358","0.3398","misc","","0","1191879","263915","762078","980914"
"sdl2","libsdl-org/SDL","libsdl2","sdl2","True","True","True","False","103367","865257","58.56","52.03","0.0912","0.4284","misc","","75575","1711445","418063","925314","847469"
"vmaf","Netflix/vmaf","","libvmaf","False","True","True","False","0","782731","","54.85","","0.3875","","","0","1631132","204109","725839","569844"
"coreutils","","coreutils","coreutils","True","True","True","False","230128","687007","1.02","59.43","0.2031","0.3401","utils","","207367","1041306","590616","899483","1159900"
"libevent","libevent/libevent","libevent","libevent","True","True","True","True","97074","850595","63.17","52.45","0.0857","0.4211","libs","","52099","1583712","579411","900197","772334"
"openjpeg","uclouvain/openjpeg","openjpeg2","openjpeg","True","True","True","True","145281","783774","36.16","54.46","0.1282","0.3880","misc","","128933","1470539","472603","888624","900806"
"highway-simd-library","google/highway","highway","highway","True","True","True","False","39775","912315","83.43","51.16","0.0351","0.4516","misc","","5","1813652","541502","870710","622270"
"openldap","","openldap","openldap","True","True","True","False","207896","697337","21.47","57.72","0.1834","0.3452","net","","176775","1440857","572209","891794","747197"
"guile","","guile-2.2|guile-3.0","guile","True","True","True","False","0","759055","","55.60","","0.3758","misc","","0","2544603","83747","299488","108384"
"fribidi","fribidi/fribidi","fribidi","fribidi","True","True","True","True","165046","737907","30.03","55.97","0.1456","0.3653","libs","","146279","1397233","457376","1011535","764438"
"postgresql","","postgresql-17","libpq|postgresql@12|postgresql@13|postgresql@14|postgresql@15|postgresql@16|postgresql@17|postgresql@18","True","True","True","False","86385","836096","66.65","53.28","0.0762","0.4139","misc","","90361","1699261","455215","825897","705578"
"tesseract-ocr","tesseract-ocr/tesseract","tesseract","tesseract","True","True","True","True","11587","913768","94.83","50.71","0.0102","0.4524","graphics","","7507","1163435","431306","1116499","994262"
"graphite2","silnrsi/graphite","graphite2","graphite2","True","True","True","False","165249","710634","29.74","56.67","0.1458","0.3518","libs","","150052","1457935","437055","786715","837028"
"libgpg-error","","libgpg-error","libgpg-error","True","True","True","False","228979","603556","10.55","61.97","0.2020","0.2988","libs","","207358","1189394","421066","889642","851663"
"autoconf","","","autoconf","False","True","True","False","0","707705","","57.02","","0.3504","devel|misc","","0","1420819","194673","792412","422916"
"libssh2","","libssh2","libssh2","True","True","True","False","206863","621327","21.65","61.07","0.1825","0.3076","libs","","202317","1182958","594784","814450","725114"
"lzo","","lzo2","lzo","True","True","True","False","137979","700894","38.90","57.37","0.1217","0.3470","libs","","119986","1592132","398264","667375","715720"
"boost","boostorg/boost","boost1.83","boost|boost-python3","True","True","True","True","37013","676969","84.31","60.44","0.0327","0.3351","misc","","0","1186242","266155","709267","620241"
"php","","","php|php@8.1|php@8.2|php@8.3","False","True","True","False","0","694800","","58.75","","0.3440","misc","","0","1215858","339546","674686","549111"
"jasper","jasper-software/jasper","","jasper","False","True","True","False","0","691511","","59.09","","0.3423","","","0","1617689","135907","563820","448629"
"libarchive","","libarchive","libarchive","True","True","True","False","117632","696702","47.91","58.06","0.1038","0.3449","libs","","119230","1108129","398271","890180","859164"
"mpfr","","mpfr4","mpfr","True","True","True","False","156814","638726","32.31","60.76","0.1384","0.3162","math","","122602","1148098","651054","716261","700963"
"certifi","certifi/python-certifi","","certifi","False","True","False","False","0","666535","","","","0.3300","","","0","0","0","595710","737361"
"libxml2","","libxml2","libxml2","True","True","True","False","228070","520962","11.96","67.19","0.2012","0.2579","libs","","205936","948775","471851","820018","777624"
"kubernetes","kubernetes/kubernetes","","kubernetes-cli","False","True","False","False","0","644483","","","","0.3191","misc","","0","1129092","289445","582207","577188"
"librsvg","","librsvg","librsvg","True","True","True","False","150447","615170","34.73","","0.1327","0.3045","libdevel|misc","","136743","1112163","422452","819719","721840"
"libffi","libffi/libffi","libffi","libffi","True","True","True","False","94902","677552","64.02","60.11","0.0837","0.3354","libs","","36235","1546881","229501","583548","788555"
"oniguruma","kkos/oniguruma","libonig","oniguruma","True","True","True","False","79218","696339","69.40","58.41","0.0699","0.3447","libs","","27575","1361705","261472","701883","828815"
"libsodium","","libsodium","libsodium","True","True","True","False","146952","600436","35.91","62.27","0.1297","0.2973","misc","","110098","1148171","319969","854225","704046"
"libusb","libusb/libusb","libusb|libusb-1.0","libusb","True","True","True","True","208980","512095","20.55","67.95","0.1844","0.2535","libs|misc","","203104","1193338","328524","673967","727398"
"gd","libgd/libgd","libgd2","gd","True","True","True","True","166459","571656","28.86","63.71","0.1469","0.2830","oldlibs","","145179","1632376","468693","454163","418509"
"gdk-pixbuf","","gdk-pixbuf","gdk-pixbuf","True","True","True","False","157622","554524","32.03","64.82","0.1391","0.2745","libs","","147037","1092938","380991","661870","723375"
"libheif","strukturag/libheif","libheif","libheif","True","True","True","True","111641","608208","51.55","61.67","0.0985","0.3011","misc","","68710","1061828","343806","780421","736275"
"libavif","AOMediaCodec/libavif","libavif","libavif","True","True","True","True","16241","720852","92.99","56.32","0.0143","0.3569","misc","","40","1643706","190586","574992","555294"
"snappy-compression","google/snappy","snappy","snappy","True","True","True","True","142621","554733","36.92","64.55","0.1258","0.2746","libs","","123124","1044461","412497","723033","628926"
"libyaml","yaml/libyaml","libyaml","libyaml","True","True","True","True","158064","534774","31.75","65.89","0.1395","0.2647","libs","","138823","1040897","508856","596302","644542"
"isl","","isl","isl","True","True","True","False","114600","583165","49.65","63.14","0.1011","0.2887","libs","","50953","948500","498118","791168","616926"
"mysql","mysql/mysql-server","","mysql|mysql-client|mysql-client@8.0|mysql-client@8.4|mysql@8.0|mysql@8.4","False","True","True","True","0","578865","","63.43","","0.2866","","","0","953693","286157","590294","485319"
"gobject-introspection","","gobject-introspection","gobject-introspection","True","True","True","False","152520","522107","33.80","66.67","0.1346","0.2585","devel","","138497","1364784","394598","508668","444484"
"expat","libexpat/libexpat","expat","expat","True","True","True","True","229837","425033","6.90","72.73","0.2028","0.2104","libs","","207138","373950","354173","643153","1270903"
"ghostscript","ArtifexSoftware/ghostpdl-downloads","ghostscript","ghostscript","True","True","True","False","132195","530114","40.92","66.15","0.1166","0.2624","text","","113861","1013260","432701","666247","555366"
"bzip2","","bzip2","bzip2","True","True","True","False","230128","383645","1.02","74.90","0.2031","0.1899","utils","","207365","272945","453261","810767","940884"
"rubberband","","rubberband","rubberband","True","True","True","False","116587","521210","48.63","66.93","0.1029","0.2580","sound","","99368","1331113","358201","428882","450217"
"libsndfile","libsndfile/libsndfile","libsndfile","libsndfile","True","True","True","True","136410","494974","39.26","68.69","0.1204","0.2450","libs","","126257","1250396","331075","404756","549467"
"libass","libass/libass","libass","libass","True","True","True","True","113239","523758","50.86","66.41","0.0999","0.2593","libs","","91120","1109293","278606","670579","511635"
"libksba","","libksba","libksba","True","True","True","False","200721","402629","22.36","73.34","0.1771","0.1993","libs","","181189","1011464","342289","615451","463732"
"vim","vim/vim","vim","vim","True","True","True","False","228765","366637","10.75","75.64","0.2019","0.1815","editors","","206063","930980","386998","547641","538694"
"libgcrypt","","libgcrypt20","libgcrypt","True","True","True","False","221677","374095","16.74","75.08","0.1956","0.1852","misc","","195890","764613","375557","545413","723299"
"boehm-gc","bdwgc/bdwgc","libgc","bdw-gc","True","True","True","False","85435","541194","66.95","65.36","0.0754","0.2679","devel","","40556","1846733","187203","314907","202553"
"util-linux","util-linux/util-linux","util-linux","gnu-getopt|util-linux","True","True","True","True","230126","239271","1.83","83.84","0.2031","0.1185","utils","","207363","897353","321611","508024","635288"
"gnumpc","","mpclib3","libmpc","True","True","True","False","164699","435028","30.18","71.88","0.1453","0.2154","misc","","148974","849595","451225","611607","502207"
