"project","github_repo","debian_sources","homebrew_formulas","in_debian","in_homebrew","is_cpp","is_oss_fuzz","debian_dl_avg","homebrew_dl_avg","debian_dl_p","homebrew_dl_p","debian_share","homebrew_share","categories","licenses","2021","2022","2023","2024","2025"
"libepoxy","anholt/libepoxy","libepoxy","libepoxy","True","True","True","False","133426","81254","40.56","92.25","0.1177","0.0402","misc","","117203","246204","163913","222920","241908"
"aribb24","nkoriyama/aribb24","aribb24","aribb24","True","True","True","False","46866","188899","80.57","86.21","0.0414","0.0935","misc","","47956","288872","164492","238152","250460"
"fftw","","fftw|fftw3","fftw","True","True","True","False","134404","78727","39.86","92.53","0.1186","0.0390","libs|math","","122555","250463","157121","204468","252325"
"alsa-lib","","alsa-lib","alsa-lib","True","True","True","False","152239","75135","33.93","92.72","0.1343","0.0372","libs","","140429","134011","175437","255003","281726"
"libsm","","libsm","libsm","True","True","True","False","154458","53003","32.99","94.27","0.1363","0.0262","x11","","145512","167919","172363","230816","267697"
"glib-networking","","glib-networking","glib-networking","True","True","True","False","131932","80390","41.15","92.37","0.1164","0.0398","libs","","121904","221306","192256","237261","208495"
"lmdb","","lmdb","lmdb","True","True","True","False","187935","8428","25.61","99.27","0.1658","0.0042","misc","","142717","168019","185612","222920","254122"
"net-snmp","","net-snmp","net-snmp","True","True","True","False","139221","68153","38.29","93.14","0.1228","0.0337","net","","126925","134248","167667","220190","319687"
"libnftnl","","libnftnl","","True","False","True","False","193733","0","23.59","","0.1709","","misc","","144721","162127","186569","220729","254523"
"sudo","","sudo","","True","False","True","False","193216","0","23.76","","0.1705","","admin","","168826","168842","186029","207258","235127"
"libnetfilter-conntrack","","libnetfilter-conntrack","","True","False","True","False","191619","0","24.60","","0.1691","","libs","","180043","170232","184841","199285","223695"
"cryptsetup","","cryptsetup","","True","False","True","False","191360","0","24.77","","0.1688","","admin","","144930","162147","186570","220585","242570"
"rsync","","rsync","rsync","True","True","True","False","128137","77761","43.68","92.56","0.1131","0.0385","net","","117297","268048","157530","186808","222048"
"hunspell","hunspell/hunspell","hunspell","hunspell","True","True","True","True","102504","109510","59.01","90.31","0.0904","0.0542","text","","82803","350418","136440","190577","190329"
"libxpm","","libxpm","libxpm","True","True","True","False","178004","14284","26.89","98.43","0.1571","0.0071","x11","","160524","175280","179538","204015","227803"
"jbigkit","","jbigkit","","True","False","True","False","189333","0","25.28","","0.1671","","libs","","171669","168523","184492","199952","222030"
"debian:libpcre3","","libpcre3","","True","False","True","False","186771","0","25.77","","0.1648","","","","207256","204531","206236","173646","142188"
"inetutils","","inetutils","inetutils","True","True","True","False","170441","19724","27.97","97.74","0.1504","0.0098","net","","187399","221339","168033","152067","202267"
"mesa","","mesa","mesa","True","True","True","False","145794","49254","36.03","","0.1286","0.0244","libs","","133802","177584","153346","216186","245070"
"fstrm","farsightsec/fstrm","fstrm","","True","False","True","False","184720","0","26.10","","0.1630","","misc","","139799","155218","177979","209298","241310"
"nginx","","nginx","nginx","True","True","True","False","22295","199519","90.41","86.02","0.0197","0.0988","httpd","","19971","394952","133491","188805","172336"
"hdf5","HDFGroup/hdf5","hdf5","hdf5","True","True","True","True","7358","217962","96.67","84.99","0.0065","0.1079","libs","","4552","398564","114761","217810","172957"
"psmisc","","psmisc","","True","False","True","False","180663","0","26.42","","0.1594","","admin","","172031","164277","176101","185436","205471"
"avahi","","avahi","","True","False","True","False","180663","0","26.42","","0.1594","","net","","169546","162036","175897","187306","208531"
"libxt","","libxt","libxt","True","True","True","False","133437","56866","40.45","93.84","0.1177","0.0282","x11","","137610","152693","172713","233484","198154"
"patch","","patch","gpatch","True","True","True","False","162752","17917","30.90","97.92","0.1436","0.0089","vcs","","148199","176915","162252","186824","211240"
"libmaxminddb","maxmind/libmaxminddb","libmaxminddb","libmaxminddb","True","True","True","False","148420","35386","35.13","95.79","0.1310","0.0175","misc","","66759","185799","150832","228552","251708"
"efivar","rhinstaller/efivar","efivar","","True","False","True","False","175495","0","27.36","","0.1549","","misc","","147833","163074","187019","210514","169036"
"podman","containers/podman","","podman","False","True","False","False","0","174060","","","","0.0862","misc","","0","220730","82480","186894","206137"
"libxinerama","","libxinerama","libxinerama","True","True","True","False","156864","21309","32.17","97.47","0.1384","0.0105","video","","149833","167580","163420","187371","201358"
"json-glib","","json-glib","json-glib","True","True","True","False","131588","52447","41.61","94.35","0.1161","0.0260","libs","","120065","134418","165468","226911","220873"
"mint-swift-package-manager","yonaskolb/Mint","","mint","False","True","True","False","0","172762","","87.02","","0.0855","","","0","49044","71610","307724","262671"
"numactl","numactl/numactl","numactl","numactl","True","True","True","True","168649","6502","28.72","99.62","0.1488","0.0032","admin","","142280","135846","155361","196706","232560"
"libdrm","","libdrm","libdrm","True","True","True","False","161722","15776","31.33","98.21","0.1427","0.0078","libs","","143954","141208","162004","192525","216253"
"python:virtualenv","","","virtualenv","False","True","True","False","0","169081","","87.18","","0.0837","python","","0","261843","142882","169937","101662"
"gcc-defaults","","gcc-defaults","","True","False","True","False","168988","0","28.27","","0.1491","","devel","","156835","149323","163730","176243","198809"
"rsyslog","","rsyslog","","True","False","True","False","168750","0","28.57","","0.1489","","admin|misc","","203478","199028","190469","134076","116703"
"libxcursor","","libxcursor","libxcursor","True","True","True","False","154746","17057","32.72","98.07","0.1365","0.0084","devel","","145910","151610","155634","184303","204505"
"libxdamage","","libxdamage","libxdamage","True","True","True","False","158483","12061","31.61","98.72","0.1398","0.0060","x11","","152314","158469","162524","176099","191254"
"libpcap","","libpcap","libpcap","True","True","True","False","148043","24901","35.39","97.10","0.1306","0.0123","libs","","150812","184303","172888","187672","144149"
"libgit2","libgit2/libgit2","libgit2","libgit2|libgit2@1.7|libgit2@1.8","True","True","True","True","5438","203009","97.52","85.82","0.0048","0.1005","libs","","506","71379","72346","365642","329355"
"p7zip","p7zip-project/p7zip","p7zip|p7zip-rar","p7zip","True","True","True","False","99089","85932","62.30","91.92","0.0874","0.0425","non-free/utils|utils","","100251","204947","145326","187471","201182"
"libthai","","libthai","libthai","True","True","True","False","166331","0","29.01","","0.1468","","libs","","155910","147334","161066","173329","194019"
"libnl","thom311/libnl","libnl3","","True","False","True","False","166036","0","29.30","","0.1465","","libs","","136200","140270","159645","184904","209161"
"libdatrie","tlwg/libdatrie","libdatrie","libdatrie","True","True","True","False","165991","27","29.45","100.00","0.1465","0.0000","libs","","155389","146942","160732","173090","193858"
"onetbb","uxlfoundation/oneTBB","onetbb","tbb","True","True","True","False","15996","185349","93.09","86.39","0.0141","0.0918","misc","","3537","222213","57711","374804","163112"
"debian:libsepol1","","libsepol1","","True","False","True","False","164031","0","30.32","","0.1447","","","","207338","200478","190418","122411","99510"
"gstreamer-orc","","orc","orc","True","True","True","False","108565","69087","53.88","93.04","0.0958","0.0342","devel","","112173","198545","155589","216650","136217"
"libestr","","libestr","","True","False","True","False","163557","0","30.47","","0.1443","","libs","","194313","192942","185510","130855","114169"
"lm-sensors","hramrach/lm-sensors","lm-sensors","lm-sensors","True","True","True","False","151289","16968","34.33","98.10","0.1335","0.0084","utils","","117597","126849","153374","190281","219250"
"gts-triangulated-surface","","gts","gts","True","True","True","False","46020","143973","80.85","88.64","0.0406","0.0713","math","","38999","272379","129302","195946","169371"
"zsh","","zsh","zsh","True","True","True","False","16762","180487","92.85","86.66","0.0148","0.0894","shells","","15187","369201","86493","167782","167100"
"libslirp","","libslirp","libslirp","True","True","True","False","37654","153871","84.24","88.06","0.0332","0.0762","misc","","12401","362840","66618","170983","190913"
"gsettings-desktop-schemas","","gsettings-desktop-schemas","gsettings-desktop-schemas","True","True","True","False","0","158379","","87.67","","0.0784","gnome","","0","191718","78881","203061","159857"
"meson","mesonbuild/meson","","meson","False","True","True","False","0","157988","","87.75","","0.0782","misc","","0","191904","84483","167883","187683"
"libxxf86vm","","libxxf86vm","libxxf86vm","True","True","True","False","146991","13234","35.78","98.57","0.1297","0.0066","x11","","135488","140698","149388","171418","190904"
"samba","","samba","samba","True","True","True","False","145183","14201","36.42","98.45","0.1281","0.0070","net","","134872","141673","147192","167589","191394"
"libxv","","libxv","libxv","True","True","True","False","140988","17242","37.17","98.05","0.1244","0.0085","x11","","129458","133681","144664","171914","194197"
"libxcomposite","","libxcomposite","","True","False","True","False","154755","0","32.58","","0.1366","","x11","","147585","137420","150266","159002","179505"
"libpciaccess","","libpciaccess","libpciaccess","True","True","True","False","147161","12584","35.65","98.67","0.1299","0.0062","devel","","134878","127996","146009","172949","191731"
"libmd","","libmd","libmd","True","True","True","False","150434","5055","34.86","99.92","0.1327","0.0025","misc","","58102","120765","149901","202303","241323"
"emacs","","emacs","emacs","True","True","True","False","0","153100","","88.13","","0.0758","misc","","0","289170","59223","161169","102840"
"libfastjson","rsyslog/libfastjson","libfastjson","","True","False","True","False","153078","0","33.12","","0.1351","","misc","","177061","180718","174986","124040","108586"
"liblognorm","","liblognorm","","True","False","True","False","153054","0","33.26","","0.1350","","libs","","177032","180689","174976","124026","108547"
"luv","luvit/luv","","luv","False","True","True","False","0","153045","","88.21","","0.0758","","","0","310600","45155","111404","145024"
"ccache","ccache/ccache","ccache","ccache","True","True","True","False","4200","185909","98.09","86.30","0.0037","0.0920","devel","","3913","138941","76340","225805","319639"
"dnsmasq","","dnsmasq","dnsmasq","True","True","True","False","112099","50801","51.35","94.48","0.0989","0.0251","net","","99123","212042","128355","152649","171536"
"openvino","openvinotoolkit/openvino","","openvino","False","True","True","False","0","152146","","88.28","","0.0753","","","0","130","15000","462456","130998"
"libexif","libexif/libexif","libexif","libexif","True","True","True","True","121367","38317","46.32","95.42","0.1071","0.0190","libs","","114082","160037","140838","163879","181270"
"debian:libldap-2.4-2","","libldap-2.4-2","","True","False","True","False","151473","0","34.06","","0.1337","","","","205783","194959","179342","100162","77122"
"libxshmfence","","libxshmfence","libxshmfence","True","True","True","False","144428","7435","36.55","99.42","0.1274","0.0037","misc","","130918","125139","143727","165270","186828"
"wayland","","wayland","wayland","True","True","True","False","139992","16833","37.79","98.10","0.1235","0.0083","x11","","122945","120157","142020","171269","194074"
"pulseaudio","","pulseaudio","pulseaudio","True","True","True","False","134016","19346","40.21","97.80","0.1183","0.0096","sound","","123225","120044","139824","171624","192750"
"libmicrohttpd","","libmicrohttpd","libmicrohttpd","True","True","True","False","7075","177963","96.78","86.93","0.0062","0.0881","httpd","","6632","13014","12185","395695","319708"
"libxkbcommon","xkbcommon/libxkbcommon","libxkbcommon","libxkbcommon","True","True","True","False","134555","18147","39.74","97.90","0.1187","0.0090","x11","","120578","121160","135552","167648","200427"
"glog","google/glog","google-glog","glog","True","True","True","True","1383","184386","99.68","86.49","0.0012","0.0913","libs","","1234","498651","75921","100111","68546"
"debian:libssl1.1","","libssl1.1","","True","False","True","False","148298","0","35.26","","0.1309","","","","179191","181655","174340","113494","92812"
"lapack","Reference-LAPACK/lapack","lapack","lapack","True","True","True","False","140426","8271","37.55","99.28","0.1239","0.0041","libs","","124059","138078","138917","156208","177952"
"pcsc-lite","","pcsc-lite","pcsc-lite","True","True","True","False","141750","6514","37.05","99.61","0.1251","0.0032","misc","","129138","135509","140343","155331","174491"
"cmocka","","","cmocka","False","True","True","False","0","145621","","88.50","","0.0721","misc","","0","541167","22712","11246","7362"
"polkit","polkit-org/polkit","policykit-1","","True","False","True","False","145186","0","36.29","","0.1281","","admin","","131522","125500","140331","153827","174751"
"gawk","","gawk","gawk","True","True","True","False","84634","75556","67.03","92.68","0.0747","0.0374","interpreters","","88706","255668","116431","139811","124781"
"libfontenc","","libfontenc","libfontenc","True","True","True","False","139671","5838","38.04","99.76","0.1232","0.0029","x11","","127387","119696","133738","160812","180078"
"libimagequant","ImageOptim/libimagequant","libimagequant","libimagequant","True","True","True","False","71649","90806","71.40","","0.0632","0.0450","misc","","61748","226363","92399","151299","189667"
"libxaw","","libxaw","libxaw","True","True","True","False","138437","7043","38.65","99.49","0.1222","0.0035","x11","","128968","127471","138073","154094","171751"
"liblinear","","liblinear","liblinear","True","True","True","False","28599","144025","87.33","88.57","0.0252","0.0713","libs","","13326","331198","88529","114070","171974"
"libunwind","libunwind/libunwind","libunwind","libunwind","True","True","True","True","132051","18881","41.03","97.83","0.1165","0.0093","libs","","101135","109137","130408","166104","210116"
"python:dbus-python","","dbus-python","","True","False","True","False","142986","0","36.67","","0.1262","","devel","","126698","123518","138433","152286","173999"
"msgpack","msgpack/msgpack-c","","msgpack","False","True","True","True","0","142961","","88.79","","0.0708","","","0","295706","52210","176247","47681"
"xft","","xft","","True","False","True","False","142936","0","36.80","","0.1261","","libs","","133952","124592","138046","148622","169468"
"libproxy","libproxy/libproxy","libproxy","libproxy","True","True","True","True","127947","18715","43.90","97.86","0.1129","0.0093","libs","","114051","143606","136139","160587","160215"
"libshout","","libshout","libshout","True","True","True","False","117465","31502","48.11","96.31","0.1036","0.0156","libs","","106302","137307","138484","159759","171481"
"vulkan-loader","KhronosGroup/Vulkan-Loader","vulkan-loader","vulkan-loader","True","True","True","True","117647","30404","47.80","96.47","0.1038","0.0151","misc","","88683","99818","120577","185298","215478"
"pipenv","pypa/pipenv","","pipenv","False","True","True","False","0","141668","","88.86","","0.0701","misc","","0","276267","99514","113260","77631"
"erlang","erlang/otp","","erlang","False","True","True","False","0","141272","","88.93","","0.0699","interpreters","","0","275808","62633","114622","112025"
"deno","denoland/deno","","deno","False","True","False","False","0","141269","","","","0.0699","","","0","192727","74928","144443","152980"
"libmng","","libmng","libmng","True","True","True","False","69020","89572","72.20","91.66","0.0609","0.0443","libs","","74398","295135","90875","126555","116431"
"python:pre-commit","","","pre-commit","False","True","True","False","0","140510","","89.00","","0.0696","misc","","0","200748","81647","153162","126485"
"fastlane","fastlane/fastlane","","fastlane","False","True","True","False","0","140104","","89.07","","0.0694","","","0","199183","59439","155055","146742"
"debian:libidn11","","libidn11","","True","False","True","False","139989","0","37.92","","0.1235","","","","198131","174572","156645","94943","75656"
"openmpi","","openmpi","open-mpi","True","True","True","False","9785","162350","95.45","87.51","0.0086","0.0804","net","","12449","242368","58351","217267","167895"
"dconf","","dconf","","True","False","True","False","139116","0","38.41","","0.1228","","misc","","126695","120131","134583","146283","167890"
"libsecret","","libsecret","libsecret","True","True","True","False","120608","23123","46.86","97.26","0.1064","0.0114","misc","","111704","109579","123177","157196","193881"
"zip","","zip","zip","True","True","True","False","90071","61097","65.56","93.55","0.0795","0.0302","utils","","87620","89854","113816","187816","215638"
"gsm","","libgsm","libgsm","True","True","True","False","131671","8888","41.50","99.18","0.1162","0.0044","devel","","120354","115806","142251","153546","161956"
"faad2","knik0/faad2","faad2","faad2","True","True","True","True","110797","34580","52.14","95.87","0.0978","0.0171","libs","","100606","136511","128592","158456","168142"
"ijs","","ijs","","True","False","True","False","137845","0","39.02","","0.1216","","text","","128719","120255","133761","143882","162610"
"nftables","","nftables","","True","False","True","False","137467","0","39.14","","0.1213","","misc","","44369","96614","130590","187146","228616"
"wavpack","","wavpack","wavpack","True","True","True","False","129112","9771","43.00","99.04","0.1139","0.0048","sound","","119940","118469","129115","150255","166869"
"gnu-bc","","bc","bc","True","True","True","False","131418","6819","42.08","99.55","0.1160","0.0034","math","","114404","123667","132253","143710","170334"
"assimp","assimp/assimp","assimp","assimp|assimp@5","True","True","True","True","2928","166746","98.80","87.43","0.0026","0.0825","graphics","","2110","321493","36662","200958","120406"
"python:sphinx","","","sphinx-doc","False","True","True","False","0","136251","","89.20","","0.0675","python","","0","240845","76753","122305","105102"
"yajl","lloyd/yajl","yajl","yajl","True","True","True","False","117782","22420","47.59","97.40","0.1039","0.0111","libs","","106068","135504","120778","142663","173583"
"debian:libapt-pkg6.0","","libapt-pkg6.0","","True","False","True","False","134866","0","39.62","","0.1190","","","","59287","113231","145882","187625","168307"
"jack-audio-connection-kit","jackaudio/jack2","jack-audio-connection-kit|jackd2","jack","True","True","True","False","126499","10155","44.69","98.98","0.1116","0.0050","sound","","114894","122333","128686","146754","160454"
"xapian-core","","xapian-core","xapian","True","True","True","False","128962","6771","43.11","","0.1138","0.0034","libs","","125010","131222","135749","147160","132758"
"libasyncns","","libasyncns","","True","False","True","False","134152","0","40.09","","0.1184","","libs","","123386","115958","129951","140576","160889"
"libcaca","cacalabs/libcaca","libcaca","libcaca","True","True","True","False","127564","7612","44.02","99.39","0.1126","0.0038","libs","","115275","123921","126020","141774","161281"
"pygments","","","pygments","False","True","True","False","0","133370","","89.47","","0.0660","python","","0","266966","183330","65393","17793"
"libgudev","","libgudev","","True","False","True","False","133326","0","40.68","","0.1176","","misc","","121854","114978","129135","140096","160569"
"colord","","colord","","True","False","True","False","132668","0","40.80","","0.1171","","graphics","","121301","114451","128777","138831","159982"
"vte","","vte|vte2.91","vte3","True","True","True","False","105568","33290","56.62","96.02","0.0931","0.0165","libs|misc","","93790","148145","119205","145466","154398"
"libaec","","libaec","libaec","True","True","True","False","30606","126655","86.44","89.72","0.0270","0.0627","misc","","27240","266926","62836","163274","139379"
"ngtcp2","ngtcp2/ngtcp2","ngtcp2","libngtcp2","True","True","True","False","18249","567026","92.38","63.99","0.0161","0.2807","misc","","1","4","4","11222","647044"
"libxxf86dga","","libxxf86dga","","True","False","True","False","131425","0","41.96","","0.1160","","x11","","122602","114081","127721","136634","156090"
"libvdpau","","libvdpau","libvdpau","True","True","True","False","126526","5817","44.58","99.77","0.1116","0.0029","libs","","112795","107522","126198","150801","158587"
"debian:x11-utils","","x11-utils","","True","False","True","False","131056","0","42.31","","0.1156","","","","122133","113712","127371","136296","155772"
"libxss","","libxss","","True","False","True","False","130917","0","42.43","","0.1155","","x11","","119551","111358","125603","138291","159783"
"graphene","ebassi/graphene","graphene","graphene","True","True","True","False","98973","39644","62.48","95.25","0.0873","0.0196","misc","","78235","118481","124143","167197","165385"
"parted","","parted","","True","False","True","False","130199","0","42.66","","0.1149","","admin","","116138","111467","126165","138307","158920"
"libsigc++","libsigcplusplus/libsigcplusplus","libsigc++-2.0|libsigc++-3.0","libsigc++|libsigc++@2","True","True","True","False","123259","8198","45.67","99.29","0.1088","0.0041","devel|misc","","113852","125016","123356","135992","150878"
"libxkbfile","","libxkbfile","libxkbfile","True","True","True","False","124590","6219","44.91","99.67","0.1099","0.0031","x11","","108484","105928","122272","145492","165652"
"musepack","","libmpc","musepack","True","True","True","False","109731","24244","53.11","97.16","0.0968","0.0120","sound","","99145","113585","130423","149133","153347"
"libglvnd","","libglvnd","","True","False","True","False","128923","0","43.23","","0.1138","","misc","","103176","107125","124798","142939","166578"
"game-music-emu","libgme/game-music-emu","game-music-emu","game-music-emu","True","True","True","False","124181","5862","45.24","99.75","0.1096","0.0029","sound","","110745","106647","121042","142134","163789"
"mysql-defaults","","mysql-defaults","","True","False","True","False","128510","0","43.45","","0.1134","","misc","","138686","124474","126944","124780","127669"
"perl:file-fcntllock","","libfile-fcntllock-perl","","True","False","True","False","128117","0","43.79","","0.1130","","perl","","116184","120138","122685","128976","152606"
"the-silver-searcher","ggreer/the_silver_searcher","","the_silver_searcher","False","True","True","False","0","128060","","89.60","","0.0634","misc","","0","38290","98211","239271","136469"
"sane-backends","","sane-backends","sane-backends","True","True","True","False","113178","18368","50.96","97.88","0.0999","0.0091","graphics","","104737","102472","136589","149392","146173"
"xmlsec","lsh123/xmlsec","xmlsec1","libxmlsec1","True","True","True","True","96838","38223","63.51","95.44","0.0854","0.0189","text","","85344","151989","132101","156686","110963"
"libutempter","","libutempter","","True","False","True","False","127085","0","44.35","","0.1121","","libs","","118983","112197","121028","131416","151801"
"md4c","mity/md4c","md4c","md4c","True","True","True","True","62393","80766","74.62","92.29","0.0551","0.0400","misc","","32719","143930","79781","200521","178083"
"djvulibre","","djvulibre","djvulibre","True","True","True","False","121821","6162","46.22","99.69","0.1075","0.0031","graphics","","111238","113534","121704","134106","153175"
"twolame","","twolame","","True","False","True","False","126599","0","44.47","","0.1117","","sound","","113336","107810","122404","134236","155210"
"grpc","grpc/grpc","grpc","grpc","True","True","True","False","2043","154288","99.32","87.98","0.0018","0.0764","misc","","116","154958","83779","201873","186642"
"tidy","htacg/tidy-html5","tidy-html5","tidy-html5","True","True","True","True","780","155182","99.97","87.90","0.0007","0.0768","misc","","340","403497","49883","83688","87223"
"libdaemon","","libdaemon","","True","False","True","False","124417","0","45.02","","0.1098","","libs","","115904","107460","121197","129834","147690"
"libraw1394","","libraw1394","","True","False","True","False","124201","0","45.13","","0.1096","","libs","","111741","105666","120026","131485","152090"
"shine","savonet/shine","shine","","True","False","True","False","124015","0","45.35","","0.1094","","misc","","109225","104865","119925","132479","153585"
"chromaprint","acoustid/chromaprint","chromaprint","chromaprint","True","True","True","False","121115","3440","46.75","99.98","0.1069","0.0017","libs","","105265","104366","118359","134876","156472"
"libva","intel/libva","libva","libva","True","True","True","False","116444","12230","48.73","98.71","0.1027","0.0061","libs","","92912","95318","119048","151926","159711"
"speexdsp","","speexdsp","speexdsp","True","True","True","False","107619","20193","54.93","97.66","0.0950","0.0100","misc","","105645","107848","114513","134375","156491"
"glu","","libglu","mesa-glu","True","True","True","False","113765","12346","50.35","98.69","0.1004","0.0061","misc","","106818","100940","116265","141105","153083"
"dosfstools","dosfstools/dosfstools","dosfstools","","True","False","True","False","123635","0","45.46","","0.1091","","otherosfs","","108258","102937","117667","133251","156065"
"libavc1394","","libavc1394","","True","False","True","False","123478","0","45.57","","0.1090","","libs","","110944","104917","119303","130813","151413"
"libiec61883","","libiec61883","","True","False","True","False","123024","0","45.89","","0.1086","","libs","","110287","104350","118760","130483","151243"
"libaacs","","libaacs","","True","False","True","False","122893","0","46.00","","0.1084","","video","","109358","104032","118584","130650","151843"
"libnice","","libnice","libnice","True","True","True","False","102137","25706","59.46","96.97","0.0901","0.0127","libs","","85402","125675","102690","136840","162905"
"xorg-server","","xorg-server","xorg-server","True","True","True","False","110987","14615","51.94","98.37","0.0979","0.0072","x11","","101830","94244","108105","143487","165735"
"flite","","flite","","True","False","True","False","121868","0","46.11","","0.1075","","sound","","107623","102957","117606","129999","151158"
"capstone","capstone-engine/capstone","capstone","capstone","True","True","True","True","2940","148490","98.80","88.43","0.0026","0.0735","misc","","672","282083","66217","135542","124149"
"x11-xserver-utils","","x11-xserver-utils","","True","False","True","False","121302","0","46.43","","0.1070","","x11","","109726","103151","117316","128008","148309"
"packagekit","","packagekit","","True","False","True","False","121167","0","46.54","","0.1069","","admin","","106254","102964","117482","130364","148772"
"net-tools","","net-tools","","True","False","True","False","121147","0","46.64","","0.1069","","net","","124557","119985","119945","119939","121310"
"libnotify","","libnotify","libnotify","True","True","True","False","115579","6681","49.24","99.58","0.1020","0.0033","libs","","105129","108055","113710","127798","149930"
"gstreamer:base","","gst-plugins-base1.0","","True","False","True","False","120212","0","47.07","","0.1061","","libs","","107549","102024","116439","127493","147556"
"cdparanoia","","cdparanoia","","True","False","True","False","120123","0","47.17","","0.1060","","sound","","108890","102318","116400","126635","146372"
"libvisual","","libvisual","","True","False","True","False","119911","0","47.28","","0.1058","","devel","","108640","102085","116183","126451","146197"
"tfenv","tfutils/tfenv","","tfenv","False","True","True","False","0","119366","","90.03","","0.0591","","","0","104557","81669","156627","134614"
"libbs2b","","libbs2b","","True","False","True","False","118950","0","47.39","","0.1050","","libs","","102989","99529","114772","128133","149328"
"libudfread","","libudfread","libudfread","True","True","True","False","93602","125729","64.18","89.78","0.0826","0.0622","misc","","45873","71524","93008","118331","265005"
"nghttp3","ngtcp2/nghttp3","nghttp3","libnghttp3","True","True","True","False","18996","247118","91.96","83.60","0.0168","0.1223","misc","","3","4","6","30306","558902"
"libvdpau-va-gl","i-rinat/libvdpau-va-gl","libvdpau-va-gl","","True","False","True","False","117756","0","47.70","","0.1039","","misc","","100598","98290","113769","127414","148709"
"ntfs-3g","tuxera/ntfs-3g","ntfs-3g","","True","False","True","False","117515","0","48.01","","0.1037","","otherosfs","","105241","99533","113659","124552","144590"
"aalib","","aalib","","True","False","True","False","117391","0","48.22","","0.1036","","libs","","106337","99870","113827","123804","143117"
"openal-soft","kcat/openal-soft","openal-soft","","True","False","True","False","117067","0","48.32","","0.1033","","libs","","104172","98927","113325","124543","144370"
"snowballstemmer","","snowball","","True","False","True","False","117041","0","48.42","","0.1033","","libs","","102280","102113","114039","123602","143171"
"wpa-supplicant","","wpa","","True","False","True","False","117033","0","48.53","","0.1033","","net","","105022","98631","113059","123993","144464"
"gflags","gflags/gflags","gflags","gflags","True","True","True","False","2145","142983","99.28","88.72","0.0019","0.0708","libs","","1768","327203","72388","102941","78360"
"python:pyqt","","","pyqt|pyqt@5","False","True","True","False","0","81996","","92.17","","0.0406","","","0","202801","40050","119726","103287"
"serd","","serd","","True","False","True","False","116286","0","48.83","","0.1026","","libs","","97685","96293","112067","126673","148712"
"sord","","sord","","True","False","True","False","116280","0","48.94","","0.1026","","libs","","97688","96289","112057","126664","148703"
"lilv","","lilv","","True","False","True","False","116278","0","49.14","","0.1026","","libs","","97682","96294","112051","126663","148704"
"sratom","","sratom","","True","False","True","False","116278","0","49.14","","0.1026","","libs","","97686","96290","112055","126662","148700"
"gdal","OSGeo/gdal","gdal","gdal","True","True","True","True","7047","136224","96.78","89.27","0.0062","0.0674","science","","3970","210032","72792","147586","145753"
"libevdev","","libevdev","","True","False","True","False","114790","0","49.35","","0.1013","","misc","","103775","97232","111258","121164","140525"
"fakeroot","","fakeroot","","True","False","True","False","114720","0","49.45","","0.1012","","utils","","105862","102912","107980","119065","137782"
"x11-xkb-utils","","x11-xkb-utils","","True","False","True","False","114657","0","49.55","","0.1012","","x11","","104966","97319","110951","120345","139708"
"libdvdnav","","libdvdnav","libdvdnav","True","True","True","False","113569","1189","50.66","100.00","0.1002","0.0006","libs","","103661","96424","109691","118665","144165"
"libatasmart","","libatasmart","","True","False","True","False","114482","0","49.85","","0.1010","","libs","","103236","97041","110915","121034","140186"
"gstreamer:good","","gst-plugins-good1.0","","True","False","True","False","114161","0","50.05","","0.1007","","libs","","101809","96315","110632","121295","140756"
"libbdplus","","libbdplus","","True","False","True","False","114143","0","50.15","","0.1007","","misc","","95767","94207","109836","124423","146483"
"debian:libsoup2.4-1","","libsoup2.4-1","","True","False","True","False","113996","0","50.25","","0.1006","","","","121952","115843","126630","120061","85497"
"libxfont2","","libxfont","libxfont2","True","True","True","False","109220","5693","53.50","99.80","0.0964","0.0028","x11","","96031","91802","106053","128496","146496"
"libwacom","","libwacom","","True","False","True","False","113724","0","50.45","","0.1003","","libs","","102698","96370","110316","120050","139188"
"bluez","","bluez","","True","False","True","False","113668","0","50.55","","0.1003","","admin","","104413","96215","109374","119279","139059"
"usb-modeswitch","","usb-modeswitch","","True","False","True","False","113546","0","50.76","","0.1002","","comm","","103483","96261","109778","119562","138649"
"subversion","","subversion","subversion","True","True","True","False","22235","113830","90.49","","0.0196","0.0564","vcs","","24832","195017","79607","139451","127589"
"libgphoto2","gphoto/libgphoto2","libgphoto2","libgphoto2","True","True","True","False","100386","14679","61.25","98.37","0.0886","0.0073","libs","","106248","105944","130217","133562","84680"
"libmodplug","","libmodplug","libmodplug","True","True","True","False","107861","5045","54.55","99.92","0.0952","0.0025","sound","","96267","104368","106028","117208","135616"
"udisks","","udisks2","","True","False","True","False","111793","0","51.45","","0.0986","","admin","","99239","93998","108274","119084","138370"
"libspectre","","libspectre","libspectre","True","True","True","False","107808","4898","54.64","99.93","0.0951","0.0024","libs","","96139","97475","105848","121095","138081"
"libinput","","libinput","","True","False","True","False","111504","0","51.65","","0.0984","","misc","","98583","93741","108161","118818","138218"
"libsoup","","libsoup2.4|libsoup3","libsoup|libsoup@2","True","True","True","False","64064","74525","73.84","92.75","0.0565","0.0369","misc|oldlibs","","2139","124268","82630","169361","178100"
