"package","source","homepage","vcs_browser","section"
"libqt5pdfwidgets5","qtwebengine-opensource-src","https://doc.qt.io/qt-5/qtwebengine-index.html","","libs"
"libqt5positioning5","qtlocation-opensource-src","https://doc.qt.io/qt-5/qtlocation-index.html","","libs"
"libqt5positioning5-plugins","qtlocation-opensource-src","https://doc.qt.io/qt-5/qtlocation-index.html","","libs"
"libqt5positioningquick5","qtlocation-opensource-src","https://doc.qt.io/qt-5/qtlocation-index.html","","libs"
"libqt5printsupport5t64","qtbase-opensource-src","https://www.qt.io/developers/","","libs"
"libqt5publishsubscribe5t64","qtsystems-opensource-src","https://www.qt.io/developers","","libs"
"libqt5qml5","qtdeclarative-opensource-src","https://doc.qt.io/qt-5/qmlapplications.html","","libs"
"libqt5qmlmodels5","qtdeclarative-opensource-src","https://doc.qt.io/qt-5/qmlapplications.html","","libs"
"libqt5qmlworkerscript5","qtdeclarative-opensource-src","https://doc.qt.io/qt-5/qmlapplications.html","","libs"
"libqt5quick5","qtdeclarative-opensource-src","https://doc.qt.io/qt-5/qmlapplications.html","","libs"
"libqt5quick5-gles","qtdeclarative-opensource-src-gles","https://doc.qt.io/qt-5/qmlapplications.html","","libs"
