"package","source","homepage","vcs_browser","section"
"libpstreams-dev","pstreams","http://pstreams.sourceforge.net/","","libdevel"
"libpsurface-dev","psurface","http://numerik.mi.fu-berlin.de/dune/psurface","","libdevel"
"libpsurface0t64","psurface","http://numerik.mi.fu-berlin.de/dune/psurface","","libs"
"libptexenc-dev","texlive-bin","https://www.tug.org/texlive/","","libdevel"
"libptexenc1","texlive-bin","https://www.tug.org/texlive/","","libs"
"libpthread-stubs0-dev","libpthread-stubs","","","libdevel"
"libpthreadpool-dev","pthreadpool","https://github.com/Maratyszcza/pthreadpool","","libdevel"
"libpthreadpool0","pthreadpool","https://github.com/Maratyszcza/pthreadpool","","libdevel"
"libptl-dev","ptl","https://github.com/jrmadsen/PTL","","libdevel"
"libptl2t64","ptl","https://github.com/jrmadsen/PTL","","libs"
"libptscotch-7.0","scotch","http://www.labri.fr/perso/pelegrin/scotch/","","libs"
"libptscotch-dev","scotch","http://www.labri.fr/perso/pelegrin/scotch/","","libdevel"
"libptytty-dev","libptytty","http://software.schmorp.de/pkg/libptytty.html","","libdevel"
"libptytty0","libptytty","http://software.schmorp.de/pkg/libptytty.html","","libs"
"libpugixml-dev","pugixml","https://pugixml.org/","","libdevel"
"libpugixml1v5","pugixml","https://pugixml.org/","","libs"
"libpugl-0-0","pugl","https://drobilla.net/software/pugl.html","","libs"
"libpugl-dev","pugl","https://drobilla.net/software/pugl.html","","libdevel"
"libpulp0","libpulp","https://github.com/SUSE/libpulp","","libs"
"libpulse-dev","pulseaudio","http://pulseaudio.org","","libdevel"
"libpulse-mainloop-glib0","pulseaudio","http://pulseaudio.org","","libs"
"libpulse-ocaml","ocaml-pulseaudio","https://github.com/savonet/ocaml-pulseaudio","","ocaml"
"libpulse-ocaml-dev","ocaml-pulseaudio","https://github.com/savonet/ocaml-pulseaudio","","ocaml"
"libpulse0","pulseaudio","http://pulseaudio.org","","libs"
"libpulsedsp","pulseaudio","http://pulseaudio.org","","libs"
"libpuma-dev","aspectc++","http://www.aspectc.org","","libdevel"
"libpuma-doc","aspectc++","http://www.aspectc.org","","doc"
"libpurelibc-dev","purelibc","http://wiki.virtualsquare.org/","","libdevel"
"libpurelibc1","purelibc","http://wiki.virtualsquare.org/","","libs"
"libpurify-dev","purify","https://astro-informatics.github.io/purify/","","libdevel"
"libpurify2.0","purify","https://astro-informatics.github.io/purify/","","libs"
"libpurple-bin","pidgin","https://www.pidgin.im","","net"
