"package","github_repo"
"dcfldd","resurrecting-open-source-projects/dcfldd"
"dcontainers","dlang-community/containers"
"dctrl-tools","ajkaijanaho/dctrl-tools"
"dd-opentracing-cpp","DataDog/dd-opentracing-cpp"
"ddccontrol","ddccontrol/ddccontrol"
"dde-network-utils","linuxdeepin/dde-network-utils"
"dde-qt-dbus-factory","linuxdeepin/dde-qt-dbus-factory"
"dde-qt5integration","linuxdeepin/qt5integration"
"deepin-movie-reborn","linuxdeepin/deepin-movie-reborn"
"deepin-qt5dxcb-plugin","linuxdeepin/qt5platform-plugins"
"detox","dharple/detox"
"deutex","Doom-Utils/deutex"
"dhcpcd","NetworkConfiguration/dhcpcd"
"dieharder","eddelbuettel/dieharder"
"diet-ng","rejectedsoftware/diet-ng"
"dimbl","LanguageMachines/dimbl"
"ding-libs","SSSD/ding-libs"
"diod","chaos/diod"
"discord-rpc","discord/discord-rpc"
"dislocker","Aorimn/dislocker"
"distorm3","gdabah/distorm"
"dlt-daemon","COVESA/dlt-daemon"
"dma","corecode/dma"
"dmlc-core","dmlc/dmlc-core"
"dnswire","DNS-OARC/dnswire"
"docopt.cpp","docopt/docopt"
"dolfinx-mpc","jorgensd/dolfinx_mpc"
"dosfstools","dosfstools/dosfstools"
"dotconf","williamh/dotconf"
"double-conversion","google/double-conversion"
"dqlite","canonical/dqlite"
"draco","google/draco"
"dracut","dracut-ng/dracut-ng"
"dragonbox","jk-jeon/dragonbox"
"driftnet","deiv/driftnet"
"dsdcc","f4exb/dsdcc"
"dtkcommon","linuxdeepin/dtkcommon"
"dtkcore","linuxdeepin/dtkcore"
"dtkdeclarative","linuxdeepin/dtkdeclarative"
"dtkgui","linuxdeepin/dtkgui"
"dtklog","linuxdeepin/dtklog"
"dtkwidget","linuxdeepin/dtkwidget"
"dtl","cubicdaiya/dtl"
"duo-unix","duosecurity/duo_unix"
"dwarfutils","davea42/libdwarf-code"
"dxvk","doitsujin/dxvk"
"dynarmic","merryhime/dynarmic"
"dyssol","FlowsheetSimulation/Dyssol-open"
"dzen2","robm/dzen"
"e-antic","flatsurf/e-antic"
"easyloggingpp","abumq/easyloggingpp"
"ebook-speaker","book-readers/ebook-speaker"
"eckit","ecmwf/eckit"
"eclib","JohnCremona/eclib"
"ectrans","ecmwf-ifs/ectrans"
"edac-utils","grondo/edac-utils"
"edb-debugger","eteran/edb-debugger"
