"package","avg_downloads","2021","2022","2023","2024","2025"
"libcurl3-gnutls","202088","197660","195588","213388","224499","179308"
"libksba","200721","181189","178562","195944","212224","235687"
"pcre2","200436","157508","170042","192826","224378","257427"
"elfutils","199964","190474","192121","211405","225243","180581"
"usbutils","199870","178872","174829","192058","212368","241226"
"gpm","198964","181151","174692","190274","211451","237254"
"fontconfig","195595","178887","175105","190537","205594","227855"
"libzstd","195196","147079","163769","187984","221739","255412"
"libnftnl","193733","144721","162127","186569","220729","254523"
"sudo","193216","168826","168842","186029","207258","235127"
"gnutls28","193022","178781","184256","204691","220688","176696"
"libpng1.6","192792","178579","183920","204371","220494","176596"
"libpsl","192261","178009","183477","203836","219918","176069"
"argon2","191973","147477","163888","187971","221054","239476"
"libnetfilter-conntrack","191619","180043","170232","184841","199285","223695"
"cryptsetup","191360","144930","162147","186570","220585","242570"
"jansson","191192","142351","159307","183537","218288","252478"
"protobuf-c","190335","148576","160754","183213","213456","245678"
"jbigkit","189333","171669","168523","184492","199952","222030"
"libjpeg-turbo","189260","169727","168015","184409","200780","223369"
"lmdb","187935","142717","157596","181251","212804","245310"
"libpcre3","186771","207256","204531","206236","173646","142188"
"uchardet","185869","139934","155436","179031","211207","243739"
"fstrm","184720","139799","155218","177979","209298","241310"
"avahi","180663","169546","162036","175897","187306","208531"
"psmisc","180663","172031","164277","176101","185436","205471"
"libtool","179341","167718","160313","175399","189229","204049"
"unzip","178330","164378","158433","173251","186764","208828"
"libxpm","178004","160524","157988","173842","188216","209452"
"brotli","177778","115399","143407","170717","211630","247740"
"libxslt","175873","160688","157250","172578","184514","204336"
"efivar","175495","147833","163074","187019","210514","169036"
"libxrender","174911","164668","155931","169439","181422","203098"
"npth","174453","165814","168005","186877","196894","154677"
"gdbm","173519","144497","161345","185543","208909","167302"
"inetutils","170441","187399","177431","162548","138211","186620"
"pixman","169887","160322","150914","164535","176410","197257"
"gcc-defaults","168988","156835","149323","163730","176243","198809"
"cairo","168977","159384","150028","163650","175481","196342"
"rsyslog","168750","203478","199028","190469","134076","116703"
"numactl","168649","142280","135846","153429","190058","221634"
"libgd2","166459","145179","145774","162653","178965","199724"
"libthai","166331","155910","147334","161066","173329","194019"
"libtirpc","166227","88906","130953","160713","206350","244214"
"libnl3","166036","136200","140270","159645","184904","209161"
"libdatrie","165991","155389","146942","160732","173076","193817"
"lcms2","165742","153930","146343","160239","173278","194922"
"graphite2","165249","150052","144613","159785","175202","196594"
"harfbuzz","165196","150007","144548","159719","175135","196571"
"fribidi","165046","146279","143740","159646","176459","199109"
"mpclib3","164699","148974","144043","159328","173854","197296"
"libsepol1","164031","207338","200478","190418","122411","99510"
"libestr","163557","194313","192942","185510","130855","114169"
"libxi","163285","156360","145890","158367","167638","188171"
"curl","163238","127253","145270","168988","192146","182536"
"patch","162752","148199","145074","154542","172556","193391"
"libxfixes","162033","153143","144094","157235","167425","188272"
"cups","161968","167997","160261","174054","174463","133067"
"libdrm","161722","143954","141208","156966","171921","194565"
"pango1.0","161379","148297","141675","156126","169791","191009"
"libxdamage","158483","152314","142972","155562","161327","180241"
"libyaml","158064","138823","138174","152069","168786","192469"
"libxrandr","157731","149824","140039","153083","162568","183142"
"gdk-pixbuf","157622","147037","138235","152063","164747","186032"
"libxinerama","156864","149833","139891","152751","160726","181123"
"mpfr4","156814","122602","131831","151884","175523","202231"
"xxhash","154762","68741","117370","149052","199498","239151"
"libxcomposite","154755","147585","137420","150266","159002","179505"
"libxcursor","154746","145910","136574","149759","160262","181226"
"libice","154468","145495","134622","148299","161156","182772"
"libsm","154458","145512","134615","148279","161138","182749"
"libusb","153952","203104","192162","178299","108173","88024"
"libfastjson","153078","177061","180718","174986","124040","108586"
"liblognorm","153054","177032","180689","174976","124026","108547"
