"package","dependency","type"
"glade","gjs","declared"
"glade","glib2.0","declared"
"glade","glibc","declared"
"glade","gtk+3.0","declared"
"glade","libxml2","declared"
"glade","pango1.0","declared"
"glade","python3.13","declared"
"glade","webkit2gtk","declared"
"ghostscript","cups","declared"
"ghostscript","fontconfig","declared"
"ghostscript","fonts-urw-base35","declared"
"ghostscript","freetype","declared"
"ghostscript","glibc","declared"
"ghostscript","ijs","declared"
"ghostscript","jbig2dec","declared"
"ghostscript","lcms2","declared"
"ghostscript","libidn","declared"
"ghostscript","libjpeg-turbo","declared"
"ghostscript","libjs-jquery","declared"
"ghostscript","libjs-sphinxdoc","declared"
"ghostscript","libpaper","declared"
"ghostscript","libpng1.6","declared"
"ghostscript","libx11","declared"
"ghostscript","libxt","declared"
"ghostscript","openjpeg2","declared"
"ghostscript","poppler-data","declared"
"ghostscript","sphinx-rtd-theme-common","declared"
"ghostscript","tiff","declared"
"ghostscript","zlib","declared"
"gdb-mingw-w64","babeltrace","declared"
"gdb-mingw-w64","expat","declared"
"gdb-mingw-w64","gcc-14","declared"
"gdb-mingw-w64","gdb","declared"
"gdb-mingw-w64","glibc","declared"
"gdb-mingw-w64","gmp","declared"
"gdb-mingw-w64","intel-processor-trace","declared"
"gdb-mingw-w64","mpfr4","declared"
"gdb-mingw-w64","ncurses","declared"
"gdb-mingw-w64","python3.13","declared"
"gdb-mingw-w64","readline","declared"
"gdb-mingw-w64","xz-utils","declared"
"gdb-mingw-w64","zlib","declared"
"fparserc++","gcc-14","declared"
"fparserc++","glibc","declared"
"telepathy-qt","gcc-14","declared"
"telepathy-qt","glib2.0","declared"
"telepathy-qt","glibc","declared"
"telepathy-qt","qtbase-opensource-src","declared"
"telepathy-qt","telepathy-farstream","declared"
"telepathy-qt","telepathy-glib","declared"
"open-coarrays","gcc-14","declared"
"open-coarrays","gfortran","declared"
"open-coarrays","gfortran-14","declared"
"open-coarrays","glibc","declared"
"open-coarrays","mpich","declared"
"open-coarrays","openmpi","declared"
"gzip","glibc","declared"
"libimager-qrcode-perl","glibc","declared"
"libimager-qrcode-perl","libimager-perl","declared"
