"package","github_repo"
"attrdict","bcj/attrdict"
"audioread","beetbox/audioread"
"auditwheel","pypa/auditwheel"
"auth0-python","auth0/auth0-python"
"authcaptureproxy","alandtse/auth_capture_proxy"
"authencoding","zopefoundation/authencoding"
"authlib","authlib/authlib"
"autobahn","crossbario/autobahn-python"
"autocommand","simplejson/simplejson"
"autodocsumm","chilipp/autodocsumm"
"autofaker","christianhelle/autofaker"
"autoflake","pycqa/autoflake"
"autogluon","autogluon/autogluon"
"autograd","hips/autograd"
"autograd-gamma","camdavidsonpilon/autograd-gamma"
"automat","glyph/automat"
"autopep8","hhatto/autopep8"
"autoray","jcmgray/autoray"
"autosemver","david-caro/python-autosemver"
"autoviz","autoviml/autoviz"
"autowrapt","grahamdumpleton/autowrapt"
"av","pyav-org/pyav"
"avro-gen","rbystrit/avro_gen"
"avro-gen3","acryldata/avro_gen"
"awacs","cloudtools/awacs"
"awesomeversion","ludeeus/awesomeversion"
"aws-assume-role-lib","benkehoe/aws-assume-role-lib"
"aws-embedded-metrics","awslabs/aws-embedded-metrics-python"
"aws-error-utils","benkehoe/aws-error-utils"
"aws-kinesis-agg","awslabs/kinesis-aggregation"
"aws-lambda-powertools","aws-powertools/powertools-lambda-python"
"aws-logging-handlers","omrikiei/aws_logging_handlers"
"aws-psycopg2","abhimanyuhk/aws-psycopg2"
"aws-requests-auth","davidmuller/aws-requests-auth"
"aws-sam-cli","aws/aws-sam-cli"
"aws-secretsmanager-caching","aws/aws-secretsmanager-caching-python"
"aws-xray-sdk","aws/aws-xray-sdk-python"
"awscli-local","localstack/awscli-local"
"awscliv2","youtype/awscliv2"
"awsiotpythonsdk","aws/aws-iot-device-sdk-python"
"awsiotsdk","aws/aws-iot-device-sdk-python-v2"
"awslambdaric","aws/aws-lambda-python-runtime-interface-client"
"awswrangler","aws/aws-sdk-pandas"
"ax-platform","facebook/ax"
"azure-datalake-store","azure/azure-data-lake-store-python"
"azure-devops","microsoft/azure-devops-python-api"
"azure-eventhubs-client","knockriinc/azure_eventhubs_client"
"azure-functions-devops-build","azure/azure-functions-devops-build"
"azure-functions-durable","azure/azure-functions-durable-python"
"azure-iot-device","azure/azure-iot-sdk-python"
"azure-iot-hub","azure/azure-iot-hub-python"
"azure-kusto-data","azure/azure-kusto-python"
"azure-kusto-ingest","azure/azure-kusto-python"
"azure-multiapi-storage","azure/azure-multiapi-storage-python"
"azure-storage","azure/azure-storage-python"
"azure-storage-common","azure/azure-storage-python"
"azure-storage-file","azure/azure-storage-python"
"azure-storage-logging","michiya/azure-storage-logging"
"azure-storage-nspkg","azure/azure-storage-python"
"azure-storage-queue","azure/azure-storage-python"
"b2sdk","backblaze/b2-sdk-python"
"babel","python-babel/babel"
"backcall","takluyver/backcall"
"backoff","litl/backoff"
"banal","pudo/banal"
"bandit","pycqa/bandit"
"base64io","aws/base64io-python"
"bashlex","idank/bashlex"
"basicauth","rdegges/python-basicauth"
"basictracer","opentracing/basictracer-python"
"bayesian-changepoint-detection","hildensia/bayesian_changepoint_detection"
"bc-detect-secrets","bridgecrewio/detect-secrets"
"bc-jsonpath-ng","bridgecrewio/jsonpath-ng"
"bc-python-hcl2","bridgecrewio/python-hcl2"
"bcrypt","pyca/bcrypt"
"beam-nuggets","mohaseeb/beam-nuggets"
"beautifultable","pri22296/beautifultable"
"behave","behave/behave"
"bellows","zigpy/bellows"
"beniget","serge-sans-paille/beniget"
"bert-score","tiiiger/bert_score"
"better-exceptions","qix-/better-exceptions"
"better-profanity","snguyenthanh/better_profanity"
"betterproto","danielgtaylor/python-betterproto"
"bezier","dhermes/bezier"
"bibtexparser","sciunto-org/python-bibtexparser"
"bidict","jab/bidict"
"bigflow","allegro/bigflow"
"bigquery-schema-generator","bxparks/bigquery-schema-generator"
"billiard","celery/billiard"
"bingads","bingads/bingads-python-sdk"
"binpacking","benmaier/binpacking"
"biotite","biotite-dev/biotite"
"bitsandbytes","bitsandbytes-foundation/bitsandbytes"
"bitstruct","eerimoq/bitstruct"
"black","psf/black"
"blackduck","blackducksoftware/hub-rest-api-python"
"blake3","oconnor663/blake3-py"
"bleach","mozilla/bleach"
"bleak","hbldh/bleak"
"blendmodes","fhpythonutils/blendmodes"
"blessed","jquast/blessed"
"blessings","erikrose/blessings"
"blinker","pallets-eco/blinker"
"blobfile","blobfile/blobfile"
"blosc","blosc/python-blosc"
"blspy","chia-network/bls-signatures"
"bokeh","bokeh/bokeh"
"bookstore","nteract/bookstore"
