"package","avg_downloads","2020","2021","2022","2023","2024"
"pynacl",464796044,120090757,213776799,424863058,528539776,1036709831
"tabulate",456168507,122492369,280348297,467629994,577867042,832504832
"google-resumable-media",450537778,183174042,280043285,463444099,506163190,819864276
"py",442962435,209375349,380478478,512981626,413021666,698955057
"scikit-learn",431633055,168173735,271861571,386391930,480011649,851726389
"mypy-extensions",431019211,58008542,239436820,395461554,504320472,957868667
"azure-storage-blob",430117575,143713384,336906890,451618520,497192802,721156279
"deprecated",422314096,26045712,96412232,327935982,523787044,1137389508
"pathspec",416196941,65159152,165475890,278881252,485049978,1086418431
"psycopg2-binary",415945436,118960808,196641251,380309283,527831225,855984614
"pyrsistent",414754648,209122248,350703312,454921721,542362079,516663882
"pexpect",414598017,153626407,250785368,294448401,427512655,946617255
"gitpython",412597491,97558326,233523397,335198397,494884851,901822483
"tzdata",411280174,169937,24935262,249893547,408881229,1372520893
"ptyprocess",407774697,149892132,252119318,295780054,419133091,921948891
"rich",407312995,2649876,23808866,123631786,334994030,1551480419
"matplotlib",406836669,139608971,288113350,339834089,448390016,818236918
"proto-plus",405688506,24089910,168529690,350502778,479240851,1006079302
"wcwidth",399482198,199678911,195258012,289089933,476915374,836468759
"sniffio",399028243,39631837,104647240,260148078,467652537,1123061525
"google-api-python-client",397871462,173171316,329959571,352161948,518152205,615912272
"toml",396481890,151822941,424813688,452305155,393916790,559550874
"bcrypt",396046088,127633987,199790503,352589152,473395428,826821370
"future",391093670,292917248,357820352,403206998,398270286,503253465
"msrest",390055388,163352704,358787916,514886474,430753956,482495892
"google-cloud-bigquery",389697121,120396571,186838012,593370542,427322266,620558214
"paramiko",384655373,119668499,197323647,344019253,496394745,765870720
"msgpack",384428177,79179087,163686118,257883197,463258318,958134166
"smmap",379564475,77034714,224012735,321691459,456420262,818663207
"tomlkit",372658869,15218283,44873483,139796962,448374292,1215031323
"gitdb",371228084,70702965,216273738,315346976,438857332,814959409
"regex",370920052,116255299,258330733,276582141,408223887,795208201
"joblib",367478338,167222779,325563428,285380018,392039830,667185637
"h11",366144007,49232828,120568660,257459204,363934710,1039524632
"pydantic-core",365158260,0,0,133473,231536421,1594121405
"msal",361378470,26216832,135655514,287361366,468407022,889251616
"anyio",358123031,356548,36399610,173681930,466373105,1113803962
"docker",354009114,123805320,311914322,348820202,396244184,589261541
"tenacity",351111914,47089888,180874047,251497066,361580608,914517963
