"rank","package","pagerank","pagerank_dl","avg_downloads","in_top_list"
"8143","onnxscript","6.297687158404585e-05","2.7486231440228834e-06","1544234","True"
"8144","esp-idf-monitor","6.297687158404585e-05","2.747608585871662e-06","1543664","True"
"8145","types-defusedxml","6.297687158404585e-05","2.7475640877071345e-06","1543639","True"
"8146","chess","6.297687158404585e-05","2.7471974228314305e-06","1543433","True"
"8147","rocketchat-api","6.297687158404585e-05","2.7466634448571036e-06","1543133","True"
"8148","st-annotated-text","6.297687158404585e-05","2.7451647466758258e-06","1542291","True"
"8149","python-jsonschema-objects","6.297687158404585e-05","2.7416173529997136e-06","1540298","True"
"8150","imscore","6.297687158404585e-05","2.7407629882407904e-06","1539818","True"
"8151","mplhep","6.297687158404585e-05","2.740654412719344e-06","1539757","True"
"8152","swapper","6.297687158404585e-05","2.740606354701654e-06","1539730","True"
"8153","starrocks","6.297687158404585e-05","2.7404532810156804e-06","1539644","True"
"8154","csv-diff","6.297687158404585e-05","2.740296647476544e-06","1539556","True"
"8155","pyairports","6.297687158404585e-05","2.7368542694687163e-06","1537622","True"
"8156","easing-functions","6.297687158404585e-05","2.7363950484107953e-06","1537364","True"
"8157","ghostscript","6.297687158404585e-05","2.735213177160952e-06","1536700","True"
"8158","ale-py","6.297687158404585e-05","2.7345190057943264e-06","1536310","True"
"8159","mypy-boto3-controlcatalog","6.297687158404585e-05","2.7308203183588218e-06","1534232","True"
"8160","django-loginas","6.297687158404585e-05","2.7272462257839927e-06","1532224","True"
"8161","pilmoji","6.297687158404585e-05","2.7249714796133604e-06","1530946","True"
"8162","django-libsass","6.297687158404585e-05","2.7249661398336166e-06","1530943","True"
"8163","matplotlib-venn","6.297687158404585e-05","2.724738309231237e-06","1530815","True"
"8164","zope-viewlet","6.297687158404585e-05","2.720405967932864e-06","1528381","True"
"8165","luhn","6.297687158404585e-05","2.7183661720709346e-06","1527235","True"
"8166","botframework-connector","6.297687158404585e-05","2.7168211957985487e-06","1526367","True"
"8167","langchainplus-sdk","6.297687158404585e-05","2.715375895414704e-06","1525555","True"
"8168","pyfunceble-dev","6.297687158404585e-05","2.714968292227634e-06","1525326","True"
"8169","layoutparser","6.297687158404585e-05","2.714722662359444e-06","1525188","True"
"8170","aws-cdk-aws-kinesisfirehose","6.297687158404585e-05","2.71355681044883e-06","1524533","True"
"8171","pycstruct","6.297687158404585e-05","2.7132649024895316e-06","1524369","True"
"8172","mergepythonclient","6.297687158404585e-05","2.712771862826569e-06","1524092","True"
"8173","types-aiobotocore-acm","6.297687158404585e-05","2.7106608699013968e-06","1522906","True"
"8174","visualdl","6.297687158404585e-05","2.7084644405003315e-06","1521672","True"
"8175","repoze-who","6.297687158404585e-05","2.7041249794956343e-06","1519234","True"
"8176","spandrel-extra-arches","6.297687158404585e-05","2.7037013569693347e-06","1518996","True"
"8177","aspy-refactor-imports","6.297687158404585e-05","2.7032385760582513e-06","1518736","True"
"8178","logging-formatter-anticrlf","6.297687158404585e-05","2.7028541119167354e-06","1518520","True"
"8179","polars-lts-cpu","6.297687158404585e-05","2.7028291929446003e-06","1518506","True"
"8180","mgzip","6.297687158404585e-05","2.7026867988181133e-06","1518426","True"
"8181","pycapnp","6.297687158404585e-05","2.7025479645447886e-06","1518348","True"
"8182","ipcqueue","6.297687158404585e-05","2.7016793603732167e-06","1517860","True"
"8183","keras2onnx","6.297687158404585e-05","2.7013162553506743e-06","1517656","True"
"8184","mypy-boto3-mailmanager","6.297687158404585e-05","2.7010474864369294e-06","1517505","True"
"8185","zappa","6.297687158404585e-05","2.700009789240154e-06","1516922","True"
"8186","monai","6.297687158404585e-05","2.69993681225033e-06","1516881","True"
"8187","versionfinder","6.297687158404585e-05","2.6986072070942547e-06","1516134","True"
"8188","litestar-htmx","6.297687158404585e-05","2.6986000873879312e-06","1516130","True"
"8189","robotframework-selenium2library","6.297687158404585e-05","2.698395395831106e-06","1516015","True"
"8190","flask-executor","6.297687158404585e-05","2.69737371797356e-06","1515441","True"
"8191","loky","6.297687158404585e-05","2.6962933025388387e-06","1514834","True"
"8192","pyramid-tm","6.297687158404585e-05","2.6958305216277545e-06","1514574","True"
"8193","pycrdt","6.297687158404585e-05","2.695438937779915e-06","1514354","True"
"8194","pytest-grpc","6.297687158404585e-05","2.6953054432863333e-06","1514279","True"
"8195","mypy-boto3-taxsettings","6.297687158404585e-05","2.693886841801205e-06","1513482","True"
"8196","django-jsonfield","6.297687158404585e-05","2.6918345864532076e-06","1512329","True"
"8197","apache-airflow-providers-vertica","6.297687158404585e-05","2.6917438101975724e-06","1512278","True"
"8198","flask-cloudflared","6.297687158404585e-05","2.6910318395651363e-06","1511878","True"
"8199","azure-mgmt-automation","6.297687158404585e-05","2.6903002897403085e-06","1511467","True"
"8200","py-zabbix","6.297687158404585e-05","2.690264691208687e-06","1511447","True"
"8201","voyageai","6.297687158404585e-05","2.690182814585957e-06","1511401","True"
"8202","mypy-boto3-route53profiles","6.297687158404585e-05","2.6892590326903703e-06","1510882","True"
"8203","datadog-checks-base","6.297687158404585e-05","2.6858896316723673e-06","1508989","True"
"8204","flake8-alfred","6.297687158404585e-05","2.6819702333408073e-06","1506787","True"
"8205","jupyterlab-git","6.297687158404585e-05","2.6810856098300057e-06","1506290","True"
"8206","gpxpy","6.297687158404585e-05","2.6803131216938128e-06","1505856","True"
"8207","python-helpscout-v2","6.297687158404585e-05","2.676146313567481e-06","1503515","True"
"8208","pygrib","6.297687158404585e-05","2.675612335593154e-06","1503215","True"
"8209","azureml-fsspec","6.297687158404585e-05","2.673544060905927e-06","1502053","True"
"8210","zope-structuredtext","6.297687158404585e-05","2.6705146258649122e-06","1500351","True"
"8211","git-url-parse","6.297687158404585e-05","2.666532930103014e-06","1498114","True"
"8212","zope","6.297687158404585e-05","2.6648242005851676e-06","1497154","True"
"8213","promptflow-tracing","6.297687158404585e-05","2.6635462132999448e-06","1496436","True"
"8214","artifactory","6.297687158404585e-05","2.6635373136670394e-06","1496431","True"
"8215","jupyterhub-idle-culler","6.297687158404585e-05","2.661410301402637e-06","1495236","True"
"8216","z3c-pt","6.297687158404585e-05","2.6602747082439018e-06","1494598","True"
"8217","django-heroku","6.297687158404585e-05","2.6584129050400815e-06","1493552","True"
"8218","aiohttp-sse-client","6.297687158404585e-05","2.6574855632913342e-06","1493031","True"
"8219","jsonseq","6.297687158404585e-05","2.6526103443857287e-06","1490292","True"
"8220","chainlit","6.297687158404585e-05","2.651711481462278e-06","1489787","True"
"8221","pgi","6.297687158404585e-05","2.6516189252800614e-06","1489735","True"
