"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class"
"pytest-mypy","realpython/pytest-mypy","5810935","3781790","9197173","3650475","6900358","5524880","False","0.00327924","B"
"wrapt","grahamdumpleton/wrapt","1308995152","376232320","744702774","967471139","1840693633","2615875894","True","0.00317962","B"
"pyjwt","jpadilla/pyjwt","1593465211","546822308","1104224424","1400879036","2115489004","2799911283","True","0.00315966","B"
"isodate","gweis/isodate","993618223","396047279","625593269","841741361","1320083804","1784625400","True","0.00292784","B"
"awscli","","2023743595","1095235514","1555891132","2180787119","2245456670","3041347538","True","0.00289462","B"
"oauthlib","oauthlib/oauthlib","1231001916","598591637","983618970","999470595","1452735597","2120592779","True","0.00288739","B"
"proto-plus","googleapis/proto-plus-python","738103791","168465168","350377448","477393072","998062849","1696220416","True","0.00285274","B"
"pywin32","mhammond/pywin32","96072283","27310697","38934914","59591610","123991552","230532642","True","0.00278218","B"
"referencing","python-jsonschema/referencing","656172941","0","2779","271613586","971125862","2038122476","True","0.00272128","B"
"anyio","","984409889","36314465","173387531","462175113","1096866995","3153305342","True","0.00269601","B"
"iniconfig","pytest-dev/iniconfig","1091583981","215784681","409419454","664195716","1496933987","2671586065","True","0.00262227","B"
"mdurl","executablebooks/mdurl","592313100","66586","26535488","242725931","793578645","1898658851","True","0.0025718","B"
"sqlalchemy","","1194988539","385874142","632108418","1008091488","1620604189","2328264459","True","0.00253419","B"
"h11","python-hyper/h11","995948721","120523671","257198499","361266016","1025597250","3215158169","True","0.00247943","B"
"frozenlist","aio-libs/frozenlist","1002532321","60801113","507238490","784987573","1340852842","2318781585","True","0.00246904","B"
"requests-oauthlib","requests/requests-oauthlib","1259441144","578064990","901563901","906441446","1507266017","2403869364","True","0.00246397","B"
"async-timeout","aio-libs/async-timeout","937824072","337954332","593622456","921594690","1294960997","1540987885","True","0.00241331","B"
"greenlet","python-greenlet/greenlet","1032820259","268119142","515663578","806165917","1366714368","2207438292","True","0.0023286","B"
"scipy","scipy/scipy","1018108220","353951981","507576189","703737203","1335961801","2189313927","True","0.002315","B"
"docutils","","1202976876","686133389","819773620","987074989","1546114004","1975788376","True","0.00230806","B"
"zstandard","indygreg/python-zstandard","236351641","7309044","20756949","49982862","159000868","944708481","True","0.00229872","B"
"et-xmlfile","","857020935","171345434","403177230","674309157","1084918763","1951354089","True","0.00229158","B"
"werkzeug","pallets/werkzeug","1175233602","493169280","1019802133","1124661808","1414616512","1823918279","True","0.00228473","B"
"more-itertools","more-itertools/more-itertools","799838394","159415790","248429427","527445696","1186246742","1877654313","True","0.00227833","B"
"jsonschema","python-jsonschema/jsonschema","1289216374","359320743","518743252","1015067554","1840323610","2712626712","True","0.0022581","B"
"rpds-py","crate-py/rpds","687232773","0","0","281175265","1023426899","2131561701","True","0.00223342","B"
"pydantic-core","pydantic/pydantic-core","1098685620","0","28810","226504338","1570741646","3696153304","True","0.0022074","B"
"soupsieve","facelessuser/soupsieve","996642816","242588440","549333849","810952303","1352048056","2028291432","True","0.00218689","B"
"opentelemetry-api","open-telemetry/opentelemetry-python","453500961","7548082","35745458","123771009","597453010","1502987244","True","0.00217437","B"
"rich","textualize/rich","882119609","23653535","123357512","332318309","1535438755","2395829935","True","0.00215787","B"
"yarl","aio-libs/yarl","1241134165","434103208","912786823","894867902","1449948010","2513964884","True","0.00215156","B"
"cachetools","tkem/cachetools","1469245308","489361468","791694685","1048327478","1801631610","3215211300","True","0.00214771","B"
"pyarrow","apache/arrow","1208951834","349835231","701403984","887257670","1612444720","2493817566","True","0.00208899","B"
"markdown-it-py","executablebooks/markdown-it-py","639556068","3260462","31508027","305572144","875458178","1981981530","True","0.00202817","B"
"flask","pallets/flask","1008855329","449951338","901995838","987657149","1134767744","1569904577","True","0.0020196","B"
"pillow","python-pillow/pillow","1010238435","377564529","531922681","728821348","1276562061","2136321558","True","0.00200913","B"
"traitlets","ipython/traitlets","427918078","207615006","217589462","324808653","548469872","841107399","True","0.00198639","B"
"asn1crypto","wbond/asn1crypto","721031611","188180937","425459306","625325997","1003906430","1362285386","True","0.00197605","B"
"mypy","python/mypy","308213675","79689621","144670001","192372959","374287077","750048719","True","0.00194518","B"
"wcwidth","jquast/wcwidth","617489826","194991153","287575166","470432860","818736680","1315713272","True","0.00192751","B"
"virtualenv","pypa/virtualenv","1201769027","230320005","381470866","871274628","1686242100","2839537535","True","0.00191878","B"
"google-crc32c","googleapis/python-crc32c","532726705","199850246","272249073","347176837","669819764","1174537603","True","0.00191148","B"
"annotated-types","annotated-types/annotated-types","895001006","0","13482","188124967","1236386759","3050479822","True","0.00190882","B"
"httpx","encode/httpx","822442109","84023907","114478868","244422221","985251358","2684034191","True","0.00190191","B"
"tqdm","tqdm/tqdm","1023857821","292573472","490757224","764646951","1257695871","2313615586","True","0.00189684","B"
"ptyprocess","pexpect/ptyprocess","648642493","252031584","295457542","415652775","911626034","1368444532","True","0.00189432","B"
"psutil","giampaolo/psutil","1155983200","349293522","658381833","893179663","1513605557","2365455426","True","0.00187158","B"
"smmap","gitpython-developers/smmap","616318441","223862282","320367318","454201132","810231942","1272929529","True","0.00181965","B"
"decorator","","929564938","434198117","575645493","742352236","1249253367","1646375479","True","0.00181939","B"
"sniffio","python-trio/sniffio","972620622","104601531","259884843","462935735","1105747458","2929933541","True","0.00181347","B"
"azure-nspkg","","116648104","83708361","118769412","122986229","136343696","121432823","True","0.0018084","B"
"beautifulsoup4","","981067694","245054977","537109081","759966649","1306677273","2056530491","True","0.00179216","B"
"lxml","lxml/lxml","972178914","345890930","612327873","858622652","1129483407","1914569708","True","0.00176995","B"
"pathspec","cpburnz/python-pathspec","832709670","165386521","278484844","478638950","1067291632","2173746405","True","0.00176623","B"
"msal","azuread/microsoft-authentication-library-for-python","623378946","135616334","287291241","454113120","853556976","1386317058","True","0.00176372","B"
"importlib-resources","python/importlib_resources","675177933","174910988","483420839","696138608","999831319","1021587912","True","0.00169423","B"
"aiosignal","aio-libs/aiosignal","952219184","53791495","470176634","707055981","1264575660","2265496151","True","0.00168222","B"
"mypy-extensions","python/mypy_extensions","741343693","239347513","395032311","499526868","942790620","1630021151","True","0.00163047","B"
"pyopenssl","pyca/pyopenssl","941519618","300738700","521774212","758629421","1222934462","1903521297","True","0.00162079","B"
"propcache","aio-libs/propcache","483076694","0","0","0","271237442","2144146028","True","0.00162069","B"
"distlib","pypa/distlib","862617888","201225430","341705962","602007000","1150746598","2017404449","True","0.00155992","B"
"requests-toolbelt","requests/toolbelt","876371671","192428131","360867044","563407932","1271124811","1994030435","True","0.00151733","B"
"httpcore","encode/httpcore","792186638","83136433","114999077","250906085","930382946","2581508651","True","0.0014343","B"
"jsonschema-specifications","python-jsonschema/jsonschema-specifications","657345862","0","735","268354656","965144156","2053229765","True","0.00143379","B"
"azure-common","","418332693","281357742","392693495","399634648","449387738","568589842","True","0.00141416","B"
"typing-inspection","","388892690","0","0","0","0","1944463449","True","0.00140796","B"
"tomlkit","","795943981","44827706","139504015","445176705","1205621487","2144589990","True","0.00140626","B"
"itsdangerous","pallets/itsdangerous","769159230","446430321","677617517","610462257","873445160","1237840893","True","0.00139467","B"
"google-cloud-core","googleapis/python-cloud-core","745637193","389439078","525792949","570846683","855673247","1386434007","True","0.0013894","B"
"webencodings","","416559920","249932298","272371366","316264670","444666433","799564831","True","0.00138846","B"
"chardet","chardet/chardet","903669093","1052911763","720456960","657276653","848070471","1239629616","True","0.00138425","B"
"pynacl","pyca/pynacl","753356334","213404842","424183593","522801624","1024002731","1582388880","True","0.00135945","B"
"coverage","coveragepy/coveragepy","778493181","216618075","332674101","720940221","1094014967","1528218542","True","0.00134838","B"
"msrest","azure/msrest-for-python","467788777","358681186","514779599","417592505","456762271","591128322","True","0.00134078","B"
"httplib2","httplib2/httplib2","519161834","255134615","402482554","382398343","562784867","993008790","True","0.00132146","B"
"azure-mgmt-core","","162246738","62317078","98297256","128318307","217349122","304951929","True","0.00131754","B"
"msgpack","msgpack/msgpack-python","696415711","163184653","257033860","459246406","948836570","1653777065","True","0.00130757","B"
"websocket-client","websocket-client/websocket-client","811263367","384015132","485761112","653738574","957103713","1575698305","True","0.0012904","B"
"google-cloud-storage","googleapis/python-storage","846144111","368800701","532484652","592619411","958944578","1777871214","True","0.001288","B"
"regex","mrabarnett/mrab-regex","642621876","256432517","274402995","398691719","775776899","1507805251","True","0.00128016","B"
"python-dotenv","theskumar/python-dotenv","756533399","109204168","213066950","359467534","886573211","2214355133","True","0.00126551","B"
"openpyxl","","862634499","174465932","401877168","672904071","1102557611","1961367711","True","0.00125407","B"
"acme","","658424413","3391053","3782246","5549058","5715492","3273684217","True","0.00123094","B"
"cloudflare","cloudflare/cloudflare-python","670028728","832547","1600032","2871962","16211186","3328627913","True","0.00122401","B"
"deprecated","laurent-laporte-pro/deprecated","718665817","96327516","327610163","519478867","1123584309","1526328229","True","0.0012095","B"
"paramiko","paramiko/paramiko","589663134","197123591","343455102","487326434","747639949","1172770592","True","0.00120117","B"
"dill","uqfoundation/dill","542967206","108848121","220450103","361735251","825853221","1197949334","True","0.0011991","B"
"opentelemetry-semantic-conventions","open-telemetry/opentelemetry-python","416330130","4284178","20491658","83750237","418168322","1554956257","True","0.00119527","B"
"py4j","","508348776","171898191","326665184","381192480","676551176","985436847","True","0.00119069","B"
"wmi","","5484189","1499104","1556421","3336830","8905814","12122776","False","0.00118001","B"
"joblib","joblib/joblib","564291055","325413658","285144911","387039841","657124679","1166732188","True","0.00117075","B"
"google-resumable-media","googleapis/google-resumable-media-python","659974576","279961610","463312974","504436529","814896492","1237265273","True","0.00116356","B"
"pytest-perf","","55436","4457","46479","29117","113589","83539","False","0.00114031","B"
"jaraco-develop","","44462","3766","4991","16580","118372","78602","False","0.00114029","B"
"opentelemetry-proto","open-telemetry/opentelemetry-python","364816688","3746747","15202843","72078754","326596430","1406458666","True","0.00112564","B"
"ninja","scikit-build/ninja-python-distributions","86842882","6943822","21410079","44374993","126019847","235465667","True","0.00111145","B"
"tenacity","jd/tenacity","649281138","180725101","250988249","354899182","895965763","1563827393","True","0.00110384","B"
"jeepney","","474476790","126057592","211017779","266847708","631106252","1137354621","True","0.00110158","B"
"sqlparse","andialbrecht/sqlparse","522460507","211570405","309939230","408696180","705913881","976182840","True","0.00110157","B"
"matplotlib","matplotlib/matplotlib","613910572","287166439","338862109","440971559","802194547","1200358205","True","0.00109321","B"
"grpcio-tools","","727365700","51261351","64489579","352973795","724464899","2443638877","True","0.00109305","B"
"gitdb","gitpython-developers/gitdb","605505450","216144300","314022239","436613911","806355752","1254391047","True","0.00109029","B"
"parso","davidhalter/parso","378931175","197688267","188764193","236390218","460059277","811753921","True","0.00108229","B"
"bcrypt","pyca/bcrypt","627989864","199464941","351897306","467285452","811572823","1309728800","True","0.00107911","B"
"typing","python/typing","100943542","95396938","112326950","102870489","108712773","85410559","True","0.00107795","B"
"scikit-learn","scikit-learn/scikit-learn","676873250","271260844","385292894","471929921","832595634","1423286956","True","0.00106821","B"
"snowflake-connector-python","snowflakedb/snowflake-connector-python","594973772","105105005","229934007","371634402","724566085","1543629359","True","0.00104651","B"
"opentelemetry-sdk","","491571614","7335759","36259767","107288008","736750179","1570224357","True","0.00104279","B"
"asgiref","django/asgiref","365761469","65966285","128808182","185002382","647177754","801852741","True","0.00104077","B"
"sortedcontainers","","588723102","149167591","192083513","279736588","829418729","1493209091","True","0.00103752","B"
