"package","dependency","type"
"2captcha-python","requests","declared"
"a2wsgi","asgiref","declared"
"a2wsgi","black","declared"
"a2wsgi","flake8","declared"
"a2wsgi","httpx","declared"
"a2wsgi","mypy","declared"
"a2wsgi","pytest","declared"
"a2wsgi","pytest-asyncio","declared"
"a2wsgi","pytest-cov","declared"
"about-time","ipython","declared"
"about-time","mock","declared"
"about-time","nox","declared"
"about-time","pdbpp","declared"
"about-time","pytest","declared"
"about-time","pytest-cov","declared"
"about-time","pytest-sugar","declared"
"about-time","twine","declared"
"about-time","wheel","declared"
"accelerate","accelerate","declared"
"accelerate","datasets","declared"
"accelerate","evaluate","declared"
"accelerate","numpy","declared"
"accelerate","pippy","declared"
"accesscontrol","acquisition","declared"
"accesscontrol","authencoding","declared"
"accesscontrol","btrees","declared"
"accesscontrol","datetime","declared"
"accesscontrol","extensionclass","declared"
"accesscontrol","funcsigs","declared"
"accesscontrol","glibc","discovered"
"accesscontrol","persistence","declared"
"accesscontrol","restrictedpython","declared"
"accesscontrol","six","declared"
"accesscontrol","transaction","declared"
"accesscontrol","zexceptions","declared"
"accesscontrol","zope-interface","declared"
"accessible-pygments","pygments","declared"
"acquisition","glibc","discovered"
"adagio","autopep8","declared"
"adagio","flake8","declared"
"adagio","mypy","declared"
"adagio","pre-commit","declared"
"adagio","pylint","declared"
"adagio","pytest","declared"
"adagio","pytest-cov","declared"
"adagio","pytest-mock","declared"
"adagio","sphinx","declared"
"adagio","sphinx-rtd-theme","declared"
"adagio","triad","declared"
"adagio","twine","declared"
"adagio","wheel","declared"
"adal","cryptography","declared"
"adal","httpretty","declared"
"adal","pyjwt","declared"
"adal","pylint","declared"
"adal","python-dateutil","declared"
"adal","requests","declared"
"adjusttext","ipykernel","declared"
"adjusttext","matplotlib","declared"
"adjusttext","nbsphinx","declared"
"adjusttext","numpy","declared"
"adjusttext","scipy","declared"
"adjusttext","sphinx","declared"
"adtk","jupyter","declared"
"adtk","nbsphinx","declared"
"adtk","python-dateutil","declared"
"adtk","sphinx","declared"
"adtk","sphinx-rtd-theme","declared"
"agate","babel","declared"
"agate","docutils","declared"
"agate","furo","declared"
"agate","isodate","declared"
"agate","leather","declared"
"agate","parsedatetime","declared"
"agate","python-slugify","declared"
"agate","pytimeparse","declared"
"agate","six","declared"
"agate","sphinx","declared"
"aggdraw","freetype","discovered"
"aggdraw","gcc","discovered"
"aggdraw","glibc","discovered"
"aggdraw","libpng","discovered"
"aggdraw","libstdcxx","discovered"
"aggdraw","numpy","declared"
"aggdraw","pillow","declared"
"aggdraw","pytest","declared"
