"package","github_repo"
"libdicom","ImagingDataCommons/libdicom"
"libdnet","ofalk/libdnet"
"libebur128","jiixyj/libebur128"
"libepoxy","anholt/libepoxy"
"libevent","libevent/libevent"
"libexif","libexif/libexif"
"libfastjson","rsyslog/libfastjson"
"libffi","libffi/libffi"
"libfido2","Yubico/libfido2"
"libfm","lxde/libfm"
"libfreeaptx","iamthehorker/libfreeaptx"
"libfuse","libfuse/libfuse"
"libfyaml","pantoniou/libfyaml"
"libgeotiff","OSGeo/libgeotiff"
"libgit2","libgit2/libgit2"
"libgphoto2","gphoto/libgphoto2"
"libgusb","hughsie/libgusb"
"libharu","libharu/libharu"
"libheif","strukturag/libheif"
"libical","libical/libical"
"libimagequant","ImageOptim/libimagequant"
"libimobiledevice","libimobiledevice/libimobiledevice"
"libimobiledevice-glue","libimobiledevice/libimobiledevice-glue"
"libinstpatch","swami/libinstpatch"
"libiptcdata","ianw/libiptcdata"
"libiscsi","sahlberg/libiscsi"
"libjcat","hughsie/libjcat"
"libjpeg-turbo","libjpeg-turbo/libjpeg-turbo"
"libjxl","libjxl/libjxl"
"libkml","libkml/libkml"
"liblc3","google/liblc3"
"liblockfile","miquels/liblockfile"
"liblqr","carlobaldassi/liblqr"
"liblrdf","swh/LRDF"
"libltc","x42/libltc"
"libmaxminddb","maxmind/libmaxminddb"
"libmongocrypt","mongodb/libmongocrypt"
"libmypaint","mypaint/libmypaint"
"libmysofa","hoene/libmysofa"
"libnet","libnet/libnet"
"libnfs","sahlberg/libnfs"
"libnl","thom311/libnl"
"libnsl","thkukuk/libnsl"
"libnvme","linux-nvme/libnvme"
"libofa","tanob/libofa"
"libpaper","rrthomas/libpaper"
"libphonenumber","googlei18n/libphonenumber"
"libplist","libimobiledevice/libplist"
"libportal","flatpak/libportal"
"libproxy","libproxy/libproxy"
"libpsl","rockdaboot/libpsl"
"libpwquality","libpwquality/libpwquality"
"libraqm","HOST-Oman/libraqm"
"librda","ArcticaProject/librda"
"librdkafka","confluentinc/librdkafka"
"libsamplerate","libsndfile/libsamplerate"
"libseccomp","seccomp/libseccomp"
"libsigc++","libsigcplusplus/libsigcplusplus"
"libsixel","libsixel/libsixel"
"libsndfile","libsndfile/libsndfile"
"libspatialaudio","videolabs/libspatialaudio"
"libspiro","fontforge/libspiro"
"libspng","randy408/libspng"
"libsrtp","cisco/libsrtp"
"libstaroffice","fosnola/libstaroffice"
"libtatsu","libimobiledevice/libtatsu"
"libtlsrpt","sys4/libtlsrpt"
"libtommath","libtom/libtommath"
"libudev0-shim","archlinux/libudev0-shim"
"libultrahdr","google/libultrahdr"
"libunibreak","adah1972/libunibreak"
"libunwind","libunwind/libunwind"
"liburing","axboe/liburing"
"libusb","libusb/libusb"
"libusbmuxd","libimobiledevice/libusbmuxd"
"libusrsctp","sctplab/usrsctp"
"libuv","libuv/libuv"
"libva","intel/libva"
"libvdpau-va-gl","i-rinat/libvdpau-va-gl"
"libverto","latchset/libverto"
"libvpl","intel/libvpl"
"libvpx","webmproject/libvpx"
"libx86emu","wfeldt/libx86emu"
"libxcrypt","besser82/libxcrypt"
"libxkbcommon","xkbcommon/libxkbcommon"
"libxml++","libxmlplusplus/libxmlplusplus"
"libxmlb","hughsie/libxmlb"
"libyaml","yaml/libyaml"
"litehtml","litehtml/litehtml"
"lksctp-tools","sctp/lksctp-tools"
"llama.cpp","ggml-org/llama"
"llhttp","nodejs/llhttp"
"llvm","llvm/llvm-project"
"lm-sensors","hramrach/lm-sensors"
"logrotate","logrotate/logrotate"
"lshw","lyonel/lshw"
"lsof","lsof-org/lsof"
"lua:expat","lunarmodules/luaexpat"
"luajit","LuaJIT/LuaJIT"
"luajit-misnamed","openresty/luajit2"
"luajit-openresty","openresty/luajit2"
"luv","luvit/luv"
"lz4","lz4/lz4"
"mas-mac-app-store","mas-cli/mas"
"mbedtls","Mbed-TLS/mbedtls"
"md4c","mity/md4c"
"mdadm","md-raid-utilities/mdadm"
"meanwhile","obriencj/meanwhile"
"meson","mesonbuild/meson"
"mint-swift-package-manager","yonaskolb/Mint"
"molten-vk","KhronosGroup/MoltenVK"
"mongo-c-driver","mongodb/mongo-c-driver"
"mozjpeg","mozilla/mozjpeg"
"mpv","mpv-player/mpv"
"mscompress","stapelberg/mscompress"
"msgpack","msgpack/msgpack-c"
"msgpack-c","msgpack/msgpack-c"
"mvfst","facebook/mvfst"
"mysql","mysql/mysql-server"
"ndctl","pmem/ndctl"
"nemo","linuxmint/nemo"
"neofetch","dylanaraps/neofetch"
"neovim","neovim/neovim"
"netcdf","Unidata/netcdf-c"
"nghttp2","nghttp2/nghttp2"
"nghttp3","ngtcp2/nghttp3"
"nginx:http-auth-pam","sto/ngx_http_auth_pam_module"
"nginx:http-cache-purge","FRiCKLE/ngx_cache_purge"
