"package","debian_avg_downloads","debian_share","homebrew_avg_downloads","homebrew_share"
"libxfont2","109220","0.0958","5693","0.0028"
"gstreamer:libav","109191","0.0958","0",""
"libmpeg2","109086","0.0957","0",""
"liblqr","108894","0.0956","159556","0.0799"
"gstreamer-orc","108565","0.0953","69087","0.0346"
"ruby-build","0","","846438","0.4237"
"libmbim","108481","0.0952","0",""
"perl:algorithm-diff-xs","108476","0.0952","0",""
"xdrv:fbdev","108320","0.0951","0",""
"startup-notification","108281","0.0950","0",""
"postgresql","86385","0.0758","836096","0.4185"
"xdrv:vesa","107979","0.0948","0",""
"sbc","107970","0.0948","0",""
"libmodplug","107861","0.0947","0",""
"libspectre","107808","0.0946","0",""
"ruby","7558","0.0066","802348","0.4016"
"xdrv:ati","107786","0.0946","0",""
"libxvmc","107634","0.0945","0",""
"speexdsp","107619","0.0944","20193","0.0101"
"z3","107520","0.0944","371464","0.1859"
"xdrv:wacom","106981","0.0939","0",""
"alsa-utils","106942","0.0939","0",""
"xdrv:vmware","106843","0.0938","0",""
"vo-amrwbenc","106826","0.0937","0",""
"nas","106565","0.0935","0",""
"upower","106429","0.0934","0",""
"apache","106258","0.0932","131089","0.0656"
"libopenmpt","106230","0.0932","0",""
"debian:x11-apps","106204","0.0932","0",""
"vmaf","0","","782731","0.3918"
"libqmi","105926","0.0930","0",""
"raptor-rdf","105862","0.0929","0",""
"mhash","105718","0.0928","0",""
"gstreamer:bad","105664","0.0927","0",""
"libexttextcat","105645","0.0927","0",""
"vo-aacenc","105631","0.0927","0",""
"rtkit","105597","0.0927","0",""
"vte","105568","0.0926","33290","0.0167"
"guile","0","","759055","0.3799"
"xdrv:intel","105565","0.0926","0",""
"networkmanager","105537","0.0926","0",""
"video4linux","105406","0.0925","0",""
"xcb-util-renderutil","105308","0.0924","5458","0.0027"
"xcb-util-keysyms","105286","0.0924","5337","0.0027"
"libsigsegv","105208","0.0923","6669","0.0033"
"x11-session-utils","105189","0.0923","0",""
"debian:python2.7-minimal","105106","0.0922","0",""
"libavif","16241","0.0143","720852","0.3608"
"libxres","105077","0.0922","0",""
"debian:python2.7","104938","0.0921","0",""
"gcr","104803","0.0920","0",""
"mariadb","104704","0.0919","84311","0.0422"
"xcb-util-image","104635","0.0918","5620","0.0028"
"dbus-glib","104460","0.0917","0",""
"libteam","104369","0.0916","0",""
"xcb-util-wm","104362","0.0916","5789","0.0029"
"autoconf","0","","707705","0.3542"
"libndp","104346","0.0916","0",""
"ocl-icd","104256","0.0915","0",""
"usbmuxd","104216","0.0915","0",""
"libao","104010","0.0913","0",""
"libkate","103108","0.0905","0",""
"soundtouch","103069","0.0905","0",""
"wildmidi","102759","0.0902","0",""
"librevenge","102723","0.0901","0",""
"hunspell","102504","0.0900","109510","0.0548"
"mythes","102304","0.0898","0",""
"sndio","102183","0.0897","0",""
"libreoffice","102175","0.0897","0",""
"libdv","102142","0.0896","0",""
"libnice","102137","0.0896","25706","0.0129"
"oniguruma","79218","0.0695","696339","0.3485"
"debian:libgcc1","101971","0.0895","0",""
"alsa-ucm-conf","101824","0.0894","0",""
"alsa-topology-conf","101816","0.0894","0",""
"gstreamer:ugly","101614","0.0892","0",""
"php","0","","694800","0.3478"
"libwpd","101586","0.0891","0",""
"libwpg","101567","0.0891","0",""
"liblangtag","101519","0.0891","0",""
"libaio","101275","0.0889","0",""
"jasper","0","","691511","0.3461"
"cups-filters","101231","0.0888","0",""
"libeot","101170","0.0888","0",""
"libmtp","101151","0.0888","0",""
"debian:libpython2.7-minimal","101125","0.0887","0",""
"libwnck","101117","0.0887","0",""
"debian:libpython2.7-stdlib","101033","0.0887","0",""
"mtdev","100944","0.0886","0",""
"volume-key","100651","0.0883","0",""
"llvm","40600","0.0356","686364","0.3435"
"gnome-keyring","100575","0.0883","0",""
"speech-dispatcher","100476","0.0882","0",""
"libodfgen","100447","0.0882","0",""
"libffi","94902","0.0833","677552","0.3391"
"libgphoto2","100386","0.0881","14679","0.0073"
"libvisio","100341","0.0881","0",""
"libcdr","100331","0.0880","0",""
"libsrtp","100238","0.0880","0",""
"boost","37013","0.0325","676969","0.3388"
"libieee1284","100055","0.0878","0",""
"libetonyek","99924","0.0877","0",""
"libabw","99863","0.0876","0",""
"libe-book","99850","0.0876","0",""
"norm","99833","0.0876","0",""
"woff2","99629","0.0874","6911","0.0035"
"libmwaw","99460","0.0873","0",""
"spandsp","99328","0.0872","0",""
"p7zip","99089","0.0870","85932","0.0430"
"libsidplay1","99069","0.0869","0",""
"graphene","98973","0.0869","39644","0.0198"
"pkgconf","22205","0.0195","612084","0.3064"
"libfreehand","98801","0.0867","0",""
"libmspub","98799","0.0867","0",""
"gvfs","97940","0.0860","0",""
"libwps","97567","0.0856","0",""
"gexiv2","97392","0.0855","0",""
"sonic-speech-rate-library","97366","0.0854","0",""
"python:pycups","97101","0.0852","0",""
"rabbitmq-c","97039","0.0852","0",""
"debian:libgdk-pixbuf2.0-0","96952","0.0851","0",""
"geoip","96910","0.0850","0",""
"xmlsec","96838","0.0850","38223","0.0191"
"libpagemaker","96516","0.0847","0",""
"dotconf","95876","0.0841","0",""
"freetds","8100","0.0071","594619","0.2976"
"plymouth","95856","0.0841","0",""
"texlive","95765","0.0840","15439","0.0077"
"brltty","95405","0.0837","0",""
"mbedtls","15545","0.0136","591402","0.2960"
"libdbusmenu","93738","0.0823","0",""
"libudfread","93602","0.0821","125729","0.0629"
"pcaudiolib","93229","0.0818","0",""
"bsdmainutils","93191","0.0818","0",""
"espeak","93087","0.0817","0",""
"libmysofa","92918","0.0815","0",""
"libnumbertext","92884","0.0815","0",""
"mysql","0","","578865","0.2897"
"libstaroffice","92234","0.0809","0",""
"zbar","92213","0.0809","17439","0.0087"
"libepubgen","92047","0.0808","0",""
"alsa-plugins","91419","0.0802","0",""
"libzmf","91109","0.0800","0",""
"libqxp","91099","0.0799","0",""
"jemalloc","90595","0.0795","150134","0.0751"
"ngtcp2","18249","0.0160","567026","0.2838"
"cairomm","90398","0.0793","0",""
"pangomm","90339","0.0793","0",""
"atkmm","90333","0.0793","0",""
"leptonica","3515","0.0031","565886","0.2832"
"redland","90075","0.0790","0",""
"zip","90071","0.0790","61097","0.0306"
"hdparm","89922","0.0789","0",""
"rasqal","89805","0.0788","0",""
"pocketsphinx","89508","0.0786","0",""
"libdc1394","88950","0.0781","0",""
"debian:imagemagick-6-common","88869","0.0780","0",""
"mjpegtools","88666","0.0778","0",""
"libxklavier","88343","0.0775","0",""
"libwmf","87952","0.0772","0",""
"powermgmt-base","87867","0.0771","0",""
"graphviz","55652","0.0488","546439","0.2735"
"distro-info-unclassified","87697","0.0770","0",""
"xcb-util","87499","0.0768","6058","0.0030"
"accountsservice","87490","0.0768","0",""
"lerc","86936","0.0763","17873","0.0089"
"boehm-gc","85435","0.0750","541194","0.2709"
"libayatana-indicator","85944","0.0754","0",""
"libgtop","85904","0.0754","0",""
"librist","56340","0.0494","538033","0.2693"
"ayatana-ido","85873","0.0754","0",""
"gawk","84634","0.0743","75556","0.0378"
"zenity","84367","0.0740","0",""
"yelp","84315","0.0740","0",""
"debian:libflac8","84051","0.0738","0",""
"gnome-online-accounts","84000","0.0737","0",""
"libnma","83939","0.0737","0",""
"debian:libgs9-common","83760","0.0735","0",""
"libayatana-appindicator","83650","0.0734","0",""
"libinstpatch","82895","0.0727","0",""
"pipewire","82813","0.0727","0",""
"libgdata","82618","0.0725","0",""
"debian:libiptc0","82193","0.0721","0",""
"xterm","82139","0.0721","0",""
"cracklib","82104","0.0721","0",""
"libsepol","81951","0.0719","0",""
"debian:libgs9","81930","0.0719","0",""
"libbpf","81645","0.0716","0",""
"libltc","81614","0.0716","0",""
"synaptic","81022","0.0711","0",""
"liblouis","80674","0.0708","0",""
"ibus","80652","0.0708","0",""
"openpgm","80489","0.0706","0",""
"debian:libmagickcore-6.q16-6","80473","0.0706","0",""
"libgxps","80295","0.0705","0",""
"jq","65417","0.0574","517103","0.2588"
"debian:libmagickwand-6.q16-6","80161","0.0703","0",""
"gspell","80084","0.0703","25298","0.0127"
"qrencode","80049","0.0702","21154","0.0106"
"dav1d","18213","0.0160","516721","0.2586"
"openni2","79861","0.0701","0",""
"libpwquality","79860","0.0701","0",""
"libcdio-paranoia","79470","0.0697","0",""
"qt","79428","0.0697","324718","0.1625"
"lirc","79245","0.0695","0",""
"debian:libprocps8","78874","0.0692","0",""
"tcltk","0","","504348","0.2524"
"debian:perl-modules-5.36","78755","0.0691","0",""
"debian:libperl5.36","78716","0.0691","0",""
"jxrlib-4creators","78684","0.0691","0",""
"debian:python-minimal","78531","0.0689","0",""
"x265","16881","0.0148","495571","0.2480"
"debian:python","78411","0.0688","0",""
"enchant","78344","0.0688","27758","0.0139"
"perl:glib-object-introspection","78120","0.0686","0",""
"perl:cairo-gobject","78084","0.0685","0",""
"tcl-lang","77576","0.0681","0",""
"debian:librest-0.7-0","77201","0.0678","0",""
"network-manager-applet","76622","0.0672","0",""
"netpbm","76472","0.0671","457559","0.2290"
"libcdio","75723","0.0665","0",""
"libmanette","75281","0.0661","0",""
"flac","17414","0.0153","490471","0.2455"
"duktape","74478","0.0654","2971","0.0015"
"xkbset","74271","0.0652","0",""
"libpeas","74042","0.0650","5207","0.0026"
"nvm","0","","481434","0.2410"
"libburn","73702","0.0647","0",""
"libisofs","73463","0.0645","0",""
"evince","73177","0.0642","0",""
"folly","0","","474026","0.2373"
"babl","72562","0.0637","0",""
"gimp","72509","0.0636","0",""
"libmad","72452","0.0636","11598","0.0058"
"srt","54705","0.0480","464860","0.2327"
"sdl12-compat","72353","0.0635","15111","0.0076"
"libdvdread","72197","0.0634","1723","0.0009"
"libimagequant","71649","0.0629","90806","0.0454"
"debian:libmagickcore-6.q16-6-extra","71299","0.0626","0",""
"debian:dnsutils","71271","0.0625","0",""
"clutter","70540","0.0619","0",""
"libgee","70374","0.0618","0",""
"fizz","0","","455848","0.2282"
"libical","69974","0.0614","0",""
"debian:perl-modules-5.32","69687","0.0612","0",""
"cogl","69649","0.0611","0",""
"fbthrift","0","","453755","0.2271"
"debian:libperl5.32","69593","0.0611","0",""
"tk","69434","0.0609","0",""
"debian:libavutil56","69325","0.0608","0",""
"debian:libswresample3","69260","0.0608","0",""
"libmng","69020","0.0606","89572","0.0448"
"notification-daemon","68799","0.0604","0",""
"clutter-gtk","68703","0.0603","0",""
"totem-pl-parser","68166","0.0598","0",""
"fb303","0","","452539","0.2265"
"debian:libexiv2-27","68129","0.0598","0",""
"libgsf","68111","0.0598","25183","0.0126"
"liboauth","68092","0.0598","0",""
"abseil-cpp","14320","0.0126","448307","0.2244"
"libmms","67980","0.0597","2855","0.0014"
"gnome-disk-utility","67940","0.0596","0",""
"libhandy","67737","0.0594","6897","0.0035"
"debian:libavcodec58","67615","0.0593","0",""
"wangle","0","","440946","0.2207"
"double-conversion","66755","0.0586","286751","0.1435"
"gsl","66714","0.0585","21253","0.0106"
"exempi","66412","0.0583","0",""
"osinfo-db","66295","0.0582","0",""
"python:numpy","0","","440092","0.2203"
"debian:libgimp2.0","66143","0.0580","0",""
"socat","65828","0.0578","47484","0.0238"
"debian:imagemagick-6.q16","65493","0.0575","0",""
"libosinfo","65340","0.0573","0",""
"usrmerge","65284","0.0573","0",""
"debian:libncurses5","65234","0.0572","0",""
"redis","9279","0.0081","430610","0.2155"
"libyuv","64975","0.0570","0",""
"libgav1","64879","0.0569","0",""
"libidn","64490","0.0566","293129","0.1467"
"gtksourceview","64403","0.0565","15922","0.0080"
"qemu","24781","0.0217","428950","0.2147"
"gjs","64386","0.0565","0",""
"libsoup","64064","0.0562","74525","0.0373"
"gnome-settings-daemon","63941","0.0561","0",""
"metis","63921","0.0561","30901","0.0155"
"geoclue","63767","0.0560","0",""
"xdg-user-dirs-gtk","63691","0.0559","0",""
"aptitude","63478","0.0557","0",""
"lynx","63152","0.0554","13002","0.0065"
"gnome-terminal","63111","0.0554","0",""
"libxcvt","63070","0.0553","0",""
"whois","62901","0.0552","0",""
"libvpx","17182","0.0151","418166","0.2093"
"apmod:dnssd","62782","0.0551","0",""
"libmediaart","62773","0.0551","0",""
"file-roller","62629","0.0550","0",""
"libssh","58995","0.0518","405225","0.2028"
"gnome-control-center","62535","0.0549","0",""
"md4c","62393","0.0548","80766","0.0404"
"debian:libavformat58","62380","0.0547","0",""
"wireless-tools","62225","0.0546","0",""
"libiptcdata","62066","0.0545","0",""
"gnome-user-share","61916","0.0543","0",""
"libftdi","61650","0.0541","12942","0.0065"
"liblouisutdml","61622","0.0541","0",""
"svt-av1","20428","0.0179","402269","0.2013"
"exim","61569","0.0540","0",""
"ethtool","61417","0.0539","0",""
"debian:libswscale5","61279","0.0538","0",""
"gssdp","61171","0.0537","0",""
"rust","417","0.0004","402215","0.2013"
"gupnp","61167","0.0537","0",""
"grilo","61000","0.0535","0",""
"jigit","60991","0.0535","0",""
"neovim","0","","399934","0.2002"
"libgnomekbd","60799","0.0534","0",""
"totem","60741","0.0533","0",""
"transmission","60588","0.0532","0",""
"libcddb","60542","0.0531","0",""
"frei0r","0","","398792","0.1996"
"libphonenumber","60529","0.0531","0",""
"mutter","60497","0.0531","0",""
"debian:libpostproc55","60251","0.0529","0",""
"cocoapods","0","","396699","0.1986"
"libcue","59885","0.0526","0",""
"debian:libncursesw5","59885","0.0526","0",""
"brasero","59801","0.0525","0",""
"gnome-session","59752","0.0524","0",""
"libzip","8339","0.0073","388245","0.1943"
"nautilus","59519","0.0522","0",""
"grilo-plugins","59513","0.0522","0",""
"debian:libpython2.7","59406","0.0521","0",""
"libgpod","59261","0.0520","0",""
"unixodbc","33623","0.0295","385424","0.1929"
"gnome-autoar","59228","0.0520","0",""
"xnnpack","59152","0.0519","0",""
"vlc","58848","0.0516","0",""
"rpcbind","58826","0.0516","0",""
"debian:libavfilter7","58722","0.0515","0",""
"libjcat","58669","0.0515","0",""
"libsidplay","58578","0.0514","0",""
"flashrom","58153","0.0510","0",""
"debian:libcomerr2","58117","0.0510","0",""
"zimg-image-processing","58033","0.0509","364072","0.1822"
"libofa","57990","0.0509","0",""
"gnome-shell","57907","0.0508","0",""
"gcab","57843","0.0508","0",""
"cjson","57800","0.0507","333518","0.1669"
