"package","debian_avg_downloads","debian_share","homebrew_avg_downloads","homebrew_share"
"tree-sitter","1853","0.0016","301452","0.1509"
"libdbusmenu-qt","41631","0.0365","0",""
"karchive","41353","0.0363","0",""
"perl:sub-identify","41322","0.0363","0",""
"yarn","0","","299921","0.1501"
"perl:variable-magic","41293","0.0362","0",""
"kcrash","41229","0.0362","0",""
"debian:policykit-1-gnome","41150","0.0361","0",""
"debian:libgl1-mesa-glx","41055","0.0360","0",""
"swiftlint","0","","297354","0.1488"
"kcompletion","40990","0.0360","0",""
"libvncserver","40984","0.0360","0",""
"libchamplain","40963","0.0359","0",""
"texinfo","40953","0.0359","53303","0.0267"
"utf8proc","3246","0.0028","296469","0.1484"
"kauth","40857","0.0359","0",""
"pavucontrol","40843","0.0358","0",""
"kcodecs","40830","0.0358","0",""
"ninja","0","","296268","0.1483"
"kconfigwidgets","40826","0.0358","0",""
"keybinder","40767","0.0358","0",""
"perl:class-xsaccessor","40750","0.0358","0",""
"kiconthemes","40630","0.0357","0",""
"libpthread-stubs","40045","0.0351","295982","0.1481"
"wtmpdb","40579","0.0356","0",""
"kdbusaddons","40549","0.0356","0",""
"perl:package-stash-xs","40532","0.0356","0",""
"sysstat","40464","0.0355","0",""
"libcbor","19358","0.0170","295006","0.1477"
"debian:libsnmp30","40445","0.0355","0",""
"knotifications","40430","0.0355","0",""
"kwallet","40333","0.0354","0",""
"solid-hardware-abstraction","40313","0.0354","0",""
"debian:libpolkit-backend-1-0","40307","0.0354","0",""
"kservice","40300","0.0354","0",""
"caribou","40239","0.0353","0",""
"debian:ntp","40138","0.0352","0",""
"sonnet","40134","0.0352","0",""
"fusefs:sshfs","40060","0.0352","0",""
"ktextwidgets","40027","0.0351","0",""
"debian:libmpfr4","39871","0.0350","0",""
"kglobalaccel","39810","0.0349","0",""
"kxmlgui","39789","0.0349","0",""
"kjobwidgets","39767","0.0349","0",""
"kio","39733","0.0349","0",""
"at","39669","0.0348","0",""
"intel-processor-trace","39576","0.0347","0",""
"fmt","8276","0.0073","290346","0.1453"
"debian:libopenexr25","38963","0.0342","0",""
"mutt","38958","0.0342","0",""
"acpid","38795","0.0340","0",""
"appstream-glib","38745","0.0340","0",""
"libunibreak","14867","0.0130","288566","0.1444"
"usbredir","38690","0.0340","0",""
"libvoikko","38624","0.0339","0",""
"libxpresent","38485","0.0338","0",""
"uriparser","38480","0.0338","24201","0.0121"
"neon","38219","0.0335","0",""
"insserv","38158","0.0335","0",""
"kdoctools","37979","0.0333","0",""
"perl:json-xs","37973","0.0333","0",""
"ceph","37945","0.0333","0",""
"libgweather","37918","0.0333","0",""
"debian:mlocate","37835","0.0332","0",""
"qtchooser","37737","0.0331","0",""
"zix","37663","0.0331","0",""
"libjaylink","37660","0.0330","0",""
"libslirp","37654","0.0330","153871","0.0770"
"tokyocabinet","37654","0.0330","0",""
"gtk-vnc","37083","0.0325","0",""
"jpeg","0","","272910","0.1366"
"libcacard","36986","0.0325","0",""
"acpi-support","36882","0.0324","0",""
"debian:python-talloc","36785","0.0323","0",""
"php:composer","0","","272755","0.1365"
"portaudio","36672","0.0322","62688","0.0314"
"debian:libldb1","36640","0.0322","0",""
"xfconf","36612","0.0321","0",""
"libgit2-glib","36476","0.0320","0",""
"debian:libgsasl7","36158","0.0317","0",""
"gnome-bluetooth","36117","0.0317","0",""
"libu2f-host","36110","0.0317","0",""
"attica","36053","0.0316","0",""
"libassuan","18124","0.0159","262411","0.1313"
"kbookmarks","35954","0.0316","0",""
"libxfce4util","35951","0.0315","0",""
"xcb-util-cursor","35744","0.0314","0",""
"libquvi-scripts","35732","0.0314","0",""
"discount","35677","0.0313","0",""
"rygel","35604","0.0312","0",""
"glusterfs","35478","0.0311","0",""
"hplip","35178","0.0309","0",""
"libimobiledevice-glue","35078","0.0308","17482","0.0088"
"qr-code-generator","34943","0.0307","0",""
"potrace","34872","0.0306","6759","0.0034"
"time","34785","0.0305","0",""
"gupnp-igd","34679","0.0304","0",""
"python:pyxattr","34602","0.0304","0",""
"dleyna","34381","0.0302","0",""
"nghttp3","18996","0.0167","247118","0.1237"
"perl:yaml-libyaml","34364","0.0302","0",""
"kirigami","34310","0.0301","0",""
"xerces-c","34086","0.0299","54586","0.0273"
"blt","33915","0.0298","0",""
"cdrkit","33852","0.0297","0",""
"libxfce4ui","33834","0.0297","0",""
"procmail","33695","0.0296","0",""
"phonon-vlc","33509","0.0294","0",""
"kparts","33437","0.0293","0",""
"kpackage","33032","0.0290","0",""
"telnet-apple","0","","239214","0.1197"
"phonon","32955","0.0289","0",""
"debian:libodbc1","32865","0.0288","0",""
"kidletime","32805","0.0288","0",""
"nodejs","32670","0.0287","2773602","1.3882"
"kdeclarative","32585","0.0286","0",""
"dvd+rw-tools","32521","0.0285","0",""
"hfst-ospell","32398","0.0284","0",""
"cmark","32359","0.0284","0",""
"tnftp","32118","0.0282","0",""
"exo","32045","0.0281","0",""
"qca","31959","0.0280","0",""
"debian:libtracker-sparql-2.0-0","31820","0.0279","0",""
"uvwasi","0","","234930","0.1176"
"postfix","31684","0.0278","0",""
"hsqldb","31557","0.0277","0",""
"xfwm4","31343","0.0275","0",""
"kactivities","31330","0.0275","0",""
"debian:libdc1394-22","31205","0.0274","0",""
"spice-gtk","31142","0.0273","0",""
"gsasl","31106","0.0273","0",""
"lzop","30990","0.0272","0",""
"ebook-tools","30985","0.0272","0",""
"babeltrace","30982","0.0272","0",""
"caja","30979","0.0272","0",""
"kcmutils","30937","0.0271","0",""
"knewstuff","30911","0.0271","0",""
"hwloc","26078","0.0229","233406","0.1168"
"systemsettings","30803","0.0270","0",""
"mscompress","30722","0.0270","0",""
"libshumate","30713","0.0270","0",""
"debian:libxcb-util0","30683","0.0269","0",""
"debian:polkitd-pkla","30657","0.0269","0",""
"libaec","30606","0.0269","126655","0.0634"
"dctrl-tools","30564","0.0268","0",""
"debian:libreadline6","30479","0.0267","0",""
"min12xxw","30476","0.0267","0",""
"htop","0","","220868","0.1105"
"thunar","30475","0.0267","0",""
"foo2zjs","30357","0.0266","0",""
"tumbler","30354","0.0266","0",""
"hdf5","7358","0.0065","217962","0.1091"
"pnm2ppa","30333","0.0266","0",""
"geocode-glib","30243","0.0265","0",""
"debian:libssl1.0.0","30230","0.0265","0",""
"xfce4-panel","30222","0.0265","0",""
"mousepad","30170","0.0265","0",""
"libaccounts-glib","30163","0.0265","0",""
"debian:libenchant1c2a","29967","0.0263","0",""
"openfec","29837","0.0262","0",""
"libportal","29813","0.0262","0",""
"wireplumber","29688","0.0261","0",""
"plasma-framework","29655","0.0260","0",""
"rest","29592","0.0260","0",""
"garcon","29566","0.0259","0",""
"signond","29510","0.0259","0",""
"onnxruntime","29502","0.0259","0",""
"threadweaver","29473","0.0259","0",""
"gtk-engines","29330","0.0257","0",""
"thunar-volman","29320","0.0257","0",""
"inkscape","29167","0.0256","0",""
"xfdesktop","28913","0.0254","0",""
"pipx","0","","211504","0.1059"
"gupnp-av","28857","0.0253","0",""
"libraqm","28855","0.0253","43673","0.0219"
"strace","28814","0.0253","0",""
"xfce4-session","28810","0.0253","0",""
"gupnp-dlna","28791","0.0253","0",""
"docker-completion","0","","206721","0.1035"
"libfakekey","28770","0.0252","0",""
"liblinear","28599","0.0251","144025","0.0721"
"zerofree","28592","0.0251","0",""
"xfce4-appfinder","28340","0.0249","0",""
"docutils","0","","204737","0.1025"
"cwidget","28297","0.0248","0",""
"libdazzle","28285","0.0248","0",""
"xfce4-notifyd","28276","0.0248","0",""
"okular","28091","0.0247","0",""
"libgit2","5438","0.0048","203009","0.1016"
"flex","28079","0.0246","22756","0.0114"
"patchutils","28068","0.0246","0",""
"kitemmodels","27979","0.0246","0",""
"firebird","27957","0.0245","0",""
"openjph","5","0.0000","202308","0.1013"
"cifs-utils","27949","0.0245","0",""
"knotifyconfig","27882","0.0245","0",""
"pmdk","27847","0.0244","0",""
"xarchiver","27832","0.0244","0",""
"nginx","22295","0.0196","199519","0.0999"
"perl:unicode-utf8","27813","0.0244","0",""
"ndctl","27775","0.0244","0",""
"xfce4-terminal","27760","0.0244","0",""
"debian:libtracker-control-2.0-0","27668","0.0243","0",""
"debian:libtracker-miner-2.0-0","27466","0.0241","0",""
"inih","27350","0.0240","0",""
"libtomcrypt","27167","0.0238","0",""
"atril","27071","0.0238","0",""
"proj","26976","0.0237","102834","0.0515"
"debian:libavdevice58","26876","0.0236","0",""
"ccache","4200","0.0037","185909","0.0931"
"debian:python-crypto","26868","0.0236","0",""
"libebur128","26817","0.0235","0",""
"imlib2","26614","0.0234","23105","0.0116"
"thunar-archive-plugin","26545","0.0233","0",""
"kpty","26543","0.0233","0",""
"onetbb","15996","0.0140","185349","0.0928"
"gtkspell","26493","0.0232","0",""
"gutenprint","26469","0.0232","0",""
"lyx","26455","0.0232","0",""
"xfce4-power-manager","26439","0.0232","0",""
"glog","1383","0.0012","184386","0.0923"
"bluez-qt","26431","0.0232","0",""
"openconnect","26376","0.0231","21919","0.0110"
"libei","26343","0.0231","0",""
"debian:libfam0","26339","0.0231","0",""
"xfce4-screenshooter","26285","0.0231","0",""
"xfburn","26248","0.0230","0",""
"thunar-media-tags-plugin","26239","0.0230","0",""
"zsh","16762","0.0147","180487","0.0903"
"chromium","26117","0.0229","0",""
"debian:libmutter-11-0","26076","0.0229","0",""
"mdadm","26072","0.0229","0",""
"libgssglue","26060","0.0229","0",""
"ristretto","26000","0.0228","0",""
"kfilemetadata","25992","0.0228","0",""
"xfce4-clipman-plugin","25987","0.0228","0",""
"perl:perlio-gzip","25987","0.0228","0",""
"purpose","25972","0.0228","0",""
"frameworkintegration","25951","0.0228","0",""
"xfce4-taskmanager","25922","0.0227","0",""
"libmicrohttpd","7075","0.0062","177963","0.0891"
"gdb","25866","0.0227","50657","0.0254"
"dtc","25821","0.0227","57133","0.0286"
"krunner","25803","0.0226","0",""
"libaccounts-qt","25788","0.0226","0",""
"mint-swift-package-manager","0","","172762","0.0865"
"xfce4-sensors-plugin","25786","0.0226","0",""
"xfce4-battery-plugin","25777","0.0226","0",""
"kcontacts","25756","0.0226","0",""
"xfce4-xkb-plugin","25753","0.0226","0",""
"xfce4-systemload-plugin","25744","0.0226","0",""
"debian:ntpdate","25738","0.0226","0",""
"freexl","25730","0.0226","29908","0.0150"
"xfce4-cpugraph-plugin","25722","0.0226","0",""
"python:virtualenv","0","","169081","0.0846"
"xfce4-netload-plugin","25721","0.0226","0",""
"xfce4-cpufreq-plugin","25689","0.0225","0",""
"xfce4-weather-plugin","25655","0.0225","0",""
"xfce4-timer-plugin","25650","0.0225","0",""
"xfce4-diskperf-plugin","25638","0.0225","0",""
"xfce4-genmon-plugin","25637","0.0225","0",""
"xfce4-fsguard-plugin","25630","0.0225","0",""
"ccid","25623","0.0225","0",""
"xfce4-places-plugin","25616","0.0225","0",""
"debian:libmagick++-6.q16-8","25606","0.0225","0",""
"xfce4-mailwatch-plugin","25555","0.0224","0",""
"assimp","2928","0.0026","166746","0.0835"
"xfce4-smartbookmark-plugin","25553","0.0224","0",""
"evolution-data-server","25508","0.0224","0",""
"libhdf4","25442","0.0223","0",""
"openmpi","9785","0.0086","162350","0.0813"
"konsole","25358","0.0223","0",""
"dolphin-fm","25334","0.0222","0",""
"gnome-desktop","25180","0.0221","0",""
"kpeople","24958","0.0219","0",""
"spice-remote-access","24871","0.0218","0",""
"kdegraphics-mobipocket","24814","0.0218","0",""
"kate","24716","0.0217","0",""
"gsettings-desktop-schemas","0","","158379","0.0793"
"syndication","24580","0.0216","0",""
"kfind","24578","0.0216","0",""
"debian:gir1.2-tracker-2.0","24451","0.0215","0",""
"meson","0","","157988","0.0791"
"kwalletmanager","24357","0.0214","0",""
"scim","24316","0.0213","0",""
"syntax-highlighting","24257","0.0213","0",""
"debian:libcurl3","24224","0.0213","0",""
"pmix","11823","0.0104","156405","0.0783"
"debian:libsensors4","24130","0.0212","0",""
"ksshaskpass","24114","0.0212","0",""
"debian:libfluidsynth1","24103","0.0212","0",""
"tidy","780","0.0007","155182","0.0777"
"plasma-desktop","24096","0.0211","0",""
"debian:libtracker-sparql-3.0-0","23995","0.0211","0",""
"iftop","23968","0.0210","0",""
"kmenuedit","23961","0.0210","0",""
"grpc","2043","0.0018","154288","0.0772"
"gwenview","23948","0.0210","0",""
"dvdauthor","23925","0.0210","0",""
"konqueror","23857","0.0209","0",""
"ark","23843","0.0209","0",""
"kamera","23785","0.0209","0",""
"plasma-workspace","23769","0.0209","0",""
"libkf5kexiv2","23764","0.0209","0",""
"emacs","0","","153100","0.0766"
"augeas","23745","0.0208","24971","0.0125"
"debian:gir1.2-mutter-11","23675","0.0208","0",""
"kinfocenter","23504","0.0206","0",""
"luv","0","","153045","0.0766"
"kcalc","23494","0.0206","0",""
"perl:libintl-perl","23494","0.0206","0",""
"opensc","23462","0.0206","0",""
"zxing-cpp","23411","0.0205","0",""
"bluedevil","23338","0.0205","0",""
"openvino","0","","152146","0.0762"
"powerdevil","23267","0.0204","0",""
"arpack-ng","23235","0.0204","0",""
"ktexttemplate","23229","0.0204","0",""
"prison","23224","0.0204","0",""
"akonadi","23192","0.0204","0",""
"libdbi","23191","0.0204","0",""
"ktexteditor","23164","0.0203","0",""
"kdnssd","23141","0.0203","0",""
"capstone","2940","0.0026","148490","0.0743"
"perl:sereal-encoder","23006","0.0202","0",""
"perl:sereal-decoder","23000","0.0202","0",""
"stoken","22916","0.0201","9621","0.0048"
"cmocka","372","0.0003","145621","0.0729"
"kdeplasma-addons","22906","0.0201","0",""
"libavtp","22885","0.0201","0",""
"pkcs11-helper","22868","0.0201","25776","0.0129"
"sweeper","22764","0.0200","0",""
"kdepim-runtime","22585","0.0198","0",""
"debian:libpng12-0","22473","0.0197","0",""
"kactivities-stats","22470","0.0197","0",""
"charls","22418","0.0197","0",""
"debian:python-openssl","22379","0.0196","0",""
"qhull","22361","0.0196","32729","0.0164"
"gflags","2145","0.0019","142983","0.0716"
"freerdp","22290","0.0196","21005","0.0105"
"baloo","22288","0.0196","0",""
"dragon-player","22237","0.0195","0",""
"subversion","22235","0.0195","113830","0.0570"
"msgpack","0","","142961","0.0716"
"juk","22200","0.0195","0",""
"libkolabxml","22198","0.0195","0",""
"pipenv","0","","141668","0.0709"
"sox","22154","0.0194","21711","0.0109"
"debian:odbcinst1debian2","21965","0.0193","0",""
"msgraph","21949","0.0193","0",""
"perl:cpanel-json-xs","21923","0.0192","0",""
"erlang","0","","141272","0.0707"
"kaddressbook","21902","0.0192","0",""
"korganizer","21876","0.0192","0",""
"kdesu","21872","0.0192","0",""
"akregator","21834","0.0192","0",""
"python:pre-commit","0","","140510","0.0703"
"libnet","21766","0.0191","15129","0.0076"
"perl:devel-globaldestruction","21755","0.0191","0",""
"kmail","21719","0.0191","0",""
"fastlane","0","","140104","0.0701"
"libvpl","21706","0.0190","0",""
"enca","21675","0.0190","0",""
"snapd-glib","21585","0.0189","0",""
"libkdcraw","21479","0.0188","0",""
"lshw","21445","0.0188","0",""
"libkml","21435","0.0188","19437","0.0097"
"debian:libxapian22","21388","0.0188","0",""
"python:sphinx","0","","136251","0.0682"
"meanwhile","21207","0.0186","0",""
"libkgapi","21053","0.0185","0",""
"apache-serf","21027","0.0185","0",""
"libdisplay-info","20988","0.0184","0",""
"gdal","7047","0.0062","136224","0.0682"
"kholidays","20968","0.0184","0",""
"debian:libdolphinvcs5","20966","0.0184","0",""
"kmag","20931","0.0184","0",""
"lksctp-tools","20826","0.0183","0",""
"fyba","20825","0.0183","0",""
"networkmanager-qt","20735","0.0182","0",""
"packagekit-qt","20658","0.0181","0",""
"librttopo","20589","0.0181","32799","0.0164"
"libgeotiff","20577","0.0181","56263","0.0282"
"kmouth","20518","0.0180","0",""
"parole","20482","0.0180","0",""
"pygments","0","","133370","0.0668"
"spidermonkey","20472","0.0180","0",""
"source-highlight","20443","0.0179","17438","0.0087"
"userspace-rcu","20439","0.0179","7967","0.0040"
"libdiscid","20439","0.0179","0",""
"libvirt","20418","0.0179","39355","0.0197"
"debian:libavdevice59","20410","0.0179","0",""
"the-silver-searcher","0","","128060","0.0641"
"kmousetool","20409","0.0179","0",""
"debian:python-dbus","20334","0.0178","0",""
"kyotocabinet","20306","0.0178","0",""
"debian:kate5-data","20226","0.0177","0",""
"vde","1953","0.0017","126761","0.0634"
"kross","20165","0.0177","0",""
"ogdi-dfsg","20081","0.0176","0",""
"zziplib","20064","0.0176","0",""
"teckit","20030","0.0176","0",""
"kpeoplevcard","19960","0.0175","0",""
"gsettings-qt","19953","0.0175","0",""
"debian:python-lxml","19932","0.0175","0",""
"libnetfilter-acct","19912","0.0175","0",""
"libqalculate","19891","0.0175","0",""
"roc-toolkit","19740","0.0173","0",""
"zxcvbn-c","19678","0.0173","0",""
"debian:libfreetype6-dev","19651","0.0172","0",""
"kimageannotator","19620","0.0172","0",""
"debconf-kde","19546","0.0172","0",""
"netcdf","5842","0.0051","121654","0.0609"
"kdecoration","19513","0.0171","0",""
"debian:gconf2","19474","0.0171","0",""
"bison","19445","0.0171","104173","0.0521"
"rav1e","19428","0.0170","453835","0.2272"
"perl:mouse","19384","0.0170","0",""
"python:pylibacl","19372","0.0170","0",""
"tfenv","0","","119366","0.0597"
"dracut","19340","0.0170","0",""
"partitionmanager","19324","0.0170","0",""
"vdeplug4","19206","0.0169","0",""
"kdsoap-ws-discovery-client","19199","0.0168","0",""
"libgadu","19192","0.0168","0",""
"kunitconversion","19188","0.0168","0",""
"c-blosc","19173","0.0168","14472","0.0072"
"wxwidgets","11402","0.0100","117507","0.0588"
"modemmanager-qt","19085","0.0167","0",""
"haveged","19055","0.0167","0",""
"libart-lgpl","19052","0.0167","0",""
"opencv","9292","0.0082","116403","0.0583"
"kcalcore","19048","0.0167","0",""
"nautilus-sendto","18983","0.0167","0",""
"watch","0","","110227","0.0552"
"luajit-misnamed","18945","0.0166","0",""
"galera","18870","0.0166","0",""
"pugixml","18821","0.0165","93632","0.0469"
"perl:text-markdown-discount","18807","0.0165","0",""
"perl:devel-size","18761","0.0165","0",""
"debian:libkf5konq6","18754","0.0165","0",""
"ffmpegthumbnailer","18753","0.0165","0",""
"re2","13865","0.0122","107577","0.0538"
"socket++","18730","0.0164","0",""
"debian:knotes","18690","0.0164","0",""
"xdg-utils-cxx","18688","0.0164","0",""
"perl:text-levenshteinxs","18668","0.0164","0",""
"trousers","18668","0.0164","0",""
"libxml++","18656","0.0164","0",""
"xcodegen","0","","105646","0.0529"
"libnvme","18615","0.0163","0",""
"metacity","18571","0.0163","0",""
"perl:perlio-utf8-strict","18549","0.0163","0",""
"debian:python-ldb","18548","0.0163","0",""
"debian:python-tdb","18537","0.0163","0",""
"debian:python-samba","18446","0.0162","0",""
"vcdimager","18373","0.0161","0",""
"apache-arrow","0","","104424","0.0523"
"portmidi","18371","0.0161","0",""
"libqaccessibilityclient","18368","0.0161","0",""
"bup","18331","0.0161","0",""
"virglrenderer","18313","0.0161","0",""
"suitesparse","14502","0.0127","104057","0.0521"
"kuserfeedback","18213","0.0160","0",""
"libbytesize","18190","0.0160","0",""
"debian:libmutter-7-0","18083","0.0159","0",""
"debian:libncurses5-dev","18017","0.0158","0",""
"debian:libpango1.0-0","17996","0.0158","0",""
"zephyr","17981","0.0158","0",""
"scrcpy","0","","100474","0.0503"
"debian:gir1.2-mutter-7","17924","0.0157","0",""
"pv","17900","0.0157","35864","0.0180"
"debian:libgps28","17893","0.0157","0",""
"kdiagram2","17830","0.0156","0",""
"sombok","17707","0.0155","0",""
"libvterm-leonerd","6067","0.0053","99457","0.0498"
"perl:unicode-linebreak","17683","0.0155","0",""
"pidgin","17683","0.0155","0",""
"debian:sntp","17670","0.0155","0",""
"ncdu","17603","0.0154","51062","0.0256"
"python:pycairo","0","","99421","0.0498"
"liblc3","17550","0.0154","0",""
"debian:libsigc++-2.0-0c2a","17460","0.0153","0",""
"libspelling","17417","0.0153","0",""
"eigen","3568","0.0031","98603","0.0494"
"xen","17368","0.0152","0",""
"debian:unrar","17328","0.0152","0",""
"zeitgeist","17216","0.0151","0",""
"doxygen","6750","0.0059","97634","0.0489"
"hidapi","17199","0.0151","22375","0.0112"
"cfitsio","17003","0.0149","86102","0.0431"
"python:pygobject","0","","97625","0.0489"
"psutils-postscript-rrthomas","16825","0.0148","32067","0.0161"
"swig","0","","96459","0.0483"
"ruby:defaults","16708","0.0147","0",""
"exiv2","16703","0.0147","0",""
"debian:iproute","16703","0.0147","0",""
"debian:libcwidget3","16509","0.0145","0",""
"aws-sdk-cpp","0","","94341","0.0472"
"xfce4-datetime-plugin","16360","0.0144","0",""
"opusfile","16339","0.0143","19410","0.0097"
"graphicsmagick","15373","0.0135","93974","0.0470"
"libsixel","16321","0.0143","0",""
"libotr","16283","0.0143","0",""
"libffado","16268","0.0143","0",""
"qtkeychain","16238","0.0143","0",""
"kquickcharts","16227","0.0142","0",""
"libmikmod","16204","0.0142","0",""
"simdjson","27","0.0000","93378","0.0467"
"ossp-uuid","16157","0.0142","15993","0.0080"
"sdl2-ttf","16052","0.0141","26418","0.0132"
"farstream","16052","0.0141","0",""
"unibilium","6039","0.0053","93304","0.0467"
"wine","15822","0.0139","0",""
"codec2","15631","0.0137","0",""
"mousetweaks","15532","0.0136","0",""
"boost-defaults","15425","0.0135","0",""
"kf6-solid","15362","0.0135","0",""
"vtk","1051","0.0009","91433","0.0458"
"kcolorscheme","15298","0.0134","0",""
"squashfuse","15273","0.0134","0",""
"suil","15233","0.0134","0",""
"python:pillow","0","","91084","0.0456"
"libmcrypt","15168","0.0133","0",""
"kdav","15143","0.0133","0",""
"libiscsi","15122","0.0133","10397","0.0052"
"wimlib","889","0.0008","90303","0.0452"
"m17n-lib","15108","0.0133","0",""
"clucene","15094","0.0132","0",""
"libpfm4","15003","0.0132","0",""
"hiredis","1729","0.0015","90297","0.0452"
"wireshark","14990","0.0132","70267","0.0352"
"breeze-icons","14883","0.0131","0",""
"gnuplot","14871","0.0131","73549","0.0368"
"groonga","14","0.0000","90009","0.0451"
"xdotool","14847","0.0130","0",""
"debian:python2.7-dev","14842","0.0130","0",""
"k3b","14747","0.0129","0",""
"glibmm","14708","0.0129","0",""
"kded","14704","0.0129","0",""
"libnfs","14696","0.0129","0",""
"debian:libpython2.7-dev","14661","0.0129","0",""
"xapp","14606","0.0128","0",""
"libx86","14568","0.0128","0",""
"jsoncpp","5612","0.0049","87412","0.0438"
"telepathy-glib","14548","0.0128","0",""
"lzlib","14488","0.0127","25226","0.0126"
"libblockdev","14465","0.0127","0",""
"fastfetch","0","","86420","0.0433"
"libplist","14427","0.0127","39268","0.0197"
"debian:libsource-highlight4v5","14396","0.0126","0",""
"perl:berkeleydb","14365","0.0126","0",""
"lzip","14341","0.0126","50795","0.0254"
"libev","14309","0.0126","35286","0.0177"
"mvfst","0","","86003","0.0430"
"libusbmuxd","14280","0.0125","39206","0.0196"
"libimobiledevice","14182","0.0124","47463","0.0238"
"akonadi-calendar","14162","0.0124","0",""
"gtkmm","14130","0.0124","0",""
"libfabric","14108","0.0124","0",""
"debian:libgcrypt11","14098","0.0124","0",""
"debian:libqtcore4","14092","0.0124","0",""
"libcapi","14075","0.0124","0",""
"xclip","14075","0.0124","0",""
"swiftformat","0","","84357","0.0422"
"tremor","14069","0.0123","0",""
"debian:libtinfo-dev","13996","0.0123","0",""
"debian:libsepol1-dev","13943","0.0122","0",""
"hicolor-icon-theme","0","","84232","0.0422"
"jimtcl","13893","0.0122","0",""
"cpuinfo-pytorch","13871","0.0122","0",""
"debian:libqtgui4","13831","0.0121","0",""
"pyenv-virtualenv","0","","83753","0.0419"
"plasma-activities","13813","0.0121","0",""
"plotutils","13795","0.0121","11285","0.0056"
"libvirt-glib","13795","0.0121","0",""
"ipython","0","","83029","0.0416"
"appstream","13781","0.0121","15257","0.0076"
"libmemcached","13768","0.0121","0",""
"debian:libqt4-xml","13761","0.0121","0",""
"python:pyqt","0","","81996","0.0410"
"libpaper","13717","0.0120","12832","0.0064"
"debian:libtasn1-3","13690","0.0120","0",""
"fping","13688","0.0120","0",""
"pwgen","13688","0.0120","0",""
"docbook","0","","81968","0.0410"
"libplacebo","13647","0.0120","8416","0.0042"
"debian:libsmi2ldbl","13640","0.0120","0",""
"sound-juicer","13636","0.0120","0",""
"debian:libepsilon1","13590","0.0119","0",""
"debian:libgnutls26","13582","0.0119","0",""
"icoutils","13556","0.0119","0",""
"rpm","13517","0.0119","0",""
"zabbix","13465","0.0118","0",""
"pthreadpool","13428","0.0118","0",""
"pstoedit","13423","0.0118","16057","0.0080"
"libdmapsharing","13375","0.0117","0",""
"hello","342","0.0003","80754","0.0404"
"opa-psm2","13346","0.0117","0",""
"qdbm","13310","0.0117","0",""
"lbfgsb","13303","0.0117","0",""
"tinyxml","13280","0.0117","25947","0.0130"
"taglib","13264","0.0116","38324","0.0192"
"perl:math-random-isaac-xs","13252","0.0116","0",""
"docbook-xsl","0","","80145","0.0401"
"portsmf","13223","0.0116","0",""
"menu-cache","13177","0.0116","0",""
"rrdtool","13144","0.0115","0",""
"mate-panel","13117","0.0115","0",""
"llama.cpp","0","","79971","0.0400"
"libcmis","13101","0.0115","0",""
"libudev0-shim","13017","0.0114","0",""
"dhcpcd","13011","0.0114","0",""
"tslib","12932","0.0113","0",""
"debian:libqt4-dbus","12916","0.0113","0",""
"infinipath-psm","12858","0.0113","0",""
"ed","12830","0.0113","0",""
"gdcm","12813","0.0112","0",""
"kstatusnotifieritem","12790","0.0112","0",""
"webrtc-audio-processing","12738","0.0112","0",""
"debian:libcpufreq0","12735","0.0112","0",""
"kpmcore","12700","0.0111","0",""
"ksvg","12687","0.0111","0",""
"httpie","0","","77298","0.0387"
"perl:text-soundex","12621","0.0111","0",""
"mate-menus","12533","0.0110","0",""
"libmatekbd","12527","0.0110","0",""
"geos","5627","0.0049","76246","0.0382"
"nemo","12525","0.0110","0",""
"sdl-mixer","12519","0.0110","0",""
"debian:libokular5core10","12470","0.0109","0",""
"mate-desktop","12420","0.0109","0",""
"coinmp","12401","0.0109","0",""
"libmateweather","12367","0.0109","0",""
"aha","12327","0.0108","0",""
"oath-toolkit","12326","0.0108","0",""
"debian:libpstoedit0c2a","12321","0.0108","0",""
"libfm","12292","0.0108","0",""
"gtk-layer-shell","12288","0.0108","0",""
"pulseaudio-qt","12255","0.0108","0",""
"libmatemixer","12250","0.0108","0",""
"debian:libonig2","12242","0.0107","0",""
"liborcus","12200","0.0107","0",""
"libspnav","12176","0.0107","0",""
"debian:gvfs-bin","12157","0.0107","0",""
"kaccounts-integration","12156","0.0107","0",""
"ipset","12133","0.0106","0",""
"openh264","12080","0.0106","0",""
"debian:php5-cli","12075","0.0106","0",""
"debian:libisc95","12028","0.0106","0",""
"python:magic-misnamed","12005","0.0105","0",""
"hexchat","11975","0.0105","0",""
"perl:date-calc","11960","0.0105","0",""
"onednn","11839","0.0104","0",""
"libgnomecanvas","11823","0.0104","0",""
"mate-utils","11822","0.0104","0",""
"debian:ksysguardd","11818","0.0104","0",""
"libgdiplus","11811","0.0104","0",""
"qpdf","11792","0.0103","37977","0.0190"
"fltk","11721","0.0103","21322","0.0107"
"gl2ps","11709","0.0103","24809","0.0124"
"mplayer","11689","0.0103","0",""
"exiftool","0","","69726","0.0349"
"hwinfo","11633","0.0102","0",""
"debian:python-pycurl","11613","0.0102","0",""
"libkexiv2","11596","0.0102","0",""
"xdrv:synaptics","11593","0.0102","0",""
"kglobalacceld","11563","0.0101","0",""
"cinnamon-menus","11527","0.0101","0",""
"adwaita-icon-theme","0","","69056","0.0346"
"nginx:http-echo","11500","0.0101","0",""
"cinnamon-control-center","11498","0.0101","0",""
"vorbis-tools","11488","0.0101","0",""
"vips","458","0.0004","68640","0.0344"
