repo,platform,gh_stars,gl_stars,ecosystems,packages,ecosystem,top_eco_pkg,downloads_npm,downloads_pypi,downloads_crates,downloads_debian,downloads_homebrew,pagerank_npm,pagerank_pypi,pagerank_crates,pagerank_cpp,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,active_contributors_git_5y,dormant,bf_commits_git_5y,hhi_commits_git_5y,loc_eoy,cyclomatic_max,openssf_score,cve_count_5y,issues_opened_5y,issues_closed_5y,net_new_issues_5y,concentration,complexity,security,workload,risk_score,license,license_source,eol,archived,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,has_funding_yml,has_funding_json,has_funding_links,has_npm_funding,has_pypi_funding,bf_maintainer_fundable,paypal,oc_slug,host,host_type,owner,owner_type,oss,intent,nonprofit,active,eligible,score,priority,repo_id
python-jsonschema/referencing,github,53,,pypi,1,pypi,referencing,,656172941,,,,,0.002721,,,41.35,73.20,42.21,100,56.78,4,0,1,9744,3719,13,7,0,57,43,14,98.71,47.59,50.00,83.14,66.48,mit,registry,False,False,False,0,0,0,True,False,True,False,True,True,,,,,,,True,True,True,True,True,61.44,136,gh/569027868
tapjs/stack-utils,github,197,,npm,1,npm,stack-utils,1156010881,,,,,0.000330,,,,25.36,56.72,40.50,100,52.51,3,0,1,6454,1463,22,3.1,0,8,1,7,80.34,48.85,88.16,77.10,71.87,mit,registry,False,False,True,3,0,3,True,False,True,False,False,True,,,,,,,True,True,True,True,True,61.43,137,gh/48974178
nodelib/nodelib,github,79,,npm,3,npm,@nodelib/fs.stat,5069656543,,,,,0.001825,,,,58.85,67.98,37.92,100,55.44,5,0,1,4776,4348,27,3.4,0,16,15,1,69.11,58.71,82.24,64.26,68.05,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,61.42,,gh/129310478
urllib3/urllib3,github,4017,,pypi,1,pypi,urllib3,,5471411478,,,,,0.018905,,,86.04,86.21,61.39,100,74.06,135,0,3,1072,32405,34,8.9,14,475,475,0,18.90,72.89,94.26,51.85,50.94,mit,registry,False,False,True,19,0,19,True,False,True,False,False,True,,urllib3,,,,,True,True,True,True,True,61.42,138,gh/2410676
sybrenstuvel/python-rsa,github,491,,pypi,1,pypi,rsa,,2037122837,,,,,0.003463,,,46.74,74.82,49.47,100,61.84,16,0,1,4032,4853,11,5.4,3,33,33,0,63.50,46.30,85.17,55.14,60.96,apache-2.0,registry,False,True,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,False,False,61.40,,gh/50107469
python-cffi/cffi,github,256,,pypi,1,pypi,cffi,,2254338896,,,,,0.017422,,,80.76,85.66,52.49,100,68.14,40,0,2,1678,53452,100,5.2,0,99,62,37,28.97,84.92,50.00,75.66,55.23,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,61.35,,gh/696427398
fb55/htmlparser2,github,4777,,npm,1,npm,htmlparser2,1371958877,,,,,0.000381,,,,27.88,57.67,51.04,100,59.18,10,0,1,7478,2663,28,6.4,0,101,85,16,86.48,56.09,50.00,67.31,63.56,mit,registry,False,False,True,6,0,6,True,False,True,True,False,True,,,,,,,True,True,True,True,True,61.33,139,gh/2279062
npm/node-semver,github,5422,,npm,1,npm,semver,13596078097,,,,,0.005181,,,,77.94,74.86,57.36,100,69.70,29,0,2,2062,6532,84,6.7,1,146,144,2,32.11,71.40,72.49,50.88,53.93,isc,registry,False,False,False,0,0,0,False,False,False,False,False,True,,,,,github.com,company,True,True,False,True,False,61.31,,gh/1357199
unicode-org/icu4x,github,1788,,crates,56,crates,zerofrom-derive,,,658430776,,,,,0.005740,,51.07,75.77,52.34,,55.11,119,0,2,1942,437687,178,6.4,2,1991,1525,466,31.16,93.75,82.06,90.01,68.16,unicode-3.0,registry,False,False,False,0,0,0,True,False,True,False,False,False,,,,,,,True,True,True,True,True,61.29,140,gh/243395141
pypa/virtualenv,github,5034,,"pypi,cpp",2,pypi,virtualenv,,1201769027,,0,169081,,0.001919,,0.000129,33.95,80.67,60.21,100,67.59,107,0,1,2948,14924,29,6.6,2,295,325,-30,54.30,66.96,82.06,31.73,55.47,mit,registry,False,False,True,22,0,22,False,False,True,False,False,True,,,psf,nonprofit,,,True,True,True,True,True,61.23,141,gh/1446474
streamich/memfs,github,2055,,npm,9,npm,memfs,627856897,,,,,0.000385,,,,28.15,57.73,55.04,100,61.61,43,0,1,5064,22386,24,5.2,0,157,154,3,71.16,66.83,50.00,57.42,60.79,apache-2.0,registry,False,False,True,4,0,4,True,False,True,True,False,True,,,,,,,True,True,True,True,True,61.20,142,gh/37490572
tj/commander.js,github,28158,,npm,1,npm,commander,6484072250,,,,,0.001812,,,,58.49,67.94,57.58,100,67.19,37,0,1,5973,19267,21,6.7,0,419,430,-11,77.29,62.95,50.00,39.67,55.74,mit,registry,False,False,True,5,0,5,True,False,True,False,False,True,,,,,,,True,True,True,True,True,61.20,143,gh/2206953
lokathor/bytemuck,github,988,,crates,2,crates,bytemuck,,,46470337,,,,,0.001947,,31.80,69.59,58.86,100,65.45,59,0,1,3589,8608,12,4,0,125,82,43,59.91,50.36,65.01,54.36,57.14,zlib or apache-2.0 or mit,registry,False,False,True,10,0,10,True,False,True,False,False,True,,,,,,,True,True,True,True,True,61.15,144,gh/209673558
pillarjs/path-to-regexp,github,8583,,npm,1,npm,path-to-regexp,2451457546,,,,,0.000573,,,,35.12,60.36,53.68,100,61.76,12,0,1,7799,2699,17,7.6,2,79,82,-3,88.31,49.31,82.06,37.45,60.48,mit,registry,False,False,False,0,0,0,True,False,True,True,False,True,,,lf,nonprofit,,,True,True,True,True,True,61.12,145,gh/5265803
gkz/type-check,github,211,,npm,1,npm,type-check,2203640524,,,,,0.000833,,,,42.44,62.82,30.74,100,48.97,0,1,1,10000,2042,12,2.9,0,1,0,1,100.00,43.30,95.77,81.00,76.13,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,61.06,,gh/13182168
jaredwray/cacheable,github,1975,,npm,7,npm,flat-cache,4271282241,,,,,0.001601,,,,56.27,67.12,58.16,100,67.23,70,0,1,7155,23399,22,6.1,0,214,245,-31,84.59,65.73,50.00,33.95,55.43,mit,registry,False,False,False,0,3,3,False,False,False,False,False,False,,,,,,,True,False,True,True,False,61.05,,gh/9267870
marshallpierce/rust-base64,github,718,,crates,1,crates,base64,,,164971234,,,,,0.001723,,30.89,68.89,49.21,100,59.50,25,0,1,4329,7800,19,3.8,1,61,59,2,65.80,56.37,75.48,54.82,62.59,mit or apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,61.03,,gh/47371310
faye/websocket-driver-node,github,109,,npm,1,npm,websocket-driver,732883252,,,,,0.000408,,,,29.41,58.12,36.54,100,50.68,1,0,1,10000,3374,21,3.2,0,1,1,0,100.00,53.27,86.47,63.19,73.45,apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,61.01,,gh/9733816
openssl/openssl,github,30068,,cpp,1,cpp,openssl,,,,229107,3498788,,,,0.008833,48.84,69.38,71.85,100,74.93,737,0,6,516,1194491,624,7.1,73,5938,5827,111,9.27,97.83,98.56,68.04,49.66,apache-2.0,github,False,False,True,31,0,31,True,True,True,False,False,False,,,,,,,True,True,True,True,True,61.00,146,gh/7634677
rob--w/proxy-from-env,github,71,,npm,1,npm,proxy-from-env,1239001867,,,,,0.000445,,,,30.64,58.69,40.56,100,53.27,1,0,1,10000,598,14,3.6,0,10,2,8,100.00,36.90,79.49,81.11,69.84,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.99,,gh/52038793
google/brotli,github,14674,,"pypi,cpp",2,pypi,brotli,,133583130,,177778,1156315,,0.006303,,0.001884,55.32,97.95,55.97,0,48.91,52,0,1,4299,83681,231,7.7,2,165,153,12,65.57,89.81,82.06,69.09,76.01,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,google.com,company,True,True,False,True,False,60.97,,gh/24993138
postcss/postcss-value-parser,github,147,,npm,1,npm,postcss-value-parser,2420239645,,,,,0.002723,,,,65.79,70.62,39.19,100,57.16,3,0,2,3333,2841,74,2.3,0,3,2,1,40.82,64.45,98.94,67.87,64.83,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,postcss,,,,,True,True,True,True,True,60.87,147,gh/40920306
browserify/resolve,github,793,,npm,1,npm,resolve,3637338756,,,,,0.001351,,,,53.34,66.00,53.04,100,63.76,8,0,1,8869,3831,22,6.3,0,63,64,-1,94.18,55.22,50.00,43.46,57.98,mit,registry,False,False,False,0,0,0,True,True,True,True,False,True,,,,,,,True,True,True,True,True,60.80,148,gh/1915099
mpc/mpc,gitlab,,0,cpp,1,cpp,gnumpc,,,,164699,435028,,,,0.005269,41.80,65.61,,,53.70,3,0,1,5409,22786,88,4.1,0,0,0,0,73.55,80.47,59.30,63.74,68.77,lgpl-3.0-or-later,override,False,False,,,0,0,False,False,False,False,False,False,,,inria.fr,nonprofit,,,True,True,True,True,True,60.77,149,gl/inria-22470
teddriggs/darling,github,1242,,crates,3,crates,darling_core,,,197655399,,,,,0.001624,,29.73,68.55,51.02,100,60.44,36,0,1,5716,14768,35,4,0,145,151,-6,75.60,68.92,65.01,40.94,61.02,mit,registry,False,False,True,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.73,150,gh/89984100
aio-libs/multidict,github,490,,pypi,1,pypi,multidict,,1254437923,,,,,0.003290,,,44.39,74.47,52.17,100,63.19,27,0,1,3515,16654,29,7.4,0,54,54,0,59.29,67.77,50.00,57.59,58.32,apache-2.0,override,False,False,True,7,0,7,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.71,151,gh/51206425
psycopg/psycopg2,github,3630,,pypi,2,pypi,psycopg2-binary,,893991704,,,,,0.001291,,,28.51,68.19,55.41,100,62.92,34,0,1,6163,39527,45,4.9,0,416,430,-14,78.50,76.35,50.00,39.27,58.57,lgpl-2.1,registry,False,False,True,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.71,152,gh/7730829
mysticatea/abort-controller,github,308,,npm,1,npm,abort-controller,663496915,,,,,0.000658,,,,37.99,61.27,33.46,100,50.00,0,1,1,10000,855,12,3,0,12,2,10,100.00,37.73,92.71,83.58,73.53,mit,registry,False,False,True,6,2,8,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.63,153,gh/105228556
vercel/ms,github,5521,,npm,1,npm,ms,9905364995,,,,,0.007163,,,,83.20,76.99,46.74,100,64.06,11,0,1,3587,1360,44,5.3,1,47,46,1,59.89,54.47,72.49,45.87,57.39,mit,registry,False,False,False,0,4,4,False,False,False,False,False,False,,,,,vercel.com,company,True,True,False,True,False,60.63,,gh/3655872
meinersbur/isl,github,76,,cpp,1,cpp,isl,,,,114600,583165,,,,0.005328,42.39,65.70,40.78,,44.10,6,0,1,9743,312079,108,3.7,0,2,1,1,98.71,90.85,77.38,69.09,83.21,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.58,,gh/37677854
pnggroup/libpng,github,1576,,cpp,1,cpp,libpng,,,,192792,1910764,,,,0.004261,38.24,64.07,51.67,,51.54,50,0,1,4985,90627,166,4.7,0,190,128,62,70.60,88.86,50.00,81.45,71.10,libpng-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.54,,gh/3768025
eslint/doctrine,github,461,,npm,1,npm,doctrine,2625224961,,,,,0.000616,,,,36.84,60.84,39.91,100,53.71,0,1,1,10000,6267,53,4.5,0,0,0,0,100.00,67.88,50.00,63.67,68.18,apache-2.0,registry,False,True,True,67,0,67,True,False,True,False,False,False,,eslint,,,,,True,True,True,False,False,60.51,,gh/4286644
micromatch/picomatch,github,1250,,npm,1,npm,picomatch,2852247377,,,,,0.001947,,,,60.37,68.41,53.30,100,64.86,13,0,2,1957,19334,92,6.8,0,41,21,20,31.28,79.43,50.00,81.79,56.46,mit,registry,False,False,False,0,0,0,True,False,True,True,False,True,,,,,,,True,True,True,True,True,60.51,154,gh/156211895
googleapis/google-cloud-python,github,5275,,pypi,65,pypi,google-auth,,13763802208,,,,,0.030966,,,91.95,89.52,68.35,100,79.16,554,0,3,1146,106537,27,7.2,0,1426,491,935,19.54,74.08,50.00,63.12,46.23,apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,google.com,company,True,True,False,True,False,60.49,,gh/16316451
fb55/css-select,github,629,,npm,1,npm,css-select,1474517693,,,,,0.000422,,,,30.03,58.35,45.12,100,55.91,7,0,1,8661,6080,14,6.3,0,44,37,7,93.06,50.93,50.00,77.21,65.40,bsd-2-clause,registry,False,False,True,6,0,6,True,False,True,True,False,True,,,,,,,True,True,True,True,True,60.47,156,gh/3411063
justmoon/node-extend,github,343,,npm,1,npm,extend,1369086804,,,,,0.000496,,,,33.06,59.40,47.15,100,57.54,2,0,1,8673,756,20,3.7,0,5,5,0,93.13,41.99,77.38,53.87,63.54,mit,registry,False,False,False,0,1,1,False,False,False,False,False,True,,,,,,,True,True,True,True,True,60.47,157,gh/3967764
rustcrypto/traits,github,739,,crates,12,crates,digest,,,331273770,,,,,0.004372,,44.00,74.21,52.55,100,63.35,51,0,1,5679,13869,11,6.3,0,195,176,19,75.36,51.07,50.00,57.74,57.73,mit or apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,True,,rustcrypto,,,,,True,True,True,True,True,60.47,155,gh/85605821
pygments/pygments,github,2150,,"pypi,cpp",2,pypi,pygments,,1272635800,,0,133370,,0.004204,,0.000102,49.01,84.57,60.26,100,69.51,323,0,5,852,157203,411,6.1,11,509,374,135,13.05,93.87,93.54,66.71,52.58,bsd-2-clause,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.46,,gh/205564111
micromatch/braces,github,246,,npm,1,npm,braces,3294142055,,,,,0.001158,,,,50.49,64.99,50.97,100,62.13,7,0,2,2222,3277,49,3.9,2,16,13,3,33.33,62.67,82.06,69.19,58.68,mit,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.38,158,gh/25475303
tkem/cachetools,github,2723,,pypi,1,pypi,cachetools,,1469245308,,,,,0.002148,,,36.14,71.61,50.94,100,61.34,13,0,1,7209,3448,13,7.5,0,98,87,11,84.91,47.17,50.00,62.28,59.43,mit,registry,False,False,True,2,0,2,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.38,159,gh/18006791
hukkin/tomli,github,560,,pypi,1,pypi,tomli,,1248457598,,,,,0.007125,,,55.95,79.66,46.79,100,61.64,10,0,1,9226,1580,19,4.8,0,52,46,6,96.05,46.99,50.00,54.15,59.12,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.37,,gh/370616797
chronotope/chrono,github,3840,,crates,1,crates,chrono,,,81798711,,,,,0.001286,,27.11,67.22,56.97,100,63.62,150,0,1,2981,34490,46,6.1,0,406,382,24,54.60,76.33,50.00,51.54,57.25,mit or apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.35,,gh/18210201
gkz/prelude-ls,github,427,,npm,1,npm,prelude-ls,2192072693,,,,,0.001539,,,,55.48,66.86,35.93,100,53.79,0,1,1,10000,2709,7,3,0,0,0,0,100.00,36.13,92.71,62.75,67.71,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.35,,gh/4457759
sindresorhus/execa,github,7498,,npm,1,npm,execa,3549894962,,,,,0.001102,,,,48.91,64.66,49.87,100,61.28,24,0,1,7427,32909,15,4.5,0,286,288,-2,86.18,59.51,50.00,48.14,59.27,mit,registry,False,False,True,186,12,198,False,False,True,True,False,False,,sindresorhus,,,,,True,True,True,True,True,60.27,160,gh/47475908
pydantic/pydantic,github,27607,,pypi,2,pypi,pydantic,,2925007445,,,,,0.005907,,,53.51,78.40,64.11,100,71.66,547,0,4,854,196493,83,6.8,2,4264,4025,239,14.61,88.17,82.06,62.26,50.65,mit,registry,False,False,True,14,0,14,True,False,True,False,True,True,,,,,pydantic.dev,company,True,True,False,True,False,60.25,,gh/90194616
msgpack/msgpack-python,github,2080,,pypi,2,pypi,msgpack,,710619904,,,,,0.001328,,,28.90,68.38,52.75,100,61.38,22,0,1,5321,5011,76,6.5,0,88,88,0,72.95,68.78,50.00,48.67,59.11,apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,True,,,,,,,True,True,True,True,True,60.23,161,gh/2242705
micromatch/micromatch,github,3026,,npm,1,npm,micromatch,3267364191,,,,,0.000976,,,,46.25,63.86,52.10,100,62.27,7,0,2,2044,13625,15,3.9,1,43,30,13,31.97,55.58,72.49,89.02,58.19,mit,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.20,163,gh/27359938
rust-cli/env_logger,github,1046,,crates,2,crates,env_logger,,,84202193,,,,,0.004529,,44.89,74.42,52.60,100,63.49,26,0,1,6531,4749,11,6.7,0,71,53,18,80.81,46.13,50.00,56.95,57.08,mit or apache-2.0,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.20,162,gh/96382888
libidn/libidn2,gitlab,,11,cpp,1,cpp,libidn2,,,,212517,1650326,,,,0.002018,31.41,58.62,,,45.01,7,0,1,8239,11022,56,3.7,0,52,39,13,90.77,71.60,77.38,82.63,80.29,gpl-3.0,github,False,False,,,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.12,,gl/2882658
rust-lang/compiler-builtins,github,490,,crates,2,crates,libm,,,48529924,,,,,0.002560,,35.23,71.16,54.88,100,63.57,117,0,1,3362,49438,62,6.8,0,104,107,-3,57.98,80.90,50.00,44.54,56.85,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,rustfoundation.org,nonprofit,,,True,True,True,True,True,60.12,164,gh/65153793
beatgammit/base64-js,github,882,,npm,1,npm,base64-js,1865449669,,,,,0.001038,,,,48.06,64.27,41.95,100,56.40,1,0,1,10000,344,7,3,0,7,5,2,100.00,25.08,92.71,72.23,64.02,mit,registry,False,False,False,0,0,0,False,False,False,True,False,True,,,,,,,True,True,True,True,True,60.09,165,gh/2853282
epoberezkin/fast-deep-equal,github,2046,,npm,1,npm,fast-deep-equal,2377779603,,,,,0.001623,,,,56.43,67.21,38.97,100,55.75,0,1,1,10000,914,4,3.1,0,21,7,14,100.00,23.55,88.16,84.33,64.69,mit,registry,False,False,True,14,0,14,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.05,166,gh/94483360
dtolnay/unicode-ident,github,109,,crates,1,crates,unicode-ident,,,134841825,,,,,0.006465,,54.04,76.45,41.77,100,58.11,5,0,1,9361,2494,19,5.3,0,6,5,1,96.75,50.10,50.00,61.07,62.03,(mit or apache-2.0) and unicode-3.0,registry,False,False,True,126,0,126,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.04,167,gh/492639579
remusao/tldts,github,739,,npm,3,npm,tldts,295688377,,,,,0.000937,,,,44.92,63.60,54.15,,54.18,4,0,1,5447,4146,59,4.6,0,39,32,7,73.80,65.43,50.00,81.09,66.52,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.03,,gh/97631656
ardatan/whatwg-node,github,194,,npm,5,npm,@whatwg-node/promise-helpers,788136641,,,,,0.000400,,,,29.01,57.98,48.86,100,58.01,29,0,1,5112,13599,30,5.7,0,75,66,9,71.50,66.79,50.00,62.30,62.10,mit,registry,False,False,True,3,0,3,True,False,True,False,False,True,,,,,,,True,True,True,True,True,60.02,168,gh/429511342
selinuxproject/selinux,github,1573,,cpp,3,cpp,libselinux,,,,539655,0,,,,0.003336,35.66,62.28,61.00,,57.99,53,0,2,2955,240764,210,5.5,0,113,57,56,38.44,93.18,50.00,82.88,62.07,gpl-2.0-only,override,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,60.00,,gh/20648799
ethers-io/ethers.js,github,8659,,npm,19,npm,@ethersproject/logger,845156517,,,,,0.000408,,,,29.37,58.12,39.06,,40.23,1,0,1,10000,175077,122,3.7,0,1699,1384,315,100.00,90.04,77.38,91.95,89.47,mit,registry,False,False,True,6,0,6,True,False,True,True,False,False,,ethers,,,,,True,True,True,True,True,59.99,169,gh/63465664
rustcrypto/hashes,github,2209,,crates,13,crates,sha2,,,229226652,,,,,0.002607,,35.48,71.26,56.62,100,64.65,62,0,2,2242,20723,129,5.8,3,110,119,-9,33.48,81.39,85.17,41.29,55.64,mit or apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,True,,rustcrypto,,,,,True,True,True,True,True,59.98,170,gh/74106774
burntsushi/jiff,github,2691,,crates,6,crates,jiff,,,21081933,,,,,0.001151,,25.41,66.59,50.85,,49.64,40,0,1,8003,123974,41,5.8,0,199,172,27,89.46,79.71,50.00,76.89,72.36,unlicense or mit,registry,False,False,True,110,2,112,True,False,True,False,False,True,,,,,,,True,True,True,True,True,59.93,171,gh/759017108
blakeembrey/change-case,github,2402,,npm,21,npm,no-case,9022122018,,,,,0.003123,,,,68.37,71.52,46.31,100,61.77,12,0,1,7009,1224,24,4,0,78,76,2,83.72,48.59,65.01,43.05,58.09,mit,registry,False,False,True,10,3,13,True,False,True,False,False,True,,,,,,,True,True,True,True,True,59.90,172,gh/9440238
burntsushi/termcolor,github,487,,crates,1,crates,termcolor,,,62436532,,,,,0.004512,,44.44,74.39,48.70,100,61.10,10,0,1,2917,2856,17,3.3,0,21,20,1,54.01,49.73,84.46,52.33,58.70,unlicense or mit,registry,False,False,True,110,2,112,True,False,True,False,False,True,,,,,,,True,True,True,True,True,59.89,173,gh/141345580
dtolnay/trybuild,github,965,,crates,1,crates,trybuild,,,6421607,,,,,0.031285,,85.80,85.46,49.66,,58.65,18,0,1,8501,4318,25,5.6,0,89,86,3,92.20,57.50,50.00,52.51,61.08,mit or apache-2.0,registry,False,False,True,126,0,126,True,False,True,False,False,True,,,,,,,True,True,True,True,True,59.85,174,gh/184941159
remix-run/react-router,github,56374,,npm,3,npm,react-router,1250498757,,,,,0.000375,,,,27.54,57.56,69.80,100,70.39,584,0,4,1148,183080,84,5.4,2,2530,2457,73,16.94,88.14,82.06,54.64,50.87,mit,registry,False,False,False,0,2,2,True,False,True,False,False,True,,,,,shopify.com,company,True,True,False,True,False,59.84,,gh/19872456
gregberge/svgr,github,11027,,npm,14,npm,@svgr/babel-preset,4723516445,,,,,0.001230,,,,51.79,65.38,53.67,100,63.92,67,0,1,3456,6950,27,4.6,0,287,188,99,58.79,61.94,50.00,54.07,56.01,mit,registry,False,False,True,2,0,2,True,False,True,True,False,True,,svgr,,,,,True,True,True,True,True,59.83,175,gh/102155012
chalker/safer-buffer,github,27,,npm,1,npm,safer-buffer,1987654268,,,,,0.001929,,,,59.98,68.35,32.67,100,52.44,0,1,1,10000,541,8,3,0,4,1,3,100.00,29.65,92.71,78.71,68.20,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,59.80,,gh/125825141
requests/requests-oauthlib,github,1771,,pypi,1,pypi,requests-oauthlib,,1259441144,,,,,0.002464,,,39.57,72.53,49.27,100,60.77,20,0,1,3824,3392,27,4.2,0,65,41,24,61.84,57.34,56.13,60.24,58.84,bsd-3-clause,registry,False,False,False,0,0,0,True,False,True,False,False,True,,,,,,,True,True,True,True,True,59.80,176,gh/6825724
thkukuk/rpcsvc-proto,github,30,,cpp,1,cpp,rpcsvc-proto,,,,49971,0,,,,0.030613,59.08,78.44,35.77,,44.02,3,0,1,5938,7087,65,2.6,0,7,4,3,77.06,70.33,98.10,81.58,81.15,bsd-3-clause,override,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,59.77,,gh/55140533
jquast/wcwidth,github,453,,pypi,1,pypi,wcwidth,,617489826,,,,,0.001928,,,34.14,70.88,49.55,100,60.23,13,0,1,3645,10644,17,5.9,0,34,25,9,60.37,56.72,50.00,72.12,59.28,mit,registry,False,False,True,1,8,9,True,False,True,False,False,True,,,,,,,True,True,True,True,True,59.75,177,gh/18464187
vercel/ai,github,23822,,npm,4,npm,ai,898213702,,,,,0.000343,,,,26.07,56.97,64.88,,59.04,513,0,3,1962,367406,109,6.3,1,3118,2236,882,25.57,91.26,72.49,78.57,60.38,apache-2.0,registry,False,False,False,0,4,4,False,False,False,False,False,True,,,,,vercel.com,company,True,True,False,True,False,59.71,,gh/644461337
ffmpeg/ffmpeg,github,59336,,cpp,1,cpp,ffmpeg,,,,49970,1266137,,,,0.001290,25.94,55.36,67.68,,60.92,574,0,4,987,1958319,436,5.1,150,,,,15.71,97.78,99.76,76.25,58.47,gpl-3.0-or-later,registry,False,False,True,40,0,40,False,False,False,False,False,False,,,,,,,True,True,True,True,True,59.68,178,gh/1614410
inspect-js/object-inspect,github,161,,npm,1,npm,object-inspect,2245247736,,,,,0.001152,,,,50.37,64.96,40.74,100,55.98,4,0,1,9341,1844,18,4.4,0,7,4,3,96.65,47.62,51.90,68.53,63.61,mit,registry,False,False,False,0,0,0,True,False,True,True,False,True,,,,,,,True,True,True,True,True,59.67,179,gh/11683441
fb55/domhandler,github,364,,npm,1,npm,domhandler,1670065575,,,,,0.000946,,,,45.20,63.66,45.09,100,57.94,1,0,1,10000,911,9,6.4,0,18,16,2,100.00,34.98,50.00,81.37,61.42,bsd-2-clause,registry,False,False,True,6,0,6,True,False,True,True,False,True,,,,,,,True,True,True,True,True,59.65,180,gh/5414232
acornjs/acorn,github,11372,,npm,3,npm,acorn,6259661735,,,,,0.002487,,,,64.48,70.02,59.82,100,69.34,48,0,2,2593,202344,77,5.2,0,222,238,-16,36.01,87.71,50.00,43.69,51.25,mit,registry,False,False,False,0,0,0,False,False,False,False,False,True,,,,,,,True,True,True,True,True,59.61,181,gh/5932749
pyasn1/pyasn1,github,50,,pypi,1,pypi,pyasn1,,1989688118,,,,,0.009589,,,64.47,81.65,48.22,100,63.54,15,0,2,1730,21616,103,6.3,0,50,24,26,29.41,80.85,50.00,82.15,55.90,bsd-2-clause,registry,False,False,False,0,0,0,True,False,True,False,False,False,,,,,,,True,True,True,True,True,59.60,182,gh/512723255
pyca/pynacl,github,1193,,pypi,1,pypi,pynacl,,753356334,,,,,0.001359,,,29.30,68.54,48.29,100,58.76,26,0,2,1724,75770,44,7.8,1,80,62,18,29.36,78.60,72.49,79.54,60.40,apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,59.57,,gh/8350032
kriskowal/asap,github,612,,npm,1,npm,asap,846181278,,,,,0.000401,,,,29.13,58.01,35.93,100,50.27,2,0,1,5000,18597,8,3.1,0,3,0,3,70.71,46.51,88.16,85.55,70.57,mit,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,,,True,False,True,True,False,59.56,,gh/11295071
smithy-lang/smithy-typescript,github,314,,npm,51,npm,@smithy/types,35998691645,,,,,0.016572,,,,85.47,82.51,54.63,100,69.58,81,0,3,1198,129497,188,6.6,0,187,136,51,19.98,91.16,50.00,74.16,50.98,apache-2.0,registry,False,False,False,0,0,0,False,False,False,False,False,False,,,,,amazon.com,company,True,True,False,True,False,59.56,,gh/208319207
pypa/pip,github,10180,,pypi,1,pypi,pip,,2583276286,,,,,0.003749,,,47.82,75.35,64.92,100,71.27,299,0,5,701,165937,49,7.5,8,2367,2232,135,11.84,83.02,91.63,68.04,49.75,mit,registry,False,False,True,22,0,22,True,False,True,False,False,False,,,psf,nonprofit,,,True,True,True,True,True,59.55,183,gh/1446467
