repo,platform,ecosystem,top_eco_pkg,top_eco_pct,pr_score,openssf_crit,eco_crit,value_score,concentration,complexity,security,workload,risk_score,score,oss,intent,nonprofit,active,eligible,priority,eco_priority,repo_id
isaacs/node-graceful-fs,github,npm,graceful-fs,61.97,68.99,49.68,100,62.90,66.03,54.47,92.71,47.42,63.06,62.98,True,True,True,True,True,110,52,gh/2077020
jonschlinkert/fill-range,github,npm,fill-range,57.43,67.65,37.79,100,55.18,100.00,44.30,77.30,77.91,71.87,62.97,True,True,True,True,True,111,53,gh/27113310
rustcrypto/formats,github,crates,const-oid,37.36,71.78,52.80,100,62.59,61.11,76.47,50.00,68.70,63.30,62.94,True,True,True,True,True,112,24,gh/406051759
debug-js/debug,github,npm,debug,79.53,75.25,53.22,100,67.41,66.39,35.69,82.06,60.97,58.68,62.89,True,True,True,True,True,113,54,gh/2871998
burntsushi/ucd-generate,github,crates,ucd-trie,28.04,67.71,43.72,100,55.81,78.43,74.40,86.48,49.86,70.82,62.87,True,True,True,True,True,114,25,gh/123997498
aio-libs/aiohttp,github,pypi,aiohttp,48.60,76.03,65.33,100,71.66,30.81,85.85,94.98,36.69,55.10,62.84,True,True,True,True,True,115,23,gh/13258039
webmproject/libwebp,github,cpp,libwebp,29.32,57.19,50.33,,48.56,64.31,90.72,95.93,76.66,80.93,62.69,True,True,False,True,False,,,gh/23368445
facebook/zstd,github,cpp,zstd,53.48,73.16,61.41,100,69.51,30.65,93.19,50.00,71.02,56.43,62.63,True,True,False,True,False,,,gh/29759715
ljharb/es-abstract,github,npm,es-abstract,45.96,63.81,46.61,100,58.94,98.59,80.78,50.00,49.24,66.54,62.62,True,True,True,True,True,116,55,gh/28995155
andyperlitch/jsbn,github,npm,jsbn,34.19,59.88,30.95,100,47.98,100.00,52.11,98.84,85.91,81.56,62.56,True,False,True,True,False,,,gh/9710533
react/react,github,npm,react-is,70.30,72.25,70.91,100,76.80,12.34,97.57,72.49,77.25,50.96,62.56,True,True,True,True,True,117,56,gh/10270250
facelessuser/soupsieve,github,pypi,soupsieve,36.57,71.73,46.45,100,58.70,88.68,71.51,50.00,62.04,66.60,62.53,True,True,True,True,True,118,24,gh/160789418
frommi/miniz_oxide,github,crates,miniz_oxide,26.61,67.04,47.61,100,57.93,73.71,82.88,50.00,67.97,67.50,62.53,True,False,True,True,False,,,gh/96124162
dtolnay/quote,github,crates,quote,77.92,83.91,50.75,100,66.63,93.38,39.74,50.00,63.42,58.57,62.47,True,True,True,True,True,119,26,gh/67273122
gnome/libxml2,gitlab,cpp,libxml2,29.50,57.41,,,43.46,89.55,95.02,97.61,78.18,89.77,62.46,True,True,True,True,True,120,14,gl/gnome-1665
benjaminp/six,github,pypi,six,87.93,86.46,50.14,100,67.52,72.11,48.79,56.07,56.30,57.73,62.43,True,False,True,True,False,,,gh/77868600
getsentry/sentry-javascript,github,npm,@sentry/core,51.31,65.19,70.45,100,73.92,14.40,88.04,85.17,71.33,52.68,62.40,True,True,False,True,False,,,gh/3328572
pallets/flask,github,pypi,flask,35.32,71.20,60.54,100,66.98,63.77,65.08,82.06,33.33,58.04,62.35,True,True,True,True,True,121,25,gh/596892
xorg/lib/libxau,gitlab,cpp,libxau,33.32,59.68,,100,73.25,68.99,46.60,50.00,48.86,52.94,62.27,True,True,True,True,True,122,15,gl/freedesktop-706
socketio/socket.io,github,npm,engine.io-parser,26.45,57.19,63.44,100,66.43,84.24,89.06,89.47,17.15,58.25,62.21,True,True,True,True,True,123,57,gh/557980
isaacs/node-mkdirp,github,npm,mkdirp,45.01,63.60,45.62,100,58.23,87.82,43.42,88.17,57.96,66.44,62.20,True,True,True,True,True,124,58,gh/2718248
pkgconf/pkgconf,github,cpp,pkgconf,36.45,63.10,57.44,,55.52,72.82,78.13,72.49,56.58,69.50,62.12,True,True,True,True,True,125,16,gh/4180110
sqlite/sqlite,github,cpp,sqlite,37.32,63.56,50.59,,50.55,62.04,97.40,72.49,77.35,76.29,62.10,True,True,False,True,False,,,gh/176278485
lydell/js-tokens,github,npm,js-tokens,59.22,68.19,35.49,100,54.03,94.11,55.64,80.99,60.79,71.26,62.05,True,False,True,True,False,,,gh/17552490
fb55/entities,github,npm,entities,54.88,66.50,46.32,100,59.93,93.02,59.31,50.00,61.02,64.05,61.96,True,True,True,True,True,126,59,gh/3172629
freetype/freetype,github,cpp,freetype,34.71,60.66,57.00,,54.67,38.22,94.65,90.67,74.08,70.21,61.95,True,False,True,True,False,,,gh/187000659
evanw/node-source-map-support,github,npm,source-map-support,39.00,61.57,48.66,100,59.25,38.03,65.27,92.71,76.40,64.75,61.94,True,True,True,True,True,127,60,gh/7682781
jawah/charset_normalizer,github,pypi,charset-normalizer,61.64,81.47,48.82,100,63.60,93.30,72.52,50.00,38.99,60.27,61.91,True,True,True,True,True,128,26,gh/200259335
protocolbuffers/protobuf,github,pypi,protobuf,76.20,100.00,66.13,100,77.30,24.28,95.97,93.78,27.34,49.44,61.82,True,True,False,True,False,,,gh/23357588
kaelzhang/node-ignore,github,npm,ignore,43.38,63.12,47.85,100,59.36,87.26,40.65,88.17,54.33,64.20,61.73,True,True,True,True,True,129,61,gh/12519245
oauthlib/oauthlib,github,pypi,oauthlib,41.90,73.60,55.20,100,64.67,35.93,67.44,72.49,68.51,58.90,61.72,True,True,True,True,True,130,27,gh/2811323
mysticatea/event-target-shim,github,npm,event-target-shim,39.77,61.80,29.30,100,47.74,100.00,46.86,97.36,88.81,79.78,61.71,True,True,True,True,True,131,62,gh/31137469
pyca/pyopenssl,github,pypi,pyopenssl,30.89,69.72,51.93,100,61.22,55.19,59.18,72.49,63.28,62.21,61.71,True,True,True,True,True,132,28,gh/15778059
storybookjs/storybook,github,npm,@storybook/client-logger,44.73,63.58,75.04,100,75.85,12.91,95.77,72.49,70.71,50.17,61.69,True,True,False,True,False,,,gh/54173593
pillarjs/iconv-lite,github,npm,iconv-lite,53.89,66.19,45.42,100,59.26,68.84,67.35,50.00,73.11,64.16,61.66,True,True,True,True,True,133,63,gh/2743221
dchest/tweetnacl-js,github,npm,tweetnacl,33.21,59.47,47.89,100,58.00,78.07,59.51,99.37,39.89,65.51,61.64,True,False,True,True,False,,,gh/15649752
rich-harris/magic-string,github,npm,magic-string,29.21,58.04,50.09,100,58.78,58.88,62.43,86.48,54.90,64.63,61.64,True,False,True,True,False,,,gh/26143240
acornjs/acorn-jsx,github,npm,acorn-jsx,32.72,59.20,42.03,100,54.41,57.73,55.13,92.71,80.50,69.81,61.63,True,True,True,True,True,134,64,gh/22187098
astral-sh/ruff,github,pypi,ruff,52.34,78.25,69.22,100,74.59,16.48,97.20,50.00,82.64,50.72,61.51,True,True,False,True,False,,,gh/523043277
expressjs/body-parser,github,npm,body-parser,27.92,57.67,54.45,100,61.23,61.82,48.46,82.06,58.80,61.66,61.44,True,True,True,True,True,135,65,gh/15669006
python-jsonschema/referencing,github,pypi,referencing,41.35,73.20,42.21,100,56.78,98.71,47.54,50.00,83.12,66.45,61.43,True,True,True,True,True,137,29,gh/569027868
tapjs/stack-utils,github,npm,stack-utils,25.36,56.72,40.50,100,52.51,80.34,48.85,88.17,77.08,71.86,61.43,True,True,True,True,True,136,66,gh/48974178
nodelib/nodelib,github,npm,@nodelib/fs.stat,58.85,67.98,37.92,100,55.44,69.11,58.70,82.26,64.21,68.04,61.42,True,False,True,True,False,,,gh/129310478
urllib3/urllib3,github,pypi,urllib3,86.04,86.21,61.39,100,74.06,18.90,72.92,94.26,51.81,50.93,61.42,True,True,True,True,True,138,30,gh/2410676
sybrenstuvel/python-rsa,github,pypi,rsa,46.74,74.82,49.47,100,61.84,63.50,46.25,85.17,55.10,60.93,61.38,True,False,True,False,False,,,gh/50107469
python-cffi/cffi,github,pypi,cffi,80.76,85.66,52.49,100,68.14,28.97,84.93,50.00,75.61,55.23,61.35,True,False,True,True,False,,,gh/696427398
fb55/htmlparser2,github,npm,htmlparser2,27.88,57.67,51.04,100,59.18,86.48,56.08,50.00,67.27,63.55,61.33,True,True,True,True,True,139,67,gh/2279062
npm/node-semver,github,npm,semver,77.94,74.86,57.36,100,69.70,32.11,71.37,72.49,50.85,53.91,61.30,True,True,False,True,False,,,gh/1357199
unicode-org/icu4x,github,crates,zerofrom-derive,51.07,75.77,52.34,,55.11,31.16,93.75,82.06,90.02,68.16,61.29,True,True,True,True,True,140,27,gh/243395141
pypa/virtualenv,github,pypi,virtualenv,33.95,80.67,60.21,100,67.59,54.30,66.95,82.06,31.71,55.46,61.23,True,True,True,True,True,141,31,gh/1446474
streamich/memfs,github,npm,memfs,28.15,57.73,55.04,100,61.61,71.16,66.82,50.00,57.38,60.77,61.19,True,True,True,True,True,142,68,gh/37490572
tj/commander.js,github,npm,commander,58.49,67.94,57.58,100,67.19,77.29,62.88,50.00,39.65,55.71,61.18,True,True,True,True,True,143,69,gh/2206953
lokathor/bytemuck,github,crates,bytemuck,31.80,69.59,58.86,100,65.45,59.91,50.31,64.94,54.33,57.11,61.14,True,True,True,True,True,144,28,gh/209673558
pillarjs/path-to-regexp,github,npm,path-to-regexp,35.12,60.36,53.68,100,61.76,88.31,49.26,82.06,37.42,60.46,61.11,True,True,True,True,True,145,70,gh/5265803
gkz/type-check,github,npm,type-check,42.44,62.82,30.74,100,48.97,100.00,43.25,95.78,80.98,76.10,61.05,True,False,True,True,False,,,gh/13182168
jaredwray/cacheable,github,npm,flat-cache,56.27,67.12,58.16,100,67.23,84.59,65.72,50.00,33.93,55.42,61.04,True,False,True,True,False,,,gh/9267870
marshallpierce/rust-base64,github,crates,base64,30.89,68.89,49.21,100,59.50,65.80,56.31,75.40,54.78,62.55,61.01,True,False,True,True,False,,,gh/47371310
faye/websocket-driver-node,github,npm,websocket-driver,29.41,58.12,36.54,100,50.68,100.00,53.21,86.48,63.17,73.43,61.00,True,False,True,True,False,,,gh/9733816
openssl/openssl,github,cpp,openssl,48.84,69.38,71.85,100,74.93,9.27,97.83,98.56,67.99,49.65,60.99,True,True,True,True,True,146,17,gh/7634677
rob--w/proxy-from-env,github,npm,proxy-from-env,30.64,58.69,40.56,100,53.27,100.00,36.86,79.41,81.09,69.80,60.98,True,False,True,True,False,,,gh/52038793
google/brotli,github,pypi,brotli,55.32,97.95,55.97,0,48.91,65.57,89.82,82.06,69.05,76.01,60.97,True,True,False,True,False,,,gh/24993138
postcss/postcss-value-parser,github,npm,postcss-value-parser,65.79,70.62,39.19,100,57.16,40.82,64.42,98.94,67.82,64.81,60.86,True,True,True,True,True,147,71,gh/40920306
browserify/resolve,github,npm,resolve,53.34,66.00,53.04,100,63.76,94.18,55.21,50.00,43.43,57.97,60.80,True,True,True,True,True,148,72,gh/1915099
mpc/mpc,gitlab,cpp,gnumpc,41.80,65.61,,,53.70,73.55,80.44,59.24,63.72,68.74,60.76,True,True,True,True,True,149,18,gl/inria-22470
teddriggs/darling,github,crates,darling_core,29.73,68.55,51.02,100,60.44,75.60,68.90,64.94,40.92,61.00,60.72,True,True,True,True,True,150,29,gh/89984100
psycopg/psycopg2,github,pypi,psycopg2-binary,28.51,68.19,55.41,100,62.92,78.50,76.38,50.00,39.25,58.57,60.71,True,True,True,True,True,151,32,gh/7730829
aio-libs/multidict,github,pypi,multidict,44.39,74.47,52.17,100,63.19,59.29,67.75,50.00,57.55,58.31,60.70,True,True,True,True,True,152,33,gh/51206425
mysticatea/abort-controller,github,npm,abort-controller,37.99,61.27,33.46,100,50.00,100.00,37.69,92.71,83.56,73.51,60.63,True,True,True,True,True,153,73,gh/105228556
vercel/ms,github,npm,ms,83.20,76.99,46.74,100,64.06,59.89,54.45,72.49,45.84,57.37,60.62,True,True,False,True,False,,,gh/3655872
meinersbur/isl,github,cpp,isl,42.39,65.70,40.78,,44.10,98.71,90.86,77.30,69.07,83.19,60.57,True,False,True,True,False,,,gh/37677854
pnggroup/libpng,github,cpp,libpng,38.24,64.07,51.67,,51.54,70.60,88.88,50.00,81.43,71.10,60.54,True,False,True,True,False,,,gh/3768025
eslint/doctrine,github,npm,doctrine,36.84,60.84,39.91,100,53.71,100.00,67.86,50.00,63.65,68.17,60.51,True,True,True,False,False,,,gh/4286644
micromatch/picomatch,github,npm,picomatch,60.37,68.41,53.30,100,64.86,31.28,79.39,50.00,81.74,56.44,60.50,True,True,True,True,True,154,74,gh/156211895
googleapis/google-cloud-python,github,pypi,google-auth,91.95,89.52,68.35,100,79.16,19.54,74.11,50.00,63.08,46.23,60.49,True,True,False,True,False,,,gh/16316451
fb55/css-select,github,npm,css-select,30.03,58.35,45.12,100,55.91,93.06,50.87,50.00,77.16,65.37,60.46,True,True,True,True,True,156,75,gh/3411063
rustcrypto/traits,github,crates,digest,44.00,74.21,52.55,100,63.35,75.36,51.01,50.00,57.70,57.71,60.46,True,True,True,True,True,155,30,gh/85605821
justmoon/node-extend,github,npm,extend,33.06,59.40,47.15,100,57.54,93.13,41.94,77.30,53.84,63.50,60.45,True,True,True,True,True,157,76,gh/3967764
pygments/pygments,github,pypi,pygments,49.01,84.57,60.26,100,69.51,13.05,93.88,93.54,66.67,52.57,60.45,True,False,True,True,False,,,gh/205564111
micromatch/braces,github,npm,braces,50.49,64.99,50.97,100,62.13,33.33,62.65,82.06,69.14,58.67,60.38,True,True,True,True,True,158,77,gh/25475303
hukkin/tomli,github,pypi,tomli,55.95,79.66,46.79,100,61.64,96.05,46.94,50.00,54.12,59.10,60.36,True,False,True,True,False,,,gh/370616797
tkem/cachetools,github,pypi,cachetools,36.14,71.61,50.94,100,61.34,84.91,47.12,50.00,62.24,59.40,60.36,True,True,True,True,True,159,34,gh/18006791
chronotope/chrono,github,crates,chrono,27.11,67.22,56.97,100,63.62,54.60,76.36,50.00,51.50,57.24,60.35,True,False,True,True,False,,,gh/18210201
gkz/prelude-ls,github,npm,prelude-ls,55.48,66.86,35.93,100,53.79,100.00,36.09,92.71,62.73,67.69,60.34,True,False,True,True,False,,,gh/4457759
sindresorhus/execa,github,npm,execa,48.91,64.66,49.87,100,61.28,86.18,59.49,50.00,48.11,59.26,60.26,True,True,True,True,True,160,78,gh/47475908
py4j/py4j,github,pypi,py4j,27.27,67.65,48.27,100,58.45,32.27,66.35,82.26,84.34,62.08,60.24,True,False,True,True,False,,,gh/1045976
pydantic/pydantic,github,pypi,pydantic,53.51,78.40,64.11,100,71.66,14.61,88.19,82.06,62.22,50.64,60.24,True,True,False,True,False,,,gh/90194616
msgpack/msgpack-python,github,pypi,msgpack,28.90,68.38,52.75,100,61.38,72.95,68.75,50.00,48.64,59.10,60.23,True,True,True,True,True,161,35,gh/2242705
micromatch/micromatch,github,npm,micromatch,46.25,63.86,52.10,100,62.27,31.97,55.52,72.49,89.00,58.17,60.19,True,True,True,True,True,162,79,gh/27359938
rust-cli/env_logger,github,crates,env_logger,44.89,74.42,52.60,100,63.49,80.81,46.08,50.00,56.91,57.05,60.18,True,True,True,True,True,163,31,gh/96382888
rust-lang/compiler-builtins,github,crates,libm,35.23,71.16,54.88,100,63.57,57.98,80.92,50.00,44.51,56.84,60.11,True,True,True,True,True,164,32,gh/65153793
libidn/libidn2,gitlab,cpp,libidn2,31.41,58.62,,,45.01,90.77,71.58,77.30,82.58,80.25,60.10,True,False,True,True,False,,,gl/2882658
beatgammit/base64-js,github,npm,base64-js,48.06,64.27,41.95,100,56.40,100.00,25.06,92.71,72.19,64.00,60.08,True,True,True,True,True,165,80,gh/2853282
epoberezkin/fast-deep-equal,github,npm,fast-deep-equal,56.43,67.21,38.97,100,55.75,100.00,23.53,88.17,84.31,64.67,60.04,True,True,True,True,True,166,81,gh/94483360
ardatan/whatwg-node,github,npm,@whatwg-node/promise-helpers,29.01,57.98,48.86,100,58.01,71.50,66.77,50.00,62.26,62.09,60.02,True,True,True,True,True,168,82,gh/429511342
dtolnay/unicode-ident,github,crates,unicode-ident,54.04,76.45,41.77,100,58.11,96.75,50.05,50.00,61.03,62.00,60.02,True,True,True,True,True,167,33,gh/492639579
remusao/tldts,github,npm,tldts,44.92,63.60,54.15,,54.18,73.80,65.40,50.00,81.03,66.50,60.02,True,False,True,True,False,,,gh/97631656
selinuxproject/selinux,github,cpp,libselinux,35.67,62.28,61.00,,57.99,38.44,93.19,50.00,82.86,62.07,60.00,True,False,True,True,False,,,gh/20648799
ethers-io/ethers.js,github,npm,@ethersproject/logger,29.37,58.12,39.06,,40.23,100.00,90.05,77.30,91.96,89.45,59.99,True,True,True,True,True,169,83,gh/63465664
rustcrypto/hashes,github,crates,sha2,35.48,71.26,56.62,100,64.65,33.48,81.35,85.17,41.27,55.62,59.97,True,True,True,True,True,170,34,gh/74106774
burntsushi/jiff,github,crates,jiff,25.41,66.59,50.85,,49.64,89.46,79.73,50.00,76.87,72.36,59.93,True,True,True,True,True,171,35,gh/759017108
blakeembrey/change-case,github,npm,no-case,68.37,71.52,46.31,100,61.77,83.72,48.58,64.94,43.02,58.06,59.89,True,True,True,True,True,172,84,gh/9440238
burntsushi/termcolor,github,crates,termcolor,44.44,74.39,48.70,100,61.10,54.01,49.68,84.48,52.29,58.68,59.88,True,True,True,True,True,173,36,gh/141345580
dtolnay/trybuild,github,crates,trybuild,85.80,85.46,49.66,,58.65,92.20,57.49,50.00,52.47,61.07,59.85,True,True,True,True,True,174,37,gh/184941159
gregberge/svgr,github,npm,@svgr/babel-preset,51.79,65.38,53.67,100,63.92,58.79,61.93,50.00,54.04,56.00,59.83,True,True,True,True,True,175,85,gh/102155012
remix-run/react-router,github,npm,react-router,27.54,57.56,69.80,100,70.39,16.94,88.15,82.06,54.60,50.86,59.83,True,True,False,True,False,,,gh/19872456
chalker/safer-buffer,github,npm,safer-buffer,59.98,68.35,32.67,100,52.44,100.00,29.62,92.71,78.69,68.18,59.79,True,False,True,True,False,,,gh/125825141
requests/requests-oauthlib,github,pypi,requests-oauthlib,39.57,72.53,49.27,100,60.77,61.84,57.34,56.07,60.20,58.82,59.79,True,True,True,True,True,176,36,gh/6825724
thkukuk/rpcsvc-proto,github,cpp,rpcsvc-proto,59.08,78.44,35.77,,44.02,77.06,70.31,98.10,81.56,81.14,59.76,True,False,True,True,False,,,gh/55140533
jquast/wcwidth,github,pypi,wcwidth,34.14,70.88,49.55,100,60.23,60.37,56.66,50.00,72.08,59.25,59.74,True,True,True,True,True,177,37,gh/18464187
vercel/ai,github,npm,ai,26.07,56.97,64.88,,59.04,25.57,91.28,72.49,78.52,60.37,59.70,True,True,False,True,False,,,gh/644461337
ffmpeg/ffmpeg,github,cpp,ffmpeg,25.94,55.36,67.68,,60.92,15.71,97.78,99.76,76.26,58.47,59.68,True,True,True,True,True,178,19,gh/1614410
inspect-js/object-inspect,github,npm,object-inspect,50.37,64.96,40.74,100,55.98,96.65,47.57,51.85,68.49,63.57,59.65,True,True,True,True,True,179,86,gh/11683441
fb55/domhandler,github,npm,domhandler,45.20,63.66,45.09,100,57.94,100.00,34.94,50.00,81.32,61.39,59.64,True,True,True,True,True,180,87,gh/5414232
acornjs/acorn,github,npm,acorn,64.48,70.02,59.82,100,69.34,36.01,87.72,50.00,43.69,51.25,59.61,True,True,True,True,True,181,88,gh/5932749
pyasn1/pyasn1,github,pypi,pyasn1,64.47,81.65,48.22,100,63.54,29.41,80.81,50.00,82.09,55.89,59.59,True,True,True,True,True,182,38,gh/512723255
pyca/pynacl,github,pypi,pynacl,29.30,68.54,48.29,100,58.76,29.36,78.62,72.49,79.51,60.39,59.57,True,False,True,True,False,,,gh/8350032
kriskowal/asap,github,npm,asap,29.13,58.01,35.93,100,50.27,70.71,46.46,88.17,85.53,70.55,59.55,True,False,True,True,False,,,gh/11295071
pypa/pip,github,pypi,pip,47.82,75.35,64.92,100,71.27,11.84,83.04,91.63,67.99,49.75,59.55,True,True,True,True,True,183,39,gh/1446467
smithy-lang/smithy-typescript,github,npm,@smithy/types,85.47,82.51,54.63,100,69.58,19.98,91.17,50.00,74.11,50.97,59.55,True,True,False,True,False,,,gh/208319207
guillaumegomez/doc-comment,github,crates,doc-comment,56.01,77.30,28.45,100,50.40,100.00,33.63,92.71,78.11,70.25,59.50,True,True,True,True,True,184,38,gh/127254922
qix-/color-convert,github,npm,color-convert,61.77,68.74,43.13,100,58.93,66.81,40.17,77.30,62.74,60.06,59.49,True,True,True,True,True,185,89,gh/1874305
istanbuljs/test-exclude,github,npm,test-exclude,25.76,56.85,40.31,100,52.45,100.00,35.06,72.12,81.57,67.39,59.45,True,True,True,True,True,186,90,gh/60489570
holmgren/nettle,gitlab,cpp,nettle,28.79,56.71,,,42.75,84.71,89.75,87.32,70.28,82.65,59.44,True,True,True,True,True,187,20,gl/debian-50952
eslint-community/eslint-utils,github,npm,@eslint-community/eslint-utils,30.95,58.77,44.90,100,55.91,55.57,72.15,50.00,79.09,63.10,59.40,True,True,True,True,True,188,91,gh/568240379
dougwilson/nodejs-depd,github,npm,depd,39.63,61.79,26.92,100,46.29,100.00,46.09,84.48,86.62,76.21,59.39,True,False,True,True,False,,,gh/20848667
dtolnay/ryu,github,crates,ryu,26.36,66.96,42.28,100,54.70,97.99,58.30,50.00,60.00,64.34,59.32,True,True,True,True,True,189,39,gh/142720484
doowb/ansi-colors,github,npm,ansi-colors,31.31,58.86,39.16,100,52.51,82.46,33.82,92.71,77.73,66.96,59.30,True,True,True,True,True,190,92,gh/47135420
micheles/decorator,github,pypi,decorator,32.45,70.50,48.02,100,59.11,69.69,51.15,56.07,62.71,59.50,59.30,True,False,True,True,False,,,gh/14656555
hiddentao/fast-levenshtein,github,npm,fast-levenshtein,32.05,59.05,36.29,100,50.88,100.00,35.26,88.17,73.33,69.10,59.29,True,False,True,True,False,,,gh/9490451
pypa/wheel,github,pypi,wheel,48.19,75.89,54.12,100,64.88,69.72,54.89,72.49,31.06,54.18,59.29,True,True,True,True,True,191,40,gh/98346885
pillarjs/send,github,npm,send,30.77,58.72,51.07,100,59.59,61.84,48.89,72.49,54.97,58.91,59.25,True,True,True,True,True,192,93,gh/4879977
aio-libs/aiobotocore,github,pypi,aiobotocore,51.29,77.53,54.15,100,65.37,68.35,62.12,50.00,38.96,53.63,59.21,True,True,True,True,True,194,41,gh/36618494
gyscos/zstd-rs,github,crates,zstd-sys,26.48,66.98,50.47,100,59.63,69.76,55.05,50.00,62.21,58.79,59.21,True,False,True,True,False,,,gh/52115335
sboudrias/inquirer.js,github,npm,inquirer,54.03,66.22,60.71,100,68.45,81.90,81.77,50.00,20.56,51.22,59.21,True,True,True,True,True,193,94,gh/10114077
jonschlinkert/get-value,github,npm,get-value,32.24,59.10,34.32,100,49.73,70.71,53.15,100.00,65.61,70.47,59.20,True,True,True,True,True,195,95,gh/24911025
boto/boto3,github,pypi,boto3,74.79,84.24,63.30,100,73.88,89.98,54.48,50.00,20.59,47.40,59.18,True,True,False,True,False,,,gh/24774658
rust-num/num-traits,github,crates,num-traits,41.98,73.56,50.82,100,62.05,56.50,45.96,56.07,69.72,56.45,59.18,True,False,True,True,False,,,gh/114705611
krb5/krb5,github,cpp,krb5,29.89,57.99,56.45,0,42.66,65.60,93.42,95.69,77.40,82.08,59.17,True,True,True,True,True,196,21,gh/4307702
radix-ui/primitives,github,npm,@radix-ui/react-compose-refs,72.86,73.02,53.92,100,66.94,22.35,74.14,56.07,80.17,52.24,59.13,True,True,False,True,False,,,gh/273499522
executablebooks/mdurl,github,pypi,mdurl,40.56,72.82,28.69,100,48.55,93.86,55.74,80.99,63.37,71.98,59.12,True,False,True,True,False,,,gh/387293763
textualize/rich,github,pypi,rich,38.61,72.14,57.80,100,65.76,35.50,77.69,50.00,57.66,53.10,59.09,True,True,True,True,True,197,42,gh/220809393
pcre2project/pcre2,github,cpp,pcre,38.71,64.25,50.48,,50.73,34.45,92.93,88.04,78.60,68.61,59.00,True,False,True,True,False,,,gh/398251321
gkz/optionator,github,npm,optionator,33.67,59.64,35.70,100,50.75,86.90,49.82,72.12,70.66,68.54,58.98,True,False,True,True,False,,,gh/13435927
postcss/postcss-selector-parser,github,npm,postcss-selector-parser,57.78,67.75,48.93,100,61.91,30.00,71.66,72.12,64.06,56.14,58.95,True,True,True,True,True,198,96,gh/36500102
webpack/loader-utils,github,npm,loader-utils,40.71,62.06,53.91,100,62.62,68.86,53.09,85.17,30.39,55.46,58.93,True,True,True,False,False,,,gh/6503675
python-jsonschema/jsonschema,github,pypi,jsonschema,37.01,71.95,53.17,100,62.80,82.70,63.67,50.00,35.36,55.24,58.90,True,True,True,True,True,199,43,gh/3072629
python/typing_extensions,github,pypi,typing-extensions,95.04,92.68,53.08,100,70.62,31.48,67.84,50.00,54.13,49.03,58.84,True,True,True,True,True,200,44,gh/494077289
sinonjs/fake-timers,github,npm,@sinonjs/fake-timers,29.17,58.02,54.57,100,61.46,56.92,70.00,50.00,50.45,56.31,58.83,True,True,True,True,True,201,97,gh/16523712
cuviper/autocfg,github,crates,autocfg,38.82,72.21,41.10,100,55.76,80.25,32.98,79.41,70.38,62.02,58.81,True,False,True,True,False,,,gh/135481335
epoberezkin/fast-json-stable-stringify,github,npm,fast-json-stable-stringify,35.76,60.54,35.45,100,50.90,100.00,32.37,95.78,68.78,67.95,58.81,True,True,True,True,True,202,98,gh/108103016
micromatch/to-regex-range,github,npm,to-regex-range,62.40,69.09,32.11,100,52.41,100.00,40.89,79.41,58.41,65.99,58.81,True,True,True,True,True,203,99,gh/40355891
taiki-e/pin-project-lite,github,crates,pin-project-lite,34.24,70.80,41.72,100,55.54,89.39,49.82,50.00,67.22,62.20,58.78,True,True,True,True,True,204,40,gh/216847853
tokio-rs/prost,github,crates,prost,29.09,68.34,51.61,100,60.71,29.11,76.92,82.06,57.06,56.90,58.77,True,True,True,True,True,205,41,gh/94262864
kilian/electron-to-chromium,github,npm,electron-to-chromium,40.49,62.01,55.01,100,63.26,99.88,29.00,50.00,61.23,54.57,58.75,True,True,True,True,True,206,100,gh/78972540
assert-rs/snapbox,github,crates,snapbox,34.97,71.09,47.15,,48.62,95.13,66.79,50.00,79.61,70.92,58.72,True,True,True,True,True,207,42,gh/424722460
jonschlinkert/is-number,github,npm,is-number,65.52,70.56,32.83,100,53.31,100.00,24.41,92.71,77.19,64.65,58.71,True,True,True,True,True,208,101,gh/24313173
rich-harris/estree-walker,github,npm,estree-walker,29.78,58.24,39.89,100,52.74,62.27,44.83,96.52,67.72,65.36,58.71,True,False,True,True,False,,,gh/33668779
eslint/js,github,npm,eslint-visitor-keys,69.96,71.96,59.10,100,69.65,20.37,91.41,50.00,64.34,49.47,58.70,True,True,True,True,True,209,102,gh/27620277
rvagg/through2,github,npm,through2,29.25,58.07,45.32,100,55.92,100.00,21.06,86.48,78.86,61.56,58.67,True,False,True,True,False,,,gh/11808187
loganfsmyth/gensync,github,npm,gensync,27.24,57.45,29.43,100,46.13,100.00,40.25,99.58,77.13,74.57,58.65,True,False,True,True,False,,,gh/132383032
jsdom/tr46,github,npm,tr46,43.20,63.06,37.82,100,53.32,86.24,51.46,79.41,49.00,64.46,58.63,True,True,True,True,True,210,103,gh/36964214
jaredwray/keyv,github,npm,keyv,41.55,62.48,55.14,100,63.49,89.44,63.08,50.00,30.36,54.10,58.61,True,False,True,True,False,,,gh/96540810
lddubeau/xmlchars,github,npm,xmlchars,28.11,57.73,31.10,100,47.24,96.08,48.19,84.48,71.29,72.67,58.59,True,False,True,False,False,,,gh/139881982
smithy-lang/smithy-rs,github,crates,aws-smithy-types,30.38,68.73,56.41,100,63.76,16.58,81.25,72.49,85.87,53.81,58.57,True,True,False,True,False,,,gh/308027791
facebook/prop-types,github,npm,prop-types,30.24,58.42,50.37,100,59.09,63.71,51.73,50.00,68.88,58.04,58.56,True,True,True,False,False,,,gh/87597642
