repo,repo_id,gh_sponsors_enabled,gh_sponsorships_in,gh_sponsorships_out,gh_sponsorships,gh_sponsorships_p,gh_stars,gh_forks,has_funding_links,has_funding_yml,funding_link_platforms,has_funding_json,has_npm_funding,npm_funding_url,has_pypi_funding,pypi_funding_platforms,bf_maintainer_fundable,channels_count,oc_slug,oc_avg_funding,oc_avg_funding_p,host,host_type,owner,owner_type,host_score,score,intent,nonprofit
azure/msrest-for-python,gh/71186468,,,0,0,100.0,42,69,,,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
azuread/microsoft-authentication-library-for-python,gh/67243113,False,0,0,0,100.0,958,214,False,False,,False,False,,False,,False,0,,0,100.0,,,microsoft.com,company,0,1,True,False
babel/babel,gh/24560307,True,42,0,42,17.58,43896,5812,True,True,"github,open_collective",False,False,,False,,True,2,babel,65464.75,0.66,,,,,1,11,True,True
babel/babel-polyfills,gh/190579283,True,42,0,42,17.58,356,61,True,True,"github,open_collective",False,False,,False,,True,2,babel,65464.75,0.66,,,,,1,11,True,True
babel/minify,gh/55723051,True,42,0,42,17.58,4376,219,True,True,"github,open_collective",False,False,,False,,False,2,babel,65464.75,0.66,,,,,1,11,True,True
bdwgc/bdwgc,gh/2109456,False,0,0,0,100.0,3453,434,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
beatgammit/base64-js,gh/2853282,False,0,0,0,100.0,882,390,False,False,,False,True,https://github.com/sponsors/feross,False,,True,1,,0,100.0,,,,,1,79,True,True
benjaminp/six,gh/77868600,False,0,0,0,100.0,1019,273,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
besser82/libxcrypt,gh/35503965,False,0,0,0,100.0,235,62,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
bincode-org/bincode,gh/24130045,,,,0,100.0,3073,309,,,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
bitflags/bitflags,gh/29287955,False,0,0,0,100.0,1124,163,False,False,,False,False,,False,,False,0,,0,100.0,,,,,1,100,False,True
blakeembrey/array-flatten,gh/17789771,True,10,3,13,27.29,86,20,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,65,True,True
blakeembrey/change-case,gh/9440238,True,10,3,13,27.29,2402,102,True,True,github,False,False,,False,,True,1,,0,100.0,,,,,1,65,True,True
