repo,repo_id,eol,archived,mirror,active
definitelytyped/definitelytyped,6093316,False,False,False,True
defunctzombie/node-process,7580644,False,False,False,True
django/asgiref,48501860,False,False,False,True
djc/rustc-version-rs,41272773,False,False,False,True
dmitrysoshnikov/regexp-tree,85459304,False,False,False,True
docutils/docutils,44840244,False,False,False,True
dominictarr/through,4885140,False,True,False,False
doowb/ansi-colors,47135420,False,False,False,True
douglasdwyer/wasm_sync,668034655,False,False,False,True
dougwilson/nodejs-depd,20848667,False,False,False,True
dtolnay/anyhow,212936374,False,False,False,True
dtolnay/automod,173074854,False,False,False,True
dtolnay/dissimilar,229514821,False,False,False,True
dtolnay/indoc,54252316,False,False,False,True
dtolnay/itoa,61962375,False,False,False,True
dtolnay/no-panic,143469762,False,False,False,True
dtolnay/paste,155652490,False,True,False,False
dtolnay/proc-macro2,91860126,False,False,False,True
dtolnay/quote,67273122,False,False,False,True
dtolnay/ref-cast,106295902,False,False,False,True
dtolnay/rustversion,183990447,False,False,False,True
dtolnay/ryu,142720484,False,False,False,True
dtolnay/semver,22432442,False,False,False,True
dtolnay/syn,67305738,False,False,False,True
dtolnay/target-triple,734167706,False,False,False,True
dtolnay/thiserror,213836768,False,False,False,True
dtolnay/trybuild,184941159,False,False,False,True
dtolnay/unicode-ident,492639579,False,False,False,True
eemeli/yaml,119439276,False,False,False,True
ehmicky/human-signals,214467546,False,False,False,True
eliben/pycparser,10589864,False,False,False,True
emotion-js/emotion,92570536,False,False,False,True
encode/httpcore,237210639,False,False,False,True
encode/httpx,179492861,False,False,False,True
epoberezkin/fast-deep-equal,94483360,False,False,False,True
epoberezkin/fast-json-stable-stringify,108103016,False,False,False,True
epoberezkin/json-schema-traverse,93333933,False,False,False,True
es-shims/array-includes,28753032,False,False,False,True
es-shims/dunder-proto,898274312,False,False,False,True
es-shims/es-object-atoms,773229339,False,False,False,True
es-shims/es-set-tostringtag,580683868,False,False,False,True
es-shims/math-intrinsics,902014040,False,False,False,True
es-shims/object.values,41723335,False,False,False,True
es-shims/regexp.prototype.flags,26932422,False,False,False,True
es-shims/string.prototype.trimend,114682758,False,False,False,True
es-shims/string.prototype.trimstart,114682105,False,False,False,True
eslint-community/eslint-utils,568240379,False,False,False,True
eslint/doctrine,4286644,False,True,False,False
eslint/eslint,11061773,False,False,False,True
eslint/js,27620277,False,False,False,True
eslint/rewrite,791446923,False,False,False,True
estools/escodegen,3611422,False,False,False,True
estools/esquery,11412938,False,False,False,True
estools/esrecurse,27429822,False,False,False,True
estools/estraverse,6145439,False,False,False,True
estools/esutils,14677293,False,False,False,True
ethers-io/ethers.js,63465664,False,False,False,True
evanw/esbuild,61137153,False,False,False,True
evanw/node-source-map-support,7682781,False,False,False,True
