repo,repo_id,license,license_source,oss
colinhacks/zod,gh/245704608,mit,registry,True
colorjs/color-name,gh/27038309,mit,registry,True
comex/rust-shlex,gh/37886228,mit or apache-2.0,registry,True
component/escape-html,gh/5444800,mit,registry,True
component/toidentifier,gh/114743189,mit,registry,True
composefs/tar-rs,gh/21946092,mit or apache-2.0,registry,True
conventional-changelog/commitlint,gh/51575745,mit,registry,True
conventional-changelog/conventional-changelog,gh/15639771,mit,registry,True
cosmiconfig/cosmiconfig,gh/45750507,mit,registry,True
coveragepy/coveragepy,gh/138421996,apache-2.0,registry,True
cpburnz/python-pathspec,gh/14648551,mpl-2.0,registry,True
cpython-team/python3-defaults,gl/debian-27547,psf-2.0,override,True
crate-py/rpds,gh/608018848,mit,registry,True
criterion-rs/criterion.rs,gh/1081104682,apache-2.0 or mit,registry,True
crossbeam-rs/crossbeam,gh/35566048,mit or apache-2.0,registry,True
css-modules/icss-utils,gh/42766912,isc,registry,True
cssnano/cssnano,gh/33943153,mit,registry,True
csstools/postcss-plugins,gh/219192307,mit-0,registry,True
csstree/csstree,gh/67236461,mit,registry,True
curl/curl,gh/569041,curl,registry,True
cuviper/autocfg,gh/135481335,apache-2.0 or mit,registry,True
cyan4973/xxhash,gh/19330466,bsd-2-clause and gpl-2.0-or-later,registry,True
daaku/nodejs-makeerror,gh/2097803,bsd-3-clause,registry,True
daaku/nodejs-tmpl,gh/2171213,bsd-3-clause,registry,True
dateutil/dateutil,gh/26876372,apache-2.0,registry,True
davidhalter/parso,gh/90668463,mit,registry,True
davisjam/safe-regex,gh/90781457,mit,registry,True
dchest/tweetnacl-js,gh/15649752,unlicense,registry,True
dcodeio/long.js,gh/8678904,apache-2.0,registry,True
debian/ca-certificates,gl/debian-2995,gpl-2.0-or-later and mpl-2.0,override,True
debian/gdbm,gl/debian-32157,gpl-3.0,gitlab,True
debian/giflib,gl/debian-12522,mit,gitlab,True
debug-js/debug,gh/2871998,mit,registry,True
definitelytyped/definitelytyped,gh/6093316,mit,registry,True
defunctzombie/node-process,gh/7580644,mit,registry,True
django/asgiref,gh/48501860,bsd-3-clause,registry,True
djc/rustc-version-rs,gh/41272773,mit or apache-2.0,registry,True
dmitrysoshnikov/regexp-tree,gh/85459304,mit,registry,True
docutils/docutils,gh/44840244,bsd-3-clause,registry,True
dominictarr/through,gh/4885140,mit,registry,True
doowb/ansi-colors,gh/47135420,mit,registry,True
douglasdwyer/wasm_sync,gh/668034655,mit or apache-2.0,registry,True
dougwilson/nodejs-depd,gh/20848667,mit,registry,True
dtolnay/anyhow,gh/212936374,mit or apache-2.0,registry,True
dtolnay/automod,gh/173074854,mit or apache-2.0,registry,True
dtolnay/dissimilar,gh/229514821,apache-2.0,registry,True
dtolnay/indoc,gh/54252316,mit or apache-2.0,registry,True
dtolnay/itoa,gh/61962375,mit or apache-2.0,registry,True
dtolnay/no-panic,gh/143469762,mit or apache-2.0,registry,True
