repo,repo_id,oss,intent,nonprofit,active,eligible
composefs/tar-rs,gh/21946092,True,False,True,True,False
conventional-changelog/commitlint,gh/51575745,True,False,True,True,False
conventional-changelog/conventional-changelog,gh/15639771,True,False,True,True,False
cosmiconfig/cosmiconfig,gh/45750507,True,True,True,True,True
coveragepy/coveragepy,gh/138421996,True,True,True,True,True
cpburnz/python-pathspec,gh/14648551,True,False,True,True,False
crate-py/rpds,gh/608018848,True,True,True,True,True
criterion-rs/criterion.rs,gh/1081104682,True,False,True,True,False
crossbeam-rs/crossbeam,gh/35566048,True,True,True,True,True
css-modules/icss-utils,gh/42766912,True,False,True,True,False
cssnano/cssnano,gh/33943153,True,True,True,True,True
csstools/postcss-plugins,gh/219192307,True,True,True,True,True
csstree/csstree,gh/67236461,True,True,True,True,True
curl/curl,gh/569041,True,True,True,True,True
cuviper/autocfg,gh/135481335,True,False,True,True,False
cyan4973/xxhash,gh/19330466,True,False,True,True,False
daaku/nodejs-makeerror,gh/2097803,True,False,True,True,False
daaku/nodejs-tmpl,gh/2171213,True,False,True,True,False
dateutil/dateutil,gh/26876372,True,False,True,True,False
davidhalter/parso,gh/90668463,True,True,True,True,True
davisjam/safe-regex,gh/90781457,True,False,True,True,False
dchest/tweetnacl-js,gh/15649752,True,False,True,True,False
dcodeio/long.js,gh/8678904,True,True,True,True,True
debug-js/debug,gh/2871998,True,True,True,True,True
definitelytyped/definitelytyped,gh/6093316,True,True,False,True,False
defunctzombie/node-process,gh/7580644,True,False,True,True,False
django/asgiref,gh/48501860,True,True,True,True,True
djc/rustc-version-rs,gh/41272773,True,True,True,True,True
dmitrysoshnikov/regexp-tree,gh/85459304,True,False,True,True,False
docutils/docutils,gh/44840244,True,False,True,True,False
dominictarr/through,gh/4885140,True,False,True,False,False
doowb/ansi-colors,gh/47135420,True,True,True,True,True
douglasdwyer/wasm_sync,gh/668034655,True,False,True,True,False
dougwilson/nodejs-depd,gh/20848667,True,False,True,True,False
dtolnay/anyhow,gh/212936374,True,True,True,True,True
dtolnay/automod,gh/173074854,True,True,True,True,True
