"package","github_repo","avg_downloads","2021","2022","2023","2024","2025","top","pagerank","value_class","git","eco_guess","repo_id","canonical_url","license"
"google-api-core","googleapis/google-cloud-python","2236370926","567165009","1623981816","2342012496","2884891763","3763803545","True","0.00522628","A","https://github.com/googleapis/google-cloud-python.git","override","gh/16316451","","apache-2.0"
"aiobotocore","aio-libs/aiobotocore","2956990331","139136284","628875971","1590753894","4253928672","8172256834","True","0.00518442","A","https://github.com/aio-libs/aiobotocore.git","eco","gh/36618494","","apache-2.0"
"tzdata","python/tzdata","980671259","24894266","249741375","400468275","1347409545","2880842832","True","0.00503196","A","https://github.com/python/tzdata.git","eco","gh/242158882","","apache-2.0"
"click","pallets/click","2205629807","833749528","1581745532","1728827377","2646174092","4237652506","True","0.00498804","A","https://github.com/pallets/click.git","eco","gh/19103692","","bsd-3-clause"
"grpcio-status","grpc/grpc","2647854552","10408703","285579667","1581322214","3699558895","7662403279","True","0.00448175","A","https://github.com/grpc/grpc.git","override","gh/27729880","","apache-2.0"
"googleapis-common-protos","googleapis/google-cloud-python","1366930366","347876970","684067014","1149548307","1824675788","2828483750","True","0.00440779","A","https://github.com/googleapis/google-cloud-python.git","override","gh/16316451","","apache-2.0"
"fsspec","fsspec/filesystem_spec","2163350501","271169237","560201671","1380110791","3481716484","5123554324","True","0.00432716","A","https://github.com/fsspec/filesystem_spec.git","eco","gh/130727736","","bsd-3-clause"
"pyasn1-modules","pyasn1/pyasn1-modules","1257766185","444627615","730815667","805762970","1511577714","2796046957","True","0.0042668","A","https://github.com/pyasn1/pyasn1-modules.git","eco","gh/512723354","","bsd-3-clause"
"pygments","pygments/pygments","1272635800","342938974","436467513","716169282","1563187381","3304415852","True","0.00420372","A","https://github.com/pygments/pygments.git","eco","gh/205564111","","bsd-2-clause"
"aiohttp","aio-libs/aiohttp","1364411643","448183618","682709480","922685405","1742611041","3025868669","True","0.0041489","A","https://github.com/aio-libs/aiohttp.git","eco","gh/13258039","",""
"wheel","pypa/wheel","2512298844","1017581748","1495282310","2491794079","4112603107","3444232975","True","0.00406374","A","https://github.com/pypa/wheel.git","eco","gh/98346885","","mit"
"pip","pypa/pip","2583276286","1092140658","1345627512","1971335688","3821158354","4686119217","True","0.00374875","A","https://github.com/pypa/pip.git","eco","gh/1446467","","mit"
"pandas","pandas-dev/pandas","2161090814","732517067","1121075234","1515840670","2839484621","4596536480","True","0.00370674","A","https://github.com/pandas-dev/pandas.git","eco","gh/858127","","bsd-3-clause"
"pydantic","pydantic/pydantic","1826321825","115256729","346056251","1039639827","2700735836","4929920483","True","0.0036997","A","https://github.com/pydantic/pydantic.git","eco","gh/90194616","","mit"
"jinja2","pallets/jinja","1946778150","842206301","1421082517","1375586436","2299532680","3795482818","True","0.00362221","A","https://github.com/pallets/jinja.git","eco","gh/994551","","bsd-3-clause"
