"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess","llm_guess"
"apache-airflow-microsoft-fabric-plugin","https://github.com/ambika-garg/apache-airflow-microsoft-fabric-plugin.git","","","","","","",""
"apache-airflow-providers-airbyte","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-amazon","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-apache-cassandra","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-cncf-kubernetes","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-common-compat","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-common-io","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-common-sql","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-databricks","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-docker","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-fab","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-ftp","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-google","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-http","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-imap","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-microsoft-azure","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-microsoft-mssql","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-mysql","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-postgres","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-sftp","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-slack","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-smtp","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-snowflake","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-sqlite","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-ssh","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-providers-standard","https://github.com/apache/airflow.git","","","","","","",""
"apache-airflow-task-sdk","https://github.com/apache/airflow.git","","","","","","",""
"apache-beam","https://github.com/apache/beam.git","","","","","","","git,github"
"apache-flink","","","","","","","",""
"apache-flink-libraries","","","","","","","",""
"apache-sedona","https://github.com/apache/sedona.git","","","","","","",""
"apache-tvm-ffi","https://github.com/apache/tvm-ffi.git","","","","","","",""
"apipkg","https://github.com/pytest-dev/apipkg.git","","","","","","",""
"apispec","https://github.com/marshmallow-code/apispec.git","","","","","","",""
"aplus","","","","","","","",""
"appdirs","https://github.com/activestate/appdirs.git","","","","","","",""
"appium-python-client","https://github.com/appium/python-client.git","","","","","","",""
"applicationinsights","https://github.com/microsoft/applicationinsights-python.git","","","","","","",""
"appnope","https://github.com/minrk/appnope.git","","","","","","",""
"apprise","https://github.com/caronc/apprise.git","","","","","","",""
"apscheduler","https://github.com/agronholm/apscheduler.git","","","","","","",""
"apsw","https://github.com/rogerbinns/apsw.git","","","","","","",""
"apswutils","https://github.com/answerdotai/apswutils.git","","","","","","",""
"arabic-reshaper","https://github.com/mpcabd/python-arabic-reshaper.git","","","","","","",""
"argcomplete","https://github.com/kislyuk/argcomplete.git","","","","","","",""
"argon2-cffi","https://github.com/hynek/argon2-cffi.git","","","","","","",""
"argon2-cffi-bindings","https://github.com/hynek/argon2-cffi-bindings.git","","","","","","",""
"argparse","https://github.com/thomaswaldmann/argparse.git","","","","","","",""
"arpeggio","https://github.com/textx/arpeggio.git","","","","","","",""
"array-api-compat","https://github.com/data-apis/array-api-compat.git","","","","","","",""
"array-api-strict","https://github.com/data-apis/array-api-strict.git","","","","","","",""
"array-record","https://github.com/google/array_record.git","","","","","","",""
"arro3-core","","","","","","","",""
"arrow","https://github.com/arrow-py/arrow.git","","","","","","",""
"arviz","https://github.com/arviz-devs/arviz.git","","","","","","",""
"arviz-base","https://github.com/arviz-devs/arviz-base.git","","","","","","",""
"arviz-plots","https://github.com/arviz-devs/arviz-plots.git","","","","","","",""
"arviz-stats","https://github.com/arviz-devs/arviz-stats.git","","","","","","",""
"asana","https://github.com/asana/python-asana.git","","","","","","",""
"asgi-lifespan","https://github.com/florimondmanca/asgi-lifespan.git","","","","","","",""
"asgiref","https://github.com/django/asgiref.git","","","","","","",""
"asn1crypto","https://github.com/wbond/asn1crypto.git","","","","","","",""
"asteval","https://github.com/lmfit/asteval.git","","","","","","",""
"astor","https://github.com/berkerpeksag/astor.git","","","","","","",""
"astroid","https://github.com/pylint-dev/astroid.git","","","","","","",""
"astronomer-cosmos","https://github.com/astronomer/astronomer-cosmos.git","","","","","","",""
"astropy","https://github.com/astropy/astropy.git","","","","","","",""
"astropy-iers-data","https://github.com/astropy/astropy-iers-data.git","","","","","","",""
"asttokens","https://github.com/gristlabs/asttokens.git","","","","","","",""
"astunparse","https://github.com/simonpercivall/astunparse.git","","","","","","",""
"asv","https://github.com/airspeed-velocity/asv.git","","","","","","",""
"asv-runner","https://github.com/airspeed-velocity/asv_runner.git","","","","","","",""
"async-generator","https://github.com/python-trio/async_generator.git","","","","","","",""
"async-lru","https://github.com/aio-libs/async-lru.git","","","","","","",""
"async-property","https://github.com/ryananguiano/async_property.git","","","","","","",""
"async-timeout","https://github.com/aio-libs/async-timeout.git","","","","","","",""
"asyncio","https://github.com/python/asyncio.git","","","","","","",""
"asyncpg","https://github.com/magicstack/asyncpg.git","","","","","","",""
"asyncssh","https://github.com/ronf/asyncssh.git","","","","","","",""
"asynctest","https://github.com/martiusweb/asynctest.git","","","","","","",""
"atheris","https://github.com/google/atheris.git","","","","","","",""
"atlassian-jwt-auth","https://github.com/atlassian/asap-authentication-python.git","","","","","","",""
"atlassian-python-api","https://github.com/atlassian-api/atlassian-python-api.git","","","","","","",""
"atomicwrites","https://github.com/untitaker/python-atomicwrites.git","","","","","","",""
"atpublic","","https://gitlab.com/warsaw/public/issues.git","","","","","",""
"attrs","https://github.com/sponsors/hynek.git","","","","","","",""
"audioop-lts","https://github.com/sponsors/abstractumbra.git","","","","","","",""
"audioread","https://github.com/beetbox/audioread.git","","","","","","",""
"auditwheel","https://github.com/pypa/auditwheel.git","","","","","","",""
"aurelio-sdk","","","","","","","",""
"auth0-python","https://github.com/auth0/auth0-python.git","","","","","","",""
"authlib","https://github.com/sponsors/lepture.git","","","","","","",""
"autobahn","https://github.com/crossbario/autobahn-python.git","","","","","","",""
"autocommand","https://github.com/lucretiel/autocommand.git","","","","","","",""
"autoflake","","","","","","","",""
"autograd","https://github.com/hips/autograd.git","","","","","","",""
"autograd-gamma","https://github.com/camdavidsonpilon/autograd-gamma.git","","","","","","",""
"automat","https://github.com/glyph/automat.git","","","","","","",""
"autopage","https://github.com/zaneb/autopage.git","","","","","","",""
"autopep8","https://github.com/hhatto/autopep8.git","","","","","","",""
"av","https://github.com/pyav-org/pyav.git","","","","","","",""
