"repo","platform","repo_id","git_url","mirror_url","git_valid","ecosystems","packages","top_eco","top_eco_pkg","top_eco_pct","pr_score","class","class_npm","class_pypi","class_crates","class_cpp","openssf_crit","eco_crit","value_score"
"raynos/xtend","github","gh/4419184","https://github.com/raynos/xtend.git","","True","npm","1","npm","xtend","29.2908","58.08","A","A","","","","39.20","1","52.26"
"jshttp/content-type","github","gh/30172150","https://github.com/jshttp/content-type.git","","True","npm","1","npm","content-type","32.4803","59.14","A","A","","","","38.48","1","52.25"
"sindresorhus/onetime","github","gh/14847357","https://github.com/sindresorhus/onetime.git","","True","npm","1","npm","onetime","46.1546","63.86","A","A","","","","35.31","1","52.19"
"isaacs/minizlib","github","gh/86429676","https://github.com/isaacs/minizlib.git","","True","npm","1","npm","minizlib","27.8051","57.65","A","A","","","","39.39","1","52.18"
"jslicense/spdx-correct.js","github","gh/34817196","https://github.com/jslicense/spdx-correct.js.git","","True","npm","1","npm","spdx-correct","30.5485","58.66","A","A","","","","38.72","1","52.15"
"jonschlinkert/isobject","github","gh/21342886","https://github.com/jonschlinkert/isobject.git","","True","npm","1","npm","isobject","57.2565","67.62","A","A","","","","32.68","1","52.10"
"ljharb/object-keys","github","gh/9103992","https://github.com/ljharb/object-keys.git","","True","npm","1","npm","object-keys","47.4443","64.13","A","A","","","","34.89","1","52.09"
"defunctzombie/node-process","github","gh/7580644","https://github.com/defunctzombie/node-process.git","","True","npm","1","npm","process","41.708","62.55","A","A","","","","36.09","1","52.08"
"jshttp/forwarded","github","gh/24300217","https://github.com/jshttp/forwarded.git","","True","npm","1","npm","forwarded","30.2872","58.47","A","A","","","","38.51","1","51.98"
"ryanzim/universalify","github","gh/87651180","https://github.com/ryanzim/universalify.git","","True","npm","1","npm","universalify","57.6027","67.67","A","A","","","","32.41","1","51.97"
"micromatch/is-glob","github","gh/28179425","https://github.com/micromatch/is-glob.git","","True","npm","1","npm","is-glob","58.1295","67.85","A","A","","","","32.27","1","51.96"
"isaacs/fs-minipass","github","gh/102982143","https://github.com/isaacs/fs-minipass.git","","True","npm","2","npm","fs-minipass","31.4507","58.89","A","A","","","","38.17","1","51.94"
"lovell/detect-libc","github","gh/96149091","https://github.com/lovell/detect-libc.git","","True","npm","1","npm","detect-libc","25.0014","56.60","A","A","","","","39.63","1","51.94"
"mafintosh/pump","github","gh/12118126","https://github.com/mafintosh/pump.git","","True","npm","1","npm","pump","35.705","60.54","A","A","","","","37.13","1","51.90"
"mathiasbynens/regenerate","github","gh/10182772","https://github.com/mathiasbynens/regenerate.git","","True","npm","1","npm","regenerate","34.6769","60.08","A","A","","","","37.34","1","51.88"
"sindresorhus/callsites","github","gh/18938743","https://github.com/sindresorhus/callsites.git","","True","npm","1","npm","callsites","47.6479","64.16","A","A","","","","34.36","1","51.80"
"pillarjs/encodeurl","github","gh/60721766","https://github.com/pillarjs/encodeurl.git","","True","npm","1","npm","encodeurl","35.1809","60.38","A","A","","","","36.92","1","51.71"
"jshttp/media-typer","github","gh/20814275","https://github.com/jshttp/media-typer.git","","True","npm","1","npm","media-typer","30.3302","58.48","A","A","","","","37.93","1","51.64"
"sindresorhus/path-exists","github","gh/34965664","https://github.com/sindresorhus/path-exists.git","","True","npm","1","npm","path-exists","43.9042","63.29","A","A","","","","34.80","1","51.60"
"feross/ieee754","github","gh/15489525","https://github.com/feross/ieee754.git","","True","npm","2","npm","ieee754","55.3276","66.81","A","A","","","","32.27","1","51.58"
"json-c/json-c","github","gh/1139119","https://github.com/json-c/json-c.git","","True","cpp","1","cpp","json-c","39.6989","64.35","A","","","","A","51.30","","51.48"
"pnggroup/libpng","github","gh/3768025","https://github.com/pnggroup/libpng.git","","True","cpp","1","cpp","libpng","37.7815","63.95","A","","","","A","51.67","","51.47"
"es-shims/regexp.prototype.flags","github","gh/26932422","https://github.com/es-shims/regexp.prototype.flags.git","","True","npm","1","npm","regexp.prototype.flags","26.9142","57.35","A","A","","","","38.32","1","51.42"
"ljharb/gopd","github","gh/560708130","https://github.com/ljharb/gopd.git","","True","npm","1","npm","gopd","66.0625","70.71","A","A","","","","29.49","1","51.37"
"syntax-tree/unist-util-is","github","gh/41795086","https://github.com/syntax-tree/unist-util-is.git","","True","npm","1","npm","unist-util-is","25.4607","56.75","A","A","","","","38.56","1","51.36"
"medikoo/es6-symbol","github","gh/14423385","https://github.com/medikoo/es6-symbol.git","","True","npm","1","npm","es6-symbol","28.2647","57.76","A","A","","","","37.89","1","51.34"
"","","","","","False","pypi","1","pypi","beautifulsoup4","32.2245","70.40","A","","A","","","","","51.31"
"sindresorhus/slash","github","gh/11516031","https://github.com/sindresorhus/slash.git","","True","npm","1","npm","slash","50.7201","65.08","A","A","","","","32.84","1","51.28"
"ljharb/es-errors","github","gh/752160492","https://github.com/ljharb/es-errors.git","","True","npm","1","npm","es-errors","81.9063","76.16","A","A","","","","25.76","1","51.26"
"ka-weihe/fastest-levenshtein","github","gh/158960628","https://github.com/ka-weihe/fastest-levenshtein.git","","True","npm","1","npm","fastest-levenshtein","33.616","59.63","A","A","","","","36.52","1","51.24"
"grncdr/merge-stream","github","gh/10579821","https://github.com/grncdr/merge-stream.git","","True","npm","1","npm","merge-stream","32.1955","59.09","A","A","","","","36.85","1","51.24"
"cyan4973/xxhash","github","gh/19330466","https://github.com/cyan4973/xxhash.git","","True","cpp","1","cpp","xxhash","35.3252","61.95","A","","","","A","52.10","","51.23"
"sindresorhus/strip-indent","github","gh/18242629","https://github.com/sindresorhus/strip-indent.git","","True","npm","1","npm","strip-indent","28.6146","57.85","A","A","","","","37.62","1","51.22"
"npm/unique-slug","github","gh/35246620","https://github.com/npm/unique-slug.git","","True","npm","1","npm","unique-slug","28.0339","57.72","A","A","","","","37.74","1","51.22"
"linux-audit/audit-userspace","github","gh/52464964","https://github.com/linux-audit/audit-userspace.git","","True","cpp","1","cpp","audit","24.7938","54.65","B","","","","B","55.04","","51.21"
"python-jsonschema/jsonschema-specifications","github","gh/582755777","https://github.com/python-jsonschema/jsonschema-specifications.git","","True","pypi","1","pypi","jsonschema-specifications","30.2752","68.90","A","","A","","","35.42","1","51.17"
"sindresorhus/package-directory","github","gh/41724281","https://github.com/sindresorhus/package-directory.git","","True","npm","1","npm","pkg-dir","46.4476","63.92","A","A","","","","33.52","1","51.15"
"es-shims/array-includes","github","gh/28753032","https://github.com/es-shims/array-includes.git","","True","npm","1","npm","array-includes","25.2957","56.71","A","A","","","","38.19","1","51.11"
"npm/mute-stream","github","gh/5159166","https://github.com/npm/mute-stream.git","","True","npm","1","npm","mute-stream","31.6814","58.96","A","A","","","","36.72","1","51.10"
"estools/esutils","github","gh/14677293","https://github.com/estools/esutils.git","","True","npm","1","npm","esutils","50.2576","64.95","A","A","","","","32.53","1","51.04"
"feross/is-buffer","github","gh/25997846","https://github.com/feross/is-buffer.git","","True","npm","1","npm","is-buffer","30.3733","58.54","A","A","","","","36.82","1","50.98"
"ljharb/define-properties","github","gh/28768789","https://github.com/ljharb/define-properties.git","","True","npm","1","npm","define-properties","56.919","67.37","A","A","","","","30.88","1","50.96"
"npm/json-parse-even-better-errors","github","gh/211384370","https://github.com/npm/json-parse-even-better-errors.git","","True","npm","1","npm","json-parse-even-better-errors","30.6819","58.69","A","A","","","","36.62","1","50.91"
"lukeed/escalade","github","gh/273568715","https://github.com/lukeed/escalade.git","","True","npm","1","npm","escalade","43.7276","63.18","A","A","","","","33.69","1","50.90"
"epoberezkin/fast-json-stable-stringify","github","gh/108103016","https://github.com/epoberezkin/fast-json-stable-stringify.git","","True","npm","1","npm","fast-json-stable-stringify","35.7639","60.54","A","A","","","","35.45","1","50.90"
"qix-/node-is-arrayish","github","gh/41376759","https://github.com/qix-/node-is-arrayish.git","","True","npm","1","npm","is-arrayish","47.2427","64.07","A","A","","","","32.92","1","50.88"
"hiddentao/fast-levenshtein","github","gh/9490451","https://github.com/hiddentao/fast-levenshtein.git","","True","npm","1","npm","fast-levenshtein","32.0542","59.05","A","A","","","","36.29","1","50.88"
"sindresorhus/npm-run-path","github","gh/48707028","https://github.com/sindresorhus/npm-run-path.git","","True","npm","1","npm","npm-run-path","39.1349","61.61","A","A","","","","34.62","1","50.85"
"qix-/node-error-ex","github","gh/41388258","https://github.com/qix-/node-error-ex.git","","True","npm","1","npm","error-ex","27.1332","57.41","A","A","","","","37.28","1","50.82"
"pillarjs/parseurl","github","gh/17533192","https://github.com/pillarjs/parseurl.git","","True","npm","1","npm","parseurl","33.4628","59.58","A","A","","","","35.80","1","50.78"
"gkz/optionator","github","gh/13435927","https://github.com/gkz/optionator.git","","True","npm","1","npm","optionator","33.6673","59.64","A","A","","","","35.70","1","50.75"
"sindresorhus/read-package-up","github","gh/41842429","https://github.com/sindresorhus/read-package-up.git","","True","npm","2","npm","read-pkg-up","29.7001","58.19","A","A","","","","36.60","1","50.75"
"servo/core-foundation-rs","github","gh/5621513","https://github.com/servo/core-foundation-rs.git","","True","crates","7","crates","core-foundation-sys","24.9626","66.29","B","","","B","","52.44","","50.74"
"pcre2project/pcre2","github","gh/398251321","https://github.com/pcre2project/pcre2.git","","True","cpp","2","cpp","pcre","38.7208","64.25","A","","","","A","50.48","","50.73"
"faye/websocket-driver-node","github","gh/9733816","https://github.com/faye/websocket-driver-node.git","","True","npm","1","npm","websocket-driver","29.4128","58.12","A","A","","","","36.54","1","50.68"
"google/highway","github","gh/206791328","https://github.com/google/highway.git","","True","cpp","2","cpp","highway-simd-library","25.0562","54.69","A","","","","A","54.28","","50.68"
"sindresorhus/is-stream","github","gh/29436825","https://github.com/sindresorhus/is-stream.git","","True","npm","1","npm","is-stream","54.7375","66.49","A","A","","","","30.91","1","50.67"
"felixge/node-combined-stream","github","gh/1787452","https://github.com/felixge/node-combined-stream.git","","True","npm","1","npm","combined-stream","36.7837","60.80","A","A","","","","34.84","1","50.66"
"sindresorhus/path-type","github","gh/41905436","https://github.com/sindresorhus/path-type.git","","True","npm","1","npm","path-type","44.6366","63.55","A","A","","","","33.05","1","50.65"
"inspect-js/is-typed-array","github","gh/43528820","https://github.com/inspect-js/is-typed-array.git","","True","npm","1","npm","is-typed-array","38.6558","61.46","A","A","","","","34.35","1","50.62"
"jslicense/spdx-expression-parse.js","github","gh/40067336","https://github.com/jslicense/spdx-expression-parse.js.git","","True","npm","1","npm","spdx-expression-parse","37.7281","61.18","A","A","","","","34.54","1","50.61"
"sindresorhus/path-key","github","gh/48706449","https://github.com/sindresorhus/path-key.git","","True","npm","1","npm","path-key","53.2087","65.99","A","A","","","","31.14","1","50.60"
"jshttp/methods","github","gh/8274071","https://github.com/jshttp/methods.git","","True","npm","1","npm","methods","25.8281","56.86","A","A","","","","37.20","1","50.59"
"sindresorhus/find-cache-directory","github","gh/48783244","https://github.com/sindresorhus/find-cache-directory.git","","True","npm","1","npm","find-cache-dir","30.1171","58.36","A","A","","","","36.18","1","50.56"
"es-shims/es-object-atoms","github","gh/773229339","https://github.com/es-shims/es-object-atoms.git","","True","npm","1","npm","es-object-atoms","60.1762","68.35","A","A","","","","29.50","1","50.55"
"react/metro","github","gh/76504246","https://github.com/react/metro.git","","True","npm","19","npm","metro-source-map","30.1594","58.38","A","A","","","","52.62","","50.53"
"sqlite/sqlite","github","gh/176278485","https://github.com/sqlite/sqlite.git","","True","cpp","1","cpp","sqlite","36.8918","63.56","A","","","","A","50.59","","50.50"
"sindresorhus/import-local","github","gh/90292430","https://github.com/sindresorhus/import-local.git","","True","npm","1","npm","import-local","27.6157","57.61","A","A","","","","36.59","1","50.48"
"auth0/node-jwa","github","gh/8116861","https://github.com/auth0/node-jwa.git","","True","npm","1","npm","jwa","26.6616","57.24","A","A","","","","36.81","1","50.48"
"epoberezkin/json-schema-traverse","github","gh/93333933","https://github.com/epoberezkin/json-schema-traverse.git","","True","npm","1","npm","json-schema-traverse","52.8086","65.89","A","A","","","","31.00","1","50.47"
"xorg/proto/xorgproto","gitlab","gl/freedesktop-788","https://gitlab.freedesktop.org/xorg/proto/xorgproto.git","","True","cpp","1","cpp","xorgproto","37.3366","63.56","A","","","","A","","","50.45"
"sindresorhus/is-wsl","github","gh/88415331","https://github.com/sindresorhus/is-wsl.git","","True","npm","1","npm","is-wsl","35.3538","60.43","A","A","","","","34.76","1","50.43"
"guillaumegomez/doc-comment","github","gh/127254922","https://github.com/guillaumegomez/doc-comment.git","","True","crates","1","crates","doc-comment","56.0067","77.30","A","","","A","","28.45","1","50.40"
"tj/node-cookie-signature","github","gh/6229722","https://github.com/tj/node-cookie-signature.git","","True","npm","1","npm","cookie-signature","26.5192","57.21","A","A","","","","36.64","1","50.36"
"jamesmunns/postcard","github","gh/179385478","https://github.com/jamesmunns/postcard.git","","True","crates","2","crates","postcard","42.3648","73.71","A","","","A","","47.68","","50.27"
"kriskowal/asap","github","gh/11295071","https://github.com/kriskowal/asap.git","","True","npm","1","npm","asap","29.1296","58.01","A","A","","","","35.93","1","50.27"
"linux-pam/linux-pam","github","gh/76264690","https://github.com/linux-pam/linux-pam.git","","True","cpp","1","cpp","pam","28.3677","56.52","A","","","","A","52.88","","50.27"
"terkelg/sisteransi","github","gh/122441239","https://github.com/terkelg/sisteransi.git","","True","npm","1","npm","sisteransi","26.4837","57.20","A","A","","","","36.47","1","50.25"
"mhammond/pywin32","github","gh/108187130","https://github.com/mhammond/pywin32.git","","True","pypi","1","pypi","pywin32","41.7601","73.35","A","","A","","","47.79","","50.23"
"feross/run-parallel","github","gh/18700638","https://github.com/feross/run-parallel.git","","True","npm","1","npm","run-parallel","36.2385","60.64","A","A","","","","34.20","1","50.21"
"isaacs/wrappy","github","gh/24208073","https://github.com/isaacs/wrappy.git","","True","npm","1","npm","wrappy","62.8332","69.24","A","A","","","","28.29","1","50.18"
"css-modules/icss-utils","github","gh/42766912","https://github.com/css-modules/icss-utils.git","","True","npm","2","npm","icss-utils","33.1608","59.47","A","A","","","","34.86","1","50.18"
"sindresorhus/is-plain-obj","github","gh/38923193","https://github.com/sindresorhus/is-plain-obj.git","","True","npm","1","npm","is-plain-obj","41.868","62.66","A","A","","","","32.86","1","50.17"
"mysticatea/abort-controller","github","gh/105228556","https://github.com/mysticatea/abort-controller.git","","True","npm","1","npm","abort-controller","37.9897","61.27","A","A","","","","33.46","1","50.00"
"libjxl/libjxl","github","gh/340219494","https://github.com/libjxl/libjxl.git","","True","cpp","1","cpp","libjxl","26.1584","55.39","A","","","","A","52.98","","49.93"
"sindresorhus/leven","github","gh/22794601","https://github.com/sindresorhus/leven.git","","True","npm","1","npm","leven","26.3084","57.07","A","A","","","","35.95","1","49.91"
"nvzqz/static-assertions","github","gh/100129252","https://github.com/nvzqz/static-assertions.git","","True","crates","1","crates","static_assertions","41.2191","73.37","A","","","A","","30.67","1","49.86"
"browserify/randombytes","github","gh/29300004","https://github.com/browserify/randombytes.git","","True","npm","1","npm","randombytes","29.7414","58.20","A","A","","","","35.07","1","49.84"
"babel/minify","github","gh/55723051","https://github.com/babel/minify.git","","True","npm","21","npm","babel-helper-evaluate-path","19.8128","54.74","B","B","","","","54.03","","49.84"
"sindresorhus/strip-bom","github","gh/18444852","https://github.com/sindresorhus/strip-bom.git","","True","npm","2","npm","strip-bom","44.0844","63.39","A","A","","","","31.80","1","49.83"
"jonschlinkert/get-value","github","gh/24911025","https://github.com/jonschlinkert/get-value.git","","True","npm","1","npm","get-value","32.2428","59.10","A","A","","","","34.32","1","49.73"
"sindresorhus/restore-cursor","github","gh/23512229","https://github.com/sindresorhus/restore-cursor.git","","True","npm","1","npm","restore-cursor","42.6097","62.87","A","A","","","","31.89","1","49.68"
"feross/queue-microtask","github","gh/207021895","https://github.com/feross/queue-microtask.git","","True","npm","1","npm","queue-microtask","43.0329","62.99","A","A","","","","31.73","1","49.64"
"jshttp/vary","github","gh/20498698","https://github.com/jshttp/vary.git","","True","npm","1","npm","vary","30.0748","58.35","A","A","","","","34.67","1","49.64"
"burntsushi/jiff","github","gh/759017108","https://github.com/burntsushi/jiff.git","","True","crates","6","crates","jiff","25.4117","66.59","A","","","A","","50.85","","49.64"
"inspect-js/is-symbol","github","gh/29791606","https://github.com/inspect-js/is-symbol.git","","True","npm","1","npm","is-symbol","34.2451","59.89","A","A","","","","33.70","1","49.63"
"ljharb/safe-regex-test","github","gh/540138887","https://github.com/ljharb/safe-regex-test.git","","True","npm","1","npm","safe-regex-test","33.3614","59.54","A","A","","","","33.84","1","49.59"
"calvinmetcalf/process-nextick-args","github","gh/36039131","https://github.com/calvinmetcalf/process-nextick-args.git","","True","npm","1","npm","process-nextick-args","28.3421","57.78","A","A","","","","34.94","1","49.58"
"nlnetlabs/unbound","github","gh/94195301","https://github.com/nlnetlabs/unbound.git","","True","cpp","1","cpp","unbound","28.0309","56.47","A","","","","A","51.99","","49.56"
"inspect-js/is-data-descriptor","github","gh/41659073","https://github.com/inspect-js/is-data-descriptor.git","","True","npm","1","npm","is-data-descriptor","38.0555","61.28","A","A","","","","32.69","1","49.55"
"es-shims/string.prototype.trimend","github","gh/114682758","https://github.com/es-shims/string.prototype.trimend.git","","True","npm","1","npm","string.prototype.trimend","27.5031","57.54","A","A","","","","34.99","1","49.50"
"sindresorhus/is-path-inside","github","gh/21054113","https://github.com/sindresorhus/is-path-inside.git","","True","npm","1","npm","is-path-inside","37.0932","60.91","A","A","","","","32.78","1","49.47"
"python-hyper/brotlicffi","github","gh/43543393","https://github.com/python-hyper/brotlicffi.git","","True","pypi","2","pypi","brotlicffi","54.8478","78.64","A","","A","","","43.61","","49.39"
"inspect-js/is-accessor-descriptor","github","gh/41658954","https://github.com/inspect-js/is-accessor-descriptor.git","","True","npm","1","npm","is-accessor-descriptor","38.1215","61.28","A","A","","","","32.18","1","49.25"
"jshttp/etag","github","gh/22894570","https://github.com/jshttp/etag.git","","True","npm","1","npm","etag","27.0966","57.40","A","A","","","","34.65","1","49.24"
"pyo3/pyo3","github","gh/91151442","https://github.com/pyo3/pyo3.git","","True","pypi,crates","6","crates","pyo3-build-config","21.7668","76.69","B","","C","B","","","","49.23"
"ljharb/es-define-property","github","gh/756570458","https://github.com/ljharb/es-define-property.git","","True","npm","1","npm","es-define-property","63.7506","69.90","A","A","","","","26.40","1","49.21"
"es-shims/object.values","github","gh/41723335","https://github.com/es-shims/object.values.git","","True","npm","1","npm","object.values","25.8958","56.93","A","A","","","","34.86","1","49.20"
"inspect-js/available-typed-arrays","github","gh/235965505","https://github.com/inspect-js/available-typed-arrays.git","","True","npm","1","npm","available-typed-arrays","29.8243","58.24","A","A","","","","33.98","1","49.19"
"inspect-js/has-bigints","github","gh/201714166","https://github.com/inspect-js/has-bigints.git","","True","npm","1","npm","has-bigints","37.6633","61.17","A","A","","","","32.15","1","49.17"
"inspect-js/has-tostringtag","github","gh/392913710","https://github.com/inspect-js/has-tostringtag.git","","True","npm","1","npm","has-tostringtag","55.9507","67.06","A","A","","","","28.07","1","49.14"
"sindresorhus/mimic-response","github","gh/93189529","https://github.com/sindresorhus/mimic-response.git","","True","npm","1","npm","mimic-response","38.7913","61.48","A","A","","","","31.85","1","49.14"
"isaacs/isexe","github","gh/49804297","https://github.com/isaacs/isexe.git","","True","npm","1","npm","isexe","57.9528","67.77","A","A","","","","27.43","1","49.03"
"isaacs/chownr","github","gh/3858354","https://github.com/isaacs/chownr.git","","True","npm","1","npm","chownr","32.8163","59.30","A","A","","","","33.01","1","49.02"
"sindresorhus/crypto-random-string","github","gh/73665728","https://github.com/sindresorhus/crypto-random-string.git","","True","npm","1","npm","crypto-random-string","25.5935","56.78","A","A","","","","34.61","1","49.00"
"isaacs/yallist","github","gh/48222381","https://github.com/isaacs/yallist.git","","True","npm","1","npm","yallist","52.2955","65.61","A","A","","","","28.64","1","48.97"
"gkz/type-check","github","gh/13182168","https://github.com/gkz/type-check.git","","True","npm","1","npm","type-check","42.443","62.82","A","A","","","","30.74","1","48.97"
"istanbuljs/schema","github","gh/211950686","https://github.com/istanbuljs/schema.git","","True","npm","1","npm","@istanbuljs/schema","32.6237","59.19","A","A","","","","32.95","1","48.95"
"google/brotli","github","gh/24993138","https://github.com/google/brotli.git","","True","pypi,cpp","2","pypi","brotli","55.4596","97.95","A","","A","","A","55.97","0","48.92"
"es-shims/string.prototype.trimstart","github","gh/114682105","https://github.com/es-shims/string.prototype.trimstart.git","","True","npm","1","npm","string.prototype.trimstart","26.7332","57.30","A","A","","","","34.16","1","48.90"
"inspect-js/is-arguments","github","gh/15725461","https://github.com/inspect-js/is-arguments.git","","True","npm","1","npm","is-arguments","25.4939","56.75","A","A","","","","34.26","1","48.78"
"broofa/node-int64","github","gh/1208666","https://github.com/broofa/node-int64.git","","True","npm","1","npm","node-int64","37.2807","60.97","A","A","","","","31.48","1","48.71"
"jonschlinkert/normalize-path","github","gh/21224182","https://github.com/jonschlinkert/normalize-path.git","","True","npm","1","npm","normalize-path","48.3704","64.36","A","A","","","","29.04","1","48.70"
"netflix/vmaf","github","gh/51317975","https://github.com/netflix/vmaf.git","","True","cpp","1","cpp","vmaf","24.6631","54.63","B","","","","B","51.63","","48.63"
"assert-rs/snapbox","github","gh/424722460","https://github.com/assert-rs/snapbox.git","","True","crates","3","crates","snapbox","34.9731","71.09","A","","","A","","47.15","","48.62"
"ljharb/define-data-property","github","gh/689109338","https://github.com/ljharb/define-data-property.git","","True","npm","1","npm","define-data-property","47.3435","64.08","A","A","","","","29.11","1","48.61"
"sindresorhus/to-fast-properties","github","gh/31656998","https://github.com/sindresorhus/to-fast-properties.git","","True","npm","1","npm","to-fast-properties","28.4196","57.79","A","A","","","","33.26","1","48.58"
"la10736/rstest","github","gh/124802455","https://github.com/la10736/rstest.git","","True","crates","3","crates","rstest","25.0719","66.41","A","","","A","","49.53","","48.58"
"executablebooks/mdurl","github","gh/387293763","https://github.com/executablebooks/mdurl.git","","True","pypi","1","pypi","mdurl","40.699","72.82","A","","A","","","28.69","1","48.57"
"webmproject/libwebp","github","gh/23368445","https://github.com/webmproject/libwebp.git","https://chromium.googlesource.com/webm/libwebp.git","True","cpp","1","cpp","libwebp","29.0622","57.28","A","","","","A","50.33","","48.54"
"tootallnate/util-deprecate","github","gh/19321056","https://github.com/tootallnate/util-deprecate.git","","True","npm","1","npm","util-deprecate","51.4297","65.27","A","A","","","","28.04","1","48.49"
"ljharb/es-to-primitive","github","gh/32377814","https://github.com/ljharb/es-to-primitive.git","","True","npm","1","npm","es-to-primitive","25.7271","56.84","A","A","","","","33.72","1","48.49"
"knurling-rs/defmt","github","gh/282262730","https://github.com/knurling-rs/defmt.git","","True","crates","3","crates","defmt","28.7771","68.24","A","","","A","","48.29","","48.34"
"sindresorhus/cli-cursor","github","gh/23512396","https://github.com/sindresorhus/cli-cursor.git","","True","npm","1","npm","cli-cursor","32.9139","59.35","A","A","","","","31.84","1","48.33"
"inspect-js/is-array-buffer","github","gh/45977026","https://github.com/inspect-js/is-array-buffer.git","","True","npm","1","npm","is-array-buffer","28.1877","57.73","A","A","","","","32.86","1","48.31"
"formatjs/formatjs","github","gh/19117456","https://github.com/formatjs/formatjs.git","","True","npm","10","npm","@formatjs/fast-memoize","36.5999","60.77","A","A","","","","64.17","0","48.24"
"jimp-dev/jimp","github","gh/24008065","https://github.com/jimp-dev/jimp.git","","True","npm","30","npm","@jimp/types","35.0666","60.32","A","A","","","","48.40","","48.22"
"nicolo-ribaudo/babel-preset-current-node-syntax","github","gh/253327079","https://github.com/nicolo-ribaudo/babel-preset-current-node-syntax.git","","True","npm","1","npm","babel-preset-current-node-syntax","26.1698","57.01","A","A","","","","33.15","1","48.21"
"tritondatacenter/node-assert-plus","github","gh/4767976","https://github.com/tritondatacenter/node-assert-plus.git","","True","npm","1","npm","assert-plus","44.1753","63.44","A","A","","","","29.05","1","48.19"
"sindresorhus/strip-final-newline","github","gh/47453723","https://github.com/sindresorhus/strip-final-newline.git","","True","npm","2","npm","strip-final-newline","37.5345","61.09","A","A","","","","30.53","1","48.18"
"p11-glue/p11-kit","github","gh/12060420","https://github.com/p11-glue/p11-kit.git","","True","cpp","1","cpp","p11-kit","25.1878","54.71","A","","","","A","50.89","","48.15"
"sindresorhus/p-try","github","gh/71534796","https://github.com/sindresorhus/p-try.git","","True","npm","1","npm","p-try","34.4055","59.93","A","A","","","","31.17","1","48.14"
"sindresorhus/array-union","github","gh/21005682","https://github.com/sindresorhus/array-union.git","","True","npm","1","npm","array-union","30.9055","58.76","A","A","","","","31.92","1","48.12"
"jsdom/whatwg-mimetype","github","gh/71014420","https://github.com/jsdom/whatwg-mimetype.git","","True","npm","1","npm","whatwg-mimetype","27.7672","57.65","A","A","","","","32.58","1","48.09"
"sindresorhus/shebang-regex","github","gh/30903733","https://github.com/sindresorhus/shebang-regex.git","","True","npm","1","npm","shebang-regex","55.0285","66.58","A","A","","","","26.44","1","48.02"
"ljharb/set-function-length","github","gh/704249795","https://github.com/ljharb/set-function-length.git","","True","npm","1","npm","set-function-length","40.787","62.07","A","A","","","","29.54","1","48.01"
"inspect-js/has-property-descriptors","github","gh/481834578","https://github.com/inspect-js/has-property-descriptors.git","","True","npm","1","npm","has-property-descriptors","48.1622","64.28","A","A","","","","27.92","1","48.00"
"","","","","","False","pypi","1","pypi","openpyxl","27.9992","68.00","A","","A","","","","","48.00"
"andyperlitch/jsbn","github","gh/9710533","https://github.com/andyperlitch/jsbn.git","","True","npm","1","npm","jsbn","34.1917","59.88","A","A","","","","30.95","1","47.98"
"ronaldoussoren/pyobjc","github","gh/243933900","https://github.com/ronaldoussoren/pyobjc.git","","True","pypi","163","pypi","pyobjc-core","28.6373","68.29","A","","A","","","47.76","","47.94"
"sindresorhus/unicorn-magic","github","gh/716660564","https://github.com/sindresorhus/unicorn-magic.git","","True","npm","1","npm","unicorn-magic","52.1687","65.59","A","A","","","","26.91","1","47.92"
"jonschlinkert/global-prefix","github","gh/31455984","https://github.com/jonschlinkert/global-prefix.git","","True","npm","1","npm","global-prefix","29.0896","57.99","A","A","","","","31.86","1","47.82"
"blakeembrey/array-flatten","github","gh/17789771","https://github.com/blakeembrey/array-flatten.git","","True","npm","1","npm","array-flatten","28.7323","57.88","A","A","","","","31.93","1","47.82"
"raynos/for-each","github","gh/6006855","https://github.com/raynos/for-each.git","","True","npm","1","npm","for-each","32.1483","59.08","A","A","","","","31.15","1","47.81"
"sindresorhus/parent-module","github","gh/50187748","https://github.com/sindresorhus/parent-module.git","","True","npm","1","npm","parent-module","26.8054","57.33","A","A","","","","32.27","1","47.78"
"mysticatea/event-target-shim","github","gh/31137469","https://github.com/mysticatea/event-target-shim.git","","True","npm","1","npm","event-target-shim","39.7683","61.80","A","A","","","","29.30","1","47.74"
"inspect-js/is-bigint","github","gh/149682261","https://github.com/inspect-js/is-bigint.git","","True","npm","1","npm","is-bigint","26.2043","57.04","A","A","","","","32.35","1","47.73"
"inspect-js/which-boxed-primitive","github","gh/201685155","https://github.com/inspect-js/which-boxed-primitive.git","","True","npm","1","npm","which-boxed-primitive","26.8779","57.35","A","A","","","","32.03","1","47.64"
"jonschlinkert/define-property","github","gh/40633359","https://github.com/jonschlinkert/define-property.git","","True","npm","1","npm","define-property","49.4627","64.78","A","A","","","","26.98","1","47.61"
"tokio-rs/loom","github","gh/161875917","https://github.com/tokio-rs/loom.git","","True","crates","1","crates","loom","33.5227","70.70","A","","","A","","46.02","","47.54"
"sindresorhus/is-unicode-supported","github","gh/348660847","https://github.com/sindresorhus/is-unicode-supported.git","","True","npm","1","npm","is-unicode-supported","42.9475","62.98","A","A","","","","28.21","1","47.52"
"inspect-js/is-date-object","github","gh/29991041","https://github.com/inspect-js/is-date-object.git","","True","npm","1","npm","is-date-object","31.1768","58.83","A","A","","","","30.83","1","47.50"
