repo,repo_id,status,ac_2021_2025,bf_2021_2025,hhi_2021_2025,contributors_lifetime,bf_lifetime,hhi_lifetime,commits_2021_2025,commits_lifetime,bots_lifetime,clone_seconds,error,fetched_at
form-data/form-data,1755793,ok,8,1,5728,47,2,1851,60,260,0,0.6,,2026-05-18T23:28:09+00:00
formatjs/formatjs,19117456,ok,158,1,6260,349,1,4757,1671,5236,5,2.3,,2026-05-18T23:28:09+00:00
freedesktop-unofficial-mirror/cairo,34372735,ok,0,0,0,218,2,1571,0,11122,0,2.6,,2026-05-18T23:28:09+00:00
freetype/freetype,187000659,ok,92,2,2922,231,1,3196,1498,8545,0,2.6,,2026-05-18T23:28:09+00:00
frenic/csstype,104001328,ok,5,1,8426,12,1,9147,72,343,1,0.6,,2026-05-18T23:28:09+00:00
frommi/miniz_oxide,96124162,ok,34,1,5433,59,1,3621,170,506,0,1.6,,2026-05-18T23:28:09+00:00
fsevents/fsevents,1402936,ok,6,1,4100,35,2,1827,20,231,0,1.2,,2026-05-18T23:28:11+00:00
fsspec/filesystem_spec,130727736,ok,242,4,1341,319,2,2310,1106,2069,0,1.3,,2026-05-18T23:28:11+00:00
fsspec/s3fs,53987953,ok,92,2,1825,151,2,1947,353,841,0,0.6,,2026-05-18T23:28:11+00:00
garycourt/uri-js,989080,ok,2,1,6250,11,1,6706,4,60,1,0.4,,2026-05-18T23:28:11+00:00
gcc-mirror/gcc,22711503,ok,816,21,187,2545,29,126,43396,229007,0,46.1,,2026-05-18T23:28:11+00:00
getsentry/sentry-javascript,3328572,ok,335,4,830,668,7,509,7714,12017,6,4.2,,2026-05-18T23:28:11+00:00
giampaolo/psutil,20101515,ok,81,1,6508,226,1,7384,725,6164,0,3.0,,2026-05-18T23:28:12+00:00
git/git,36502,ok,539,7,530,2303,15,345,12794,59860,0,19.4,,2026-05-18T23:28:12+00:00
gitlab-freedesktop-mirrors/libxcb,444023705,ok,0,0,0,21,2,3062,0,296,0,0.6,,2026-05-18T23:28:12+00:00
gitoxidelabs/gitoxide,136510559,ok,176,1,6913,193,1,7067,11836,14067,4,8.2,,2026-05-18T23:28:12+00:00
gitpython-developers/gitdb,1126093,ok,16,2,1736,35,1,4403,58,354,1,0.7,,2026-05-18T23:28:12+00:00
gitpython-developers/smmap,1865144,ok,6,1,3416,17,1,3191,61,188,3,1.1,,2026-05-18T23:28:12+00:00
gkz/levn,13287279,ok,0,0,0,2,1,9460,0,36,1,0.5,,2026-05-18T23:28:13+00:00
gkz/optionator,13435927,ok,2,1,7551,5,1,9043,7,81,1,1.2,,2026-05-18T23:28:13+00:00
gkz/prelude-ls,4457759,ok,0,0,0,11,1,6954,0,190,1,0.7,,2026-05-18T23:28:14+00:00
gkz/type-check,13182168,ok,0,0,0,3,1,8772,0,31,1,1.6,,2026-05-18T23:28:14+00:00
gmp-mirror/gmp,681340775,ok,5,2,3576,20,2,3688,284,18260,0,2.5,,2026-05-18T23:28:15+00:00
gnome/gdk-pixbuf,4533539,ok,80,2,2013,613,31,276,363,6353,0,1.0,,2026-05-18T23:28:15+00:00
gnome/glib,4537082,ok,482,4,1320,1366,11,522,6237,28860,0,5.9,,2026-05-18T23:28:16+00:00
gnome/libxml2,4537118,ok,99,1,8019,372,2,3066,2713,7790,0,2.0,,2026-05-18T23:28:16+00:00
gnome/pango,4537144,ok,83,1,6109,217,2,1971,1286,6038,0,4.3,,2026-05-18T23:28:17+00:00
gnutls/gnutls,58873704,ok,97,1,3540,258,1,4441,1212,21196,0,4.3,,2026-05-18T23:28:17+00:00
gnutls/libtasn1,59017205,ok,6,1,7376,23,1,4405,83,1626,0,1.1,,2026-05-18T23:28:18+00:00
gnutls/nettle,59017402,ok,19,1,6596,70,1,8364,579,4759,0,1.3,,2026-05-18T23:28:20+00:00
google/brotli,24993138,ok,52,1,4299,125,2,2617,282,1026,1,0.7,,2026-05-18T23:28:20+00:00
google/zerocopy,534354967,ok,62,2,3546,72,2,3672,1239,1478,2,1.9,,2026-05-18T23:28:21+00:00
googleapis/google-cloud-python,16316451,ok,554,3,1146,1040,6,566,16765,38025,7,9.8,,2026-05-18T23:28:21+00:00
googlechrome/workbox,55424670,ok,26,2,2302,81,2,2540,243,1295,1,0.9,,2026-05-18T23:28:22+00:00
gpg/libgpg-error,42075984,ok,17,1,4203,49,2,2939,305,1416,0,0.8,,2026-05-18T23:28:22+00:00
grahamdumpleton/wrapt,10357291,ok,18,1,7742,37,1,8172,503,1121,0,0.8,,2026-05-18T23:28:22+00:00
graydon/exhaustigen-rs,432630522,ok,1,1,10000,1,1,10000,1,1,0,0.5,,2026-05-18T23:25:53+00:00
gregberge/svgr,102155012,ok,67,1,3456,132,1,5150,188,583,1,0.8,,2026-05-18T23:28:22+00:00
grncdr/merge-stream,10579821,ok,0,0,0,11,2,2469,0,54,0,0.7,,2026-05-18T23:28:23+00:00
grpc/grpc,27729880,ok,440,6,760,1058,9,545,9482,40848,2,11.0,,2026-05-18T23:28:24+00:00
gsnedders/python-webencodings,7043404,ok,0,0,0,6,1,4278,0,43,0,0.7,,2026-05-18T23:28:24+00:00
guillaumegomez/doc-comment,127254922,ok,0,0,0,2,1,9556,0,44,0,0.5,,2026-05-18T23:28:24+00:00
gulpjs/glob-parent,29154915,ok,4,2,3000,10,2,2853,20,86,1,0.6,,2026-05-18T23:28:24+00:00
gweis/isodate,6449370,ok,4,2,3827,21,1,4037,27,160,1,0.9,,2026-05-18T23:28:24+00:00
gyscos/zstd-rs,52115335,ok,47,1,4867,65,1,5892,231,517,1,1.1,,2026-05-18T23:28:25+00:00
hapijs/hoek,5831189,ok,10,3,1790,55,3,1855,37,573,0,0.5,,2026-05-18T23:28:25+00:00
harfbuzz/harfbuzz,5050525,ok,153,1,5301,288,1,5266,7895,20264,2,2.1,,2026-05-18T23:28:25+00:00
hiddentao/fast-levenshtein,9490451,ok,0,0,0,10,1,6505,0,56,0,0.5,,2026-05-18T23:28:26+00:00
httplib2/httplib2,53002916,ok,19,1,4287,72,2,2283,57,556,1,1.2,,2026-05-18T23:28:26+00:00
hukkin/tomli,370616797,ok,10,1,9226,13,1,8898,278,299,1,0.7,,2026-05-18T23:28:26+00:00
hyperium/http,84983058,ok,69,5,1077,131,3,1296,146,451,0,0.6,,2026-05-18T23:28:26+00:00
hyperium/http-body,183281612,ok,23,3,1477,27,2,1856,88,118,0,0.6,,2026-05-18T23:28:27+00:00
iarna/aproba,31432421,ok,2,1,5000,6,1,8008,2,47,0,0.5,,2026-05-18T23:28:27+00:00
import-js/eslint-plugin-import,32238354,ok,141,1,2861,390,2,2022,531,2146,0,1.7,,2026-05-18T23:28:27+00:00
indexmap-rs/indexmap,68294628,ok,39,1,5826,58,2,3579,319,769,0,0.8,,2026-05-18T23:28:27+00:00
indutny/bn.js,19176350,ok,7,1,3867,32,1,4488,15,428,0,0.9,,2026-05-18T23:28:28+00:00
indygreg/python-zstandard,67307930,ok,27,1,7263,46,1,8798,385,1510,0,1.1,,2026-05-18T23:28:28+00:00
inikulin/parse5,8862593,ok,15,1,5210,40,1,5448,107,757,1,1.0,,2026-05-18T23:28:28+00:00
inspect-js/array-buffer-byte-length,607836784,ok,1,1,10000,1,1,10000,25,28,0,0.5,,2026-05-18T23:28:29+00:00
inspect-js/available-typed-arrays,235965505,ok,3,1,8989,3,1,9425,38,68,0,0.6,,2026-05-18T23:28:29+00:00
inspect-js/functions-have-names,198357138,ok,1,1,10000,1,1,10000,16,62,0,0.5,,2026-05-18T23:28:29+00:00
inspect-js/has-bigints,201714166,ok,2,1,9201,2,1,9649,24,56,0,0.5,,2026-05-18T23:28:29+00:00
inspect-js/has-property-descriptors,481834578,ok,1,1,10000,1,1,10000,18,19,0,0.6,,2026-05-18T23:28:29+00:00
inspect-js/has-proto,577580747,ok,1,1,10000,1,1,10000,31,32,0,0.5,,2026-05-18T23:28:30+00:00
inspect-js/has-symbols,68573418,ok,1,1,10000,1,1,10000,31,68,0,0.5,,2026-05-18T23:28:30+00:00
inspect-js/has-tostringtag,392913710,ok,1,1,10000,1,1,10000,29,40,0,0.4,,2026-05-18T23:28:30+00:00
inspect-js/hasown,703350811,ok,1,1,10000,2,1,9232,18,25,0,0.6,,2026-05-18T23:28:30+00:00
inspect-js/is-accessor-descriptor,41658954,ok,1,1,10000,3,1,5262,48,95,0,0.5,,2026-05-18T23:28:30+00:00
inspect-js/is-arguments,15725461,ok,1,1,10000,2,1,9877,31,161,0,0.5,,2026-05-18T23:28:30+00:00
inspect-js/is-array-buffer,45977026,ok,2,1,8580,3,1,4956,39,60,1,0.6,,2026-05-18T23:28:31+00:00
inspect-js/is-bigint,149682261,ok,2,1,9429,2,1,9706,34,67,0,0.9,,2026-05-18T23:28:31+00:00
inspect-js/is-boolean-object,34700259,ok,1,1,10000,1,1,10000,39,103,0,0.6,,2026-05-18T23:28:31+00:00
inspect-js/is-callable,30012910,ok,1,1,10000,7,1,9608,52,353,1,0.6,,2026-05-18T23:28:31+00:00
inspect-js/is-core-module,24578130,ok,3,1,9538,5,1,8862,85,118,0,0.5,,2026-05-18T23:28:31+00:00
inspect-js/is-data-descriptor,41659073,ok,2,1,9608,4,1,5112,50,77,0,0.6,,2026-05-18T23:28:32+00:00
inspect-js/is-data-view,751048078,ok,1,1,10000,1,1,10000,20,20,0,0.7,,2026-05-18T23:28:32+00:00
inspect-js/is-date-object,29991041,ok,1,1,10000,1,1,10000,34,101,0,0.6,,2026-05-18T23:28:32+00:00
inspect-js/is-descriptor,41658845,ok,1,1,10000,5,1,4813,31,82,0,0.6,,2026-05-18T23:28:32+00:00
inspect-js/is-number-object,29991666,ok,1,1,10000,1,1,10000,39,104,0,0.5,,2026-05-18T23:28:32+00:00
inspect-js/is-regex,15930063,ok,1,1,10000,4,1,9651,43,170,0,0.6,,2026-05-18T23:28:33+00:00
inspect-js/is-string,30010185,ok,1,1,10000,1,1,10000,38,99,0,0.7,,2026-05-18T23:28:33+00:00
inspect-js/is-symbol,29791606,ok,1,1,10000,1,1,10000,37,115,0,0.5,,2026-05-18T23:28:33+00:00
inspect-js/is-typed-array,43528820,ok,2,1,9688,2,1,9872,63,155,0,0.6,,2026-05-18T23:28:33+00:00
inspect-js/node-supports-preserve-symlinks-flag,443970899,ok,1,1,10000,1,1,10000,17,17,0,0.6,,2026-05-18T23:28:33+00:00
inspect-js/object-inspect,11683441,ok,4,1,9341,11,1,6227,89,257,0,0.5,,2026-05-18T23:28:33+00:00
inspect-js/typed-array-buffer,649850465,ok,1,1,10000,1,1,10000,28,31,0,0.5,,2026-05-18T23:28:34+00:00
inspect-js/which-boxed-primitive,201685155,ok,1,1,10000,2,1,9678,21,61,0,0.5,,2026-05-18T23:28:34+00:00
inspect-js/which-typed-array,43708371,ok,2,1,9744,2,1,9883,77,170,0,0.7,,2026-05-18T23:28:34+00:00
ipython/traitlets,14993021,ok,35,2,2527,111,4,1088,220,1343,2,0.7,,2026-05-18T23:28:34+00:00
isaacs/chownr,3858354,ok,2,1,7222,5,1,7666,12,55,0,0.6,,2026-05-18T23:28:34+00:00
isaacs/cliui,634056857,ok,3,1,5702,14,2,1913,11,109,2,0.6,,2026-05-18T23:28:34+00:00
isaacs/core-util-is,12391440,ok,1,1,10000,6,1,5533,8,26,0,0.5,,2026-05-18T23:28:34+00:00
isaacs/fs-minipass,102982143,ok,4,1,5350,8,1,4317,20,68,2,1.2,,2026-05-18T23:28:34+00:00
isaacs/fs.realpath,61231712,ok,2,1,5556,2,1,7551,6,14,0,0.5,,2026-05-18T23:28:35+00:00
isaacs/inherits,1580001,ok,3,1,4688,7,1,6384,8,34,0,0.5,,2026-05-18T23:28:35+00:00
isaacs/isexe,49804297,ok,2,1,8347,2,1,9488,11,38,0,0.5,,2026-05-18T23:28:35+00:00
isaacs/minimatch,2056549,ok,18,1,7831,36,1,7947,173,377,0,1.1,,2026-05-18T23:28:35+00:00
isaacs/minipass,84886212,ok,7,1,8338,12,1,8942,114,275,0,0.7,,2026-05-18T23:28:35+00:00
isaacs/minizlib,86429676,ok,5,1,5800,6,1,8564,20,93,0,0.6,,2026-05-18T23:28:35+00:00
isaacs/node-glob,357681,ok,22,1,8467,54,1,8332,300,779,0,0.6,,2026-05-18T23:28:36+00:00
isaacs/node-graceful-fs,2077020,ok,10,1,4360,31,1,6406,34,229,0,0.7,,2026-05-18T23:28:36+00:00
isaacs/node-lru-cache,679662,ok,25,1,8497,60,1,7630,319,584,0,0.5,,2026-05-18T23:28:36+00:00
isaacs/node-mkdirp,2718248,ok,4,1,7712,12,2,4142,40,148,0,0.5,,2026-05-18T23:28:36+00:00
isaacs/node-tar,1534331,ok,14,1,6210,46,1,7884,166,781,2,0.6,,2026-05-18T23:28:36+00:00
isaacs/once,5409660,ok,2,1,6250,7,1,5328,8,25,0,0.5,,2026-05-18T23:28:36+00:00
isaacs/package-json-from-dist,800543709,ok,1,1,10000,1,1,10000,6,6,0,0.5,,2026-05-18T23:28:36+00:00
isaacs/path-scurry,591569499,ok,5,1,9202,5,1,9232,122,127,0,0.5,,2026-05-18T23:28:36+00:00
isaacs/rimraf,1341324,ok,13,1,7336,34,1,7385,158,354,0,1.0,,2026-05-18T23:28:37+00:00
isaacs/sax-js,508894,ok,5,1,3520,45,1,5260,28,264,0,0.8,,2026-05-18T23:28:37+00:00
isaacs/wrappy,24208073,ok,1,1,10000,7,2,2578,1,16,0,0.7,,2026-05-18T23:28:37+00:00
isaacs/yallist,48222381,ok,2,1,7551,3,1,8826,14,65,0,0.6,,2026-05-18T23:28:37+00:00
istanbuljs/istanbuljs,81482340,ok,35,3,1368,121,3,1669,78,601,2,0.6,,2026-05-18T23:28:37+00:00
istanbuljs/schema,211950686,ok,1,1,10000,1,1,10000,2,27,1,0.7,,2026-05-18T23:28:37+00:00
istanbuljs/test-exclude,60489570,ok,1,1,10000,14,2,3464,3,119,2,0.6,,2026-05-18T23:28:37+00:00
jamesmunns/postcard,179385478,ok,59,2,2277,69,1,2915,234,311,0,0.6,,2026-05-18T23:28:37+00:00
jaraco/jaraco.develop,48289082,ok,14,1,7843,27,1,7787,407,1072,1,0.9,,2026-05-18T23:28:38+00:00
jaraco/pytest-perf,372026120,ok,14,1,6901,14,1,6800,256,269,1,0.6,,2026-05-18T23:28:38+00:00
jaraco/zipp,157774633,ok,26,1,7227,34,1,8042,404,772,1,0.6,,2026-05-18T23:28:38+00:00
jaredhanson/utils-merge,11349896,ok,0,0,0,4,1,7300,0,20,0,0.5,,2026-05-18T23:28:38+00:00
jaredwray/cacheable,9267870,ok,70,1,7155,107,1,5158,1103,1480,2,0.7,,2026-05-18T23:28:38+00:00
jaredwray/keyv,96540810,ok,70,1,7999,80,1,6325,1654,2088,1,0.7,,2026-05-18T23:28:38+00:00
jawah/charset_normalizer,200259335,ok,20,1,8704,24,1,8923,372,559,1,0.9,,2026-05-18T23:28:38+00:00
jbgutierrez/path-parse,34113780,ok,3,1,3750,6,1,3373,4,13,0,0.5,,2026-05-18T23:28:39+00:00
jd/tenacity,65468547,ok,48,5,976,101,2,2178,103,469,1,0.6,,2026-05-18T23:28:39+00:00
jensyt/imurmurhash-js,11802843,ok,0,0,0,1,1,10000,0,11,0,0.7,,2026-05-18T23:28:39+00:00
jestjs/jest,15062869,ok,501,2,1852,1698,11,730,2104,7236,2,1.6,,2026-05-18T23:28:39+00:00
jimp-dev/jimp,24008065,ok,36,1,6794,172,2,2806,238,1061,2,0.6,,2026-05-18T23:28:39+00:00
jmespath/jmespath.py,8300763,ok,10,2,3262,31,1,7176,40,421,1,0.6,,2026-05-18T23:28:39+00:00
joblib/joblib,654608,ok,59,3,1183,148,3,1571,236,1493,1,0.6,,2026-05-18T23:28:39+00:00
jonathanong/ee-first,20707897,ok,0,0,0,2,1,8252,0,93,0,0.5,,2026-05-18T23:28:40+00:00
jonschlinkert/assign-symbols,45661176,ok,0,0,0,2,1,7551,0,14,0,0.5,,2026-05-18T23:28:40+00:00
jonschlinkert/define-property,40633359,ok,0,0,0,3,1,7604,0,37,0,0.5,,2026-05-18T23:28:40+00:00
jonschlinkert/extend-shallow,25867410,ok,0,0,0,4,1,4811,0,46,0,0.7,,2026-05-18T23:28:40+00:00
jonschlinkert/fill-range,27113310,ok,1,1,10000,6,1,8557,3,132,0,0.5,,2026-05-18T23:28:40+00:00
jonschlinkert/get-value,24911025,ok,3,1,5000,7,1,6947,6,98,0,0.5,,2026-05-18T23:28:40+00:00
jonschlinkert/global-prefix,31455984,ok,1,1,10000,10,2,3111,2,41,0,0.5,,2026-05-18T23:28:41+00:00
jonschlinkert/has-value,24310408,ok,0,0,0,4,1,7894,0,35,0,0.5,,2026-05-18T23:28:41+00:00
jonschlinkert/has-values,33009186,ok,0,0,0,1,1,10000,0,21,0,0.7,,2026-05-18T23:28:41+00:00
jonschlinkert/is-extendable,38225016,ok,0,0,0,4,1,4694,0,14,0,0.7,,2026-05-18T23:28:41+00:00
jonschlinkert/is-number,24313173,ok,0,0,0,5,1,6956,0,58,0,0.5,,2026-05-18T23:28:41+00:00
jonschlinkert/is-plain-object,24306940,ok,0,0,0,8,2,2965,0,47,0,0.5,,2026-05-18T23:28:41+00:00
jonschlinkert/isobject,21342886,ok,1,1,10000,10,2,2734,1,51,0,0.7,,2026-05-18T23:28:41+00:00
jonschlinkert/kind-of,24491562,ok,1,1,10000,13,1,6508,2,107,0,0.6,,2026-05-18T23:28:41+00:00
jonschlinkert/map-cache,32450614,ok,0,0,0,2,1,8347,0,11,0,0.5,,2026-05-18T23:28:41+00:00
jonschlinkert/normalize-path,21224182,ok,0,0,0,4,1,6325,0,40,0,0.5,,2026-05-18T23:28:42+00:00
jonschlinkert/object-visit,38545952,ok,0,0,0,2,1,9429,0,34,0,0.5,,2026-05-18T23:28:42+00:00
jonschlinkert/word-wrap,18260583,ok,3,1,4306,14,2,2341,12,62,0,0.5,,2026-05-18T23:28:42+00:00
jorgebucaran/colorette,34648097,ok,9,1,8439,18,1,8952,122,352,0,1.5,,2026-05-18T23:28:42+00:00
joshuakgoldberg/ts-api-utils,597893818,ok,9,2,3727,11,2,3650,283,301,3,0.7,,2026-05-18T23:28:42+00:00
jpadilla/pyjwt,1408162,ok,79,7,910,161,3,1141,201,734,2,0.9,,2026-05-18T23:28:42+00:00
jprichardson/node-fs-extra,2791348,ok,20,1,4311,97,1,3971,71,989,1,0.9,,2026-05-18T23:28:42+00:00
jprichardson/node-jsonfile,5754307,ok,3,1,4400,26,1,3574,5,158,1,0.5,,2026-05-18T23:28:42+00:00
jquast/wcwidth,18464187,ok,13,1,3645,20,1,6532,142,405,1,0.6,,2026-05-18T23:28:42+00:00
jquery/esprima,2833537,ok,4,2,2840,68,1,6823,9,1232,0,0.7,,2026-05-18T23:28:43+00:00
jridgewell/resolve-uri,196878944,ok,3,1,9122,4,1,4815,44,102,0,0.4,,2026-05-18T23:28:43+00:00
jridgewell/sourcemaps,897142826,ok,14,1,8839,24,1,5774,449,732,2,0.6,,2026-05-18T23:28:43+00:00
jsdom/tr46,36964214,ok,4,1,7437,8,2,3138,35,82,1,0.5,,2026-05-18T23:28:43+00:00
jsdom/webidl-conversions,23000311,ok,2,1,8412,6,1,4071,23,98,0,0.5,,2026-05-18T23:28:43+00:00
jsdom/whatwg-mimetype,71014420,ok,2,1,8472,5,1,8209,12,42,0,0.6,,2026-05-18T23:28:43+00:00
jsdom/whatwg-url,34761352,ok,6,1,8264,21,1,4332,87,408,1,0.5,,2026-05-18T23:28:44+00:00
jsdom/xml-name-validator,28553202,ok,1,1,10000,2,1,7622,9,29,0,0.5,,2026-05-18T23:28:44+00:00
jshttp/accepts,15482433,ok,9,1,4637,15,1,7667,42,262,1,0.5,,2026-05-18T23:28:44+00:00
jshttp/content-disposition,24216676,ok,9,1,3197,16,1,5361,42,175,1,0.5,,2026-05-18T23:28:44+00:00
jshttp/content-type,30172150,ok,5,1,7404,12,1,6938,42,134,0,0.5,,2026-05-18T23:28:44+00:00
jshttp/cookie,4475810,ok,23,1,3926,47,1,4754,133,373,1,0.5,,2026-05-18T23:28:44+00:00
jshttp/etag,22894570,ok,3,1,3889,7,1,8829,6,148,0,0.5,,2026-05-18T23:28:44+00:00
jshttp/forwarded,24300217,ok,5,1,7456,5,1,9229,50,177,1,0.5,,2026-05-18T23:28:44+00:00
jshttp/fresh,4617552,ok,7,1,6538,20,1,6877,66,220,1,0.5,,2026-05-18T23:28:44+00:00
jshttp/http-errors,23806086,ok,7,1,4661,22,1,6439,39,302,1,0.5,,2026-05-18T23:28:44+00:00
jshttp/media-typer,20814275,ok,4,1,5679,6,1,9065,19,228,1,0.5,,2026-05-18T23:28:45+00:00
jshttp/methods,8274071,ok,2,1,5000,12,1,6464,4,105,1,0.4,,2026-05-18T23:28:45+00:00
jshttp/mime-db,22970419,ok,32,1,5432,96,1,7021,192,868,2,0.6,,2026-05-18T23:28:45+00:00
jshttp/mime-types,19380178,ok,14,1,5817,20,1,7589,128,506,1,0.6,,2026-05-18T23:28:45+00:00
jshttp/negotiator,3275614,ok,9,1,4167,21,1,5564,48,283,1,0.6,,2026-05-18T23:28:45+00:00
jshttp/on-finished,15349765,ok,6,1,7486,13,1,8205,51,293,1,0.6,,2026-05-18T23:28:45+00:00
jshttp/range-parser,4627131,ok,3,1,3750,13,1,7072,4,166,1,0.5,,2026-05-18T23:28:45+00:00
jshttp/statuses,17690272,ok,6,2,2960,14,1,7487,25,298,1,0.6,,2026-05-18T23:28:45+00:00
jshttp/type-is,15484233,ok,8,1,5112,20,1,7560,50,349,1,0.6,,2026-05-18T23:28:45+00:00
jshttp/vary,20498698,ok,4,2,2778,7,1,9298,6,223,1,0.6,,2026-05-18T23:28:46+00:00
jslicense/spdx-correct.js,34817196,ok,2,1,8025,8,1,7480,9,109,0,0.5,,2026-05-18T23:28:46+00:00
jslicense/spdx-exceptions.json,40062896,ok,1,1,10000,2,1,9556,8,44,0,0.8,,2026-05-18T23:28:46+00:00
jslicense/spdx-expression-parse.js,40067336,ok,1,1,10000,5,1,9170,9,164,0,1.1,,2026-05-18T23:28:46+00:00
jslicense/spdx-license-ids,26001547,ok,3,1,8648,5,2,4671,56,147,1,0.6,,2026-05-18T23:28:46+00:00
json5/json5,4463453,ok,8,1,5578,26,1,3711,42,391,0,0.6,,2026-05-18T23:28:46+00:00
juliangruber/balanced-match,13538817,ok,5,1,7336,16,1,4258,34,95,1,0.5,,2026-05-18T23:28:46+00:00
juliangruber/brace-expansion,13539234,ok,8,1,4941,23,1,3061,26,126,2,0.5,,2026-05-18T23:28:46+00:00
juliangruber/isarray,10227611,ok,4,1,6886,13,1,5824,17,50,2,0.5,,2026-05-18T23:28:46+00:00
justmoon/node-extend,3967764,ok,2,1,8673,15,1,6131,14,183,0,0.6,,2026-05-18T23:28:47+00:00
jviereck/regjsparser,14087781,ok,8,2,2504,15,2,1967,128,253,1,0.6,,2026-05-18T23:28:47+00:00
ka-weihe/fastest-levenshtein,158960628,ok,5,1,3609,8,1,8377,13,117,0,0.5,,2026-05-18T23:28:47+00:00
kaelzhang/node-ignore,12519245,ok,7,1,7614,19,1,8374,85,317,1,0.5,,2026-05-18T23:28:47+00:00
kemitchell/validate-npm-package-license.js,35000460,ok,0,0,0,2,1,9643,0,55,0,0.5,,2026-05-18T23:28:47+00:00
kevinbeaty/any-promise,26247715,ok,0,0,0,4,1,6005,0,29,0,0.5,,2026-05-18T23:28:47+00:00
kevva/dir-glob,49264969,ok,0,0,0,6,1,5671,0,31,0,0.5,,2026-05-18T23:28:47+00:00
kevva/shebang-command,47402913,ok,0,0,0,2,1,7025,0,11,0,0.5,,2026-05-18T23:28:47+00:00
kilian/electron-to-chromium,78972540,ok,3,1,9976,11,1,9919,3370,4939,1,0.8,,2026-05-18T23:28:48+00:00
kjd/idna,10323585,ok,19,1,4929,31,1,5287,141,341,2,0.7,,2026-05-18T23:28:48+00:00
knurling-rs/defmt,282262730,ok,78,3,1869,86,3,1459,1296,1822,0,0.7,,2026-05-18T23:28:48+00:00
kpdecker/jsdiff,1542219,ok,15,1,7570,84,2,2642,130,529,1,0.6,,2026-05-18T23:28:48+00:00
krb5/krb5,4307702,ok,53,1,4303,181,4,872,398,20276,0,2.6,,2026-05-18T23:28:48+00:00
kriskowal/asap,11295071,ok,2,1,5000,12,2,3304,2,110,0,0.5,,2026-05-18T23:28:48+00:00
kriszyp/json-schema,947175,ok,2,1,7812,17,1,3294,8,78,0,0.5,,2026-05-18T23:28:48+00:00
langchain-ai/langchain,552661142,ok,3488,13,290,3581,12,293,14874,15528,5,5.3,,2026-05-18T23:28:48+00:00
laurent-laporte-pro/deprecated,111412148,ok,14,1,4585,22,1,5822,136,297,0,0.5,,2026-05-18T23:28:49+00:00
legrandin/pycryptodome,19378935,ok,62,1,6636,161,1,4181,516,2871,0,1.0,,2026-05-18T23:28:49+00:00
libevent/libevent,1856976,ok,106,3,1928,329,2,2201,542,4578,1,1.3,,2026-05-18T23:28:49+00:00
libexpat/libexpat,80314213,ok,45,1,5508,124,2,2426,1075,4249,1,1.1,,2026-05-18T23:28:49+00:00
libffi/libffi,321154,ok,85,1,5071,213,1,2921,491,1716,1,1.3,,2026-05-18T23:28:49+00:00
libidn/libidn2,87378214,ok,6,1,8388,12,1,4441,287,1111,0,0.8,,2026-05-18T23:28:49+00:00
libjpeg-turbo/libjpeg-turbo,39760454,ok,18,1,9190,52,2,4359,507,2538,0,0.8,,2026-05-18T23:28:50+00:00
libjxl/libjxl,340219494,ok,124,4,1131,137,4,1108,2924,3026,1,1.2,,2026-05-18T23:28:50+00:00
libuv/libuv,14812739,ok,195,4,998,644,4,1096,822,5581,1,2.0,,2026-05-18T23:28:51+00:00
linusu/buffer-from,66025821,ok,1,1,10000,2,1,8951,2,18,0,0.6,,2026-05-18T23:28:51+00:00
linux-audit/audit-userspace,52464964,ok,49,1,6315,82,2,4114,1115,3200,0,0.9,,2026-05-18T23:28:51+00:00
linux-pam/linux-pam,76264690,ok,130,3,1421,216,3,1394,718,2468,0,1.2,,2026-05-18T23:28:51+00:00
litejs/natural-compare-lite,9146732,ok,2,1,8347,4,1,8984,11,57,0,1.1,,2026-05-18T23:28:51+00:00
ljharb/call-bind,308533760,ok,1,1,10000,1,1,10000,53,72,0,0.6,,2026-05-18T23:28:51+00:00
ljharb/call-bind-apply-helpers,898190951,ok,1,1,10000,1,1,10000,12,12,0,0.5,,2026-05-18T23:28:52+00:00
ljharb/call-bound,898125972,ok,1,1,10000,1,1,10000,20,20,0,0.5,,2026-05-18T23:28:52+00:00
ljharb/concat-map,548993448,ok,1,1,10000,2,1,5005,16,33,0,0.4,,2026-05-18T23:28:52+00:00
ljharb/define-data-property,689109338,ok,1,1,10000,1,1,10000,43,44,0,0.5,,2026-05-18T23:28:52+00:00
ljharb/define-properties,28768789,ok,1,1,10000,1,1,10000,30,135,0,0.5,,2026-05-18T23:28:53+00:00
ljharb/es-abstract,28995155,ok,7,1,9720,12,1,9397,567,1041,0,0.7,,2026-05-18T23:28:53+00:00
ljharb/es-define-property,756570458,ok,1,1,10000,1,1,10000,15,15,0,0.6,,2026-05-18T23:28:53+00:00
ljharb/es-errors,752160492,ok,1,1,10000,1,1,10000,16,16,0,0.5,,2026-05-18T23:28:53+00:00
ljharb/es-shim-unscopables,480458584,ok,1,1,10000,1,1,10000,22,23,0,0.5,,2026-05-18T23:28:53+00:00
ljharb/es-to-primitive,32377814,ok,1,1,10000,2,1,9870,32,153,0,0.6,,2026-05-18T23:28:53+00:00
ljharb/get-intrinsic,308516559,ok,1,1,10000,2,1,9646,91,111,0,0.6,,2026-05-18T23:28:53+00:00
ljharb/get-proto,911035271,ok,1,1,10000,1,1,10000,7,8,0,0.5,,2026-05-18T23:28:53+00:00
