repo,repo_id,status,ac_2021_2025,bf_2021_2025,hhi_2021_2025,contributors_lifetime,bf_lifetime,hhi_lifetime,commits_2021_2025,commits_lifetime,bots_lifetime,clone_seconds,error,fetched_at
babel/babel-polyfills,190579283,ok,20,1,5145,24,1,6748,220,434,1,0.7,,2026-05-18T23:27:24+00:00
bdwgc/bdwgc,2109456,ok,73,1,8653,203,1,6637,2504,6477,0,4.3,,2026-05-18T23:27:25+00:00
beatgammit/base64-js,2853282,ok,1,1,10000,15,1,5732,1,133,0,1.4,,2026-05-18T23:27:26+00:00
benjaminp/six,77868600,ok,10,1,5200,66,1,4986,35,504,0,1.5,,2026-05-18T23:27:26+00:00
besser82/libxcrypt,35503965,ok,19,1,5769,26,1,5284,267,857,0,2.0,,2026-05-18T23:27:28+00:00
bitflags/bitflags,29287955,ok,36,1,5911,90,1,2838,342,537,0,1.8,,2026-05-18T23:27:28+00:00
blakeembrey/array-flatten,17789771,ok,2,1,5000,6,1,7776,2,50,2,1.9,,2026-05-18T23:27:28+00:00
blakeembrey/change-case,9440238,ok,12,1,7009,23,1,7451,73,182,2,0.5,,2026-05-18T23:27:30+00:00
bluss/bencher,65987276,ok,0,0,0,4,1,8220,0,42,0,4.8,,2026-05-18T23:27:30+00:00
boto/boto3,24774658,ok,68,1,8097,173,1,5053,2696,5110,1,6.4,,2026-05-18T23:27:31+00:00
boto/botocore,6670942,ok,72,1,7074,218,1,2789,3852,9392,1,7.6,,2026-05-18T23:27:31+00:00
boto/s3transfer,49535299,ok,28,2,2480,47,2,1947,214,537,1,1.9,,2026-05-18T23:27:35+00:00
braveg1rl/performance-now,336187529,ok,1,1,10000,1,1,10000,1,1,0,1.9,,2026-05-18T23:27:35+00:00
brianc/node-postgres,991475,ok,97,4,1399,373,1,3882,278,2515,1,1.4,,2026-05-18T23:27:37+00:00
broofa/mime,534940,ok,7,1,8655,55,1,5658,114,333,1,0.5,,2026-05-18T23:25:52+00:00
browserify/events,1649251,ok,1,1,10000,17,2,2686,11,122,0,1.0,,2026-05-18T23:27:38+00:00
browserify/node-util,14568009,ok,4,2,3086,11,2,3187,9,143,0,0.9,,2026-05-18T23:27:38+00:00
browserify/randombytes,29300004,ok,2,1,7812,8,2,3034,8,46,0,0.8,,2026-05-18T23:27:38+00:00
browserify/resolve,1915099,ok,8,1,8869,63,1,4921,205,691,0,1.3,,2026-05-18T23:27:38+00:00
browserslist/browserslist,27971466,ok,60,1,6151,194,1,6645,433,1508,1,0.7,,2026-05-18T23:27:39+00:00
browserslist/caniuse-lite,80221890,ok,10,1,4811,14,2,3551,735,1709,1,0.7,,2026-05-18T23:27:39+00:00
browserslist/update-db,505548145,ok,14,1,7008,14,1,7042,158,160,0,0.8,,2026-05-18T23:27:39+00:00
burntsushi/aho-corasick,37290678,ok,13,1,7929,32,1,6523,127,294,1,0.7,,2026-05-18T23:27:39+00:00
burntsushi/jiff,759017108,ok,40,1,8003,46,1,7946,549,634,0,0.7,,2026-05-18T23:27:39+00:00
burntsushi/memchr,37290652,ok,21,1,5808,48,1,4447,112,260,1,0.8,,2026-05-18T23:27:39+00:00
