url,valid,method,checked_at
https://gitlab.freedesktop.org/mesa/drm.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/mesa/mesa.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/poppler/poppler.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/pulseaudio/pulseaudio.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/uchardet/uchardet.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/wayland/wayland.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xdg/shared-mime-info.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/app/xauth.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libice.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libpciaccess.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libsm.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxaw.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxcursor.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxfixes.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxft.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxi.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxinerama.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxmu.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxpm.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxrandr.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxt.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxtst.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxv.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/libxxf86vm.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/lib/pthread-stubs.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.freedesktop.org/xorg/xserver.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.gnome.org/gnome/librsvg.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.gnome.org/gnome/libxslt.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.isc.org/isc-projects/dhcp.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.redox-os.org/redox-os/libredox.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.redox-os.org/redox-os/syscall.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.xiph.org/xiph/opus.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.xiph.org/xiph/speex.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.xiph.org/xiph/theora.git,True,ls-remote,2026-04-27T20:41:04Z
https://gitlab.xiph.org/xiph/vorbis.git,True,ls-remote,2026-04-27T20:41:04Z
https://invent.kde.org/frameworks/kcoreaddons,True,ls-remote,2026-04-27T20:41:04Z
https://pagure.io/newt,True,ls-remote,2026-04-27T20:41:04Z
https://salsa.debian.org/cpython-team/python3-defaults.git,True,ls-remote,2026-04-27T20:41:04Z
https://salsa.debian.org/debian/base-passwd.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/debian/debianutils.git,True,ls-remote,2026-04-27T20:41:04Z
https://salsa.debian.org/debian/ifupdown.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/dpkg-team/dpkg.git,True,ls-remote,2026-04-27T20:41:04Z
https://salsa.debian.org/installer-team/cdebconf.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/installer-team/console-setup.git,True,ls-remote,2026-04-27T20:41:04Z
https://salsa.debian.org/installer-team/discover-data.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/kernel-team/linux-base.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/md/tcp-wrappers.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/meskes/hostname.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/mozilla-team/nspr.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/multimedia-team/lame.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/multimedia-team/opencore-amr.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/multimedia-team/xvidcore.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/utopia-team/dbus.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/xorg-team/lib/libx11.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/xorg-team/lib/libxau.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/xorg-team/lib/libxdmcp.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/xorg-team/lib/libxext.git,True,ls-remote,2026-04-27T20:50:59Z
https://salsa.debian.org/xorg-team/lib/libxrender.git,True,ls-remote,2026-04-27T20:50:59Z
