"package","year","downloads","fetched_at"
"@75lb/deep-merge","2024","16581312","2026-03-29 00:00:00.000000"
"@75lb/deep-merge","2025","18102230","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2021","0","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2022","0","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2023","0","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2024","0","2026-03-29 00:00:00.000000"
"@a2a-js/sdk","2025","3908399","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2021","0","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2022","2642707","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2023","0","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2024","4672958","2026-03-29 00:00:00.000000"
"@ably/msgpack-js","2025","8804637","2026-03-29 00:00:00.000000"
"@actions/core","2021","0","2026-03-29 00:00:00.000000"
"@actions/core","2022","56113172","2026-03-29 00:00:00.000000"
"@actions/core","2023","0","2026-03-29 00:00:00.000000"
"@actions/core","2024","111633190","2026-03-29 00:00:00.000000"
"@actions/core","2025","0","2026-03-29 00:00:00.000000"
"@actions/exec","2021","0","2026-03-29 00:00:00.000000"
"@actions/exec","2022","9763852","2026-03-29 00:00:00.000000"
"@actions/exec","2023","0","2026-03-29 00:00:00.000000"
"@actions/exec","2024","32832887","2026-03-29 00:00:00.000000"
"@actions/exec","2025","0","2026-03-29 00:00:00.000000"
"@actions/github","2021","0","2026-03-29 00:00:00.000000"
"@actions/github","2022","40769601","2026-03-29 00:00:00.000000"
"@actions/github","2023","0","2026-03-29 00:00:00.000000"
"@actions/github","2024","65823257","2026-03-29 00:00:00.000000"
"@actions/github","2025","0","2026-03-29 00:00:00.000000"
"@actions/http-client","2021","23484831","2026-03-29 00:00:00.000000"
"@actions/http-client","2022","59052388","2026-03-29 00:00:00.000000"
"@actions/http-client","2023","87272842","2026-03-29 00:00:00.000000"
"@actions/http-client","2024","143265337","2026-03-29 00:00:00.000000"
"@actions/http-client","2025","234957944","2026-03-29 00:00:00.000000"
"@actions/io","2021","3980243","2026-03-29 00:00:00.000000"
"@actions/io","2022","10162386","2026-03-29 00:00:00.000000"
"@actions/io","2023","16172309","2026-03-29 00:00:00.000000"
"@actions/io","2024","33424094","2026-03-29 00:00:00.000000"
"@actions/io","2025","0","2026-03-29 00:00:00.000000"
"@adminjs/design-system","2021","40334","2026-03-29 00:00:00.000000"
"@adminjs/design-system","2022","404648","2026-03-29 00:00:00.000000"
"@adminjs/design-system","2023","889111","2026-03-29 00:00:00.000000"
"@adminjs/design-system","2024","1138147","2026-03-29 00:00:00.000000"
"@adminjs/design-system","2025","0","2026-03-29 00:00:00.000000"
"@adobe/css-tools","2021","0","2026-03-29 00:00:00.000000"
"@adobe/css-tools","2022","57741183","2026-03-29 00:00:00.000000"
"@adobe/css-tools","2023","307714999","2026-03-29 00:00:00.000000"
"@adobe/css-tools","2024","497610798","2026-03-29 00:00:00.000000"
"@adobe/css-tools","2025","822299907","2026-03-29 00:00:00.000000"
"@adobe/fetch","2021","4297","2026-03-29 00:00:00.000000"
"@adobe/fetch","2022","36624","2026-03-29 00:00:00.000000"
"@adobe/fetch","2023","323080","2026-03-29 00:00:00.000000"
"@adobe/fetch","2024","1104016","2026-03-29 00:00:00.000000"
"@adobe/fetch","2025","2563398","2026-03-29 00:00:00.000000"
"@adraffy/ens-normalize","2021","1351","2026-03-29 00:00:00.000000"
"@adraffy/ens-normalize","2022","4708","2026-03-29 00:00:00.000000"
"@adraffy/ens-normalize","2023","10125706","2026-03-29 00:00:00.000000"
"@adraffy/ens-normalize","2024","38578380","2026-03-29 00:00:00.000000"
"@adraffy/ens-normalize","2025","81209995","2026-03-29 00:00:00.000000"
"@agentclientprotocol/sdk","2021","0","2026-03-29 00:00:00.000000"
"@agentclientprotocol/sdk","2022","0","2026-03-29 00:00:00.000000"
"@agentclientprotocol/sdk","2023","0","2026-03-29 00:00:00.000000"
"@agentclientprotocol/sdk","2024","0","2026-03-29 00:00:00.000000"
"@agentclientprotocol/sdk","2025","597921","2026-03-29 00:00:00.000000"
"@agora-js/media","2021","0","2026-03-29 00:00:00.000000"
"@agora-js/media","2022","0","2026-03-29 00:00:00.000000"
"@agora-js/media","2023","206516","2026-03-29 00:00:00.000000"
"@agora-js/media","2024","1302758","2026-03-29 00:00:00.000000"
"@agora-js/media","2025","2319296","2026-03-29 00:00:00.000000"
"@agora-js/protocol","2021","0","2026-03-29 00:00:00.000000"
"@agora-js/protocol","2022","0","2026-03-29 00:00:00.000000"
"@agora-js/protocol","2023","0","2026-03-29 00:00:00.000000"
"@agora-js/protocol","2024","0","2026-03-29 00:00:00.000000"
"@agora-js/protocol","2025","0","2026-03-29 00:00:00.000000"
