repo,repo_id,cve_count_5y,cve_ids_5y,packages_queried,fetched_at
burntsushi/memchr,37290652,0,,crates.io:memchr,2026-05-03T15:43:14+00:00
burntsushi/quickcheck,17559913,0,,"crates.io:quickcheck,crates.io:quickcheck_macros",2026-05-03T15:43:15+00:00
burntsushi/same-file,78375612,0,,crates.io:same-file,2026-05-03T15:43:14+00:00
burntsushi/termcolor,141345580,0,,crates.io:termcolor,2026-05-03T15:43:14+00:00
burntsushi/ucd-generate,123997498,0,,"crates.io:ucd-trie,crates.io:ucd-parse,crates.io:ucd-util",2026-05-03T15:43:16+00:00
burntsushi/walkdir,42685794,0,,crates.io:walkdir,2026-05-03T15:43:14+00:00
burntsushi/winapi-util,146040682,0,,crates.io:winapi-util,2026-05-03T15:43:14+00:00
businho/pytest-ruff,599731435,0,,PyPI:pytest-ruff,2026-05-03T15:43:15+00:00
bytecodealliance/rustix,295544240,1,CVE-2024-43806,crates.io:rustix,2026-05-03T15:43:15+00:00
bytecodealliance/wasi-rs,196445196,0,,"crates.io:wasip2,crates.io:wasi,crates.io:wasip3",2026-05-03T15:43:17+00:00
calvinmetcalf/minimalistic-assert,29144257,0,,npm:minimalistic-assert,2026-05-03T15:43:15+00:00
calvinmetcalf/process-nextick-args,36039131,0,,npm:process-nextick-args,2026-05-03T15:43:15+00:00
caolan/async,698041,1,CVE-2021-43138,npm:async,2026-05-03T15:43:15+00:00
certbot/certbot,26516210,0,,"PyPI:acme,PyPI:certbot-dns-cloudflare,PyPI:certbot",2026-05-03T15:43:18+00:00
certifi/python-certifi,3060959,3,"CVE-2022-23491,CVE-2023-37920,CVE-2024-39689",PyPI:certifi,2026-05-03T15:43:16+00:00
chaijs/type-detect,12107007,0,,npm:type-detect,2026-05-03T15:43:16+00:00
chalk/ansi-regex,20451415,2,"CVE-2021-3807,GHSA-jvhh-2m83-6w29",npm:ansi-regex,2026-05-03T15:43:16+00:00
chalk/ansi-styles,11803168,1,GHSA-p5rr-crjh-x7gr,npm:ansi-styles,2026-05-03T15:43:16+00:00
chalk/chalk,11855195,1,GHSA-2v46-p5h4-248w,npm:chalk,2026-05-03T15:43:16+00:00
chalk/slice-ansi,43191689,1,GHSA-9xjj-cmqc-578p,npm:slice-ansi,2026-05-03T15:43:16+00:00
chalk/strip-ansi,15014856,1,GHSA-vfjc-p7x3-q864,npm:strip-ansi,2026-05-03T15:43:17+00:00
chalk/supports-color,11855007,1,GHSA-pj3j-3w3f-j752,npm:supports-color,2026-05-03T15:43:17+00:00
chalk/wrap-ansi,41053676,1,GHSA-2rv4-jp6r-xgq7,npm:wrap-ansi,2026-05-03T15:43:17+00:00
chalker/safer-buffer,125825141,0,,npm:safer-buffer,2026-05-03T15:43:17+00:00
chardet/chardet,5196969,0,,PyPI:chardet,2026-05-03T15:43:17+00:00
cheeriojs/dom-serializer,18991884,0,,npm:dom-serializer,2026-05-03T15:43:17+00:00
chicoxyzzy/node-releases,73765596,0,,npm:node-releases,2026-05-03T15:43:17+00:00
chronotope/chrono,18210201,0,,crates.io:chrono,2026-05-03T15:43:17+00:00
chronotope/humantime,59320323,0,,crates.io:humantime,2026-05-03T15:43:18+00:00
clap-rs/clap,31315121,0,,"crates.io:clap,crates.io:clap_derive,crates.io:clap_lex,crates.io:clap_builder,crates.io:clap_complete,crates.io:clap_mangen,crates.io:clap_complete_nushell,crates.io:clap_complete_fig",2026-05-03T15:43:25+00:00
cloudflare/cloudflare-python,753271547,0,,PyPI:cloudflare,2026-05-03T15:43:18+00:00
colinhacks/zod,245704608,1,CVE-2023-4316,npm:zod,2026-05-03T15:43:18+00:00
colorjs/color-name,27038309,1,CVE-2025-59145,npm:color-name,2026-05-03T15:43:18+00:00
comex/rust-shlex,37886228,1,CVE-2024-58266,crates.io:shlex,2026-05-03T15:43:18+00:00
component/escape-html,5444800,0,,npm:escape-html,2026-05-03T15:43:18+00:00
component/toidentifier,114743189,0,,npm:toidentifier,2026-05-03T15:43:18+00:00
conventional-changelog/commitlint,51575745,0,,"npm:@commitlint/types,npm:@commitlint/load,npm:@commitlint/resolve-extends,npm:@commitlint/execute-rule,npm:@commitlint/ensure,npm:@commitlint/message,npm:@commitlint/to-lines,npm:@commitlint/is-ignored,npm:@commitlint/parse,npm:@commitlint/rules,npm:@commitlint/top-level,npm:@commitlint/config-validator,npm:@commitlint/lint,npm:@commitlint/format,npm:@commitlint/read,npm:@commitlint/cli",2026-05-03T15:43:33+00:00
conventional-changelog/conventional-changelog,15639771,1,CVE-2025-59433,"npm:conventional-commits-parser,npm:conventional-changelog-angular,npm:git-raw-commits,npm:conventional-commits-filter,npm:conventional-changelog-writer,npm:@conventional-changelog/git-client,npm:conventional-changelog-conventionalcommits,npm:conventional-changelog-preset-loader,npm:git-semver-tags,npm:conventional-changelog-core,npm:conventional-recommended-bump,npm:conventional-changelog,npm:conventional-changelog-eslint,npm:conventional-changelog-jquery,npm:conventional-changelog-atom,npm:conventional-changelog-jshint,npm:conventional-changelog-ember,npm:conventional-changelog-codemirror,npm:conventional-changelog-express",2026-05-03T15:43:37+00:00
cosmiconfig/cosmiconfig,45750507,0,,npm:cosmiconfig,2026-05-03T15:43:19+00:00
coveragepy/coveragepy,138421996,0,,PyPI:coverage,2026-05-03T15:43:19+00:00
cpburnz/python-pathspec,14648551,0,,PyPI:pathspec,2026-05-03T15:43:19+00:00
criterion-rs/criterion.rs,1081104682,0,,"crates.io:criterion,crates.io:criterion-plot",2026-05-03T15:43:20+00:00
crossbeam-rs/crossbeam,35566048,9,"CVE-2018-20996,CVE-2020-15254,CVE-2021-32810,CVE-2022-23639,CVE-2025-4574,GHSA-6888-wf7j-34jq,GHSA-8gj8-hv75-gp94,GHSA-9g55-pg62-m8hh,GHSA-rwf4-gx62-rqfw","crates.io:crossbeam-utils,crates.io:crossbeam-deque,crates.io:crossbeam-epoch,crates.io:crossbeam-channel,crates.io:crossbeam-queue,crates.io:crossbeam,crates.io:crossbeam-skiplist",2026-05-03T15:43:25+00:00
crypto-browserify/randombytes,29300004,0,,npm:randombytes,2026-05-03T15:43:19+00:00
css-modules/icss-utils,42766912,0,,npm:icss-utils,2026-05-03T15:43:19+00:00
cssnano/cssnano,33943153,0,,"npm:cssnano-utils,npm:cssnano-preset-default,npm:stylehacks,npm:cssnano,npm:postcss-discard-duplicates,npm:postcss-merge-rules,npm:postcss-svgo,npm:postcss-merge-longhand,npm:postcss-minify-selectors,npm:postcss-colormin,npm:postcss-reduce-initial,npm:postcss-minify-params,npm:postcss-discard-comments,npm:postcss-convert-values,npm:postcss-ordered-values,npm:postcss-discard-empty,npm:postcss-minify-gradients,npm:postcss-unique-selectors,npm:postcss-normalize-url,npm:postcss-reduce-transforms,npm:postcss-normalize-charset,npm:postcss-discard-overridden,npm:postcss-minify-font-values,npm:postcss-normalize-unicode,npm:postcss-normalize-positions,npm:postcss-normalize-repeat-style,npm:postcss-normalize-whitespace,npm:postcss-normalize-string,npm:postcss-normalize-display-values,npm:postcss-normalize-timing-functions,npm:cssnano-util-get-match,npm:cssnano-util-get-arguments,npm:cssnano-util-raw-cache,npm:cssnano-util-same-parent,npm:postcss-discard-unused,npm:postcss-zindex,npm:postcss-reduce-idents,npm:postcss-merge-idents",2026-05-03T15:43:56+00:00
csstools/postcss-plugins,219192307,0,,"npm:@csstools/utilities,npm:@csstools/css-tokenizer,npm:@csstools/css-parser-algorithms,npm:@csstools/selector-specificity,npm:@csstools/css-calc,npm:@csstools/postcss-progressive-custom-properties,npm:@csstools/css-color-parser,npm:@csstools/color-helpers,npm:postcss-nesting,npm:postcss-custom-properties,npm:postcss-custom-media,npm:postcss-selector-not,npm:postcss-custom-selectors,npm:postcss-pseudo-class-any-link,npm:postcss-attribute-case-insensitive,npm:postcss-color-rebeccapurple,npm:postcss-preset-env,npm:postcss-color-hex-alpha,npm:@csstools/css-syntax-patches-for-csstree,npm:postcss-color-functional-notation,npm:postcss-dir-pseudo-class,npm:postcss-lab-function,npm:postcss-focus-visible,npm:postcss-logical,npm:postcss-gap-properties,npm:postcss-image-set-function,npm:postcss-place,npm:postcss-overflow-shorthand,npm:postcss-double-position-gradients,npm:postcss-focus-within,npm:css-has-pseudo,npm:css-blank-pseudo,npm:css-prefers-color-scheme,npm:postcss-env-function,npm:@csstools/cascade-layer-name-parser,npm:@csstools/media-query-list-parser,npm:postcss-browser-comments,npm:@csstools/postcss-is-pseudo-class,npm:@csstools/postcss-hwb-function,npm:@csstools/postcss-normalize-display-values,npm:@csstools/postcss-font-format-keywords,npm:@csstools/postcss-oklab-function,npm:@csstools/postcss-color-function,npm:@csstools/postcss-ic-unit,npm:@csstools/postcss-stepped-value-functions,npm:@csstools/postcss-unset-value,npm:@csstools/postcss-cascade-layers,npm:@csstools/selector-resolve-nested,npm:@csstools/postcss-trigonometric-functions,npm:@csstools/postcss-text-decoration-shorthand,npm:@csstools/postcss-nested-calc,npm:@csstools/postcss-media-minmax,npm:@csstools/postcss-logical-viewport-units,npm:@csstools/postcss-logical-resize,npm:@csstools/postcss-logical-float-and-clear,npm:@csstools/postcss-color-mix-function,npm:@csstools/postcss-relative-color-syntax,npm:@csstools/postcss-light-dark-function,npm:@csstools/postcss-media-queries-aspect-ratio-number-values,npm:@csstools/postcss-exponential-functions,npm:@csstools/postcss-scope-pseudo-class,npm:@csstools/postcss-gradients-interpolation-method,npm:@csstools/postcss-initial,npm:@csstools/postcss-gamut-mapping,npm:@csstools/postcss-logical-overscroll-behavior,npm:@csstools/postcss-content-alt-text,npm:@csstools/postcss-logical-overflow,npm:@csstools/postcss-sign-functions,npm:@csstools/postcss-random-function,npm:@csstools/postcss-color-mix-variadic-function-arguments,npm:@csstools/postcss-color-function-display-p3-linear,npm:@csstools/postcss-alpha-function,npm:@csstools/postcss-contrast-color-function,npm:@csstools/postcss-position-area-property,npm:@csstools/postcss-system-ui-font-family,npm:@csstools/postcss-syntax-descriptor-syntax-production,npm:@csstools/postcss-property-rule-prelude-list,npm:@csstools/postcss-mixins,npm:@csstools/postcss-font-width-property",2026-05-03T15:44:38+00:00
csstree/csstree,67236461,0,,npm:css-tree,2026-05-03T15:43:20+00:00
cuviper/autocfg,135481335,0,,crates.io:autocfg,2026-05-03T15:43:20+00:00
daaku/nodejs-makeerror,2097803,0,,npm:makeerror,2026-05-03T15:43:20+00:00
daaku/nodejs-tmpl,2171213,1,CVE-2021-3777,npm:tmpl,2026-05-03T15:43:20+00:00
dateutil/dateutil,26876372,0,,PyPI:python-dateutil,2026-05-03T15:43:21+00:00
davepacheco/node-extsprintf,4058064,0,,npm:extsprintf,2026-05-03T15:43:21+00:00
davidhalter/parso,90668463,0,,PyPI:parso,2026-05-03T15:43:21+00:00
davisjam/safe-regex,90781457,0,,npm:safe-regex,2026-05-03T15:43:21+00:00
dchest/tweetnacl-js,15649752,0,,npm:tweetnacl,2026-05-03T15:43:21+00:00
dcodeio/long.js,8678904,0,,"npm:@xtuc/long,npm:long",2026-05-03T15:43:23+00:00
dcodeio/protobuf.js,8507859,0,,"npm:@protobufjs/inquire,npm:@protobufjs/aspromise,npm:@protobufjs/float,npm:@protobufjs/fetch,npm:@protobufjs/utf8,npm:@protobufjs/pool,npm:@protobufjs/path,npm:@protobufjs/eventemitter,npm:@protobufjs/base64,npm:@protobufjs/codegen",2026-05-03T15:43:31+00:00
debug-js/debug,2871998,2,"CVE-2017-20165,CVE-2025-59144",npm:debug,2026-05-03T15:43:22+00:00
definitelytyped/definitelytyped,6093316,0,,"npm:@types/node,npm:@types/unist,npm:@types/estree,npm:@types/istanbul-lib-coverage,npm:@types/json-schema,npm:@types/yargs-parser,npm:@types/yargs,npm:@types/istanbul-lib-report,npm:@types/babel__core,npm:@types/istanbul-reports,npm:@types/mdast,npm:@types/babel__traverse,npm:@types/express-serve-static-core,npm:@types/babel__generator,npm:@types/babel__template,npm:@types/react,npm:@types/hast,npm:@types/connect,npm:@types/express,npm:@types/stack-utils,npm:@types/qs,npm:@types/serve-static,npm:@types/normalize-package-data,npm:@types/body-parser,npm:@types/range-parser,npm:@types/http-errors,npm:@types/lodash,npm:@types/jest,npm:@types/graceful-fs,npm:@types/json5,npm:@types/ms,npm:@types/minimatch,npm:@types/prop-types,npm:@types/eslint,npm:@types/esrecurse,npm:@types/send,npm:@types/ws,npm:@types/glob,npm:@types/react-dom,npm:@types/semver,npm:@types/trusted-types,npm:@types/prettier,npm:@types/uuid,npm:@types/eslint-scope,npm:@types/yauzl,npm:@types/aria-query,npm:@types/html-minifier-terser,npm:@types/tough-cookie,npm:@types/http-proxy,npm:@types/q,npm:@types/geojson,npm:@types/retry,npm:@types/http-cache-semantics,npm:@types/node-fetch,npm:@types/minimist,npm:@types/resolve,npm:@types/sinonjs__fake-timers,npm:@types/debug,npm:@types/d3-time,npm:@types/d3-path,npm:@types/react-transition-group,npm:@types/d3-color,npm:@types/hoist-non-react-statics,npm:@types/d3-selection,npm:@types/jsonwebtoken,npm:@types/readable-stream,npm:@types/cors,npm:@types/source-list-map,npm:@types/connect-history-api-fallback,npm:@types/responselike,npm:@types/mdx,npm:@types/bonjour,npm:@types/serve-index,npm:@types/sockjs,npm:@types/webpack,npm:@types/triple-beam,npm:@types/jsdom,npm:@types/chai,npm:@types/webidl-conversions,npm:@types/use-sync-external-store,npm:@types/sizzle,npm:@types/webpack-sources,npm:@types/pg,npm:@types/superagent,npm:@types/validator,npm:@types/caseless,npm:@types/d3-interpolate,npm:@types/fs-extra,npm:@types/d3-shape,npm:@types/cookiejar,npm:@types/d3-scale,npm:@types/whatwg-url,npm:@types/react-router,npm:@types/estree-jsx,npm:@types/d3-array,npm:@types/js-yaml,npm:@types/request,npm:@types/deep-eql,npm:@types/zen-observable,npm:@types/webpack-env,npm:@types/methods,npm:@types/mdurl,npm:@types/koa,npm:@types/linkify-it,npm:@types/luxon,npm:@types/d3-timer,npm:@types/doctrine,npm:@types/d3-ease,npm:@types/mocha,npm:@types/through,npm:@types/jsonfile,npm:@types/react-router-dom,npm:@types/aws-lambda,npm:@types/supertest,npm:@types/js-cookie,npm:@types/keygrip,npm:@types/accepts,npm:@types/sinon,npm:@types/d3-dsv,npm:@types/set-cookie-parser,npm:@types/markdown-it,npm:@types/react-test-renderer,npm:@types/mysql,npm:@types/inquirer,npm:@types/google.maps,npm:@types/cookies,npm:@types/content-disposition,npm:@types/ejs,npm:@types/mime-types,npm:@types/hammerjs,npm:@types/http-assert,npm:@types/koa-compose,npm:@types/styled-components,npm:@types/jquery,npm:@types/tmp,npm:@types/prismjs,npm:@types/warning,npm:@types/d3-time-format,npm:@types/emscripten,npm:@types/selenium-webdriver,npm:@types/argparse,npm:@types/bluebird,npm:@types/pg-pool,npm:@types/d3-format,npm:@types/d3-zoom,npm:@types/d3-scale-chromatic,npm:@types/d3-transition,npm:@types/reach__router,npm:@types/d3-geo,npm:@types/readdir-glob,npm:@types/d3-hierarchy,npm:@types/d3,npm:@types/which,npm:@types/stylis,npm:@types/bn.js,npm:@types/d3-drag,npm:@types/lodash-es,npm:@types/d3-random,npm:@types/d3-delaunay,npm:@types/multer,npm:@types/d3-force,npm:@types/d3-axis,npm:@types/d3-dispatch,npm:@types/d3-brush,npm:@types/raf,npm:@types/d3-chord,npm:@types/d3-quadtree,npm:@types/d3-polygon,npm:@types/d3-fetch,npm:@types/d3-contour,npm:@types/statuses,npm:@types/ramda,npm:@types/web-bluetooth,npm:@types/bunyan,npm:@types/crypto-js,npm:@types/papaparse,npm:@types/pako,npm:@types/ua-parser-js,npm:@types/duplexify,npm:@types/invariant,npm:@types/pluralize,npm:@types/ssh2,npm:@types/archiver,npm:@types/concat-stream,npm:@types/vinyl,npm:@types/cls-hooked,npm:@types/react-reconciler,npm:@types/babel-types,npm:@types/tinycolor2,npm:@types/lodash.debounce,npm:@types/offscreencanvas,npm:@types/sax,npm:@types/esquery,npm:@types/buffer-from,npm:@types/picomatch,npm:@types/symlink-or-copy,npm:@types/command-line-args,npm:@types/supercluster,npm:@types/pbf,npm:@types/bezier-js,npm:@types/command-line-usage,npm:@types/geojson-vt",2026-05-03T15:46:43+00:00
django/asgiref,48501860,0,,PyPI:asgiref,2026-05-03T15:43:22+00:00
djc/rustc-version-rs,41272773,0,,crates.io:rustc_version,2026-05-03T15:43:23+00:00
dmitrysoshnikov/regexp-tree,85459304,0,,npm:regexp-tree,2026-05-03T15:43:23+00:00
dominictarr/through,4885140,0,,npm:through,2026-05-03T15:43:24+00:00
doowb/ansi-colors,47135420,0,,npm:ansi-colors,2026-05-03T15:43:24+00:00
douglasdwyer/wasm_sync,668034655,0,,crates.io:wasm_sync,2026-05-03T15:43:24+00:00
dougwilson/nodejs-depd,20848667,0,,npm:depd,2026-05-03T15:43:25+00:00
dtolnay/anyhow,212936374,0,,crates.io:anyhow,2026-05-03T15:43:25+00:00
dtolnay/automod,173074854,0,,crates.io:automod,2026-05-03T15:43:25+00:00
dtolnay/dissimilar,229514821,0,,crates.io:dissimilar,2026-05-03T15:43:26+00:00
dtolnay/indoc,54252316,0,,"crates.io:indoc,crates.io:unindent,crates.io:indoc-impl",2026-05-03T15:43:28+00:00
dtolnay/itoa,61962375,0,,crates.io:itoa,2026-05-03T15:43:26+00:00
dtolnay/no-panic,143469762,0,,crates.io:no-panic,2026-05-03T15:43:26+00:00
dtolnay/paste,155652490,1,RUSTSEC-2024-0436,"crates.io:paste,crates.io:paste-test-suite,crates.io:paste-impl",2026-05-03T15:43:28+00:00
dtolnay/proc-macro2,91860126,0,,crates.io:proc-macro2,2026-05-03T15:43:27+00:00
dtolnay/quote,67273122,0,,crates.io:quote,2026-05-03T15:43:27+00:00
dtolnay/ref-cast,106295902,0,,"crates.io:ref-cast,crates.io:ref-cast-impl,crates.io:ref-cast-test-suite",2026-05-03T15:43:29+00:00
dtolnay/rustversion,183990447,0,,crates.io:rustversion,2026-05-03T15:43:28+00:00
dtolnay/ryu,142720484,0,,crates.io:ryu,2026-05-03T15:43:28+00:00
dtolnay/semver,22432442,0,,crates.io:semver,2026-05-03T15:43:28+00:00
dtolnay/syn,67305738,0,,"crates.io:syn,crates.io:syn-test-suite,crates.io:synom",2026-05-03T15:43:30+00:00
dtolnay/target-triple,734167706,0,,crates.io:target-triple,2026-05-03T15:43:28+00:00
dtolnay/thiserror,213836768,0,,"crates.io:thiserror,crates.io:thiserror-impl",2026-05-03T15:43:30+00:00
dtolnay/trybuild,184941159,0,,crates.io:trybuild,2026-05-03T15:43:29+00:00
dtolnay/unicode-ident,492639579,0,,crates.io:unicode-ident,2026-05-03T15:43:29+00:00
eemeli/yaml,119439276,1,CVE-2023-2251,npm:yaml,2026-05-03T15:43:29+00:00
ehmicky/human-signals,214467546,0,,npm:human-signals,2026-05-03T15:43:29+00:00
eliben/pycparser,10589864,0,,PyPI:pycparser,2026-05-03T15:43:29+00:00
emotion-js/emotion,92570536,0,,"npm:@emotion/memoize,npm:@emotion/utils,npm:@emotion/unitless,npm:@emotion/hash,npm:@emotion/serialize,npm:@emotion/is-prop-valid,npm:@emotion/sheet,npm:@emotion/cache,npm:@emotion/weak-memoize,npm:@emotion/use-insertion-effect-with-fallbacks,npm:@emotion/babel-plugin,npm:@emotion/react,npm:@emotion/styled,npm:@emotion/css,npm:babel-plugin-emotion,npm:@emotion/core,npm:emotion-theming",2026-05-03T15:43:46+00:00
encode/httpcore,237210639,0,,PyPI:httpcore,2026-05-03T15:43:30+00:00
encode/httpx,179492861,1,CVE-2021-41945,PyPI:httpx,2026-05-03T15:43:30+00:00
epoberezkin/ajv-keywords,60477053,0,,npm:ajv-keywords,2026-05-03T15:43:30+00:00
epoberezkin/fast-deep-equal,94483360,0,,npm:fast-deep-equal,2026-05-03T15:43:30+00:00
epoberezkin/fast-json-stable-stringify,108103016,0,,npm:fast-json-stable-stringify,2026-05-03T15:43:30+00:00
epoberezkin/json-schema-traverse,93333933,0,,npm:json-schema-traverse,2026-05-03T15:43:30+00:00
es-shims/array-includes,28753032,0,,npm:array-includes,2026-05-03T15:43:31+00:00
es-shims/dunder-proto,898274312,0,,npm:dunder-proto,2026-05-03T15:43:31+00:00
es-shims/es-set-tostringtag,580683868,0,,npm:es-set-tostringtag,2026-05-03T15:43:31+00:00
es-shims/math-intrinsics,902014040,0,,npm:math-intrinsics,2026-05-03T15:43:31+00:00
es-shims/object.values,41723335,0,,npm:object.values,2026-05-03T15:43:31+00:00
es-shims/regexp.prototype.flags,26932422,0,,npm:regexp.prototype.flags,2026-05-03T15:43:32+00:00
es-shims/string.prototype.trimend,114682758,0,,npm:string.prototype.trimend,2026-05-03T15:43:31+00:00
es-shims/string.prototype.trimstart,114682105,0,,npm:string.prototype.trimstart,2026-05-03T15:43:31+00:00
eslint-community/eslint-utils,568240379,0,,npm:@eslint-community/eslint-utils,2026-05-03T15:43:32+00:00
eslint/doctrine,4286644,0,,npm:doctrine,2026-05-03T15:43:32+00:00
eslint/eslint,11061773,0,,"npm:eslint,npm:@eslint/js",2026-05-03T15:43:33+00:00
eslint/js,27620277,0,,"npm:eslint-visitor-keys,npm:eslint-scope,npm:espree",2026-05-03T15:43:34+00:00
eslint/rewrite,791446923,2,"CVE-2024-21539,GHSA-xffm-g5w8-qvg7","npm:@eslint/core,npm:@eslint/config-helpers,npm:@eslint/object-schema,npm:@eslint/config-array,npm:@eslint/plugin-kit,npm:@eslint/compat",2026-05-03T15:43:37+00:00
estools/escodegen,3611422,0,,npm:escodegen,2026-05-03T15:43:32+00:00
estools/esquery,11412938,0,,npm:esquery,2026-05-03T15:43:32+00:00
estools/esrecurse,27429822,0,,npm:esrecurse,2026-05-03T15:43:32+00:00
estools/estraverse,6145439,0,,npm:estraverse,2026-05-03T15:43:32+00:00
estools/esutils,14677293,0,,npm:esutils,2026-05-03T15:43:33+00:00
ethers-io/ethers.js,63465664,0,,"npm:@ethersproject/logger,npm:@ethersproject/bytes,npm:@ethersproject/bignumber,npm:@ethersproject/properties,npm:@ethersproject/constants,npm:@ethersproject/keccak256,npm:@ethersproject/strings,npm:@ethersproject/address,npm:@ethersproject/rlp,npm:ethers,npm:@ethersproject/base64,npm:@ethersproject/networks,npm:@ethersproject/transactions,npm:@ethersproject/abstract-provider,npm:@ethersproject/web,npm:@ethersproject/abi,npm:@ethersproject/signing-key,npm:@ethersproject/hash,npm:@ethersproject/abstract-signer",2026-05-03T15:43:51+00:00
evanw/esbuild,61137153,1,GHSA-67mh-4wv8-2f99,"npm:esbuild,npm:esbuild-linux-64,npm:esbuild-wasm,npm:esbuild-windows-64,npm:esbuild-darwin-64,npm:esbuild-linux-arm64,npm:esbuild-darwin-arm64,npm:esbuild-windows-32,npm:esbuild-linux-arm,npm:esbuild-windows-arm64,npm:esbuild-linux-ppc64le,npm:esbuild-linux-32,npm:esbuild-sunos-64,npm:esbuild-freebsd-64,npm:esbuild-openbsd-64,npm:esbuild-linux-mips64le,npm:esbuild-freebsd-arm64,npm:esbuild-android-arm64,npm:esbuild-netbsd-64,npm:esbuild-linux-riscv64,npm:esbuild-android-64,npm:esbuild-linux-s390x",2026-05-03T15:43:54+00:00
evanw/node-source-map-support,7682781,0,,npm:source-map-support,2026-05-03T15:43:33+00:00
eventualbuddha/lines-and-columns,47284288,0,,npm:lines-and-columns,2026-05-03T15:43:33+00:00
executablebooks/markdown-it-py,249956697,2,"CVE-2023-26302,CVE-2023-26303",PyPI:markdown-it-py,2026-05-03T15:43:33+00:00
executablebooks/mdurl,387293763,0,,PyPI:mdurl,2026-05-03T15:43:32+00:00
exodusoss/bytes,885154008,0,,npm:@exodus/bytes,2026-05-03T15:43:33+00:00
expressjs/body-parser,15669006,2,"CVE-2024-45590,CVE-2025-13466",npm:body-parser,2026-05-03T15:43:34+00:00
expressjs/serve-static,17464338,1,CVE-2024-43800,npm:serve-static,2026-05-03T15:43:34+00:00
facebook/create-react-app,63537249,1,CVE-2021-24033,"npm:confusing-browser-globals,npm:react-error-overlay,npm:react-dev-utils,npm:eslint-config-react-app,npm:babel-preset-react-app,npm:babel-plugin-named-asset-import,npm:react-app-polyfill,npm:react-scripts",2026-05-03T15:43:41+00:00
facebook/metro,76504246,0,,"npm:metro-source-map,npm:metro-core,npm:metro-resolver,npm:ob1,npm:metro-symbolicate,npm:metro,npm:metro-cache,npm:metro-runtime,npm:metro-babel-transformer,npm:metro-config,npm:metro-transform-plugins,npm:metro-cache-key,npm:metro-react-native-babel-preset,npm:metro-transform-worker,npm:metro-file-map,npm:metro-minify-terser,npm:metro-react-native-babel-transformer,npm:metro-minify-uglify,npm:metro-inspector-proxy",2026-05-03T15:43:52+00:00
facebook/prop-types,87597642,0,,npm:prop-types,2026-05-03T15:43:34+00:00
facebook/react,10270250,1,CVE-2023-5654,"npm:react-is,npm:scheduler,npm:react,npm:react-dom,npm:use-sync-external-store,npm:eslint-plugin-react-hooks,npm:react-refresh,npm:react-test-renderer,npm:react-devtools-core,npm:create-react-class,npm:react-reconciler,npm:use-subscription",2026-05-03T15:43:45+00:00
facebook/regenerator,13346571,0,,"npm:regenerator-runtime,npm:regenerator-transform",2026-05-03T15:43:35+00:00
facebook/watchman,6930489,0,,"npm:bser,npm:fb-watchman",2026-05-03T15:43:36+00:00
facelessuser/soupsieve,160789418,0,,PyPI:soupsieve,2026-05-03T15:43:36+00:00
fastify/fast-uri,419317518,0,,npm:fast-uri,2026-05-03T15:43:35+00:00
faye/websocket-driver-node,9733816,0,,npm:websocket-driver,2026-05-03T15:43:35+00:00
fb55/boolbase,16864585,0,,npm:boolbase,2026-05-03T15:43:36+00:00
fb55/css-select,3411063,0,,npm:css-select,2026-05-03T15:43:36+00:00
fb55/css-what,4460687,2,"CVE-2021-33587,CVE-2022-21222",npm:css-what,2026-05-03T15:43:36+00:00
fb55/domelementtype,6627835,0,,npm:domelementtype,2026-05-03T15:43:37+00:00
fb55/domhandler,5414232,0,,npm:domhandler,2026-05-03T15:43:37+00:00
fb55/domutils,6627949,0,,npm:domutils,2026-05-03T15:43:36+00:00
fb55/entities,3172629,0,,npm:entities,2026-05-03T15:43:37+00:00
fb55/htmlparser2,2279062,0,,npm:htmlparser2,2026-05-03T15:43:37+00:00
fb55/nth-check,16864923,1,CVE-2021-3803,npm:nth-check,2026-05-03T15:43:37+00:00
felixge/node-combined-stream,1787452,0,,npm:combined-stream,2026-05-03T15:43:38+00:00
felixge/node-delayed-stream,1783893,0,,npm:delayed-stream,2026-05-03T15:43:38+00:00
feross/buffer,14494363,0,,npm:buffer,2026-05-03T15:43:38+00:00
feross/ieee754,15489525,0,,"npm:ieee754,npm:@xtuc/ieee754",2026-05-03T15:43:39+00:00
feross/is-buffer,25997846,0,,npm:is-buffer,2026-05-03T15:43:38+00:00
feross/queue-microtask,207021895,0,,npm:queue-microtask,2026-05-03T15:43:38+00:00
feross/run-parallel,18700638,0,,npm:run-parallel,2026-05-03T15:43:38+00:00
feross/safe-buffer,49538897,0,,npm:safe-buffer,2026-05-03T15:43:39+00:00
