"formula","dep_name","dep_type","fetched_at"
"ada-url","cmake","build","2026-04-16 22:49:08.142515"
"ada-url","cxxopts","build","2026-04-16 22:49:08.142515"
"ada-url","fmt","runtime","2026-04-16 22:49:08.142515"
"adamstark-audiofile","__none__","","2026-04-16 22:49:08.142515"
"adapterremoval","__none__","","2026-04-16 22:49:08.142515"
"adaptivecpp","cmake","build","2026-04-16 22:49:08.142515"
"adaptivecpp","libomp","runtime","2026-04-16 22:49:08.142515"
"adb-enhanced","python@3.14","runtime","2026-04-16 22:49:08.142515"
"add-determinism","pkgconf","build","2026-04-16 22:49:08.142515"
"add-determinism","rust","build","2026-04-16 22:49:08.142515"
"addlicense","go","build","2026-04-16 22:49:08.142515"
"addons-linter","node","runtime","2026-04-16 22:49:08.142515"
"adios2","cmake","build","2026-04-16 22:49:08.142515"
"adios2","nlohmann-json","build","2026-04-16 22:49:08.142515"
"adios2","pybind11","build","2026-04-16 22:49:08.142515"
"adios2","c-blosc2","runtime","2026-04-16 22:49:08.142515"
"adios2","gcc","runtime","2026-04-16 22:49:08.142515"
"adios2","libfabric","runtime","2026-04-16 22:49:08.142515"
"adios2","libpng","runtime","2026-04-16 22:49:08.142515"
"adios2","libsodium","runtime","2026-04-16 22:49:08.142515"
"adios2","lz4","runtime","2026-04-16 22:49:08.142515"
"adios2","mpi4py","runtime","2026-04-16 22:49:08.142515"
"adios2","numpy","runtime","2026-04-16 22:49:08.142515"
"adios2","open-mpi","runtime","2026-04-16 22:49:08.142515"
"adios2","openssl@3","runtime","2026-04-16 22:49:08.142515"
"adios2","pugixml","runtime","2026-04-16 22:49:08.142515"
"adios2","python@3.14","runtime","2026-04-16 22:49:08.142515"
"adios2","sqlite","runtime","2026-04-16 22:49:08.142515"
"adios2","yaml-cpp","runtime","2026-04-16 22:49:08.142515"
"adios2","zeromq","runtime","2026-04-16 22:49:08.142515"
"adios2","zstd","runtime","2026-04-16 22:49:08.142515"
"admesh","__none__","","2026-04-16 22:49:08.142515"
"adns","__none__","","2026-04-16 22:49:08.142515"
"adplay","libtool","build","2026-04-16 22:49:08.142515"
"adplay","pkgconf","build","2026-04-16 22:49:08.142515"
"adplay","adplug","runtime","2026-04-16 22:49:08.142515"
"adplay","libbinio","runtime","2026-04-16 22:49:08.142515"
"adplay","sdl2","runtime","2026-04-16 22:49:08.142515"
"adplug","pkgconf","build","2026-04-16 22:49:08.142515"
