repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
browserslist/browserslist,27971466,ok,203,1518,1.2,,2026-05-19T11:23:04+00:00
browserslist/caniuse-lite,80221890,ok,19,1722,0.8,,2026-05-19T11:23:04+00:00
browserslist/update-db,505548145,ok,15,160,2.7,,2026-05-19T11:23:04+00:00
burntsushi/aho-corasick,37290678,ok,35,295,0.6,,2026-05-19T11:23:05+00:00
burntsushi/jiff,759017108,ok,47,634,0.8,,2026-05-19T11:23:05+00:00
burntsushi/memchr,37290652,ok,51,261,0.7,,2026-05-19T11:23:06+00:00
burntsushi/quickcheck,17559913,ok,99,561,0.9,,2026-05-19T11:23:07+00:00
burntsushi/same-file,78375612,ok,16,58,1.0,,2026-05-19T11:23:07+00:00
burntsushi/termcolor,141345580,ok,195,977,0.7,,2026-05-19T11:23:07+00:00
burntsushi/ucd-generate,123997498,ok,16,176,0.9,,2026-05-19T11:23:08+00:00
burntsushi/walkdir,42685794,ok,42,185,0.8,,2026-05-19T11:23:08+00:00
burntsushi/winapi-util,146040682,ok,7,35,0.6,,2026-05-19T11:23:09+00:00
businho/pytest-ruff,599731435,ok,7,39,0.7,,2026-05-19T11:23:09+00:00
bytecodealliance/rustix,295544240,ok,132,2207,1.4,,2026-05-19T11:23:09+00:00
bytecodealliance/wasi-rs,196445196,ok,30,148,5.5,,2026-05-19T11:23:09+00:00
c-ares/c-ares,571708,ok,192,2947,1.8,,2026-05-19T11:23:10+00:00
calvinmetcalf/minimalistic-assert,29144257,ok,2,3,0.7,,2026-05-19T11:23:10+00:00
calvinmetcalf/process-nextick-args,36039131,ok,10,27,1.1,,2026-05-19T11:23:10+00:00
caolan/async,698041,ok,284,1603,1.1,,2026-05-19T11:23:11+00:00
certbot/certbot,26516210,ok,602,9105,27.3,,2026-05-19T11:23:11+00:00
certifi/python-certifi,3060959,ok,43,303,0.8,,2026-05-19T11:23:11+00:00
chaijs/type-detect,12107007,ok,20,129,0.8,,2026-05-19T11:23:12+00:00
chalk/ansi-regex,20451415,ok,20,63,1.0,,2026-05-19T11:23:12+00:00
chalk/ansi-styles,11803168,ok,25,114,0.7,,2026-05-19T11:23:12+00:00
chalk/chalk,11855195,ok,77,348,0.7,,2026-05-19T11:23:13+00:00
chalk/slice-ansi,43191689,ok,12,69,1.2,,2026-05-19T11:23:13+00:00
chalk/strip-ansi,15014856,ok,14,73,0.6,,2026-05-19T11:23:13+00:00
chalk/supports-color,11855007,ok,47,193,0.8,,2026-05-19T11:23:13+00:00
chalk/wrap-ansi,41053676,ok,12,78,1.0,,2026-05-19T11:23:14+00:00
chalker/safer-buffer,125825141,ok,6,49,0.8,,2026-05-19T11:23:14+00:00
chardet/chardet,5196969,ok,62,989,1.1,,2026-05-19T11:23:14+00:00
cheeriojs/dom-serializer,18991884,ok,27,1417,1.0,,2026-05-19T11:23:14+00:00
chicoxyzzy/node-releases,73765596,ok,13,454,0.8,,2026-05-19T11:23:15+00:00
chronotope/chrono,18210201,ok,273,1597,1.0,,2026-05-19T11:23:15+00:00
chronotope/humantime,59320323,ok,20,117,0.5,,2026-05-19T11:23:15+00:00
clap-rs/clap,31315121,ok,625,6752,2.1,,2026-05-19T11:23:15+00:00
cloudflare/cloudflare-python,753271547,ok,18,6579,3.4,,2026-05-19T11:23:15+00:00
colinhacks/zod,245704608,ok,561,2607,1.8,,2026-05-19T11:23:16+00:00
colorjs/color-name,27038309,ok,12,41,0.9,,2026-05-19T11:23:16+00:00
comex/rust-shlex,37886228,ok,10,49,0.6,,2026-05-19T11:23:16+00:00
component/escape-html,5444800,ok,8,36,0.6,,2026-05-19T11:23:16+00:00
component/toidentifier,114743189,ok,2,81,0.5,,2026-05-19T11:23:16+00:00
conventional-changelog/commitlint,51575745,ok,318,3274,2.4,,2026-05-19T11:23:17+00:00
conventional-changelog/conventional-changelog,15639771,ok,187,1813,1.9,,2026-05-19T11:23:17+00:00
cosmiconfig/cosmiconfig,45750507,ok,40,468,0.6,,2026-05-19T11:23:17+00:00
coveragepy/coveragepy,138421996,ok,213,7255,1.6,,2026-05-19T11:23:18+00:00
cpburnz/python-pathspec,14648551,ok,34,355,0.9,,2026-05-19T11:23:18+00:00
crate-py/rpds,608018848,ok,21,424,2.3,,2026-05-19T11:23:18+00:00
criterion-rs/criterion.rs,1081104682,ok,142,1377,0.9,,2026-05-19T11:23:18+00:00
crossbeam-rs/crossbeam,35566048,ok,175,1862,0.9,,2026-05-19T11:23:18+00:00
css-modules/icss-utils,42766912,ok,15,61,0.6,,2026-05-19T11:23:19+00:00
cssnano/cssnano,33943153,ok,136,2587,0.9,,2026-05-19T11:23:19+00:00
csstools/postcss-plugins,219192307,ok,149,4943,1.6,,2026-05-19T11:23:20+00:00
csstree/csstree,67236461,ok,33,1211,1.2,,2026-05-19T11:23:20+00:00
curl/curl,569041,ok,1546,38676,8.1,,2026-05-19T11:23:20+00:00
cuviper/autocfg,135481335,ok,10,87,0.8,,2026-05-19T11:23:20+00:00
cyan4973/xxhash,19330466,ok,132,1484,2.3,,2026-05-19T11:23:20+00:00
daaku/nodejs-makeerror,2097803,ok,2,20,0.7,,2026-05-19T11:23:21+00:00
daaku/nodejs-tmpl,2171213,ok,4,13,2.0,,2026-05-19T11:23:21+00:00
