repo,repo_id,status,distinct_authors,commits_total,clone_seconds,error,fetched_at
inspect-js/is-regex,15930063,ok,4,170,0.6,,2026-05-19T11:24:34+00:00
inspect-js/is-string,30010185,ok,1,99,0.5,,2026-05-19T11:24:34+00:00
inspect-js/is-symbol,29791606,ok,1,115,0.5,,2026-05-19T11:24:34+00:00
inspect-js/is-typed-array,43528820,ok,2,155,0.5,,2026-05-19T11:24:35+00:00
inspect-js/node-supports-preserve-symlinks-flag,443970899,ok,1,17,0.5,,2026-05-19T11:24:35+00:00
inspect-js/object-inspect,11683441,ok,11,257,0.6,,2026-05-19T11:24:35+00:00
inspect-js/typed-array-buffer,649850465,ok,1,31,0.5,,2026-05-19T11:24:35+00:00
inspect-js/which-boxed-primitive,201685155,ok,2,61,2.6,,2026-05-19T11:24:35+00:00
inspect-js/which-typed-array,43708371,ok,2,170,0.6,,2026-05-19T11:24:36+00:00
ipython/traitlets,14993021,ok,127,1405,0.7,,2026-05-19T11:24:36+00:00
isaacs/chownr,3858354,ok,5,55,0.5,,2026-05-19T11:24:36+00:00
isaacs/cliui,634056857,ok,22,120,0.6,,2026-05-19T11:24:37+00:00
isaacs/core-util-is,12391440,ok,6,26,0.6,,2026-05-19T11:24:37+00:00
isaacs/fs-minipass,102982143,ok,10,86,0.6,,2026-05-19T11:24:37+00:00
isaacs/fs.realpath,61231712,ok,2,14,0.7,,2026-05-19T11:24:37+00:00
isaacs/inherits,1580001,ok,7,34,0.5,,2026-05-19T11:24:37+00:00
isaacs/isexe,49804297,ok,2,38,0.5,,2026-05-19T11:24:38+00:00
isaacs/minimatch,2056549,ok,36,377,0.7,,2026-05-19T11:24:38+00:00
isaacs/minipass,84886212,ok,12,275,0.8,,2026-05-19T11:24:38+00:00
isaacs/minizlib,86429676,ok,6,93,0.7,,2026-05-19T11:24:38+00:00
isaacs/node-glob,357681,ok,55,779,0.7,,2026-05-19T11:24:38+00:00
isaacs/node-graceful-fs,2077020,ok,32,229,0.7,,2026-05-19T11:24:39+00:00
isaacs/node-lru-cache,679662,ok,60,584,0.8,,2026-05-19T11:24:39+00:00
isaacs/node-mkdirp,2718248,ok,13,148,0.5,,2026-05-19T11:24:39+00:00
isaacs/node-tar,1534331,ok,48,797,0.7,,2026-05-19T11:24:39+00:00
isaacs/once,5409660,ok,7,25,0.5,,2026-05-19T11:24:40+00:00
isaacs/package-json-from-dist,800543709,ok,1,6,0.7,,2026-05-19T11:24:40+00:00
isaacs/path-scurry,591569499,ok,5,127,0.6,,2026-05-19T11:24:40+00:00
isaacs/rimraf,1341324,ok,37,354,0.6,,2026-05-19T11:24:40+00:00
isaacs/sax-js,508894,ok,45,264,0.7,,2026-05-19T11:24:40+00:00
isaacs/wrappy,24208073,ok,7,16,0.7,,2026-05-19T11:24:41+00:00
isaacs/yallist,48222381,ok,3,65,0.5,,2026-05-19T11:24:41+00:00
istanbuljs/istanbuljs,81482340,ok,134,662,0.6,,2026-05-19T11:24:41+00:00
istanbuljs/schema,211950686,ok,2,30,0.6,,2026-05-19T11:24:41+00:00
istanbuljs/test-exclude,60489570,ok,21,126,0.5,,2026-05-19T11:24:42+00:00
jamesmunns/postcard,179385478,ok,76,311,0.5,,2026-05-19T11:24:42+00:00
jaraco/jaraco.develop,48289082,ok,34,1073,0.6,,2026-05-19T11:24:42+00:00
jaraco/pytest-perf,372026120,ok,19,270,0.5,,2026-05-19T11:24:42+00:00
jaraco/zipp,157774633,ok,40,774,0.6,,2026-05-19T11:24:42+00:00
jaredhanson/utils-merge,11349896,ok,4,20,0.5,,2026-05-19T11:24:42+00:00
jaredwray/cacheable,9267870,ok,112,1802,1.2,,2026-05-19T11:24:43+00:00
jaredwray/keyv,96540810,ok,86,2117,0.7,,2026-05-19T11:24:43+00:00
jawah/charset_normalizer,200259335,ok,31,778,0.9,,2026-05-19T11:24:43+00:00
jbgutierrez/path-parse,34113780,ok,6,13,0.5,,2026-05-19T11:24:43+00:00
jd/tenacity,65468547,ok,113,485,0.5,,2026-05-19T11:24:43+00:00
jensyt/imurmurhash-js,11802843,ok,1,11,0.6,,2026-05-19T11:24:43+00:00
jestjs/jest,15062869,ok,1803,7399,1.4,,2026-05-19T11:24:44+00:00
jimp-dev/jimp,24008065,ok,184,1065,0.6,,2026-05-19T11:24:44+00:00
jmespath/jmespath.py,8300763,ok,33,423,0.7,,2026-05-19T11:24:44+00:00
joblib/joblib,654608,ok,159,1497,0.6,,2026-05-19T11:24:44+00:00
jonathanong/ee-first,20707897,ok,2,93,0.6,,2026-05-19T11:24:44+00:00
jonschlinkert/assign-symbols,45661176,ok,2,14,0.6,,2026-05-19T11:24:44+00:00
jonschlinkert/define-property,40633359,ok,3,37,0.5,,2026-05-19T11:24:45+00:00
jonschlinkert/extend-shallow,25867410,ok,4,46,0.5,,2026-05-19T11:24:45+00:00
jonschlinkert/fill-range,27113310,ok,9,132,0.5,,2026-05-19T11:24:45+00:00
jonschlinkert/get-value,24911025,ok,8,98,0.6,,2026-05-19T11:24:46+00:00
jonschlinkert/global-prefix,31455984,ok,11,41,0.6,,2026-05-19T11:24:46+00:00
jonschlinkert/has-value,24310408,ok,4,35,0.5,,2026-05-19T11:24:46+00:00
jonschlinkert/has-values,33009186,ok,1,21,0.7,,2026-05-19T11:24:46+00:00
jonschlinkert/is-extendable,38225016,ok,4,14,0.5,,2026-05-19T11:24:46+00:00
jonschlinkert/is-number,24313173,ok,5,58,0.5,,2026-05-19T11:24:46+00:00
jonschlinkert/is-plain-object,24306940,ok,8,47,0.5,,2026-05-19T11:24:47+00:00
jonschlinkert/isobject,21342886,ok,11,51,0.6,,2026-05-19T11:24:47+00:00
jonschlinkert/kind-of,24491562,ok,15,107,0.5,,2026-05-19T11:24:47+00:00
jonschlinkert/map-cache,32450614,ok,2,11,0.7,,2026-05-19T11:24:47+00:00
jonschlinkert/normalize-path,21224182,ok,4,40,0.5,,2026-05-19T11:24:47+00:00
jonschlinkert/object-visit,38545952,ok,2,34,0.5,,2026-05-19T11:24:47+00:00
jonschlinkert/word-wrap,18260583,ok,16,62,0.5,,2026-05-19T11:24:47+00:00
jorgebucaran/colorette,34648097,ok,18,352,0.6,,2026-05-19T11:24:48+00:00
joshuakgoldberg/ts-api-utils,597893818,ok,16,942,0.6,,2026-05-19T11:24:48+00:00
jpadilla/pyjwt,1408162,ok,176,837,0.9,,2026-05-19T11:24:48+00:00
jprichardson/node-fs-extra,2791348,ok,105,990,0.9,,2026-05-19T11:24:48+00:00
jprichardson/node-jsonfile,5754307,ok,29,159,0.7,,2026-05-19T11:24:48+00:00
jquast/wcwidth,18464187,ok,28,421,0.7,,2026-05-19T11:24:48+00:00
jquery/esprima,2833537,ok,76,1232,0.8,,2026-05-19T11:17:29+00:00
jridgewell/resolve-uri,196878944,ok,5,102,0.9,,2026-05-19T11:24:49+00:00
jridgewell/sourcemaps,897142826,ok,31,736,0.8,,2026-05-19T11:24:49+00:00
jsdom/tr46,36964214,ok,10,86,0.7,,2026-05-19T11:24:50+00:00
jsdom/webidl-conversions,23000311,ok,9,98,0.7,,2026-05-19T11:24:50+00:00
jsdom/whatwg-mimetype,71014420,ok,5,42,0.6,,2026-05-19T11:24:50+00:00
jsdom/whatwg-url,34761352,ok,27,409,0.7,,2026-05-19T11:24:50+00:00
jsdom/xml-name-validator,28553202,ok,2,29,0.7,,2026-05-19T11:24:50+00:00
jshttp/accepts,15482433,ok,17,268,0.7,,2026-05-19T11:24:50+00:00
jshttp/content-disposition,24216676,ok,19,185,0.7,,2026-05-19T11:24:51+00:00
jshttp/content-type,30172150,ok,13,134,0.7,,2026-05-19T11:24:51+00:00
jshttp/cookie,4475810,ok,48,378,0.7,,2026-05-19T11:24:51+00:00
jshttp/etag,22894570,ok,8,148,0.7,,2026-05-19T11:24:51+00:00
jshttp/forwarded,24300217,ok,6,179,0.5,,2026-05-19T11:24:51+00:00
jshttp/fresh,4617552,ok,21,230,0.6,,2026-05-19T11:24:51+00:00
jshttp/http-errors,23806086,ok,23,321,1.7,,2026-05-19T11:24:51+00:00
jshttp/media-typer,20814275,ok,8,239,0.5,,2026-05-19T11:24:52+00:00
jshttp/methods,8274071,ok,14,107,0.5,,2026-05-19T11:24:52+00:00
jshttp/mime-db,22970419,ok,100,889,0.8,,2026-05-19T11:24:52+00:00
jshttp/mime-types,19380178,ok,22,520,0.5,,2026-05-19T11:24:52+00:00
jshttp/negotiator,3275614,ok,23,292,0.6,,2026-05-19T11:24:52+00:00
jshttp/on-finished,15349765,ok,14,302,0.5,,2026-05-19T11:24:52+00:00
jshttp/range-parser,4627131,ok,15,170,0.6,,2026-05-19T11:24:53+00:00
jshttp/statuses,17690272,ok,15,317,0.6,,2026-05-19T11:24:53+00:00
jshttp/type-is,15484233,ok,21,361,0.5,,2026-05-19T11:24:53+00:00
jshttp/vary,20498698,ok,8,231,0.6,,2026-05-19T11:24:53+00:00
jslicense/spdx-correct.js,34817196,ok,10,109,0.6,,2026-05-19T11:24:53+00:00
jslicense/spdx-exceptions.json,40062896,ok,3,44,0.5,,2026-05-19T11:24:53+00:00
jslicense/spdx-expression-parse.js,40067336,ok,6,164,0.7,,2026-05-19T11:24:54+00:00
jslicense/spdx-license-ids,26001547,ok,8,151,0.6,,2026-05-19T11:24:54+00:00
json5/json5,4463453,ok,29,391,0.6,,2026-05-19T11:24:54+00:00
juliangruber/balanced-match,13538817,ok,17,112,0.6,,2026-05-19T11:24:54+00:00
juliangruber/brace-expansion,13539234,ok,26,138,0.6,,2026-05-19T11:24:54+00:00
juliangruber/isarray,10227611,ok,15,89,0.7,,2026-05-19T11:24:54+00:00
justmoon/node-extend,3967764,ok,16,183,0.7,,2026-05-19T11:24:54+00:00
jviereck/regjsparser,14087781,ok,22,256,0.7,,2026-05-19T11:24:55+00:00
ka-weihe/fastest-levenshtein,158960628,ok,8,117,0.6,,2026-05-19T11:24:55+00:00
kaelzhang/node-ignore,12519245,ok,24,322,0.7,,2026-05-19T11:24:55+00:00
kemitchell/validate-npm-package-license.js,35000460,ok,3,55,0.5,,2026-05-19T11:24:55+00:00
kevinbeaty/any-promise,26247715,ok,4,29,0.5,,2026-05-19T11:24:55+00:00
kevva/dir-glob,49264969,ok,7,31,0.5,,2026-05-19T11:24:55+00:00
kevva/shebang-command,47402913,ok,2,11,0.5,,2026-05-19T11:24:55+00:00
kilian/electron-to-chromium,78972540,ok,13,4982,1.0,,2026-05-19T11:24:56+00:00
kjd/idna,10323585,ok,40,343,0.5,,2026-05-19T11:24:56+00:00
knurling-rs/defmt,282262730,ok,101,1822,0.8,,2026-05-19T11:24:56+00:00
kpdecker/jsdiff,1542219,ok,91,573,0.6,,2026-05-19T11:24:56+00:00
krb5/krb5,4307702,ok,197,20278,1.9,,2026-05-19T11:24:56+00:00
kriskowal/asap,11295071,ok,15,110,0.8,,2026-05-19T11:24:56+00:00
kriszyp/json-schema,947175,ok,17,78,0.9,,2026-05-19T11:24:56+00:00
langchain-ai/langchain,552661142,ok,3716,15875,26.9,,2026-05-19T11:24:57+00:00
laurent-laporte-pro/deprecated,111412148,ok,27,297,0.6,,2026-05-19T11:24:57+00:00
legrandin/pycryptodome,19378935,ok,172,2871,1.2,,2026-05-19T11:24:57+00:00
libevent/libevent,1856976,ok,367,4588,1.4,,2026-05-19T11:24:57+00:00
libexpat/libexpat,80314213,ok,128,4330,1.2,,2026-05-19T11:24:57+00:00
libffi/libffi,321154,ok,239,1717,0.6,,2026-05-19T11:24:57+00:00
libidn/libidn2,87378214,ok,13,1111,0.7,,2026-05-19T11:24:58+00:00
libjpeg-turbo/libjpeg-turbo,39760454,ok,59,2538,0.8,,2026-05-19T11:24:58+00:00
libjxl/libjxl,340219494,ok,149,3296,0.9,,2026-05-19T11:24:59+00:00
libpixman/pixman,81675971,ok,136,2306,0.6,,2026-06-28T17:38:40+00:00
libuv/libuv,14812739,ok,647,5596,0.8,,2026-05-19T11:24:59+00:00
linusu/buffer-from,66025821,ok,2,18,0.7,,2026-05-19T11:24:59+00:00
linux-audit/audit-userspace,52464964,ok,94,3200,0.7,,2026-05-19T11:24:59+00:00
linux-pam/linux-pam,76264690,ok,236,2468,1.2,,2026-05-19T11:24:59+00:00
litejs/natural-compare-lite,9146732,ok,4,57,0.5,,2026-05-19T11:25:00+00:00
ljharb/call-bind,308533760,ok,1,72,0.7,,2026-05-19T11:25:00+00:00
ljharb/call-bind-apply-helpers,898190951,ok,1,12,0.7,,2026-05-19T11:25:00+00:00
ljharb/call-bound,898125972,ok,1,20,0.8,,2026-05-19T11:25:00+00:00
ljharb/concat-map,548993448,ok,2,33,0.6,,2026-05-19T11:25:01+00:00
ljharb/define-data-property,689109338,ok,1,44,0.5,,2026-05-19T11:25:01+00:00
ljharb/define-properties,28768789,ok,2,135,0.5,,2026-05-19T11:25:01+00:00
ljharb/es-abstract,28995155,ok,13,1041,8.7,,2026-05-19T11:25:01+00:00
ljharb/es-define-property,756570458,ok,1,15,0.5,,2026-05-19T11:25:01+00:00
ljharb/es-errors,752160492,ok,1,16,0.6,,2026-05-19T11:25:02+00:00
ljharb/es-shim-unscopables,480458584,ok,1,23,0.8,,2026-05-19T11:25:02+00:00
ljharb/es-to-primitive,32377814,ok,2,153,5.1,,2026-05-19T11:25:02+00:00
ljharb/get-intrinsic,308516559,ok,2,111,0.6,,2026-05-19T11:25:02+00:00
ljharb/get-proto,911035271,ok,1,8,0.6,,2026-05-19T11:25:02+00:00
ljharb/gopd,560708130,ok,1,26,0.6,,2026-05-19T11:25:02+00:00
ljharb/internal-slot,216159146,ok,1,73,0.6,,2026-05-19T11:25:03+00:00
ljharb/object-keys,9103992,ok,10,345,0.7,,2026-05-19T11:25:03+00:00
ljharb/object.assign,17755831,ok,7,352,0.7,,2026-05-19T11:25:03+00:00
ljharb/possible-typed-array-names,760136716,ok,1,16,0.6,,2026-05-19T11:25:03+00:00
ljharb/qs,22266795,ok,83,941,0.6,,2026-05-19T11:25:04+00:00
ljharb/safe-regex-test,540138887,ok,3,36,0.6,,2026-05-19T11:25:04+00:00
ljharb/set-function-length,704249795,ok,1,34,0.5,,2026-05-19T11:25:04+00:00
ljharb/side-channel,225239081,ok,4,73,0.6,,2026-05-19T11:25:04+00:00
ljharb/side-channel-list,901451610,ok,1,10,0.4,,2026-05-19T11:25:05+00:00
ljharb/side-channel-map,901191461,ok,1,9,0.5,,2026-05-19T11:25:05+00:00
ljharb/side-channel-weakmap,901188921,ok,1,12,0.5,,2026-05-19T11:25:05+00:00
lodash/lodash,3955647,ok,276,7509,0.9,,2026-05-19T11:25:05+00:00
loganfsmyth/gensync,132383032,ok,3,18,0.5,,2026-05-19T11:25:05+00:00
lokathor/bytemuck,209673558,ok,77,462,0.6,,2026-05-19T11:25:06+00:00
lovell/detect-libc,96149091,ok,10,71,0.6,,2026-06-28T14:47:38+00:00
lukeed/dequal,174421655,ok,5,58,0.5,,2026-05-19T11:25:06+00:00
lukeed/escalade,273568715,ok,4,47,0.6,,2026-05-19T11:25:06+00:00
lukeed/kleur,140393403,ok,16,123,0.6,,2026-05-19T11:25:07+00:00
lxml/lxml,1353927,ok,199,6569,0.9,,2026-05-19T11:25:07+00:00
lydell/js-tokens,17552490,ok,5,163,0.7,,2026-05-19T11:25:07+00:00
lz4/lz4,18106269,ok,232,2865,8.4,,2026-05-19T11:25:07+00:00
madler/zlib,2359378,ok,93,1030,0.7,,2026-05-19T11:25:07+00:00
mafintosh/end-of-stream,14732255,ok,11,48,0.5,,2026-05-19T11:25:08+00:00
mafintosh/pump,12118126,ok,7,74,0.5,,2026-05-19T11:25:08+00:00
mafintosh/tar-stream,15340089,ok,44,224,0.5,,2026-05-19T11:25:08+00:00
marshallpierce/rust-base64,47371310,ok,59,385,0.5,,2026-05-19T11:25:08+00:00
mathiasbynens/cssesc,12001360,ok,5,28,0.5,,2026-05-19T11:25:08+00:00
mathiasbynens/emoji-regex,24557614,ok,18,119,0.5,,2026-05-19T11:25:09+00:00
mathiasbynens/jsesc,10498729,ok,9,133,0.5,,2026-05-19T11:25:09+00:00
mathiasbynens/punycode.js,2755924,ok,20,146,0.5,,2026-05-19T11:25:09+00:00
mathiasbynens/regenerate,10182772,ok,6,123,0.5,,2026-05-19T11:25:09+00:00
mathiasbynens/regexpu-core,49437324,ok,9,180,0.7,,2026-05-19T11:17:29+00:00
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,ok,1,16,0.5,,2026-05-19T11:25:10+00:00
mathiasbynens/unicode-property-aliases-ecmascript,88333533,ok,3,25,0.5,,2026-05-19T11:25:10+00:00
matklad/once_cell,143220272,ok,59,362,0.5,,2026-05-19T11:25:10+00:00
matplotlib/matplotlib,1385122,ok,1947,37447,35.9,,2026-05-19T11:25:10+00:00
mcollina/fastq,37368217,ok,33,116,0.5,,2026-05-19T11:25:10+00:00
mcollina/reusify,42106515,ok,9,31,0.5,,2026-05-19T11:25:10+00:00
mdn/data,70901646,ok,141,1049,0.8,,2026-05-19T11:25:11+00:00
medikoo/d,10817569,ok,3,86,1.1,,2026-05-19T11:25:11+00:00
medikoo/es5-ext,1792941,ok,15,1657,1.5,,2026-05-19T11:25:11+00:00
medikoo/es6-symbol,14423385,ok,8,109,0.5,,2026-05-19T11:25:12+00:00
medikoo/type,177198492,ok,4,204,0.6,,2026-05-19T11:25:12+00:00
meinersbur/isl,37677854,ok,47,8852,1.2,,2026-06-28T12:24:56+00:00
mhammond/pywin32,108187130,ok,123,4954,0.8,,2026-05-19T11:25:12+00:00
micheles/decorator,14656555,ok,35,380,0.9,,2026-05-19T11:25:13+00:00
micromark/micromark,157420458,ok,22,656,0.7,,2026-05-19T11:25:13+00:00
micromatch/anymatch,11458302,ok,15,157,0.5,,2026-05-19T11:25:13+00:00
micromatch/braces,25475303,ok,17,235,1.0,,2026-05-19T11:25:14+00:00
micromatch/is-extglob,31788841,ok,3,19,0.6,,2026-05-19T11:25:14+00:00
micromatch/is-glob,28179425,ok,9,64,0.5,,2026-05-19T11:25:14+00:00
micromatch/micromatch,27359938,ok,37,554,1.3,,2026-05-19T11:25:14+00:00
micromatch/picomatch,156211895,ok,36,220,0.5,,2026-05-19T11:25:15+00:00
micromatch/to-regex-range,40355891,ok,5,77,0.6,,2026-05-19T11:25:15+00:00
microsoft/tslib,34414315,ok,47,239,0.7,,2026-05-19T11:25:15+00:00
microsoft/typescript,20929025,ok,1028,28958,2.9,,2026-05-19T11:25:16+00:00
microsoft/windows-rs,208102250,ok,96,2142,0.8,,2026-05-19T11:25:16+00:00
minimistjs/minimist,549230701,ok,22,165,0.9,,2026-05-19T11:25:16+00:00
mirror/ncurses,22324756,ok,1,832,0.7,,2026-05-19T11:30:47+00:00
mitsuhiko/insta,165561258,ok,76,966,0.7,,2026-05-19T11:25:16+00:00
mlocati/gettext-iconv-windows,12751919,ok,4,271,2.0,,2026-05-19T11:25:16+00:00
mm2/little-cms,507969,ok,84,1142,0.8,,2026-05-19T11:25:17+00:00
moment/moment,1424470,ok,718,3050,0.7,,2026-05-19T11:25:17+00:00
more-itertools/more-itertools,4144530,ok,162,1701,0.8,,2026-05-19T11:25:17+00:00
motdotla/dotenv,11205780,ok,119,793,8.0,,2026-05-19T11:25:18+00:00
moxystudio/node-cross-spawn,21335844,ok,25,216,0.7,,2026-05-19T11:25:18+00:00
mozilla/source-map,2014930,ok,104,537,0.7,,2026-05-19T11:25:18+00:00
mrabarnett/mrab-regex,309446978,ok,15,488,0.9,,2026-05-19T11:25:18+00:00
mrmlnc/fast-glob,77467076,ok,34,653,0.9,,2026-05-19T11:25:19+00:00
msgpack/msgpack-python,2242705,ok,96,804,7.8,,2026-05-19T11:25:19+00:00
mui/material-ui,23083156,ok,3513,26175,3.3,,2026-06-28T14:47:38+00:00
myrne/performance-now,10219264,ok,5,44,0.6,,2026-06-28T14:47:38+00:00
mysticatea/abort-controller,105228556,ok,5,49,1.0,,2026-05-19T11:25:19+00:00
mysticatea/event-target-shim,31137469,ok,10,124,0.6,,2026-05-19T11:25:20+00:00
netflix/vmaf,51317975,ok,133,2076,0.7,,2026-05-19T11:25:20+00:00
nghttp2/nghttp2,11452676,ok,183,7570,1.2,,2026-05-19T11:25:20+00:00
nicolo-ribaudo/babel-preset-current-node-syntax,253327079,ok,4,50,0.5,,2026-05-19T11:25:21+00:00
nlnetlabs/unbound,94195301,ok,156,7845,1.6,,2026-05-19T11:25:21+00:00
node-fetch/fetch-blob,186960326,ok,15,96,0.6,,2026-05-19T11:25:21+00:00
node-fetch/node-fetch,29849956,ok,123,596,0.6,,2026-05-19T11:25:22+00:00
nodeca/argparse,4325614,ok,27,221,0.5,,2026-05-19T11:25:22+00:00
nodeca/js-yaml,2504175,ok,84,1216,0.6,,2026-05-19T11:25:22+00:00
nodeca/pako,16231859,ok,25,364,0.5,,2026-05-19T11:25:23+00:00
nodejs/node,27193779,ok,4441,46477,60.6,,2026-05-19T11:25:23+00:00
nodejs/readable-stream,5187096,ok,59,461,0.7,,2026-05-19T11:25:23+00:00
nodejs/string_decoder,95052330,ok,10,45,0.7,,2026-05-19T11:25:23+00:00
nodejs/undici,133092972,ok,396,3958,1.3,,2026-05-19T11:25:23+00:00
nodelib/nodelib,129310478,ok,9,319,0.8,,2026-05-19T11:25:24+00:00
npm/abbrev-js,554893,ok,12,103,0.7,,2026-05-19T11:25:24+00:00
npm/cacache,193812470,ok,38,777,0.6,,2026-05-19T11:25:25+00:00
npm/hosted-git-info,25002984,ok,41,304,0.5,,2026-05-19T11:25:25+00:00
npm/ini,2167680,ok,30,182,0.6,,2026-05-19T11:25:25+00:00
npm/json-parse-even-better-errors,211384370,ok,10,106,0.5,,2026-05-19T11:25:25+00:00
npm/mute-stream,5159166,ok,13,99,0.6,,2026-05-19T11:25:26+00:00
npm/node-semver,1357199,ok,108,541,0.5,,2026-05-19T11:25:26+00:00
npm/node-which,2169708,ok,21,184,0.6,,2026-05-19T11:25:26+00:00
npm/nopt,1544436,ok,28,195,0.5,,2026-05-19T11:25:26+00:00
npm/normalize-package-data,9301720,ok,44,354,0.6,,2026-05-19T11:25:26+00:00
npm/ssri,193817839,ok,19,238,0.5,,2026-05-19T11:25:27+00:00
npm/unique-slug,35246620,ok,15,97,0.6,,2026-05-19T11:25:27+00:00
npm/write-file-atomic,23896209,ok,30,216,0.5,,2026-05-19T11:25:27+00:00
numpy/numpy,908607,ok,2099,31068,58.1,,2026-05-19T11:25:27+00:00
nv/cssom,1025209,ok,23,185,0.5,,2026-05-19T11:25:27+00:00
nvzqz/static-assertions,100129252,ok,8,281,0.5,,2026-05-19T11:25:27+00:00
oauthlib/oauthlib,2811323,ok,221,1355,0.7,,2026-05-19T11:25:27+00:00
octokit/openapi-types.ts,304109193,ok,17,508,0.7,,2026-05-19T11:30:47+00:00
octokit/types.ts,216109757,ok,31,670,0.6,,2026-05-19T11:25:28+00:00
oozcitak/xmlbuilder-js,1042809,ok,37,628,1.0,,2026-05-19T11:17:29+00:00
open-telemetry/opentelemetry-js,185901023,ok,427,3239,1.9,,2026-05-19T11:25:28+00:00
open-telemetry/opentelemetry-js-contrib,255986659,ok,375,2578,1.1,,2026-05-19T11:25:28+00:00
open-telemetry/opentelemetry-python,185478926,ok,382,2141,1.0,,2026-05-19T11:25:29+00:00
open-telemetry/opentelemetry-python-contrib,220524743,ok,504,2868,4.8,,2026-05-19T11:25:29+00:00
openssl/openssl,7634677,ok,1592,39812,19.2,,2026-05-19T11:25:30+00:00
opensuse/ca-certificates,10785433,ok,18,133,0.5,,2026-05-19T11:25:30+00:00
p11-glue/p11-kit,12060420,ok,114,1517,0.7,,2026-05-19T11:25:30+00:00
pallets/click,19103692,ok,462,2051,0.8,,2026-05-19T11:25:31+00:00
pallets/flask,596892,ok,893,3811,0.8,,2026-05-19T11:25:32+00:00
pallets/itsdangerous,1945034,ok,44,436,0.5,,2026-05-19T11:25:33+00:00
pallets/jinja,994551,ok,344,2175,0.8,,2026-05-19T11:25:34+00:00
pallets/markupsafe,734244,ok,49,529,1.0,,2026-05-19T11:25:34+00:00
pallets/werkzeug,997338,ok,528,4381,1.3,,2026-05-19T11:25:34+00:00
pandas-dev/pandas,858127,ok,4315,34854,14.9,,2026-05-19T11:25:35+00:00
paramiko/paramiko,119609,ok,200,2932,0.8,,2026-05-19T11:25:36+00:00
paulmillr/chokidar,4090287,ok,127,1552,0.7,,2026-05-19T11:25:36+00:00
paulmillr/readdirp,4494405,ok,39,420,0.7,,2026-05-19T11:25:37+00:00
pcre2project/pcre2,398251321,ok,74,2236,0.6,,2026-05-19T11:25:37+00:00
pest-parser/pest,56964647,ok,155,1149,0.6,,2026-05-19T11:25:38+00:00
peternator7/strum,80964373,ok,131,309,0.5,,2026-05-19T11:25:38+00:00
petkaantonov/bluebird,12670444,ok,248,1894,0.6,,2026-05-19T11:25:39+00:00
pexpect/ptyprocess,24727748,ok,21,116,0.6,,2026-05-19T11:25:39+00:00
pillarjs/encodeurl,60721766,ok,9,48,0.7,,2026-05-19T11:25:40+00:00
pillarjs/finalhandler,20547377,ok,13,410,0.7,,2026-05-19T11:25:40+00:00
pillarjs/iconv-lite,2743221,ok,46,285,0.5,,2026-05-19T11:25:41+00:00
pillarjs/parseurl,17533192,ok,9,186,0.5,,2026-05-19T11:25:41+00:00
pillarjs/path-to-regexp,5265803,ok,41,353,0.6,,2026-05-19T11:25:42+00:00
pillarjs/send,4879977,ok,38,602,0.6,,2026-05-19T11:25:42+00:00
pkgconf/pkgconf,4180110,ok,100,2112,0.8,,2026-05-19T11:25:43+00:00
pnggroup/libpng,3768025,ok,119,4609,0.9,,2026-05-19T11:25:43+00:00
postcss/postcss,13078968,ok,466,3727,1.1,,2026-05-19T11:25:44+00:00
postcss/postcss-selector-parser,36500102,ok,51,360,0.6,,2026-05-19T11:25:44+00:00
prettier/prettier,75104123,ok,844,11001,9.6,,2026-05-19T11:25:45+00:00
primus/eventemitter3,13100677,ok,35,356,0.6,,2026-05-19T11:25:46+00:00
proptest-rs/proptest,94702898,ok,111,941,0.6,,2026-05-19T11:25:47+00:00
protobufjs/protobuf.js,8507859,ok,130,994,0.7,,2026-05-19T11:25:47+00:00
protocolbuffers/protobuf,23357588,ok,1499,19394,2.4,,2026-05-19T11:25:48+00:00
psf/requests,1362490,ok,811,4855,0.9,,2026-05-19T11:25:48+00:00
psycopg/psycopg2,7730829,ok,149,2828,0.9,,2026-05-19T11:25:50+00:00
pvorb/clone,2317381,ok,34,183,5.6,,2026-05-19T11:25:50+00:00
py4j/py4j,1045976,ok,53,754,0.6,,2026-05-19T11:25:50+00:00
pyasn1/pyasn1,512723255,ok,33,949,0.7,,2026-05-19T11:25:51+00:00
pyasn1/pyasn1-modules,512723354,ok,18,337,0.6,,2026-05-19T11:25:52+00:00
pyca/bcrypt,9993757,ok,41,958,0.7,,2026-05-19T11:25:52+00:00
pyca/cryptography,11939484,ok,405,13144,2.7,,2026-05-19T11:25:52+00:00
pyca/pynacl,8350032,ok,80,725,0.9,,2026-05-19T11:25:53+00:00
pyca/pyopenssl,15778059,ok,121,2051,1.0,,2026-05-19T11:25:53+00:00
pydantic/pydantic,90194616,ok,790,5491,1.3,,2026-05-19T11:25:54+00:00
pydantic/typing-inspection,930576948,ok,4,48,0.5,,2026-05-19T11:17:29+00:00
pygments/pygments,205564111,ok,959,6111,1.3,,2026-05-19T11:25:54+00:00
pypa/distlib,436970140,ok,43,1281,0.5,,2026-05-19T11:25:55+00:00
pypa/packaging,19837758,ok,163,899,0.8,,2026-05-19T11:25:56+00:00
pypa/pip,1446467,ok,933,11855,2.9,,2026-05-19T11:25:56+00:00
pypa/setuptools,54980593,ok,710,13925,2.7,,2026-05-19T11:25:56+00:00
