repo,repo_id,git_url,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
curl/curl,gh/569041,https://github.com/curl/curl.git,2025,10841,383050,318024,701074,1576,lib/vtls/openssl.c,16142,116.1,2026-05-18T00:11:16Z
eslint/js,gh/27620277,https://github.com/eslint/js.git,2025,261,360050,297210,657260,3811,packages/espree/tests/fixtures/libraries/angular-1.2.5.js,20369,93.8,2026-05-03T17:22:01Z
typescript-eslint/typescript-eslint,gh/165536154,https://github.com/typescript-eslint/typescript-eslint.git,2025,4492,358699,242100,600799,3803,packages/scope-manager/src/lib/dom.ts,15797,62.8,2026-05-03T17:22:01Z
open-telemetry/opentelemetry-js,gh/185901023,https://github.com/open-telemetry/opentelemetry-js.git,2025,2072,345051,252490,597541,2514,semantic-conventions/src/experimental_attributes.ts,31245,31.1,2026-05-03T17:22:01Z
sqlalchemy/sqlalchemy,gh/159271175,https://github.com/sqlalchemy/sqlalchemy.git,2025,3141,384075,205221,589296,862,test/orm/test_deprecations.py,17684,55.7,2026-05-03T17:22:01Z
formatjs/formatjs,gh/19117456,https://github.com/formatjs/formatjs.git,2025,2348,472109,110413,582522,1224,packages/intl-relativetimeformat/test262-main.ts,182834,38.3,2026-05-03T17:22:01Z
python/mypy,gh/7053637,https://github.com/python/mypy.git,2025,3811,362695,218489,581184,1882,mypy/checker.py,13947,86.2,2026-05-03T17:22:01Z
pydantic/pydantic,gh/90194616,https://github.com/pydantic/pydantic.git,2025,4395,356038,192095,548133,1088,pydantic/_internal/_generate_schema.py,11951,174.1,2026-05-03T22:57:48Z
matplotlib/matplotlib,gh/1385122,https://github.com/matplotlib/matplotlib.git,2025,9794,290396,257645,548041,1930,lib/matplotlib/widgets.py,8970,156.1,2026-05-03T22:57:48Z
scikit-learn/scikit-learn,gh/843222,https://github.com/scikit-learn/scikit-learn.git,2025,6875,343499,196690,540189,1094,sklearn/utils/estimator_checks.py,6569,94.0,2026-05-03T17:22:01Z
prettier/prettier,gh/75104123,https://github.com/prettier/prettier.git,2025,5530,291360,239088,530448,11363,vendors/tempy.js,20414,66.5,2026-05-03T17:22:01Z
gnome/glib,gl/gnome-658,https://github.com/gnome/glib.git,2025,6585,291599,236909,528508,1725,glib/gunibreak.h,54834,51.8,2026-05-03T17:22:01Z
clap-rs/clap,gh/31315121,https://github.com/clap-rs/clap.git,2025,3901,280377,245897,526274,928,src/build/arg/mod.rs,16871,12.6,2026-05-03T17:22:01Z
sqlite/sqlite,gh/176278485,https://github.com/sqlite/sqlite.git,2025,8104,295834,214133,509967,617,ext/jni/src/c/sqlite3-jni.c,25050,271.7,2026-05-18T00:11:16Z
facebook/regenerator,gh/13346571,https://github.com/facebook/regenerator.git,2025,132,255748,250174,505922,30,docs/bundle.js,499249,7.7,2026-05-03T17:22:01Z
gnutls/gnutls,gl/179611,https://github.com/gnutls/gnutls.git,2025,1219,260592,232654,493246,1275,lib/nettle/gost/kuztable.h,82542,95.4,2026-05-03T17:22:01Z
libjxl/libjxl,gh/340219494,https://github.com/libjxl/libjxl.git,2025,3141,278830,201681,480511,970,lib/jxl/decode_test.cc,12667,18.7,2026-05-03T17:22:01Z
pypa/pip,gh/1446467,https://github.com/pypa/pip.git,2025,3230,245438,215189,460627,854,src/pip/_vendor/idna/uts46data.py,29824,40.4,2026-05-03T17:22:01Z
vitest-dev/vitest,gh/434708679,https://github.com/vitest-dev/vitest.git,2025,5286,299561,154455,454016,3407,packages/vitest/src/node/core.ts,6536,30.2,2026-05-03T17:22:01Z
