repo,repo_id,git_url,analyzed_through_year,commits_5y_examined,churn_5y_added,churn_5y_deleted,churn_5y_total,churn_files_count,top_file_path,top_file_churn,elapsed_s,fetched_at
fsspec/filesystem_spec,gh/130727736,https://github.com/fsspec/filesystem_spec.git,2025,1109,42227,23605,65832,116,versioneer.py,4107,3.9,2026-05-03T17:22:01Z
pyparsing/pyparsing,gh/91262163,https://github.com/pyparsing/pyparsing.git,2025,933,35438,29267,64705,166,tests/test_unit.py,11466,16.8,2026-05-03T17:22:01Z
cyan4973/xxhash,gh/19330466,https://github.com/cyan4973/xxhash.git,2025,555,56319,5977,62296,40,tests/sanity_test_vectors.h,45832,6.6,2026-05-03T17:22:01Z
assert-rs/snapbox,gh/424722460,https://github.com/assert-rs/snapbox.git,2025,1045,35817,23456,59273,107,src/runner.rs,5434,1.5,2026-05-03T17:22:01Z
gnutls/nettle,gh/59017402,https://github.com/gnutls/nettle.git,2025,579,40063,19084,59147,584,testsuite/shake128-test.c,1348,16.4,2026-05-03T17:22:01Z
jaredwray/keyv,gh/96540810,https://github.com/jaredwray/keyv.git,2025,1654,37140,21875,59015,202,packages/website/site/_includes/assets/css/highlight/highlight.min.js,2866,2.2,2026-05-03T17:22:01Z
dateutil/dateutil,gh/26876372,https://github.com/dateutil/dateutil.git,2025,66,29538,29459,58997,86,src/dateutil/test/test_rrule.py,9828,3.7,2026-05-03T17:22:01Z
nicolo-ribaudo/babel-preset-current-node-syntax,gh/253327079,https://github.com/nicolo-ribaudo/babel-preset-current-node-syntax.git,2025,15,11980,46805,58785,8,.yarn/plugins/@yarnpkg/plugin-version.js,34800,2.1,2026-05-03T17:22:01Z
python-jsonschema/jsonschema,gh/3072629,https://github.com/python-jsonschema/jsonschema.git,2025,930,10718,47296,58014,47,jsonschema/tests/test_validators.py,11898,2.9,2026-05-03T17:22:01Z
cssnano/cssnano,gh/33943153,https://github.com/cssnano/cssnano.git,2025,541,30652,26335,56987,525,packages/postcss-merge-longhand/test/borders.js,1338,26.7,2026-05-03T17:22:01Z
netflix/vmaf,gh/51317975,https://github.com/netflix/vmaf.git,2025,525,25400,31323,56723,281,libvmaf/src/feature/cambi.c,3202,55.7,2026-05-18T00:11:16Z
python-greenlet/greenlet,gh/3003137,https://github.com/python-greenlet/greenlet.git,2025,536,32050,23073,55123,88,src/greenlet/greenlet.cpp,21707,2.5,2026-05-03T17:22:01Z
selinuxproject/selinux,gh/20648799,https://github.com/selinuxproject/selinux.git,2025,1223,35000,19685,54685,389,libselinux/src/label_file.c,3210,2.7,2026-05-18T00:11:16Z
agronholm/anyio,gh/145337588,https://github.com/agronholm/anyio.git,2025,814,36331,18107,54438,87,src/anyio/_backends/_asyncio.py,8019,4.0,2026-05-03T17:22:01Z
libuv/libuv,gh/14812739,https://github.com/libuv/libuv.git,2025,852,31466,22940,54406,329,src/unix/linux.c,4955,8.3,2026-05-03T17:22:01Z
python/typing,gh/24604008,https://github.com/python/typing.git,2025,452,26344,27016,53360,174,typing_extensions/src/typing_extensions.py,6664,2.2,2026-05-03T17:22:01Z
sindresorhus/type-fest,gh/175398594,https://github.com/sindresorhus/type-fest.git,2025,747,40742,11188,51930,461,source/internal.d.ts,1882,3.4,2026-05-03T17:22:01Z
rust-lang/cc-rs,gh/26039547,https://github.com/rust-lang/cc-rs.git,2025,651,28981,21067,50048,123,src/target/generated.rs,12578,2.9,2026-05-03T17:22:01Z
cpburnz/python-pathspec,gh/14648551,https://github.com/cpburnz/python-pathspec.git,2025,159,30954,18179,49133,130,tests/test_03_pathspec.py,3396,2.1,2026-05-03T17:22:01Z
aio-libs/aiobotocore,gh/36618494,https://github.com/aio-libs/aiobotocore.git,2025,340,30641,18396,49037,127,tests/test_patches.py,4046,7.8,2026-05-03T17:22:01Z
isaacs/minimatch,gh/2056549,https://github.com/isaacs/minimatch.git,2025,176,34331,13578,47909,40,tap-snapshots/test/optimization-level-2.ts.test.cjs,13653,1.4,2026-05-03T17:22:01Z
isaacs/node-tar,gh/1534331,https://github.com/isaacs/node-tar.git,2025,182,20453,27098,47551,231,test/unpack.js,4434,8.1,2026-05-03T17:22:01Z
p11-glue/p11-kit,gh/12060420,https://github.com/p11-glue/p11-kit.git,2025,368,31013,16296,47309,183,p11-kit/virtual.c,4944,2.8,2026-05-03T17:22:01Z
pest-parser/pest,gh/56964647,https://github.com/pest-parser/pest.git,2025,225,32130,14855,46985,75,pest/src/unicode/script.rs,21510,2.9,2026-05-03T17:22:01Z
eslint/rewrite,gh/791446923,https://github.com/eslint/rewrite.git,2025,335,36999,9725,46724,142,packages/config-array/tests/config-array.test.js,10763,18.6,2026-05-03T17:22:01Z
textualize/rich,gh/220809393,https://github.com/textualize/rich.git,2025,1993,29744,15882,45626,198,rich/console.py,3480,39.1,2026-05-03T17:22:01Z
remusao/tldts,gh/97631656,https://github.com/remusao/tldts.git,2025,1492,22502,21744,44246,61,packages/tldts-tests/src/tldts-tests.ts,40780,9.4,2026-05-03T17:22:01Z
exodusoss/bytes,gh/885154008,https://github.com/exodusoss/bytes.git,2025,714,30530,13039,43569,273,fallback/multi-byte.js,1864,20.8,2026-05-03T17:22:01Z
linux-audit/audit-userspace,gh/52464964,https://github.com/linux-audit/audit-userspace.git,2025,1114,28846,14681,43527,247,auparse/test/auparse_test.ref.py,2782,3.1,2026-05-03T17:22:01Z
tukaani-project/xz,gh/553665726,https://github.com/tukaani-project/xz.git,2025,1706,30748,12402,43150,262,src/liblzma/common/stream_decoder_mt.c,2464,8.7,2026-05-03T17:22:01Z
yargs/yargs,gh/14210523,https://github.com/yargs/yargs.git,2025,191,23614,19526,43140,137,test/usage.cjs,5837,2.1,2026-05-03T17:22:01Z
aws/aws-cli,gh/6780767,https://github.com/aws/aws-cli.git,2025,3073,27360,15482,42842,351,doc/source/conf.py,2537,236.6,2026-05-03T17:22:01Z
inikulin/parse5,gh/8862593,https://github.com/inikulin/parse5.git,2025,1101,22323,20128,42451,122,packages/parse5/lib/parser/index.ts,6165,7.5,2026-05-03T17:22:01Z
salesforce/tough-cookie,gh/2606873,https://github.com/salesforce/tough-cookie.git,2025,221,23103,18914,42017,86,lib/cookie.ts,7595,4.0,2026-05-03T17:22:01Z
rust-cli/anstyle,gh/493821282,https://github.com/rust-cli/anstyle.git,2025,842,25584,16051,41635,113,crates/anstyle-parse/tests/testsuite.rs,2525,1.2,2026-05-03T17:22:01Z
libexpat/libexpat,gh/80314213,https://github.com/libexpat/libexpat.git,2025,1139,25089,16183,41272,84,expat/tests/runtests.c,13927,11.9,2026-05-03T17:22:01Z
legrandin/pycryptodome,gh/19378935,https://github.com/legrandin/pycryptodome.git,2025,529,30900,10190,41090,284,lib/Crypto/PublicKey/ECC.py,2856,45.4,2026-05-03T17:22:01Z
urllib3/urllib3,gh/2410676,https://github.com/urllib3/urllib3.git,2025,824,25196,15258,40454,110,src/urllib3/connection.py,2202,9.3,2026-05-03T17:22:01Z
grahamdumpleton/wrapt,gh/10357291,https://github.com/grahamdumpleton/wrapt.git,2025,503,23933,16508,40441,140,src/wrapt/_wrappers.c,8067,1.4,2026-05-03T17:22:01Z
googlechrome/workbox,gh/55424670,https://github.com/googlechrome/workbox.git,2025,262,22861,17514,40375,538,test/workbox-build/node/generate-sw.js,2336,6.9,2026-05-03T17:22:01Z
jridgewell/sourcemaps,gh/897142826,https://github.com/jridgewell/sourcemaps.git,2025,449,23672,16204,39876,130,packages/trace-mapping/test/binary-search.test.ts,3022,4.7,2026-05-03T17:22:01Z
moment/moment,gh/1424470,https://github.com/moment/moment.git,2025,84,22740,16833,39573,504,min/tests.js,21243,12.3,2026-05-03T17:22:01Z
rogdham/backports.zstd,gh/977687927,https://github.com/rogdham/backports.zstd.git,2025,61,35541,2534,38075,72,tests/test/test_tarfile.py,4863,0.6,2026-05-18T00:11:16Z
rust-lang/hashbrown,gh/155119796,https://github.com/rust-lang/hashbrown.git,2025,495,25058,13002,38060,48,src/raw/mod.rs,13103,7.1,2026-05-03T17:22:01Z
terser/terser,gh/29097127,https://github.com/terser/terser.git,2025,525,28108,9752,37860,142,lib/compress/index.js,6920,6.5,2026-05-03T17:22:01Z
thomasdickey/ncurses-snapshots,gh/65149533,https://github.com/thomasdickey/ncurses-snapshots.git,2025,267,21129,16559,37688,377,ncurses/win32con/win_driver.c,3409,161.7,2026-05-18T00:11:16Z
jawah/charset_normalizer,gh/200259335,https://github.com/jawah/charset_normalizer.git,2025,571,19845,16684,36529,77,charset_normalizer/constant.py,5869,1.7,2026-05-03T17:22:01Z
pnggroup/libpng,gh/3768025,https://github.com/pnggroup/libpng.git,2025,507,19997,16420,36417,101,png.h,4924,14.2,2026-05-18T00:11:16Z
emotion-js/emotion,gh/92570536,https://github.com/emotion-js/emotion.git,2025,271,18607,16644,35251,529,flow-typed/npm/jest_v25.x.x.js,2938,14.8,2026-05-03T17:22:01Z
rollup/plugins,gh/203607977,https://github.com/rollup/plugins.git,2025,719,22568,12222,34790,970,packages/typescript/test/test.js,1554,3.3,2026-05-03T17:22:01Z
webpack/enhanced-resolve,gh/5400204,https://github.com/webpack/enhanced-resolve.git,2025,243,20173,14591,34764,143,test/exportsField.test.js,5322,1.8,2026-05-03T17:22:01Z
fontconfig/fontconfig,gl/freedesktop-890,https://github.com/fontconfig/fontconfig.git,2025,456,19642,14918,34560,122,src/fcfreetype.c,3099,3.4,2026-05-03T17:22:01Z
gyscos/zstd-rs,gh/52115335,https://github.com/gyscos/zstd-rs.git,2025,241,15458,18490,33948,58,zstd-safe/zstd-sys/src/bindings_zstd_experimental.rs,4701,1.2,2026-05-03T17:22:01Z
python/typing_extensions,gh/494077289,https://github.com/python/typing_extensions.git,2025,450,21439,12192,33631,12,src/typing_extensions.py,11715,1.0,2026-05-18T00:11:16Z
7rulnik/source-map-js,gh/330043541,https://github.com/7rulnik/source-map-js.git,2025,39,1069,32553,33622,34,dist/test/test_source_map_consumer.js,4461,9.9,2026-05-03T17:22:01Z
taiki-e/pin-project,gh/164668916,https://github.com/taiki-e/pin-project.git,2025,530,17615,15866,33481,317,tests/lint/lib.rs,1821,2.1,2026-05-03T17:22:01Z
encode/httpcore,gh/237210639,https://github.com/encode/httpcore.git,2025,385,19571,13727,33298,94,httpcore/_sync/connection_pool.py,1412,2.3,2026-05-03T17:22:01Z
burntsushi/aho-corasick,gh/37290678,https://github.com/burntsushi/aho-corasick.git,2025,127,21294,11804,33098,58,src/ahocorasick.rs,3864,4.8,2026-05-03T17:22:01Z
paulmillr/chokidar,gh/4090287,https://github.com/paulmillr/chokidar.git,2025,179,15609,16444,32053,20,src/index.test.mts,7612,1.7,2026-05-03T17:22:01Z
isaacs/node-lru-cache,gh/679662,https://github.com/isaacs/node-lru-cache.git,2025,320,19747,11520,31267,70,src/index.ts,5207,1.5,2026-05-03T17:22:01Z
dcodeio/protobuf.js,gh/8507859,https://github.com/protobufjs/protobuf.js.git,2025,180,8602,22166,30768,95,dist/protobuf.js,9279,29.9,2026-05-03T17:22:01Z
protobufjs/protobuf.js,gh/8507859,https://github.com/protobufjs/protobuf.js.git,2025,180,8602,22166,30768,95,dist/protobuf.js,9279,66.5,2026-05-18T00:11:16Z
yaml/pyyaml,gh/2700147,https://github.com/yaml/pyyaml.git,2025,62,11315,18973,30288,110,lib/yaml/scanner.py,2883,1.3,2026-05-03T17:22:01Z
seanmonstar/reqwest,gh/62350380,https://github.com/seanmonstar/reqwest.git,2025,514,20595,9608,30203,77,src/async_impl/client.rs,4914,3.7,2026-05-03T17:22:01Z
conventional-changelog/commitlint,gh/51575745,https://github.com/conventional-changelog/commitlint.git,2025,1811,18974,11103,30077,327,@commitlint/cli/src/cli.test.ts,1498,13.1,2026-05-03T17:22:01Z
pallets/flask,gh/596892,https://github.com/pallets/flask.git,2025,814,16258,13741,29999,72,src/flask/app.py,6663,6.9,2026-05-03T17:22:01Z
aio-libs/multidict,gh/51206425,https://github.com/aio-libs/multidict.git,2025,720,19559,10179,29738,48,multidict/_multidict.c,4341,1.1,2026-05-18T00:11:16Z
rust-lang/futures-rs,gh/55077261,https://github.com/rust-lang/futures-rs.git,2025,392,18355,11357,29712,331,futures/tests/auto_traits.rs,2235,8.0,2026-05-03T17:22:01Z
isaacs/node-glob,gh/357681,https://github.com/isaacs/node-glob.git,2025,301,15498,13549,29047,114,src/walker.ts,5214,2.9,2026-05-03T17:22:01Z
tj/commander.js,gh/2206953,https://github.com/tj/commander.js.git,2025,454,19940,8836,28776,177,lib/command.js,4693,4.4,2026-05-03T17:22:01Z
tokio-rs/prost,gh/94262864,https://github.com/tokio-rs/prost.git,2025,398,17346,11187,28533,117,prost-build/src/lib.rs,3176,16.3,2026-05-03T17:22:01Z
frenic/csstype,gh/104001328,https://github.com/frenic/csstype.git,2025,73,15298,13152,28450,67,index.d.ts,25163,2.9,2026-05-03T17:22:01Z
jquast/wcwidth,gh/18464187,https://github.com/jquast/wcwidth.git,2025,154,15851,12544,28395,19,wcwidth/table_zero.py,12272,1.3,2026-05-03T17:22:01Z
pypa/packaging,gh/19837758,https://github.com/pypa/packaging.git,2025,366,17876,9953,27829,55,packaging/specifiers.py,2364,2.7,2026-05-03T17:22:01Z
joshuakgoldberg/ts-api-utils,gh/597893818,https://github.com/joshuakgoldberg/ts-api-utils.git,2025,748,18441,8728,27169,81,src/nodes/typeGuards/union.ts,3776,3.0,2026-05-03T17:22:01Z
ipython/traitlets,gh/14993021,https://github.com/ipython/traitlets.git,2025,282,15398,11750,27148,65,traitlets/tests/test_traitlets.py,4804,1.8,2026-05-03T17:22:01Z
joblib/joblib,gh/654608,https://github.com/joblib/joblib.git,2025,238,14930,12081,27011,104,joblib/parallel.py,3047,5.8,2026-05-03T17:22:01Z
bitflags/bitflags,gh/29287955,https://github.com/bitflags/bitflags.git,2025,343,16076,10618,26694,203,src/lib.rs,9282,1.0,2026-05-03T17:22:01Z
csstree/csstree,gh/67236461,https://github.com/csstree/csstree.git,2025,235,14772,11796,26568,268,test/list.js,1135,2.3,2026-05-03T17:22:01Z
postcss/postcss,gh/13078968,https://github.com/postcss/postcss.git,2025,729,15035,10999,26034,86,lib/postcss.d.ts,1630,8.9,2026-05-03T17:22:01Z
googleapis/python-api-core,gh/226992456,https://github.com/googleapis/python-api-core.git,2025,349,19261,5816,25077,119,tests/unit/operations_v1/test_operations_rest_client.py,1976,1.3,2026-05-03T17:22:01Z
isaacs/rimraf,gh/1341324,https://github.com/isaacs/rimraf.git,2025,158,15215,9803,25018,106,test/rimraf-windows.js,2026,1.4,2026-05-03T17:22:01Z
python-attrs/attrs,gh/29918975,https://github.com/python-attrs/attrs.git,2025,922,15591,8478,24069,69,src/attr/_make.py,6016,4.3,2026-05-03T17:22:01Z
indexmap-rs/indexmap,gh/68294628,https://github.com/indexmap-rs/indexmap.git,2025,319,15953,8022,23975,44,src/map.rs,2705,0.9,2026-05-03T17:22:01Z
frommi/miniz_oxide,gh/96124162,https://github.com/frommi/miniz_oxide.git,2025,170,13624,9423,23047,50,miniz/miniz.c,7147,4.1,2026-05-03T17:22:01Z
rayon-rs/rayon,gh/24725038,https://github.com/rayon-rs/rayon.git,2025,402,14380,8633,23013,165,src/slice/sort.rs,1718,5.0,2026-05-03T17:22:01Z
pillarjs/path-to-regexp,gh/5265803,https://github.com/pillarjs/path-to-regexp.git,2025,103,11044,11881,22925,6,src/index.spec.ts,11935,2.7,2026-05-03T17:22:01Z
pypa/wheel,gh/98346885,https://github.com/pypa/wheel.git,2025,261,11082,11375,22457,74,src/wheel/vendored/packaging/specifiers.py,2094,2.5,2026-05-03T17:22:01Z
ajv-validator/ajv,gh/35914020,https://github.com/ajv-validator/ajv.git,2025,543,15830,6336,22166,213,spec/types/jtd-schema.spec.ts,1023,37.1,2026-05-03T17:22:01Z
rustcrypto/stream-ciphers,gh/83051505,https://github.com/rustcrypto/stream-ciphers.git,2025,192,11447,10675,22122,74,chacha20/src/rng.rs,2298,1.3,2026-05-03T17:22:01Z
encode/httpx,gh/179492861,https://github.com/encode/httpx.git,2025,584,13036,9028,22064,62,httpx/_client.py,2855,7.9,2026-05-03T17:22:01Z
rust-itertools/itertools,gh/22360263,https://github.com/rust-itertools/itertools.git,2025,667,14400,7076,21476,77,src/lib.rs,3982,1.2,2026-05-03T17:22:01Z
lz4/lz4,gh/18106269,https://github.com/lz4/lz4.git,2025,828,14065,7342,21407,66,programs/lz4io.c,3432,10.4,2026-05-03T17:22:01Z
boto/boto3,gh/24774658,https://github.com/boto/boto3.git,2025,2738,12211,8712,20923,102,setup.py,2495,10.2,2026-05-03T17:22:01Z
pallets/click,gh/19103692,https://github.com/pallets/click.git,2025,767,13489,7053,20542,65,src/click/core.py,5431,6.4,2026-05-03T17:22:01Z
pypa/virtualenv,gh/1446474,https://github.com/pypa/virtualenv.git,2025,576,11067,8775,19842,170,tests/unit/create/test_creator.py,1731,189.2,2026-05-03T17:22:01Z
nodeca/pako,gh/16231859,https://github.com/nodeca/pako.git,2025,35,8848,10805,19653,28,dist/pako.es5.js,5905,2.0,2026-05-03T17:22:01Z
pypa/distlib,gh/436970140,https://github.com/pypa/distlib.git,2025,170,2906,16145,19051,72,distlib/_backport/tarfile.py,2607,13.9,2026-05-03T17:22:01Z
uqfoundation/dill,gh/11031844,https://github.com/uqfoundation/dill.git,2025,237,10871,7868,18739,76,dill/_dill.py,5058,1.9,2026-05-03T17:22:01Z
mm2/little-cms,gh/507969,https://github.com/mm2/little-cms.git,2025,498,12628,6004,18632,82,Projects/Xcode_26/lcms2/threaded_plugin_testbed/threaded_testbed.c,1776,98.1,2026-05-03T17:22:01Z
psf/requests,gh/1362490,https://github.com/psf/requests.git,2025,271,9975,8563,18538,51,tests/test_requests.py,2658,18.5,2026-05-03T17:22:01Z
more-itertools/more-itertools,gh/4144530,https://github.com/more-itertools/more-itertools.git,2025,846,12179,6339,18518,10,more_itertools/more.py,6857,2.0,2026-05-03T17:22:01Z
acornjs/acorn,gh/5932749,https://github.com/acornjs/acorn.git,2025,294,16301,2103,18404,87,test/tests-class-features-2022.js,6529,9.0,2026-05-03T17:22:01Z
servo/core-foundation-rs,gh/5621513,https://github.com/servo/core-foundation-rs.git,2025,232,12398,5934,18332,109,cocoa/src/appkit.rs,2362,1.0,2026-07-05T16:47:02Z
marshallpierce/rust-base64,gh/47371310,https://github.com/marshallpierce/rust-base64.git,2025,146,9372,8662,18034,36,src/engine/tests.rs,3759,1.7,2026-05-03T17:22:01Z
pyca/pynacl,gh/8350032,https://github.com/pyca/pynacl.git,2025,153,12040,5943,17983,216,src/libsodium/src/libsodium/crypto_aead/aes256gcm/aesni/aead_aes256gcm_aesni.c,1800,61.5,2026-05-03T17:22:01Z
tootallnate/proxy-agents,gh/11293703,https://github.com/tootallnate/proxy-agents.git,2025,149,12876,5004,17880,121,packages/agent-base/test/test-legacy.js,1378,2.7,2026-05-03T17:22:01Z
linux-pam/linux-pam,gh/76264690,https://github.com/linux-pam/linux-pam.git,2025,715,11423,6217,17640,197,modules/pam_namespace/pam_namespace.c,1505,1.4,2026-05-18T00:11:16Z
libffi/libffi,gh/321154,https://github.com/libffi/libffi.git,2025,492,13389,4116,17505,219,src/wasm32/ffi.c,1914,3.6,2026-05-03T17:22:01Z
mrmlnc/fast-glob,gh/77467076,https://github.com/mrmlnc/fast-glob.git,2025,155,12991,4192,17183,138,__snapshots__/regular.e2e.js,5678,2.1,2026-05-03T17:22:01Z
browserslist/browserslist,gh/27971466,https://github.com/browserslist/browserslist.git,2025,442,8544,7780,16324,88,index.js,2076,2.8,2026-05-03T17:22:01Z
import-js/eslint-plugin-import,gh/32238354,https://github.com/import-js/eslint-plugin-import.git,2025,139,11571,4727,16298,180,tests/src/rules/order.js,4161,2.2,2026-05-03T17:22:01Z
aio-libs/yarl,gh/64756820,https://github.com/aio-libs/yarl.git,2025,1049,10410,5562,15972,41,yarl/_url.py,5893,3.7,2026-05-03T17:22:01Z
npm/cacache,gh/193812470,https://github.com/npm/cacache.git,2025,197,6829,9024,15853,62,test/verify.js,1157,0.9,2026-05-03T17:22:01Z
pkgconf/pkgconf,gh/4180110,https://github.com/pkgconf/pkgconf.git,2025,672,10827,4895,15722,41,cli/main.c,3453,1.8,2026-05-03T17:22:01Z
websocket-client/websocket-client,gh/1202362,https://github.com/websocket-client/websocket-client.git,2025,364,10918,4757,15675,39,websocket/_app.py,2010,1.2,2026-05-03T17:22:01Z
burntsushi/ucd-generate,gh/123997498,https://github.com/burntsushi/ucd-generate.git,2025,60,10694,4953,15647,68,benches/tables/slice/names.rs,7353,4.3,2026-05-03T17:22:01Z
rust-lang/flate2-rs,gh/21954009,https://github.com/rust-lang/flate2-rs.git,2025,187,3620,11912,15532,58,miniz-sys/miniz.c,7563,1.2,2026-05-03T17:22:01Z
eslint-community/eslint-utils,gh/568240379,https://github.com/eslint-community/eslint-utils.git,2025,112,8767,6590,15357,62,test/reference-tracker.mjs,1572,0.9,2026-05-03T17:22:01Z
isaacs/path-scurry,gh/591569499,https://github.com/isaacs/path-scurry.git,2025,122,10959,4369,15328,11,src/index.ts,7374,0.8,2026-05-03T17:22:01Z
crossbeam-rs/crossbeam,gh/35566048,https://github.com/crossbeam-rs/crossbeam.git,2025,458,9913,5312,15225,121,crossbeam-utils/src/atomic/atomic_cell.rs,1833,4.4,2026-05-03T17:22:01Z
httplib2/httplib2,gh/53002916,https://github.com/httplib2/httplib2.git,2025,61,3863,11293,15156,48,python2/httplib2/__init__.py,2538,1.9,2026-05-03T17:22:01Z
webpack/webpack-sources,gh/48954523,https://github.com/webpack/webpack-sources.git,2025,94,10121,4492,14613,50,test/fixtures/es6-promise.js,1174,1.2,2026-05-03T17:22:01Z
kilian/electron-to-chromium,gh/78972540,https://github.com/kilian/electron-to-chromium.git,2025,3390,8570,5999,14569,8,full-chromium-versions.js,8586,3.0,2026-05-03T17:22:01Z
sinonjs/fake-timers,gh/16523712,https://github.com/sinonjs/fake-timers.git,2025,241,7560,6884,14444,24,test/fake-timers-test.js,8384,2.8,2026-05-03T17:22:01Z
dcodeio/long.js,gh/8678904,https://github.com/dcodeio/long.js.git,2025,34,5447,8861,14308,21,index.js,2228,1.6,2026-05-03T17:22:01Z
azuread/microsoft-authentication-library-for-python,gh/67243113,https://github.com/azuread/microsoft-authentication-library-for-python.git,2025,413,10693,3543,14236,62,msal/application.py,3282,2.3,2026-05-03T17:22:01Z
pallets/jinja,gh/994551,https://github.com/pallets/jinja.git,2025,389,8390,5607,13997,55,src/jinja2/filters.py,1650,2.3,2026-05-03T17:22:01Z
gpg/libgpg-error,gh/42075984,https://github.com/gpg/libgpg-error.git,2025,305,10173,3765,13938,50,src/spawn-w32.c,2467,2.8,2026-05-03T17:22:01Z
boto/s3transfer,gh/49535299,https://github.com/boto/s3transfer.git,2025,217,9417,4234,13651,48,s3transfer/crt.py,2169,1.7,2026-05-03T17:22:01Z
brianc/node-postgres,gh/991475,https://github.com/brianc/node-postgres.git,2025,325,8660,4810,13470,240,packages/pg-connection-string/test/parse.js,758,3.4,2026-05-03T17:22:01Z
rust-random/getrandom,gh/166545969,https://github.com/rust-random/getrandom.git,2025,395,7350,6073,13423,90,src/lib.rs,1575,1.3,2026-05-03T17:22:01Z
rust-cli/env_logger,gh/96382888,https://github.com/rust-cli/env_logger.git,2025,345,6886,6495,13381,53,crates/env_filter/src/lib.rs,1762,0.7,2026-05-03T17:22:01Z
kpdecker/jsdiff,gh/1542219,https://github.com/kpdecker/jsdiff.git,2025,160,8004,5121,13125,68,test/patch/merge.js,1445,1.2,2026-05-03T17:22:01Z
antonk52/lilconfig,gh/238967485,https://github.com/antonk52/lilconfig.git,2025,93,7041,5987,13028,26,src/spec/index.spec.js,6011,1.3,2026-05-03T17:22:01Z
teddriggs/darling,gh/89984100,https://github.com/teddriggs/darling.git,2025,271,9625,3394,13019,138,core/src/from_meta.rs,1785,1.6,2026-05-03T17:22:01Z
hukkin/tomli,gh/370616797,https://github.com/hukkin/tomli.git,2025,290,7238,5692,12930,31,tomli/_parser.py,4386,1.8,2026-05-03T17:22:01Z
rich-harris/magic-string,gh/26143240,https://github.com/rich-harris/magic-string.git,2025,137,8079,4743,12822,26,benchmark/data.js,3178,2.3,2026-05-03T17:22:01Z
lokathor/bytemuck,gh/209673558,https://github.com/lokathor/bytemuck.git,2025,305,9431,3128,12559,32,derive/src/traits.rs,2984,2.4,2026-05-03T17:22:01Z
sec-ant/readable-stream,gh/569980966,https://github.com/sec-ant/readable-stream.git,2025,118,7267,5224,12491,29,test/index.spec.ts,2256,1.2,2026-05-03T17:22:01Z
tower-rs/tower,gh/98244646,https://github.com/tower-rs/tower.git,2025,197,8114,4346,12460,144,tower/src/util/mod.rs,1032,5.0,2026-05-03T17:22:01Z
madler/zlib,gh/2359378,https://github.com/madler/zlib.git,2025,393,6043,5898,11941,65,zconf.h,1164,7.0,2026-05-03T17:22:01Z
pyca/pyopenssl,gh/15778059,https://github.com/pyca/pyopenssl.git,2025,300,5907,5978,11885,18,tests/test_crypto.py,3255,7.0,2026-05-03T17:22:01Z
mysticatea/event-target-shim,gh/31137469,https://github.com/mysticatea/event-target-shim.git,2025,15,6432,5241,11673,40,test/event-target.ts,1588,1.3,2026-05-03T17:22:01Z
mathiasbynens/regexpu-core,gh/49437324,https://github.com/mathiasbynens/regexpu-core.git,2025,71,8931,2405,11336,22,tests/tests.js,2592,1.0,2026-05-03T17:22:01Z
paramiko/paramiko,gh/119609,https://github.com/paramiko/paramiko.git,2025,449,6967,4338,11305,92,paramiko/transport.py,1037,3.2,2026-05-03T17:22:01Z
taiki-e/pin-project-lite,gh/216847853,https://github.com/taiki-e/pin-project-lite.git,2025,447,6763,4407,11170,104,src/lib.rs,3326,0.9,2026-05-03T17:22:01Z
besser82/libxcrypt,gh/35503965,https://github.com/besser82/libxcrypt.git,2025,269,7861,3274,11135,83,build-aux/BuildCommon.pm,1446,4.6,2026-05-03T17:22:01Z
octokit/types.ts,gh/216109757,https://github.com/octokit/types.ts.git,2025,417,6808,4049,10857,26,src/generated/Endpoints.ts,9913,9.6,2026-05-03T17:22:01Z
criterion-rs/criterion.rs,gh/1081104682,https://github.com/criterion-rs/criterion.rs.git,2025,213,5557,5288,10845,82,src/bencher.rs,2429,2.3,2026-05-03T17:22:01Z
tox-dev/platformdirs,gh/367032142,https://github.com/tox-dev/platformdirs.git,2025,314,6369,4364,10733,21,src/platformdirs/__init__.py,3209,1.7,2026-05-03T17:22:01Z
libevent/libevent,gh/1856976,https://github.com/libevent/libevent.git,2025,554,8652,2040,10692,110,evutil.c,924,10.8,2026-05-03T17:22:01Z
isaacs/minipass,gh/84886212,https://github.com/isaacs/minipass.git,2025,114,6331,4168,10499,94,index.js,1713,1.0,2026-05-03T17:22:01Z
webpack/watchpack,gh/24119524,https://github.com/webpack/watchpack.git,2025,59,6178,4315,10493,31,test/Watchpack.js,2512,1.1,2026-05-03T17:22:01Z
webpack/terser-webpack-plugin,gh/143057914,https://github.com/webpack/minimizer-webpack-plugin.git,2025,185,6346,4080,10426,41,src/index.js,2437,3.8,2026-05-03T17:22:01Z
jprichardson/node-fs-extra,gh/2791348,https://github.com/jprichardson/node-fs-extra.git,2025,73,5374,4867,10241,117,lib/copy/copy.js,470,1.4,2026-05-03T17:22:01Z
websockets/ws,gh/2744972,https://github.com/websockets/ws.git,2025,281,7693,2510,10203,34,test/websocket.test.js,3816,12.0,2026-05-03T17:22:01Z
sindresorhus/globby,gh/21069494,https://github.com/sindresorhus/globby.git,2025,111,7009,2708,9717,22,tests/globby.js,1363,0.7,2026-05-03T17:22:01Z
sindresorhus/meow,gh/25121561,https://github.com/sindresorhus/meow.git,2025,68,5437,4158,9595,59,test/test.js,1649,1.2,2026-05-03T17:22:01Z
