url,valid,method,checked_at
git://git.savannah.nongnu.org/acl.git,True,ls-remote,2026-05-31T23:17:28Z
git://git.savannah.nongnu.org/attr.git,True,ls-remote,2026-04-27T20:41:04Z
git://git.sr.ht/~alip/lexis,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~alip/syd,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~ilkecan/indent-rs,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~kvsari/derive-getters,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~mcepl/m2crypto,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~nkeor/human_bytes,False,ls-remote,2026-05-17T23:15:11Z
git://git.sr.ht/~tdeo/serde_bare,False,ls-remote,2026-07-06T10:53:22Z
git://git.unturf.com/python/nested-lookup,False,ls-remote,2026-05-17T23:15:11Z
git://git.woa.com/tencent-cloud-datalake/goosefs-client-rust,False,ls-remote,2026-07-06T10:53:22Z
git://git.zapb.de/libjaylink/libjaylink,False,ls-remote,2026-05-17T23:15:11Z
git://jugit.fz-juelich.de/mlz/libcerf,False,ls-remote,2026-05-17T23:15:11Z
git://sourceware.org/git/binutils-gdb.git,True,ls-remote,2026-05-31T23:17:28Z
git://sourceware.org/git/bzip2.git,True,ls-remote,2026-04-27T20:41:04Z
git://sourceware.org/git/debugedit.git,True,ls-remote,2026-05-17T23:15:11Z
git://sourceware.org/git/elfutils.git,True,ls-remote,2026-04-27T20:41:04Z
git://sourceware.org/git/lvm2.git,True,ls-remote,2026-04-27T20:41:04Z
git://thekelleys.org.uk/dnsmasq.git,True,ls-remote,2026-05-17T23:15:11Z
git://xenbits.xen.org/git-http/xen.git,False,ls-remote,2026-05-17T23:15:11Z
https://aomedia.googlesource.com/aom.git,True,ls-remote,2026-04-27T20:41:04Z
https://bitbucket.org/brandon/backports.ssl_match_hostname.git,False,ls-remote,2026-05-17T23:15:11Z
https://bitbucket.org/de-marco/dia-semver.git,False,ls-remote,2026-05-17T23:15:11Z
https://bitbucket.org/dundeemt/pysftp.git,True,ls-remote,2026-05-17T23:15:11Z
https://bitbucket.org/jurko/suds.git,False,ls-remote,2026-05-17T23:15:11Z
https://bitbucket.org/marshallpierce/line-wrap-rs.git,True,ls-remote,2026-05-17T23:15:11Z
https://bitbucket.org/multicoreware/x265_git.git,True,ls-remote,2026-04-27T20:41:04Z
https://bitbucket.org/pitrou/pathlib.git,False,ls-remote,2026-05-17T23:15:11Z
https://bitbucket.org/sgillies/descartes.git,False,ls-remote,2026-05-17T23:15:11Z
https://bitbucket.org/tagoh/liblangtag.git,True,ls-remote,2026-05-17T23:15:11Z
https://bitbucket.org/techtonik/python-wget.git,False,ls-remote,2026-05-17T23:15:11Z
https://code.videolan.org/rist/librist.git,True,ls-remote,2026-04-27T20:41:04Z
https://code.videolan.org/videolan/dav1d.git,True,ls-remote,2026-04-27T20:41:04Z
https://code.videolan.org/videolan/libbluray.git,True,ls-remote,2026-04-27T20:41:04Z
https://code.videolan.org/videolan/libudfread.git,True,ls-remote,2026-04-27T20:41:04Z
https://code.videolan.org/videolan/x264.git,True,ls-remote,2026-04-27T20:41:04Z
https://codeberg.org/adamreichold/sif-itree.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/bromind/dot-parser.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/commons-rs/unit-prefix.git,True,ls-remote,2026-05-17T23:15:11Z
https://codeberg.org/dashea/requests-file.git,True,ls-remote,2026-06-28T13:20:44Z
https://codeberg.org/dequbed/rsasl.git,True,ls-remote,2026-07-06T10:53:22Z
https://codeberg.org/goat7658/doctest-file.git,True,ls-remote,2026-05-17T23:15:11Z
