project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,language,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
salsa.debian.org/debian/db-defaults,True,96265,gl/debian-96265,salsa.debian.org,Organization,group,debian,db-defaults,debian/db-defaults,,https://salsa.debian.org/debian/db-defaults,master,,,,0,0,,,public,2024-12-02T23:07:20.382Z,2024-12-02T23:07:20.346Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/dbus-glib,True,6853,gl/debian-6853,salsa.debian.org,Organization,group,debian,dbus-glib,debian/dbus-glib,deprecated library for D-Bus IPC,https://salsa.debian.org/debian/dbus-glib,debian/latest,other,C,,0,1,,,public,2018-01-22T16:20:42.843Z,2025-10-26T00:24:10.104Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/ddcutil,True,93940,gl/debian-93940,salsa.debian.org,Organization,group,debian,ddcutil,debian/ddcutil,,https://salsa.debian.org/debian/ddcutil,master,gpl-2.0+,C,,0,1,,,public,2024-09-02T18:15:46.689Z,2026-06-21T09:05:16.084Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/debianutils,True,1328,gl/debian-1328,salsa.debian.org,Organization,group,debian,debianutils,debian/debianutils,"a number of small utilities which are used
 primarily by the installation scripts of Debian packages, although
 you may use them directly.",https://salsa.debian.org/debian/debianutils,master,,C,,4,17,,,public,2017-12-30T18:06:00.969Z,2025-07-30T19:36:56.714Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/dee,True,32122,gl/debian-32122,salsa.debian.org,Organization,group,debian,dee,debian/dee,Model to synchronize multiple instances over DBus,https://salsa.debian.org/debian/dee,master,gpl-3.0,C,,0,2,,,public,2018-11-22T04:50:02.916Z,2025-10-01T14:35:56.995Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/discount,True,12543,gl/debian-12543,salsa.debian.org,Organization,group,debian,discount,debian/discount,discount packaging,https://salsa.debian.org/debian/discount,master,bsd-3-clause,C,,1,1,,,public,2018-02-11T19:30:57.252Z,2021-09-03T17:27:56.179Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/djvulibre,True,19427,gl/debian-19427,salsa.debian.org,Organization,group,debian,djvulibre,debian/djvulibre,Repository imported from https://anonscm.debian.org/git/collab-maint/djvulibre.git/,https://salsa.debian.org/debian/djvulibre,debian,gpl-2.0+,C++,,1,2,,,public,2018-03-28T10:35:27.875Z,2026-05-12T07:50:51.114Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/doxygen,True,35731,gl/debian-35731,salsa.debian.org,Organization,group,debian,doxygen,debian/doxygen,Debian packaging for doxygen. Have a look at the [wiki](/debian/doxygen/wikis/home) before pushing to this repo.,https://salsa.debian.org/debian/doxygen,master,gpl-2.0+,C++,,0,5,,,public,2019-05-08T09:44:08.248Z,2026-06-16T03:38:30.362Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/ell,True,25733,gl/debian-25733,salsa.debian.org,Organization,group,debian,ell,debian/ell,,https://salsa.debian.org/debian/ell,debian/sid,lgpl-2.1,C,,0,2,,,public,2018-05-04T20:55:28.353Z,2026-05-18T10:22:55.762Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/enca,True,97239,gl/debian-97239,salsa.debian.org,Organization,group,debian,enca,debian/enca,,https://salsa.debian.org/debian/enca,master,gpl-2.0+,C,,0,0,,,public,2025-01-12T18:09:02.703Z,2025-11-22T17:18:17.301Z,2026-07-06T00:20:26Z
salsa.debian.org/debian/esnacc,True,29376,gl/debian-29376,salsa.debian.org,Organization,group,debian,esnacc,debian/esnacc,,https://salsa.debian.org/debian/esnacc,main,gpl-2.0+,C,,0,2,,,public,2018-08-05T14:30:09.579Z,2025-09-20T14:24:07.281Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/exempi,True,6045,gl/debian-6045,salsa.debian.org,Organization,group,debian,exempi,debian/exempi,exempi packaging,https://salsa.debian.org/debian/exempi,master,other,C++,,1,2,,,public,2018-01-14T16:20:06.601Z,2025-04-02T08:58:29.611Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/flatpak,True,6063,gl/debian-6063,salsa.debian.org,Organization,group,debian,flatpak,debian/flatpak,Sandboxed app framework,https://salsa.debian.org/debian/flatpak,debian/unstable,lgpl-2.1,C,,3,4,,,public,2018-01-15T01:24:34.248Z,2026-06-08T17:41:58.865Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/freetds,True,72460,gl/debian-72460,salsa.debian.org,Organization,group,debian,freetds,debian/freetds,Debian packaging for freetds,https://salsa.debian.org/debian/freetds,debian/latest,gpl-2.0+,C,,0,1,,,public,2022-08-18T16:41:28.213Z,2025-09-07T03:27:35.902Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/gcab,True,23914,gl/debian-23914,salsa.debian.org,Organization,group,debian,gcab,debian/gcab,Repository imported from https://anonscm.debian.org/git/collab-maint/gcab.git/,https://salsa.debian.org/debian/gcab,master,lgpl-2.1,C,,0,0,,,public,2018-04-27T19:04:13.909Z,2026-05-24T12:34:45.076Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/gdbm,True,32157,gl/debian-32157,salsa.debian.org,Organization,group,debian,gdbm,debian/gdbm,,https://salsa.debian.org/debian/gdbm,master,gpl-3.0,C,,0,1,,,public,2018-11-24T17:33:05.936Z,2025-08-23T15:11:43.473Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/giflib,True,12522,gl/debian-12522,salsa.debian.org,Organization,group,debian,giflib,debian/giflib,Packaging giflib for Debian,https://salsa.debian.org/debian/giflib,debian/latest,mit,C,,0,2,,,public,2018-02-11T13:56:21.755Z,2026-06-26T07:19:45.951Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/glew,True,22977,gl/debian-22977,salsa.debian.org,Organization,group,debian,glew,debian/glew,,https://salsa.debian.org/debian/glew,debian/latest,bsd-3-clause,C,,0,2,,,public,2018-04-25T02:02:01.945Z,2026-06-30T14:00:41.779Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/gom,True,24203,gl/debian-24203,salsa.debian.org,Organization,group,debian,gom,debian/gom,,https://salsa.debian.org/debian/gom,master,gpl-2.0+,C,,0,3,,,public,2018-04-29T10:22:05.449Z,2025-04-01T14:09:12.172Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/grep,True,9695,gl/debian-9695,salsa.debian.org,Organization,group,debian,grep,debian/grep,Give grep some Debian love,https://salsa.debian.org/debian/grep,debian/master,gpl-3.0+,C,,2,8,,,public,2018-02-07T14:40:13.232Z,2025-10-11T18:24:04.555Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/hdparm,True,18043,gl/debian-18043,salsa.debian.org,Organization,group,debian,hdparm,debian/hdparm,hdparm packaging,https://salsa.debian.org/debian/hdparm,master,other,C,,1,5,,,public,2018-02-28T17:50:06.367Z,2025-09-23T06:44:16.740Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/heimdal,True,18050,gl/debian-18050,salsa.debian.org,Organization,group,debian,heimdal,debian/heimdal,heimdal packaging,https://salsa.debian.org/debian/heimdal,master,bsd-3-clause,C,,1,3,,,public,2018-02-28T21:12:47.420Z,2026-06-30T06:06:53.805Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/hoichess,True,26749,gl/debian-26749,salsa.debian.org,Organization,group,debian,hoichess,debian/hoichess,hoichess packaging,https://salsa.debian.org/debian/hoichess,debian/master,gpl-2.0+,C++,,0,1,,,public,2018-05-24T20:18:27.978Z,2023-01-22T14:53:15.954Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/iftop,True,25760,gl/debian-25760,salsa.debian.org,Organization,group,debian,iftop,debian/iftop,,https://salsa.debian.org/debian/iftop,master,gpl-2.0+,C,,0,1,,,public,2018-05-05T17:39:54.436Z,2025-10-25T22:13:21.687Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/ifupdown,True,21383,gl/debian-21383,salsa.debian.org,Organization,group,debian,ifupdown,debian/ifupdown,Debian high-level network configuration tools.,https://salsa.debian.org/debian/ifupdown,master,gpl-2.0+,C,,0,21,,,public,2018-04-17T15:13:32.060Z,2026-06-19T00:33:55.970Z,2026-07-06T00:20:27Z
salsa.debian.org/debian/imlib2,True,18520,gl/debian-18520,salsa.debian.org,Organization,group,debian,imlib2,debian/imlib2,,https://salsa.debian.org/debian/imlib2,master,imlib2,C,,0,4,,,public,2018-03-07T17:23:41.906Z,2026-02-04T08:41:54.096Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/intelrdfpmath,True,51301,gl/debian-51301,salsa.debian.org,Organization,group,debian,intelrdfpmath,debian/intelrdfpmath,Packaging for intelrdfpmath,https://salsa.debian.org/debian/intelrdfpmath,master,,C,,0,0,,,public,2020-07-21T15:53:56.957Z,2026-04-05T18:46:16.208Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/jimtcl,True,12960,gl/debian-12960,salsa.debian.org,Organization,group,debian,jimtcl,debian/jimtcl,jimtcl packaging,https://salsa.debian.org/debian/jimtcl,debian/main,bsd-2-clause-freebsd,C,,0,1,,,public,2018-02-17T15:56:02.396Z,2024-10-05T12:43:57.629Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/keyutils,True,28814,gl/debian-28814,salsa.debian.org,Organization,group,debian,keyutils,debian/keyutils,Debian packaging for keyutils,https://salsa.debian.org/debian/keyutils,debian/master,lgpl-2.1,Shell,,1,0,,,public,2018-07-15T23:01:18.657Z,2025-04-13T10:25:54.165Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/kyotocabinet,True,59923,gl/debian-59923,salsa.debian.org,Organization,group,debian,kyotocabinet,debian/kyotocabinet,,https://salsa.debian.org/debian/kyotocabinet,master,gpl-3.0,C++,,0,2,,,public,2021-04-19T01:40:38.589Z,2024-03-09T00:31:18.743Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libassuan/tree/debian/unstable,False,,,salsa.debian.org,,,,,,,,,,,,,,,,,,,2026-07-06T00:20:28Z
salsa.debian.org/debian/libbs2b,True,68284,gl/debian-68284,salsa.debian.org,Organization,group,debian,libbs2b,debian/libbs2b,libbs2b packaging,https://salsa.debian.org/debian/libbs2b,master,mit,Shell,,0,2,,,public,2022-02-24T01:36:52.173Z,2026-03-31T12:21:50.541Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libcdio,True,48945,gl/debian-48945,salsa.debian.org,Organization,group,debian,libcdio,debian/libcdio,libcdio packaging,https://salsa.debian.org/debian/libcdio,master,gpl-3.0,C,,1,3,,,public,2020-06-02T09:43:02.688Z,2026-04-17T21:07:02.999Z,2026-07-06T00:20:28Z
salsa.debian.org/debian/libcdio-paranoia,True,37328,gl/debian-37328,salsa.debian.org,Organization,group,debian,libcdio-paranoia,debian/libcdio-paranoia,,https://salsa.debian.org/debian/libcdio-paranoia,master,gpl-3.0,C,,0,2,,,public,2019-08-06T08:30:23.004Z,2025-08-31T20:49:12.578Z,2026-07-06T00:20:28Z
