project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,language,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
code.videolan.org/rist/librist,True,816,gl/videolan-816,code.videolan.org,Organization,group,rist,librist,rist/librist,A library that can be used to easily add the RIST protocol to your application.,https://code.videolan.org/rist/librist,master,bsd-2-clause,C,,7,48,,,public,2019-09-19T13:31:52.910Z,2026-07-11T17:57:42.894Z,2026-07-13T11:15:18Z
code.videolan.org/videolan/dav1d,True,198,gl/videolan-198,code.videolan.org,Organization,group,videolan,dav1d,videolan/dav1d,"dav1d is the fastest AV1 decoder on all platforms :)

Targeted to be small, portable and very fast.",https://code.videolan.org/videolan/dav1d,master,bsd-2-clause,Assembly,av1 | codec | decoder | fast,16,169,,,public,2018-07-17T15:32:36.054Z,2026-07-11T19:14:57.716Z,2026-07-13T11:15:18Z
code.videolan.org/videolan/libbluray,True,206,gl/videolan-206,code.videolan.org,Organization,group,videolan,libbluray,videolan/libbluray,Library to access Blu-Ray disks,https://code.videolan.org/videolan/libbluray,master,lgpl-2.1,Java,C | Java | bluray,1,26,,,public,2018-09-07T07:43:24.691Z,2026-06-08T19:31:03.861Z,2026-07-13T11:15:18Z
code.videolan.org/videolan/libdvdcss,True,75,gl/videolan-75,code.videolan.org,Organization,group,videolan,libdvdcss,videolan/libdvdcss,"libDVDcss, decryption of all DVDs",https://code.videolan.org/videolan/libdvdcss,master,gpl-2.0+,C,,0,14,,,public,2016-05-19T20:32:00.119Z,2026-07-04T13:04:20.257Z,2026-07-06T17:11:50Z
code.videolan.org/videolan/libplacebo,True,380,gl/videolan-380,code.videolan.org,Organization,group,videolan,libplacebo,videolan/libplacebo,"Reusable library for GPU-accelerated image/video processing primitives and shaders, as well a batteries-included, extensible, high-quality rendering pipeline (similar to mpv's `vo_gpu`). Supports Vulkan, OpenGL, Metal (via MoltenVK) and Direct3D 11.",https://code.videolan.org/videolan/libplacebo,master,lgpl-2.1,C,,7,46,,,public,2018-12-01T14:09:38.696Z,2026-07-11T16:25:24.400Z,2026-07-13T11:15:18Z
code.videolan.org/videolan/libudfread,True,363,gl/videolan-363,code.videolan.org,Organization,group,videolan,libudfread,videolan/libudfread,UDF reader,https://code.videolan.org/videolan/libudfread,master,lgpl-2.1,C,,1,4,,,public,2018-11-30T12:08:53.914Z,2025-09-05T13:23:08.290Z,2026-07-06T00:20:41Z
code.videolan.org/videolan/x264,True,536,gl/videolan-536,code.videolan.org,Organization,group,videolan,x264,videolan/x264,"x264, the best and fastest H.264 encoder",https://code.videolan.org/videolan/x264,master,gpl-2.0+,C,,3,93,,,public,2019-03-14T09:25:26.328Z,2026-07-13T08:32:40.947Z,2026-07-13T11:15:18Z
gitlab.cern.ch/fts/fts-rest-flask,True,84555,gl/cern-84555,gitlab.cern.ch,Organization,group,fts,fts-rest-flask,fts/fts-rest-flask,fts-rest reimplementation in Flask and Python 3,https://gitlab.cern.ch/fts/fts-rest-flask,3.14.x-release,apache-2.0,Python,,2,8,,,public,2020-01-17T10:27:31.199Z,2026-06-16T08:57:17.475Z,2026-07-06T00:20:11Z
gitlab.com/accounts-sso/accounts-qml-module,True,222466,gl/222466,gitlab.com,Organization,group,accounts-sso,accounts-qml-module,accounts-sso/accounts-qml-module,QML bindings for libaccounts-qt + libsignon-qt,https://gitlab.com/accounts-sso/accounts-qml-module,master,lgpl-2.1,C++,accounts | accounts-sso | authentication | qml,2,5,0,False,public,2015-04-07T07:36:33.278Z,2026-05-01T14:03:09.449Z,2026-07-06T00:20:12Z
gitlab.com/accounts-sso/libaccounts-glib,True,222481,gl/222481,gitlab.com,Organization,group,accounts-sso,libaccounts-glib,accounts-sso/libaccounts-glib,GLib-based client library for the accounts database,https://gitlab.com/accounts-sso/libaccounts-glib,master,lgpl-2.1,C,accounts | accounts-sso,2,14,3,False,public,2015-04-07T07:37:06.771Z,2025-09-16T10:11:02.199Z,2026-07-06T00:20:12Z
gitlab.com/accounts-sso/libaccounts-qt,True,222478,gl/222478,gitlab.com,Organization,group,accounts-sso,libaccounts-qt,accounts-sso/libaccounts-qt,Qt-based client library for the accounts database,https://gitlab.com/accounts-sso/libaccounts-qt,master,lgpl-2.1,C++,Qt | accounts | accounts-sso,3,15,4,False,public,2015-04-07T07:36:56.990Z,2026-04-07T10:54:21.858Z,2026-07-06T00:20:12Z
gitlab.com/accounts-sso/signond,True,222471,gl/222471,gitlab.com,Organization,group,accounts-sso,signond,accounts-sso/signond,SignOn Daemon (Qt),https://gitlab.com/accounts-sso/signond,master,lgpl-2.1,C++,accounts | accounts-sso | authentication,3,17,10,False,public,2015-04-07T07:36:45.174Z,2026-04-06T14:14:58.572Z,2026-07-06T00:20:12Z
gitlab.com/agerasev/lock-free-static,True,48619243,gl/48619243,gitlab.com,User,user,agerasev,lock-free-static,agerasev/lock-free-static,Lock-free static variables,https://gitlab.com/agerasev/lock-free-static,master,apache-2.0,Rust,,0,0,0,False,public,2023-08-19T02:05:51.800Z,2026-01-30T10:17:43.657Z,2026-07-06T00:20:12Z
gitlab.com/alelec/pip-system-certs,True,5823520,gl/5823520,gitlab.com,Organization,group,alelec,pip-system-certs,alelec/pip-system-certs,Live patches pip and requests to use system certs by default,https://gitlab.com/alelec/pip-system-certs,master,bsd-2-clause,Python,,14,6,29,False,public,2018-03-21T04:01:43.731Z,2026-05-16T02:39:27.614Z,2026-07-06T00:20:12Z
gitlab.com/antonok/enum_dispatch,True,9956489,gl/9956489,gitlab.com,User,user,antonok,enum_dispatch,antonok/enum_dispatch,Near drop-in replacement for dynamic-dispatched method calls with up to 10x the speed,https://gitlab.com/antonok/enum_dispatch,master,mit,Rust,,182,53,39,False,public,2018-12-17T04:54:29.940Z,2026-06-05T23:18:31.829Z,2026-07-06T00:20:12Z
gitlab.com/aomediacodec/svt-av1,True,24327400,gl/24327400,gitlab.com,Organization,group,AOMediaCodec,SVT-AV1,AOMediaCodec/SVT-AV1,Welcome to the Gitlab repo for the SVT-AV1! ,https://gitlab.com/AOMediaCodec/SVT-AV1,master,bsd-3-clause-clear,C,Software encoding | Video Compression | av1,298,140,139,False,public,2021-02-10T23:33:47.897Z,2026-07-05T21:50:18.160Z,2026-07-06T00:20:12Z
gitlab.com/apparmor/apparmor,True,4484878,gl/4484878,gitlab.com,Organization,group,apparmor,apparmor,apparmor/apparmor,The AppArmor user space development project.,https://gitlab.com/apparmor/apparmor,master,gpl-2.0+,Python,,202,213,305,False,public,2017-10-25T19:38:49.219Z,2026-07-06T13:11:43.333Z,2026-07-06T17:11:49Z
gitlab.com/bern-rtos/tools/rtos-trace,True,37731968,gl/37731968,gitlab.com,Organization,group,bern-rtos/tools,rtos-trace,bern-rtos/tools/rtos-trace,Rust RTOS tracing trait and implemenations.,https://gitlab.com/bern-rtos/tools/rtos-trace,main,,C,,1,4,1,False,public,2022-07-11T12:44:50.424Z,2025-11-19T08:48:25.909Z,2026-07-06T00:20:12Z
gitlab.com/bogofilter/bogofilter,True,12408342,gl/12408342,gitlab.com,Organization,group,bogofilter,bogofilter,bogofilter/bogofilter,Bogofilter is a fast Bayesian spam filter. For downloads please head over to https://sourceforge.net/projects/bogofilter/files/bogofilter-stable/,https://gitlab.com/bogofilter/bogofilter,main,,C,,8,2,6,False,public,2019-05-19T13:31:39.828Z,2026-07-05T10:59:38.385Z,2026-07-06T17:11:50Z
gitlab.com/boiethios/fluid-rs,True,7575332,gl/7575332,gitlab.com,User,user,Boiethios,fluid-rs,Boiethios/fluid-rs,A framework for human-readable unit tests.,https://gitlab.com/Boiethios/fluid-rs,master,,Rust,,14,1,1,False,public,2018-07-21T07:06:14.124Z,2019-04-08T14:46:20.418Z,2026-07-06T00:20:12Z
gitlab.com/boiethios/radix_fmt_rs,True,6546547,gl/6546547,gitlab.com,User,user,Boiethios,radix_fmt_rs,Boiethios/radix_fmt_rs,"Adds a tool in Rust to format a number in an arbitrary base in the range [2, 36].",https://gitlab.com/Boiethios/radix_fmt_rs,master,apache-2.0,Rust,,0,2,2,False,public,2018-05-31T07:56:31.971Z,2023-07-09T14:44:18.745Z,2026-07-06T00:20:12Z
gitlab.com/bronsonbdevost/next_afterf,True,18012803,gl/18012803,gitlab.com,User,user,bronsonbdevost,float_next_after,bronsonbdevost/next_afterf,A native Rust next float function.,https://gitlab.com/bronsonbdevost/next_afterf,main,mit,Rust,decrement | floating point | increment | rust,0,2,0,False,public,2020-04-08T16:32:52.736Z,2026-02-14T09:37:25.671Z,2026-07-06T00:20:12Z
gitlab.com/bzim/lockfree,True,6681291,gl/6681291,gitlab.com,User,user,bzim,lockfree,bzim/lockfree,Lockfree data structures for Rust,https://gitlab.com/bzim/lockfree,master,mit,Rust,,18,5,5,False,public,2018-06-04T14:59:21.762Z,2024-08-14T17:16:44.364Z,2026-07-06T00:20:12Z
gitlab.com/bzim/owned-alloc,True,9090400,gl/9090400,gitlab.com,User,user,bzim,owned-alloc,bzim/owned-alloc,A owned allocation crate in Rust to help reduce errors with manual memory allocation.,https://gitlab.com/bzim/owned-alloc,master,mit,Rust,,1,1,0,False,public,2018-10-27T22:42:41.605Z,2018-11-06T22:58:24.435Z,2026-07-06T00:20:12Z
gitlab.com/bzip2/bzip2,True,12551088,gl/12551088,gitlab.com,Organization,group,bzip2,bzip2-archived,bzip2/bzip2,"Bzip2/libbz2 is a program and library for lossless, block-sorting data compression. This fork for v1.1+ development is has been archived due to lack of interest, and because there are better options available through the Rust ecosystem.",https://gitlab.com/bzip2/bzip2,master,bzip2-1.0.6,C,compression | core libraries,94,0,35,True,public,2019-05-27T19:16:47.570Z,2026-07-08T15:08:19.853Z,2026-07-12T21:32:49Z
gitlab.com/cardoe/enum-primitive-derive,True,4036039,gl/4036039,gitlab.com,User,user,cardoe,enum-primitive-derive,cardoe/enum-primitive-derive,custom derive to provide the ability to convert C-like enums to and from primitive integers,https://gitlab.com/cardoe/enum-primitive-derive,master,mit,Rust,rust,6,12,4,False,public,2017-08-30T20:08:47.679Z,2023-11-22T03:44:25.703Z,2026-07-06T00:20:12Z
gitlab.com/catamphetamine/libphonenumber-js,True,17473241,gl/17473241,gitlab.com,User,user,catamphetamine,libphonenumber-js,catamphetamine/libphonenumber-js,"A simpler (and smaller) rewrite of Google Android's libphonenumber library in javascript.
https://catamphetamine.gitlab.io/libphonenumber-js",https://gitlab.com/catamphetamine/libphonenumber-js,master,mit,JavaScript,,341,62,70,False,public,2020-03-13T18:43:19.440Z,2026-07-03T09:13:31.489Z,2026-07-06T00:20:12Z
gitlab.com/chris-morgan/symlink,True,2379982,gl/2379982,gitlab.com,User,user,chris-morgan,symlink,chris-morgan/symlink,A Rust crate for cross-platform handling of symbolic links,https://gitlab.com/chris-morgan/symlink,master,apache-2.0,Rust,,4,2,1,False,public,2017-01-26T01:25:04.193Z,2025-01-31T22:43:01.927Z,2026-07-06T00:20:12Z
gitlab.com/cjwatson/libpipeline,True,772510,gl/772510,gitlab.com,Organization,group,libpipeline,libpipeline,libpipeline/libpipeline,,https://gitlab.com/libpipeline/libpipeline,main,gpl-3.0+,C,,2,2,0,False,public,2016-01-22T21:54:18.774Z,2025-11-11T12:19:14.046Z,2026-07-06T10:53:20Z
gitlab.com/cjwatson/man-db,True,22757117,gl/22757117,gitlab.com,Organization,group,man-db,man-db,man-db/man-db,Tools for reading manual pages.,https://gitlab.com/man-db/man-db,main,gpl-3.0+,C,,31,24,21,False,public,2020-11-28T17:33:41.574Z,2026-06-16T11:30:55.516Z,2026-07-06T10:53:20Z
gitlab.com/creepyskeleton/proc-macro-error,True,14679541,gl/14679541,gitlab.com,User,user,CreepySkeleton,proc-macro-error,CreepySkeleton/proc-macro-error,Drop-in replacement to panics in proc-macros,https://gitlab.com/CreepySkeleton/proc-macro-error,master,mit,Rust,,17,8,7,False,public,2019-10-06T18:45:48.980Z,2024-09-06T07:02:58.996Z,2026-07-06T00:20:12Z
gitlab.com/cryptsetup/cryptsetup,True,195655,gl/195655,gitlab.com,Organization,group,cryptsetup,cryptsetup,cryptsetup/cryptsetup,Cryptsetup and LUKS - open-source disk encryption,https://gitlab.com/cryptsetup/cryptsetup,main,gpl-2.0+,C,bitlocker | cryptsetup | filevault | full-disk-encryption | integritysetup | luks | luks2 | truecrypt | veracrypt | veritysetup,849,245,20,False,public,2015-03-16T13:02:31.754Z,2026-07-04T21:01:10.136Z,2026-07-06T00:20:13Z
gitlab.com/dajoha/color-print,True,29119795,gl/29119795,gitlab.com,User,user,dajoha,color-print,dajoha/color-print,"Colorize and stylize strings at compile-time, by using a XML-like syntax",https://gitlab.com/dajoha/color-print,master,mit,Rust,,8,4,3,False,public,2021-08-25T11:25:50.296Z,2025-10-13T20:36:52.749Z,2026-07-06T00:20:13Z
gitlab.com/davidbittner/ansi-parser,True,12051684,gl/12051684,gitlab.com,User,user,davidbittner,ansi-parser,davidbittner/ansi-parser,,https://gitlab.com/davidbittner/ansi-parser,master,mpl-2.0,Rust,ansi | nom | parsing | rust,10,12,10,False,public,2019-04-26T19:01:26.529Z,2025-09-24T13:36:32.825Z,2026-07-06T00:20:13Z
gitlab.com/dns2utf8/sudo.rs,True,18053445,gl/18053445,gitlab.com,User,user,dns2utf8,sudo.rs,dns2utf8/sudo.rs,,https://gitlab.com/dns2utf8/sudo.rs,main,apache-2.0,Rust,,15,5,2,False,public,2020-04-10T14:05:54.813Z,2025-07-06T20:15:17.377Z,2026-07-06T10:53:18Z
gitlab.com/doctormo/python-crontab,True,6656639,gl/6656639,gitlab.com,User,user,doctormo,python-crontab,doctormo/python-crontab,Crontab module for reading and writing crontab files and accessing the system cron automatically and simply using a direct API.,https://gitlab.com/doctormo/python-crontab,master,other,Python,python,99,32,7,False,public,2018-06-04T12:08:03.037Z,2025-10-11T09:41:05.491Z,2026-07-06T00:20:13Z
gitlab.com/drj11/pypng,True,37733345,gl/37733345,gitlab.com,User,user,drj11,pypng,drj11/pypng,Pure Python library for PNG image encoding/decoding,https://gitlab.com/drj11/pypng,main,mit,Python,,8,2,14,False,public,2022-07-11T13:30:55.560Z,2026-06-08T15:11:22.072Z,2026-07-06T00:20:13Z
gitlab.com/drobilla/zix,True,14889806,gl/14889806,gitlab.com,User,user,drobilla,zix,drobilla/zix,A lightweight C99 portability and data structure library,https://gitlab.com/drobilla/zix,main,0bsd,C,C | data-structures | portability | threads,5,3,0,False,public,2019-10-18T11:15:21.674Z,2026-07-03T23:37:54.975Z,2026-07-06T00:20:13Z
gitlab.com/enricoch/rust-fuzzy-search,True,27876087,gl/27876087,gitlab.com,User,user,EnricoCh,Rust Fuzzy Search,EnricoCh/rust-fuzzy-search,Fuzzy search implemented in rust,https://gitlab.com/EnricoCh/rust-fuzzy-search,main,mit,HTML,,2,2,3,False,public,2021-07-03T07:37:03.631Z,2026-04-20T16:26:43.033Z,2026-07-06T00:20:13Z
gitlab.com/ericvsmith/toposort,True,19661340,gl/19661340,gitlab.com,User,user,ericvsmith,toposort,ericvsmith/toposort,A topological sort for python.,https://gitlab.com/ericvsmith/toposort,master,apache-2.0,Python,,5,6,3,False,public,2020-06-29T14:00:44.562Z,2024-06-26T09:26:11.928Z,2026-07-06T00:20:13Z
gitlab.com/fast_chemail/fast_chemail-rs,True,2090127,gl/2090127,gitlab.com,Organization,group,fast_chemail,fast_chemail-rs,fast_chemail/fast_chemail-rs,,https://gitlab.com/fast_chemail/fast_chemail-rs,master,mpl-2.0,Rust,,2,4,4,False,public,2016-11-29T20:18:47.308Z,2023-09-21T13:29:17.385Z,2026-07-06T00:20:13Z
gitlab.com/ferreum/trampoline,True,7987770,gl/7987770,gitlab.com,User,user,ferreum,trampoline,ferreum/trampoline,Simple and tiny yield-based trampoline implementation for python.,https://gitlab.com/ferreum/trampoline,master,mit,Python,,5,2,0,False,public,2018-08-18T00:42:29.157Z,2026-05-03T01:20:04.403Z,2026-07-06T00:20:13Z
gitlab.com/gilrs-project/gilrs,True,1339846,gl/1339846,gitlab.com,Organization,group,gilrs-project,gilrs,gilrs-project/gilrs,Game Input Library for Rust.,https://gitlab.com/gilrs-project/gilrs,master,apache-2.0,Rust,gamepad | input | joystick | rust,87,78,78,False,public,2016-06-26T18:56:36.105Z,2026-07-02T21:50:22.029Z,2026-07-06T00:20:13Z
gitlab.com/gnutls/gnutls,True,179611,gl/179611,gitlab.com,Organization,group,gnutls,GnuTLS,gnutls/gnutls,"GnuTLS is a secure communications library implementing the SSL, TLS and DTLS protocols and technologies around them. It provides a simple C language API to access the secure communications protocols. https://www.gnutls.org",https://gitlab.com/gnutls/gnutls,master,gpl-3.0+,C,crypto | ssl | tls,325,372,383,False,public,2015-03-04T07:55:24.008Z,2026-07-02T10:15:40.426Z,2026-07-06T00:20:13Z
gitlab.com/gnutls/libtasn1,True,919981,gl/919981,gitlab.com,Organization,group,gnutls,libtasn1,gnutls/libtasn1,"The libtasn1 development site and repository
https://www.gnu.org/software/libtasn1/",https://gitlab.com/gnutls/libtasn1,master,gpl-3.0+,C,asn1 | der,11,30,17,False,public,2016-02-29T08:29:44.504Z,2026-06-07T15:31:20.754Z,2026-07-06T00:20:13Z
gitlab.com/graphviz/graphviz,True,4207231,gl/4207231,gitlab.com,Organization,group,graphviz,graphviz,graphviz/graphviz,Graph Visualization Tools,https://gitlab.com/graphviz/graphviz,main,epl-2.0,C,,1464,376,404,False,public,2017-09-22T03:43:24.544Z,2026-07-05T09:11:00.019Z,2026-07-06T00:20:13Z
gitlab.com/gsasl/libgssglue,True,37744631,gl/37744631,gitlab.com,Organization,group,gsasl,libgssglue,gsasl/libgssglue,,https://gitlab.com/gsasl/libgssglue,master,bsd-3-clause,C,,1,5,16,False,public,2022-07-11T22:09:47.086Z,2024-09-03T12:47:11.588Z,2026-07-06T00:20:13Z
gitlab.com/ijackson/rust-shellexpand,True,34157005,gl/34157005,gitlab.com,User,user,ijackson,rust-shellexpand,ijackson/rust-shellexpand,"shellexpand, a library for shell-like expansion in strings

This version maintained by Ian Jackson as original https://github.com/netvl/shellexpand no longer maintained.",https://gitlab.com/ijackson/rust-shellexpand,main,mit,Rust,,11,7,7,False,public,2022-03-02T11:09:36.938Z,2026-06-03T10:37:53.793Z,2026-07-06T00:20:15Z
gitlab.com/imp/chrono-humanize-rs,True,1390379,gl/1390379,gitlab.com,User,user,imp,chrono-humanize-rs,imp/chrono-humanize-rs,Human friendly time expressions,https://gitlab.com/imp/chrono-humanize-rs,master,mit,Rust,,7,8,3,False,public,2016-07-11T15:27:39.958Z,2023-10-28T15:48:08.879Z,2026-07-06T00:20:13Z
gitlab.com/inkscape/lib2geom,True,839044,gl/839044,gitlab.com,Organization,group,inkscape,lib2geom,inkscape/lib2geom,Easy to use 2D geometry library in C++,https://gitlab.com/inkscape/lib2geom,master,mpl-1.1,C++,,33,50,29,False,public,2016-02-07T23:31:25.049Z,2026-06-02T06:20:55.198Z,2026-07-06T00:20:13Z
gitlab.com/ixion/ixion,True,186867,gl/186867,gitlab.com,Organization,group,ixion,ixion,ixion/ixion,,https://gitlab.com/ixion/ixion,master,mpl-2.0,C++,cpp | formula-parser | spreadsheet | spreadsheet-calculator,19,7,5,False,public,2015-03-10T01:39:26.595Z,2026-06-09T02:12:42.079Z,2026-07-06T00:20:13Z
gitlab.com/jd91mzm2/no-std-compat,True,11949011,gl/11949011,gitlab.com,User,user,jD91mZM2,no-std-compat,jD91mZM2/no-std-compat,"A `#![no_std]` compatibility layer that will make porting your crate
to no_std *easy*.",https://gitlab.com/jD91mZM2/no-std-compat,master,mit,Rust,,16,5,4,False,public,2019-04-20T13:09:52.917Z,2023-04-25T15:43:02.475Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/aom-decode,True,21033862,gl/21033862,gitlab.com,User,user,kornelski,aom-decode,kornelski/aom-decode,Rust wrapper for libaom. Useful for decoding AVIF image files,https://gitlab.com/kornelski/aom-decode,main,,Rust,AVIF | av1 | libaom,2,1,0,False,public,2020-09-09T16:02:13.186Z,2024-10-17T11:29:04.171Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/dunce,True,4717715,gl/4717715,gitlab.com,User,user,kornelski,dunce,kornelski/dunce,Strip UNC paths when possible,https://gitlab.com/kornelski/dunce,master,cc0-1.0,Rust,,20,4,1,False,public,2017-11-22T13:45:05.200Z,2026-06-21T01:45:19.619Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/http-serde,True,16789558,gl/16789558,gitlab.com,User,user,kornelski,http-serde,kornelski/http-serde,,https://gitlab.com/kornelski/http-serde,master,,Rust,,10,10,2,False,public,2020-02-09T16:21:22.842Z,2025-10-09T22:52:47.682Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/loop9,True,53868917,gl/53868917,gitlab.com,User,user,kornelski,loop9,kornelski/loop9,,https://gitlab.com/kornelski/loop9,main,mit,Rust,,0,0,0,False,public,2024-01-15T11:10:46.939Z,2024-01-15T12:11:06.560Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/oklab,True,24201578,gl/24201578,gitlab.com,User,user,kornelski,oklab,kornelski/oklab,Rust implementation of Oklab color space conversion routines,https://gitlab.com/kornelski/oklab,main,,Rust,,1,0,0,False,public,2021-02-06T01:23:45.015Z,2024-09-01T19:21:04.389Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/openmp-rs,True,4567993,gl/4567993,gitlab.com,User,user,kornelski,openmp-rs,kornelski/openmp-rs,Rust shim to link with libgomp,https://gitlab.com/kornelski/openmp-rs,main,,Rust,,2,1,0,False,public,2017-11-04T19:54:19.325Z,2025-10-07T18:59:32.305Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/ordered-channel,True,54180268,gl/54180268,gitlab.com,User,user,kornelski,ordered-channel,kornelski/ordered-channel,,https://gitlab.com/kornelski/ordered-channel,main,mit,Rust,,0,0,0,False,public,2024-01-23T23:22:16.209Z,2025-03-09T16:27:37.249Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/parse_cfg,True,6433399,gl/6433399,gitlab.com,User,user,kornelski,parse_cfg,kornelski/parse_cfg,Parse Rust's `cfg(not(any()))` attribute syntax,https://gitlab.com/kornelski/parse_cfg,master,cc0-1.0,Rust,,2,0,2,False,public,2018-05-20T12:25:32.752Z,2023-08-19T17:58:08.055Z,2026-07-06T00:20:14Z
gitlab.com/kornelski/wild,True,4677724,gl/4677724,gitlab.com,User,user,kornelski,wild,kornelski/wild,Glob (wildcard) expanded command-line arguments for Rust programs on Windows,https://gitlab.com/kornelski/wild,main,mit,Rust,,12,4,2,False,public,2017-11-17T14:57:39.795Z,2026-06-21T16:18:52.699Z,2026-07-06T00:20:14Z
gitlab.com/leonhard-llc/ops,True,25143289,gl/25143289,gitlab.com,Organization,group,leonhard-llc,ops,leonhard-llc/ops,,https://gitlab.com/leonhard-llc/ops,main,other,Rust,,14,6,0,False,public,2021-03-15T05:20:28.848Z,2026-02-12T06:50:08.415Z,2026-07-06T00:20:14Z
gitlab.com/lib.rs/cargo_toml,True,7065105,gl/7065105,gitlab.com,Organization,group,lib.rs,cargo_toml,lib.rs/cargo_toml,Serde definition of Cargo.toml structure,https://gitlab.com/lib.rs/cargo_toml,main,mit,Rust,,14,24,2,False,public,2018-06-14T00:24:27.242Z,2026-06-24T13:50:35.295Z,2026-07-06T00:20:14Z
gitlab.com/libeigen/eigen,True,15462818,gl/15462818,gitlab.com,Organization,group,libeigen,eigen,libeigen/eigen,"Eigen is a C++ template library for linear algebra: matrices, vectors, numerical solvers, and related algorithms.",https://gitlab.com/libeigen/eigen,master,mpl-2.0,C++,,1182,549,360,False,public,2019-11-21T14:38:01.184Z,2026-07-05T22:40:00.498Z,2026-07-06T00:20:14Z
gitlab.com/libidn/libidn2,True,2882658,gl/2882658,gitlab.com,Organization,group,libidn,libidn2,libidn/libidn2,"Libidn2 is a free software implementation of IDNA2008, Punycode and
Unicode TR46 - https://www.gnu.org/s/libidn/#libidn2",https://gitlab.com/libidn/libidn2,master,gpl-3.0+,C,,11,17,21,False,public,2017-03-12T18:29:16.250Z,2026-06-16T23:01:50.907Z,2026-07-06T00:20:15Z
gitlab.com/libtiff/libtiff,True,4720790,gl/4720790,gitlab.com,Organization,group,libtiff,libtiff,libtiff/libtiff,TIFF Library and Utilities,https://gitlab.com/libtiff/libtiff,master,libtiff,C,,100,214,81,False,public,2017-11-22T19:53:49.123Z,2026-07-05T10:43:41.757Z,2026-07-06T00:20:14Z
gitlab.com/mexus/futures-retry,True,5789721,gl/5789721,gitlab.com,User,user,mexus,futures-retry,mexus/futures-retry,A retry helper for Rust futures,https://gitlab.com/mexus/futures-retry,master,apache-2.0,Rust,collections | take,13,10,2,False,public,2018-03-18T00:51:23.960Z,2024-10-08T11:30:10.764Z,2026-07-06T00:20:14Z
gitlab.com/noughmad/ptree,True,8015224,gl/8015224,gitlab.com,User,user,Noughmad,ptree,Noughmad/ptree,,https://gitlab.com/Noughmad/ptree,master,mit,Rust,,5,7,1,False,public,2018-08-20T14:47:20.556Z,2024-11-28T13:30:38.936Z,2026-07-06T00:20:14Z
gitlab.com/noughmad/serde-xml-any,True,7549075,gl/7549075,gitlab.com,User,user,Noughmad,serde-xml-any,Noughmad/serde-xml-any,,https://gitlab.com/Noughmad/serde-xml-any,master,mit,Rust,,0,1,0,False,public,2018-07-19T08:36:48.110Z,2019-04-07T11:00:18.643Z,2026-07-06T00:20:15Z
gitlab.com/noughmad/serde_any,True,7106526,gl/7106526,gitlab.com,User,user,Noughmad,serde_any,Noughmad/serde_any,Dynamic serialization and deserialization with the format chosen at runtime,https://gitlab.com/Noughmad/serde_any,master,mit,Rust,,4,2,1,False,public,2018-06-16T21:04:22.841Z,2026-02-13T20:23:45.607Z,2026-07-06T00:20:15Z
gitlab.com/okannen/static_init,True,23768737,gl/23768737,gitlab.com,User,user,okannen,static_init,okannen/static_init,,https://gitlab.com/okannen/static_init,master,,Rust,,35,11,8,False,public,2021-01-19T10:37:23.577Z,2025-05-21T08:24:51.644Z,2026-07-06T00:20:15Z
gitlab.com/okannen/undo_2,True,41084090,gl/41084090,gitlab.com,User,user,okannen,undo_2,okannen/undo_2,,https://gitlab.com/okannen/undo_2,master,mit,Rust,,1,0,1,False,public,2022-11-15T15:54:13.960Z,2025-08-06T17:30:54.410Z,2026-07-06T00:20:15Z
gitlab.com/orcus/orcus,True,186866,gl/186866,gitlab.com,Organization,group,orcus,orcus,orcus/orcus,Collection of parsers and import filters for spreadsheet documents.,https://gitlab.com/orcus/orcus,master,mpl-2.0,C++,C++ | LibreOffice | css | csv | excel | ods | parser | spreadsheet | xlsx | xml,19,26,13,False,public,2015-03-10T01:39:26.518Z,2026-06-18T03:44:47.139Z,2026-07-06T00:20:15Z
gitlab.com/persy/persy,True,1647312,gl/1647312,gitlab.com,Organization,group,persy,persy,persy/persy,"Simple Transactional Storage Engine written in Rust    
[persy.rs](http://persy.rs)",https://gitlab.com/persy/persy,master,mpl-2.0,Rust,embedded | persistence | rust | storage | transaction,75,16,12,False,public,2016-09-09T17:23:46.473Z,2026-06-30T07:51:25.518Z,2026-07-06T00:20:15Z
gitlab.com/philbooth/bfj,True,6666494,gl/6666494,gitlab.com,User,user,philbooth,bfj,philbooth/bfj,Big-Friendly JSON. Asynchronous streaming functions for large JSON data sets.,https://gitlab.com/philbooth/bfj,master,mit,JavaScript,,39,8,2,False,public,2018-06-04T13:34:22.588Z,2026-02-09T07:07:23.000Z,2026-07-06T00:20:15Z
