project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
gitlab.com/kornelski/dunce,True,4717715,gl/4717715,gitlab.com,User,user,kornelski,dunce,kornelski/dunce,Strip UNC paths when possible,https://gitlab.com/kornelski/dunce,master,cc0-1.0,,20,4,,,public,2017-11-22T13:45:05.200Z,2026-06-21T01:45:19.619Z,2026-07-05T16:56:37Z
gitlab.com/libidn/libidn2,True,2882658,gl/2882658,gitlab.com,Organization,group,libidn,libidn2,libidn/libidn2,"Libidn2 is a free software implementation of IDNA2008, Punycode and
Unicode TR46 - https://www.gnu.org/s/libidn/#libidn2",https://gitlab.com/libidn/libidn2,master,gpl-3.0+,,11,17,,,public,2017-03-12T18:29:16.250Z,2026-06-16T23:01:50.907Z,2026-07-05T16:56:37Z
gitlab.com/libtiff/libtiff,True,4720790,gl/4720790,gitlab.com,Organization,group,libtiff,libtiff,libtiff/libtiff,TIFF Library and Utilities,https://gitlab.com/libtiff/libtiff,master,libtiff,,100,214,,,public,2017-11-22T19:53:49.123Z,2026-07-05T10:43:41.757Z,2026-07-05T16:56:37Z
gitlab.com/philbooth/check-types.js,True,6666488,gl/6666488,gitlab.com,User,user,philbooth,check-types.js,philbooth/check-types.js,"A little JavaScript library for asserting types and values, with zero dependencies.",https://gitlab.com/philbooth/check-types.js,master,mit,,26,5,,,public,2018-06-04T13:34:16.704Z,2023-09-07T10:44:09.076Z,2026-07-05T16:56:37Z
gitlab.com/philbooth/hoopy,True,6666393,gl/6666393,gitlab.com,User,user,philbooth,hoopy,philbooth/hoopy,"Like an array, but rounder.",https://gitlab.com/philbooth/hoopy,master,mit,,2,0,,,public,2018-06-04T13:32:40.213Z,2018-06-24T07:31:26.726Z,2026-07-05T16:56:37Z
gitlab.com/philbooth/tryer,True,6666571,gl/6666571,gitlab.com,User,user,philbooth,tryer,philbooth/tryer,Conditional and repeated function invocation for node and browser.,https://gitlab.com/philbooth/tryer,master,mit,,1,0,,,public,2018-06-04T13:35:46.909Z,2018-06-24T07:49:16.698Z,2026-07-05T16:56:37Z
gitlab.com/procps-ng/procps,True,247135,gl/247135,gitlab.com,Organization,group,procps-ng,procps,procps-ng/procps,"Command line and full screen utilities for browsing procfs, a ""pseudo"" file system dynamically generated by the kernel to provide information about the status of entries in its process table.",https://gitlab.com/procps-ng/procps,master,gpl-2.0+,,307,252,,,public,2015-04-24T11:44:01.800Z,2026-06-30T09:14:01.169Z,2026-07-05T16:56:37Z
gitlab.com/psmisc/psmisc,True,334185,gl/334185,gitlab.com,Organization,group,psmisc,psmisc,psmisc/psmisc,This package contains miscellaneous utilities that use the proc file-system.,https://gitlab.com/psmisc/psmisc,master,gpl-2.0+,,43,50,,,public,2015-06-30T11:06:49.746Z,2026-05-22T17:12:01.796Z,2026-07-05T16:56:37Z
gitlab.com/takluyver/jeepney,True,2780772,gl/2780772,gitlab.com,User,user,takluyver,jeepney,takluyver/jeepney,Pure Python DBus interface,https://gitlab.com/takluyver/jeepney,master,mit,,27,22,,,public,2017-02-25T20:18:01.374Z,2026-02-21T23:21:26.130Z,2026-07-05T16:56:37Z
gitlab.dkrz.de/k202009/libaec,True,117,gl/gitlab.dkrz.de-117,gitlab.dkrz.de,Organization,group,dkrz-sw,libaec,dkrz-sw/libaec,Adaptive Entropy Coding library,https://gitlab.dkrz.de/dkrz-sw/libaec,main,bsd-2-clause,,1,1,,,public,2016-04-14T07:49:52.880Z,2026-05-19T10:22:37.068Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/fontconfig/fontconfig,True,890,gl/gitlab.freedesktop.org-890,gitlab.freedesktop.org,Organization,group,fontconfig,fontconfig,fontconfig/fontconfig,Font configuration and customization library,https://gitlab.freedesktop.org/fontconfig/fontconfig,main,mit-modern-variant,,20,113,,,public,2018-08-20T07:05:48.050Z,2026-07-05T00:18:48.977Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/glvnd/libglvnd,True,4399,gl/gitlab.freedesktop.org-4399,gitlab.freedesktop.org,Organization,group,glvnd,libglvnd,glvnd/libglvnd,The GL Vendor-Neutral Dispatch library,https://gitlab.freedesktop.org/glvnd/libglvnd,master,,,19,42,,,public,2019-09-27T15:35:25.131Z,2026-05-10T17:04:13.880Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/gstreamer/gstreamer,True,1357,gl/gitlab.freedesktop.org-1357,gitlab.freedesktop.org,Organization,group,gstreamer,gstreamer,gstreamer/gstreamer,GStreamer multimedia framework,https://gitlab.freedesktop.org/gstreamer/gstreamer,main,lgpl-2.1,,252,886,,,public,2018-11-02T15:45:03.787Z,2026-07-05T16:33:24.167Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/libspectre/libspectre,True,1200,gl/gitlab.freedesktop.org-1200,gitlab.freedesktop.org,Organization,group,libspectre,libspectre,libspectre/libspectre,,https://gitlab.freedesktop.org/libspectre/libspectre,master,gpl-2.0+,,2,6,,,public,2018-10-12T21:33:19.327Z,2026-04-07T19:08:38.608Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/mesa/drm,True,177,gl/gitlab.freedesktop.org-177,gitlab.freedesktop.org,Organization,group,mesa,libdrm,mesa/libdrm,libdrm Direct Rendering Manager library and headers,https://gitlab.freedesktop.org/mesa/libdrm,main,,,76,248,,,public,2018-06-07T07:04:14.950Z,2026-06-29T10:53:01.230Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/networkmanager/networkmanager,True,411,gl/gitlab.freedesktop.org-411,gitlab.freedesktop.org,Organization,group,NetworkManager,NetworkManager,NetworkManager/NetworkManager,NetworkManager — network management daemon,https://gitlab.freedesktop.org/NetworkManager/NetworkManager,main,gpl-2.0+,NetworkManager,116,400,,,public,2018-07-17T09:38:02.137Z,2026-07-04T20:48:33.566Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/slirp/libslirp,True,2767,gl/gitlab.freedesktop.org-2767,gitlab.freedesktop.org,Organization,group,slirp,libslirp,slirp/libslirp,A general purpose TCP-IP emulator used by virtual machine hypervisors to provide virtual networking services.,https://gitlab.freedesktop.org/slirp/libslirp,master,bsd-3-clause,emulator | networking | qemu | tcp | vm,23,56,,,public,2019-03-25T15:44:43.487Z,2026-07-01T15:49:23.727Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/wayland/wayland,True,121,gl/gitlab.freedesktop.org-121,gitlab.freedesktop.org,Organization,group,wayland,wayland,wayland/wayland,Core Wayland window system code and protocol,https://gitlab.freedesktop.org/wayland/wayland,main,mit,,224,220,,,public,2018-05-31T07:28:22.015Z,2026-07-03T10:55:24.443Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/xdg/shared-mime-info,True,1205,gl/gitlab.freedesktop.org-1205,gitlab.freedesktop.org,Organization,group,xdg,shared-mime-info,xdg/shared-mime-info,,https://gitlab.freedesktop.org/xdg/shared-mime-info,master,gpl-2.0+,,12,124,,,public,2018-10-13T10:32:03.647Z,2026-07-02T15:22:10.353Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/xorg/lib/libxfont,True,716,gl/gitlab.freedesktop.org-716,gitlab.freedesktop.org,Organization,group,xorg/lib,libXfont,xorg/lib/libxfont,X font handling library for server & utilities,https://gitlab.freedesktop.org/xorg/lib/libxfont,master,bsd-4-clause-uc,,1,13,,,public,2018-07-29T09:42:00.338Z,2026-06-24T01:38:19.771Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/xorg/lib/libxshmfence,True,748,gl/gitlab.freedesktop.org-748,gitlab.freedesktop.org,Organization,group,xorg/lib,libxshmfence,xorg/lib/libxshmfence,Shared memory 'SyncFence' synchronization primitive,https://gitlab.freedesktop.org/xorg/lib/libxshmfence,master,hpnd-sell-variant,,3,6,,,public,2018-07-29T09:42:39.823Z,2026-01-26T00:31:41.700Z,2026-07-05T16:56:37Z
gitlab.freedesktop.org/xorg/proto/xorgproto,True,788,gl/gitlab.freedesktop.org-788,gitlab.freedesktop.org,Organization,group,xorg/proto,xorgproto,xorg/proto/xorgproto,X Window System unified protocol definitions,https://gitlab.freedesktop.org/xorg/proto/xorgproto,master,sgi-b-1.1,,13,54,,,public,2018-07-29T09:43:22.748Z,2026-06-26T16:29:46.087Z,2026-07-05T16:56:37Z
gitlab.gnome.org/gnome/gdk-pixbuf,True,1548,gl/gitlab.gnome.org-1548,gitlab.gnome.org,Organization,group,GNOME,gdk-pixbuf,GNOME/gdk-pixbuf,,https://gitlab.gnome.org/GNOME/gdk-pixbuf,master,lgpl-2.1,,13,72,,,public,2018-05-22T10:14:33.286Z,2026-06-27T12:41:40.602Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/glib,True,658,gl/gitlab.gnome.org-658,gitlab.gnome.org,Organization,group,GNOME,GLib,GNOME/glib,Low-level core library that forms the basis for projects such as GTK and GNOME.,https://gitlab.gnome.org/GNOME/glib,main,lgpl-2.1,,136,636,,,public,2018-02-08T10:32:02.677Z,2026-07-05T16:53:57.848Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/glib-networking,True,1905,gl/gitlab.gnome.org-1905,gitlab.gnome.org,Organization,group,GNOME,glib-networking,GNOME/glib-networking,Network extensions for GLib,https://gitlab.gnome.org/GNOME/glib-networking,master,lgpl-2.1,,7,38,,,public,2018-05-25T15:40:10.815Z,2026-06-30T17:49:41.287Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/gspell,True,1633,gl/gitlab.gnome.org-1633,gitlab.gnome.org,Organization,group,GNOME,gspell,GNOME/gspell,,https://gitlab.gnome.org/GNOME/gspell,master,,,7,7,,,public,2018-05-23T10:48:08.028Z,2026-06-26T15:20:23.210Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/libgsf,True,1545,gl/gitlab.gnome.org-1545,gitlab.gnome.org,Organization,group,GNOME,libgsf,GNOME/libgsf,,https://gitlab.gnome.org/GNOME/libgsf,master,lgpl-2.1,,3,9,,,public,2018-05-22T10:14:26.606Z,2026-06-06T19:06:33.579Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/librsvg,True,296,gl/gitlab.gnome.org-296,gitlab.gnome.org,Organization,group,GNOME,librsvg,GNOME/librsvg,"A library to render SVG images to Cairo surfaces.  GNOME uses this to render SVG icons.  Outside of GNOME, other desktop environments use it for similar purposes.  Wikimedia uses it for Wikipedia's SVG diagrams.",https://gitlab.gnome.org/GNOME/librsvg,main,lgpl-2.1,libraries | platform | rust | svg,49,129,,,public,2017-12-13T17:20:18.056Z,2026-06-26T01:27:38.191Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/libsoup,True,1630,gl/gitlab.gnome.org-1630,gitlab.gnome.org,Organization,group,GNOME,libsoup,GNOME/libsoup,HTTP Library for GLib - https://libsoup.gnome.org/,https://gitlab.gnome.org/GNOME/libsoup,master,lgpl-2.0,c | glib | gobject | http | networking,22,97,,,public,2018-05-23T10:41:39.327Z,2026-07-03T00:24:20.634Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/libwnck,True,550,gl/gitlab.gnome.org-550,gitlab.gnome.org,Organization,group,GNOME,libwnck,GNOME/libwnck,,https://gitlab.gnome.org/GNOME/libwnck,master,lgpl-2.0,,7,18,,,public,2018-01-24T11:11:06.728Z,2026-05-15T23:00:29.172Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/libxml2,True,1665,gl/gitlab.gnome.org-1665,gitlab.gnome.org,Organization,group,GNOME,libxml2,GNOME/libxml2,XML parser and toolkit,https://gitlab.gnome.org/GNOME/libxml2,master,mit,,46,195,,,public,2018-05-23T12:05:55.926Z,2026-07-02T08:08:42.009Z,2026-07-05T16:56:38Z
gitlab.gnome.org/gnome/libxslt,True,1762,gl/gitlab.gnome.org-1762,gitlab.gnome.org,Organization,group,GNOME,libxslt,GNOME/libxslt,XSLT processor,https://gitlab.gnome.org/GNOME/libxslt,master,x11-distribute-modifications-variant,,6,55,,,public,2018-05-23T13:20:56.169Z,2026-06-29T06:07:14.221Z,2026-07-05T16:56:38Z
gitlab.inria.fr/mpc/mpc,True,22470,gl/gitlab.inria.fr-22470,gitlab.inria.fr,Organization,group,mpc,mpc,mpc/mpc,,https://gitlab.inria.fr/mpc/mpc,master,other,,0,0,,,public,2020-07-24T16:04:45.994+02:00,2026-05-20T12:42:58.218+02:00,2026-07-05T16:56:38Z
gitlab.inria.fr/mpfr/mpfr,True,33626,gl/gitlab.inria.fr-33626,gitlab.inria.fr,Organization,group,mpfr,mpfr,mpfr/mpfr,"GNU MPFR is an efficient arbitrary-precision floating-point library with well-defined semantics (copying the good ideas from the IEEE 754 standard), in particular correct rounding in 5 rounding modes.",https://gitlab.inria.fr/mpfr/mpfr,master,gpl-3.0+,,3,0,,,public,2021-10-15T12:02:37.009+02:00,2026-07-03T13:44:43.814+02:00,2026-07-05T16:56:38Z
gitlab.isc.org/isc-projects/dhcp,True,74,gl/gitlab.isc.org-74,gitlab.isc.org,Organization,group,isc-projects,dhcp,isc-projects/dhcp,"ISC DHCP is an open source solution for DHCP servers, relay agents, and clients, both IPv4 and IPv6. This project is officially END OF LIFE.  
We are still accepting issues for the community benefit but - except possibly in the case of a security vulnerability - are not planning any further releases.  (https://www.isc.org/blogs/isc-dhcp-eol/)",https://gitlab.isc.org/isc-projects/dhcp,master,mpl-2.0,,7,14,,,public,2019-01-02T14:38:40.312Z,2026-04-01T10:32:27.356Z,2026-07-05T16:56:38Z
gitlab.linss.com/open-source/python/uri-template,False,,,gitlab.linss.com,,,,,,,,,,,,,,,,,,2026-07-05T16:56:38Z
gitlab.redox-os.org/redox-os/libredox,True,1889,gl/gitlab.redox-os.org-1889,gitlab.redox-os.org,Organization,group,redox-os,libredox,redox-os/libredox,Redox system library (stable ABI),https://gitlab.redox-os.org/redox-os/libredox,master,mit,,1,10,,,public,2023-09-28T14:31:25.091Z,2026-07-02T08:28:40.230Z,2026-07-05T16:56:38Z
gitlab.redox-os.org/redox-os/seahash,True,597,gl/gitlab.redox-os.org-597,gitlab.redox-os.org,Organization,group,redox-os,seahash,redox-os/seahash,"A blazingly fast, portable hash function with proven statistical guarantees.",https://gitlab.redox-os.org/redox-os/seahash,master,mit,,4,3,,,public,2019-02-25T12:16:15.374Z,2023-10-25T00:50:15.777Z,2026-07-05T16:56:38Z
gitlab.redox-os.org/redox-os/syscall,True,160,gl/gitlab.redox-os.org-160,gitlab.redox-os.org,Organization,group,redox-os,syscall,redox-os/syscall,Redox Rust Syscall Library,https://gitlab.redox-os.org/redox-os/syscall,master,mit,,9,41,,,public,2018-06-11T18:28:32.303Z,2026-07-02T18:47:10.587Z,2026-07-05T16:56:38Z
gitlab.redox-os.org/redox-os/users,True,174,gl/gitlab.redox-os.org-174,gitlab.redox-os.org,Organization,group,redox-os,users,redox-os/users,Redox OS APIs for accessing users and groups information,https://gitlab.redox-os.org/redox-os/users,master,mit,,3,21,,,public,2018-06-11T18:29:11.940Z,2025-10-17T16:04:36.360Z,2026-07-05T16:56:38Z
invent.kde.org/frameworks/kconfig,True,2075,gl/invent.kde.org-2075,invent.kde.org,Organization,group,frameworks,KConfig,frameworks/kconfig,KConfig,https://invent.kde.org/frameworks/kconfig,master,,,4,48,,,public,2020-05-16T09:37:30.216Z,2026-07-05T01:41:37.245Z,2026-07-05T16:56:38Z
invent.kde.org/frameworks/kcoreaddons,True,2180,gl/invent.kde.org-2180,invent.kde.org,Organization,group,frameworks,KCoreAddons,frameworks/kcoreaddons,KCoreAddons,https://invent.kde.org/frameworks/kcoreaddons,master,,,5,50,,,public,2020-05-16T09:40:13.406Z,2026-07-04T10:04:10.754Z,2026-07-05T16:56:38Z
invent.kde.org/frameworks/ki18n,True,2347,gl/invent.kde.org-2347,invent.kde.org,Organization,group,frameworks,Ki18n,frameworks/ki18n,Ki18n,https://invent.kde.org/frameworks/ki18n,master,,,4,19,,,public,2020-05-16T09:47:03.509Z,2026-07-03T11:23:11.103Z,2026-07-05T16:56:38Z
invent.kde.org/frameworks/kwidgetsaddons,True,2657,gl/invent.kde.org-2657,invent.kde.org,Organization,group,frameworks,KWidgetsAddons,frameworks/kwidgetsaddons,KWidgetsAddons,https://invent.kde.org/frameworks/kwidgetsaddons,master,,,2,38,,,public,2020-05-16T09:54:40.744Z,2026-07-03T11:27:42.336Z,2026-07-05T16:56:38Z
salsa.debian.org/a11y-team/at-spi2-core,True,6353,gl/salsa.debian.org-6353,salsa.debian.org,Organization,group,a11y-team,at-spi2-core,a11y-team/at-spi2-core,Debian packaging for at-spi2-core,https://salsa.debian.org/a11y-team/at-spi2-core,master,lgpl-2.1,,0,5,,,public,2018-01-21T18:48:32.816Z,2026-07-03T08:12:32.750Z,2026-07-05T16:56:39Z
salsa.debian.org/a11y-team/flite,True,6378,gl/salsa.debian.org-6378,salsa.debian.org,Organization,group,a11y-team,flite,a11y-team/flite,Debian packaging for flite,https://salsa.debian.org/a11y-team/flite,master,apache-2.0,,0,1,,,public,2018-01-21T18:48:59.650Z,2025-10-09T22:16:18.418Z,2026-07-05T16:56:39Z
salsa.debian.org/alsa-team/alsa-lib,True,21203,gl/salsa.debian.org-21203,salsa.debian.org,Organization,group,alsa-team,alsa-lib,alsa-team/alsa-lib,Debian packaging of alsa-lib,https://salsa.debian.org/alsa-team/alsa-lib,debian/latest,lgpl-2.1,,2,3,,,public,2018-04-12T00:33:26.148Z,2026-06-30T09:13:39.573Z,2026-07-05T16:56:39Z
salsa.debian.org/alsa-team/alsa-utils,True,21204,gl/salsa.debian.org-21204,salsa.debian.org,Organization,group,alsa-team,alsa-utils,alsa-team/alsa-utils,Debian packaging of alsa-utils,https://salsa.debian.org/alsa-team/alsa-utils,debian/latest,gpl-2.0+,,0,4,,,public,2018-04-12T00:41:16.191Z,2026-06-30T16:01:44.356Z,2026-07-05T16:56:39Z
salsa.debian.org/apache-team/apr,True,25409,gl/salsa.debian.org-25409,salsa.debian.org,Organization,group,apache-team,apr,apache-team/apr,Packaging of the apr package,https://salsa.debian.org/apache-team/apr,master,apache-2.0,,1,6,,,public,2018-05-01T08:00:06.045Z,2025-11-07T19:41:35.000Z,2026-07-05T16:56:39Z
salsa.debian.org/apache-team/apr-util,True,25412,gl/salsa.debian.org-25412,salsa.debian.org,Organization,group,apache-team,apr-util,apache-team/apr-util,"Packaging of the apr-util package

",https://salsa.debian.org/apache-team/apr-util,master,apache-2.0,,1,3,,,public,2018-05-01T08:02:03.082Z,2025-11-08T08:39:50.083Z,2026-07-05T16:56:39Z
salsa.debian.org/apparmor-team/apparmor/tree/debian/unstable,False,,,salsa.debian.org,,,,,,,,,,,,,,,,,,2026-07-05T16:56:39Z
salsa.debian.org/bluetooth-team/sbc,True,18066,gl/salsa.debian.org-18066,salsa.debian.org,Organization,group,bluetooth-team,sbc,bluetooth-team/sbc,,https://salsa.debian.org/bluetooth-team/sbc,debian/sid,gpl-2.0+,,0,1,,,public,2018-03-01T03:12:11.093Z,2025-04-13T05:26:45.030Z,2026-07-05T16:56:39Z
salsa.debian.org/clint/fakeroot,True,28340,gl/salsa.debian.org-28340,salsa.debian.org,User,user,clint,fakeroot,clint/fakeroot,fakeroot,https://salsa.debian.org/clint/fakeroot,main,gpl-3.0,,3,28,,,public,2018-06-25T16:34:45.730Z,2026-07-05T03:58:16.616Z,2026-07-05T16:56:39Z
salsa.debian.org/common-lisp-team/libsigsegv,True,9457,gl/salsa.debian.org-9457,salsa.debian.org,Organization,group,common-lisp-team,libsigsegv,common-lisp-team/libsigsegv,libsigsegv packaging,https://salsa.debian.org/common-lisp-team/libsigsegv,master,gpl-2.0+,,0,1,,,public,2018-02-04T19:31:28.302Z,2025-09-26T16:50:07.779Z,2026-07-05T16:56:39Z
salsa.debian.org/cpython-team/python3-defaults,True,27547,gl/salsa.debian.org-27547,salsa.debian.org,Organization,group,cpython-team,python3-defaults,cpython-team/python3-defaults,,https://salsa.debian.org/cpython-team/python3-defaults,master,,,1,16,,,public,2018-06-05T21:51:35.273Z,2026-06-27T13:28:52.961Z,2026-07-05T16:56:39Z
salsa.debian.org/debian-ayatana-team/libdbusmenu,True,26950,gl/salsa.debian.org-26950,salsa.debian.org,Organization,group,debian-ayatana-team,libdbusmenu,debian-ayatana-team/libdbusmenu,libdbusmenu Debian package,https://salsa.debian.org/debian-ayatana-team/libdbusmenu,master,gpl-3.0,,0,3,,,public,2018-05-30T09:08:07.694Z,2025-02-28T20:35:01.179Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/7zip,True,61356,gl/salsa.debian.org-61356,salsa.debian.org,Organization,group,debian,7zip,debian/7zip,https://www.7-zip.org/,https://salsa.debian.org/debian/7zip,master,,,2,7,,,public,2021-06-18T14:17:33.134Z,2026-07-04T08:46:36.332Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/aalib,True,33084,gl/salsa.debian.org-33084,salsa.debian.org,Organization,group,debian,aalib,debian/aalib,Debian packaging for aalib,https://salsa.debian.org/debian/aalib,master,lgpl-2.0,,0,3,,,public,2019-01-04T13:14:21.753Z,2024-01-25T15:06:42.588Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/anacron,True,31867,gl/salsa.debian.org-31867,salsa.debian.org,Organization,group,debian,anacron,debian/anacron,anacron Debian packaging,https://salsa.debian.org/debian/anacron,master,gpl-2.0+,,1,5,,,public,2018-11-11T14:49:29.154Z,2026-04-28T22:40:43.542Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/base-passwd,True,6541,gl/salsa.debian.org-6541,salsa.debian.org,Organization,group,debian,base-passwd,debian/base-passwd,Debian base system master password and group files,https://salsa.debian.org/debian/base-passwd,master,gpl-2.0+,,1,13,,,public,2018-01-22T11:13:37.215Z,2025-11-21T11:06:50.892Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/bzip2,True,9696,gl/salsa.debian.org-9696,salsa.debian.org,Organization,group,debian,bzip2,debian/bzip2,bzip2 packaging,https://salsa.debian.org/debian/bzip2,debian/master,bzip2-1.0.6,,0,3,,,public,2018-02-07T14:49:27.028Z,2025-09-13T02:45:56.319Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/ca-certificates,True,2995,gl/salsa.debian.org-2995,salsa.debian.org,Organization,group,debian,ca-certificates,debian/ca-certificates,ca-certificates packaging,https://salsa.debian.org/debian/ca-certificates,master,,,2,15,,,public,2018-01-06T13:02:15.956Z,2026-06-03T11:18:34.101Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/cmocka,True,30012,gl/salsa.debian.org-30012,salsa.debian.org,Organization,group,debian,cmocka,debian/cmocka,,https://salsa.debian.org/debian/cmocka,debian/latest,apache-2.0,,0,3,,,public,2018-08-31T00:33:16.755Z,2026-01-13T18:14:45.001Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/colord,True,30197,gl/salsa.debian.org-30197,salsa.debian.org,Organization,group,debian,colord,debian/colord,,https://salsa.debian.org/debian/colord,master,gpl-2.0+,,1,8,,,public,2018-09-07T08:12:48.423Z,2026-05-24T12:38:48.510Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/cron,True,32031,gl/salsa.debian.org-32031,salsa.debian.org,Organization,group,debian,cron,debian/cron,Debian cron package maintenance,https://salsa.debian.org/debian/cron,master,,,4,12,,,public,2018-11-19T02:01:57.127Z,2026-04-27T07:55:36.869Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/dbus-glib,True,6853,gl/salsa.debian.org-6853,salsa.debian.org,Organization,group,debian,dbus-glib,debian/dbus-glib,deprecated library for D-Bus IPC,https://salsa.debian.org/debian/dbus-glib,debian/latest,other,,0,1,,,public,2018-01-22T16:20:42.843Z,2025-10-26T00:24:10.104Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/debianutils,True,1328,gl/salsa.debian.org-1328,salsa.debian.org,Organization,group,debian,debianutils,debian/debianutils,"a number of small utilities which are used
 primarily by the installation scripts of Debian packages, although
 you may use them directly.",https://salsa.debian.org/debian/debianutils,master,,,4,17,,,public,2017-12-30T18:06:00.969Z,2025-07-30T19:36:56.714Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/djvulibre,True,19427,gl/salsa.debian.org-19427,salsa.debian.org,Organization,group,debian,djvulibre,debian/djvulibre,Repository imported from https://anonscm.debian.org/git/collab-maint/djvulibre.git/,https://salsa.debian.org/debian/djvulibre,debian,gpl-2.0+,,1,2,,,public,2018-03-28T10:35:27.875Z,2026-05-12T07:50:51.114Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/freetds,True,72460,gl/salsa.debian.org-72460,salsa.debian.org,Organization,group,debian,freetds,debian/freetds,Debian packaging for freetds,https://salsa.debian.org/debian/freetds,debian/latest,gpl-2.0+,,0,1,,,public,2022-08-18T16:41:28.213Z,2025-09-07T03:27:35.902Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/gdbm,True,32157,gl/salsa.debian.org-32157,salsa.debian.org,Organization,group,debian,gdbm,debian/gdbm,,https://salsa.debian.org/debian/gdbm,master,gpl-3.0,,0,1,,,public,2018-11-24T17:33:05.936Z,2025-08-23T15:11:43.473Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/giflib,True,12522,gl/salsa.debian.org-12522,salsa.debian.org,Organization,group,debian,giflib,debian/giflib,Packaging giflib for Debian,https://salsa.debian.org/debian/giflib,debian/latest,mit,,0,2,,,public,2018-02-11T13:56:21.755Z,2026-06-26T07:19:45.951Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/grep,True,9695,gl/salsa.debian.org-9695,salsa.debian.org,Organization,group,debian,grep,debian/grep,Give grep some Debian love,https://salsa.debian.org/debian/grep,debian/master,gpl-3.0+,,2,8,,,public,2018-02-07T14:40:13.232Z,2025-10-11T18:24:04.555Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/ifupdown,True,21383,gl/salsa.debian.org-21383,salsa.debian.org,Organization,group,debian,ifupdown,debian/ifupdown,Debian high-level network configuration tools.,https://salsa.debian.org/debian/ifupdown,master,gpl-2.0+,,0,21,,,public,2018-04-17T15:13:32.060Z,2026-06-19T00:33:55.970Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/keyutils,True,28814,gl/salsa.debian.org-28814,salsa.debian.org,Organization,group,debian,keyutils,debian/keyutils,Debian packaging for keyutils,https://salsa.debian.org/debian/keyutils,debian/master,lgpl-2.1,,1,0,,,public,2018-07-15T23:01:18.657Z,2025-04-13T10:25:54.165Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/libassuan/tree/debian/unstable,False,,,salsa.debian.org,,,,,,,,,,,,,,,,,,2026-07-05T16:56:39Z
salsa.debian.org/debian/libbs2b,True,68284,gl/salsa.debian.org-68284,salsa.debian.org,Organization,group,debian,libbs2b,debian/libbs2b,libbs2b packaging,https://salsa.debian.org/debian/libbs2b,master,mit,,0,2,,,public,2022-02-24T01:36:52.173Z,2026-03-31T12:21:50.541Z,2026-07-05T16:56:39Z
salsa.debian.org/debian/libcdio,True,48945,gl/salsa.debian.org-48945,salsa.debian.org,Organization,group,debian,libcdio,debian/libcdio,libcdio packaging,https://salsa.debian.org/debian/libcdio,master,gpl-3.0,,1,3,,,public,2020-06-02T09:43:02.688Z,2026-04-17T21:07:02.999Z,2026-07-05T16:56:40Z
salsa.debian.org/debian/libdv,True,33165,gl/salsa.debian.org-33165,salsa.debian.org,Organization,group,debian,libdv,debian/libdv,libdv packaging,https://salsa.debian.org/debian/libdv,master,lgpl-2.1,,0,1,,,public,2019-01-08T20:38:31.714Z,2026-01-18T21:11:57.930Z,2026-07-05T16:56:40Z
