project,valid,project_id,repo_id,host,owner_type,namespace_kind,namespace_path,name,path_with_namespace,description,homepage,default_branch,license,topics,stars,forks,open_issues,archived,visibility,created_at,last_activity_at,fetched_at
salsa.debian.org/utopia-team/dbus,True,9742,gl/salsa.debian.org-9742,salsa.debian.org,Organization,group,utopia-team,dbus,utopia-team/dbus,freedesktop.org system and session message bus,https://salsa.debian.org/utopia-team/dbus,debian/unstable,other,,0,9,,,public,2018-02-08T15:04:35.158Z,2026-05-23T16:59:11.509Z,2026-07-05T16:56:43Z
salsa.debian.org/utopia-team/libatasmart,True,8508,gl/salsa.debian.org-8508,salsa.debian.org,Organization,group,utopia-team,libatasmart,utopia-team/libatasmart,libatasmart packaging,https://salsa.debian.org/utopia-team/libatasmart,master,lgpl-2.1,,0,2,,,public,2018-01-29T23:21:00.139Z,2025-08-15T12:42:55.155Z,2026-07-05T16:56:43Z
salsa.debian.org/utopia-team/libdaemon,True,8526,gl/salsa.debian.org-8526,salsa.debian.org,Organization,group,utopia-team,libdaemon,utopia-team/libdaemon,libdaemon packaging,https://salsa.debian.org/utopia-team/libdaemon,debian/master,lgpl-2.1,,0,0,,,public,2018-01-29T23:24:21.301Z,2019-12-26T19:41:20.330Z,2026-07-05T16:56:43Z
salsa.debian.org/utopia-team/upower,True,8557,gl/salsa.debian.org-8557,salsa.debian.org,Organization,group,utopia-team,upower,utopia-team/upower,upower packaging,https://salsa.debian.org/utopia-team/upower,debian/latest,gpl-2.0+,,0,1,,,public,2018-01-29T23:35:01.876Z,2026-07-02T11:10:40.678Z,2026-07-05T16:56:43Z
salsa.debian.org/xfce-team/desktop/libxfce4ui,True,32902,gl/salsa.debian.org-32902,salsa.debian.org,Organization,group,xfce-team/desktop,libxfce4ui,xfce-team/desktop/libxfce4ui,Debian packaging for libxfce4ui,https://salsa.debian.org/xfce-team/desktop/libxfce4ui,debian/master,lgpl-2.0,,0,3,,,public,2018-12-27T09:49:04.032Z,2026-03-24T15:19:00.600Z,2026-07-05T16:56:43Z
salsa.debian.org/xfce-team/desktop/libxfce4util,True,28344,gl/salsa.debian.org-28344,salsa.debian.org,Organization,group,xfce-team/desktop,libxfce4util,xfce-team/desktop/libxfce4util,Debian packaging for libxfce4util,https://salsa.debian.org/xfce-team/desktop/libxfce4util,debian/master,lgpl-2.0,,0,2,,,public,2018-06-25T19:05:57.461Z,2026-03-24T14:19:23.337Z,2026-07-05T16:56:43Z
salsa.debian.org/xorg-team/app/x11-session-utils,True,4209,gl/salsa.debian.org-4209,salsa.debian.org,Organization,group,xorg-team/app,x11-session-utils,xorg-team/app/x11-session-utils,x11-session-utils packaging,https://salsa.debian.org/xorg-team/app/x11-session-utils,debian-unstable,,,0,0,,,public,2018-01-07T18:45:42.959Z,2023-11-14T14:01:06.376Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/app/x11-xkb-utils,True,4212,gl/salsa.debian.org-4212,salsa.debian.org,Organization,group,xorg-team/app,x11-xkb-utils,xorg-team/app/x11-xkb-utils,x11-xkb-utils packaging,https://salsa.debian.org/xorg-team/app/x11-xkb-utils,debian-unstable,,,0,3,,,public,2018-01-07T18:45:50.785Z,2024-08-21T18:28:02.132Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/app/x11-xserver-utils,True,4213,gl/salsa.debian.org-4213,salsa.debian.org,Organization,group,xorg-team/app,x11-xserver-utils,xorg-team/app/x11-xserver-utils,x11-xserver-utils packaging,https://salsa.debian.org/xorg-team/app/x11-xserver-utils,debian-unstable,,,0,1,,,public,2018-01-07T18:45:53.624Z,2025-01-16T08:09:17.868Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libfontenc,True,4297,gl/salsa.debian.org-4297,salsa.debian.org,Organization,group,xorg-team/lib,libfontenc,xorg-team/lib/libfontenc,libfontenc packaging,https://salsa.debian.org/xorg-team/lib/libfontenc,debian-unstable,mit,,1,1,,,public,2018-01-07T18:50:07.627Z,2024-03-12T10:58:12.049Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libice,True,4302,gl/salsa.debian.org-4302,salsa.debian.org,Organization,group,xorg-team/lib,libice,xorg-team/lib/libice,libice packaging,https://salsa.debian.org/xorg-team/lib/libice,debian-unstable,mit-open-group,,0,1,,,public,2018-01-07T18:50:19.460Z,2024-10-31T16:03:45.115Z,2026-07-05T16:56:44Z
salsa.debian.org/xorg-team/lib/libinput,True,4303,gl/salsa.debian.org-4303,salsa.debian.org,Organization,group,xorg-team/lib,libinput,xorg-team/lib/libinput,libinput packaging,https://salsa.debian.org/xorg-team/lib/libinput,debian-unstable,other,,0,5,,,public,2018-01-07T18:50:22.011Z,2026-06-04T07:28:32.577Z,2026-07-05T16:56:44Z
