repo,repo_id,year,metric,value,fetched_at
fontconfig/fontconfig,gl/freedesktop-890,2025,opened_issues,60,2026-07-06T19:01:15+00:00
glibc-team/glibc,gl/debian-11260,2021,closed_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2021,opened_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2022,closed_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2022,opened_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2023,closed_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2023,opened_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2024,closed_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2024,opened_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2025,closed_issues,0,2026-07-12T19:36:33+00:00
glibc-team/glibc,gl/debian-11260,2025,opened_issues,0,2026-07-12T19:36:33+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2021,closed_issues,27,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2021,opened_issues,35,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2022,closed_issues,15,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2022,opened_issues,20,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2023,closed_issues,6,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2023,opened_issues,12,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2024,closed_issues,6,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2024,opened_issues,13,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2025,closed_issues,53,2026-07-06T19:01:16+00:00
gnome/gdk-pixbuf,gl/gnome-1548,2025,opened_issues,48,2026-07-06T19:01:16+00:00
gnome/glib,gl/gnome-658,2021,closed_issues,338,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2021,opened_issues,290,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2022,closed_issues,320,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2022,opened_issues,290,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2023,closed_issues,326,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2023,opened_issues,339,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2024,closed_issues,312,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2024,opened_issues,360,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2025,closed_issues,247,2026-07-06T19:01:27+00:00
gnome/glib,gl/gnome-658,2025,opened_issues,283,2026-07-06T19:01:27+00:00
gnome/libxml2,gl/gnome-1665,2021,closed_issues,49,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2021,opened_issues,111,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2022,closed_issues,195,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2022,opened_issues,145,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2023,closed_issues,159,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2023,opened_issues,183,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2024,closed_issues,174,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2024,opened_issues,177,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2025,closed_issues,186,2026-07-06T19:01:32+00:00
gnome/libxml2,gl/gnome-1665,2025,opened_issues,191,2026-07-06T19:01:32+00:00
gnutls/gnutls,gl/179611,2021,closed_issues,103,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2021,opened_issues,127,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2022,closed_issues,95,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2022,opened_issues,116,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2023,closed_issues,48,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2023,opened_issues,70,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2024,closed_issues,50,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2024,opened_issues,96,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2025,closed_issues,57,2026-07-06T19:01:46+00:00
gnutls/gnutls,gl/179611,2025,opened_issues,104,2026-07-06T19:01:46+00:00
gnutls/libtasn1,gl/919981,2021,closed_issues,7,2026-07-06T19:01:47+00:00
