"package","dependency","type"
"cairo","gettext","runtime"
"cairo","glib","runtime"
"cairo","libpng","runtime"
"cairo","libx11","runtime"
"cairo","libxcb","runtime"
"cairo","libxext","runtime"
"cairo","libxrender","runtime"
"cairo","lzo","runtime"
"cairo","pixman","runtime"
"capstone","gettext","runtime"
"cargo-c","libgit2","runtime"
"cargo-c","libssh2","runtime"
"cargo-c","openssl@3","runtime"
"cask","coreutils","runtime"
"cask","emacs","runtime"
"cassandra","libev","runtime"
"cassandra","openjdk@17","runtime"
"cassandra","python@3.11","runtime"
"ccache","blake3","runtime"
"ccache","fmt","runtime"
"ccache","hiredis","runtime"
"ccache","openssl@3","runtime"
"ccache","xxhash","runtime"
"ccache","zstd","runtime"
"cdk8s","node","runtime"
"ceres-solver","eigen","runtime"
"ceres-solver","gflags","runtime"
"ceres-solver","glog","runtime"
"ceres-solver","metis","runtime"
"ceres-solver","openblas","runtime"
"ceres-solver","suite-sparse","runtime"
"ceres-solver","tbb","runtime"
"certbot","augeas","runtime"
"certbot","certifi","runtime"
"certbot","cryptography","runtime"
"certbot","libyaml","runtime"
"certbot","pydantic","runtime"
"certbot","python@3.14","runtime"
"certifi","ca-certificates","runtime"
"cffi","pycparser","runtime"
"cfn-lint","libyaml","runtime"
"cfn-lint","pydantic","runtime"
"cfn-lint","python@3.14","runtime"
"cfn-lint","rpds-py","runtime"
"cgal","boost","runtime"
"cgal","eigen","runtime"
"cgal","gmp","runtime"
"cgal","mpfr","runtime"
"cgns","gcc","runtime"
"cgns","hdf5","runtime"
"checkov","certifi","runtime"
"checkov","cffi","runtime"
"checkov","libyaml","runtime"
"checkov","numpy","runtime"
"checkov","pydantic","runtime"
"checkov","python@3.14","runtime"
"checkov","rpds-py","runtime"
"clamav","json-c","runtime"
"clamav","openssl@3","runtime"
"clamav","pcre2","runtime"
"clamav","yara","runtime"
"clojure","openjdk","runtime"
"clojure","rlwrap","runtime"
"cocoapods","ruby","runtime"
"colima","lima","runtime"
"commitizen","libyaml","runtime"
"commitizen","python@3.14","runtime"
"composer","php","runtime"
"conan","certifi","runtime"
"conan","libyaml","runtime"
"conan","python@3.14","runtime"
"cookiecutter","certifi","runtime"
"cookiecutter","libyaml","runtime"
"cookiecutter","python@3.14","runtime"
"coreutils","gmp","runtime"
"cppcheck","tinyxml2","runtime"
"cppzmq","zeromq","runtime"
"cryptography","cffi","runtime"
"cryptography","openssl@3","runtime"
"crystal","bdw-gc","runtime"
"crystal","gmp","runtime"
"crystal","libyaml","runtime"
"crystal","llvm","runtime"
"crystal","openssl@3","runtime"
"crystal","pcre2","runtime"
"crystal","pkgconf","runtime"
"cups","openssl@3","runtime"
"curl","brotli","runtime"
"curl","libnghttp2","runtime"
"curl","libnghttp3","runtime"
"curl","libngtcp2","runtime"
"curl","libpsl","runtime"
"curl","libssh2","runtime"
"curl","openssl@3","runtime"
"curl","zstd","runtime"
"cyrus-sasl","krb5","runtime"
"cyrus-sasl","openssl@3","runtime"
"cython","python@3.14","runtime"
"deno","little-cms2","runtime"
"deno","sqlite","runtime"
"dependency-check","openjdk","runtime"
"dfu-util","libusb","runtime"
"direnv","bash","runtime"
"docbook-xsl","docbook","runtime"
"docutils","python@3.14","runtime"
"dotnet","brotli","runtime"
"dotnet","icu4c@78","runtime"
"dotnet","openssl@3","runtime"
"dotnet@8","icu4c@78","runtime"
"dotnet@8","openssl@3","runtime"
"doxygen","fmt","runtime"
"doxygen","spdlog","runtime"
"dpkg","gettext","runtime"
"dpkg","gnu-tar","runtime"
"dpkg","gpatch","runtime"
"dpkg","libmd","runtime"
"dpkg","perl","runtime"
"dpkg","xz","runtime"
"dtc","libyaml","runtime"
"dvc","apache-arrow","runtime"
"dvc","certifi","runtime"
"dvc","cryptography","runtime"
"dvc","libyaml","runtime"
"dvc","numpy","runtime"
"dvc","pydantic","runtime"
"dvc","pygit2","runtime"
"dvc","python@3.14","runtime"
"edencommon","boost","runtime"
"edencommon","fb303","runtime"
"edencommon","fmt","runtime"
"edencommon","folly","runtime"
"elfutils","bzip2","runtime"
"elfutils","xz","runtime"
"elfutils","zlib-ng-compat","runtime"
"elfutils","zstd","runtime"
"elixir","erlang","runtime"
"emacs","gmp","runtime"
"emacs","gnutls","runtime"
"emacs","tree-sitter@0.25","runtime"
"emscripten","node","runtime"
"emscripten","openjdk","runtime"
"emscripten","python@3.14","runtime"
"emscripten","yuicompressor","runtime"
"enchant","aspell","runtime"
"enchant","gettext","runtime"
"enchant","glib","runtime"
"epsilon","popt","runtime"
"erlang","openssl@3","runtime"
"erlang","unixodbc","runtime"
"erlang","wxwidgets@3.2","runtime"
"eslint","node","runtime"
"expect","tcl-tk@8","runtime"
"eza","libgit2","runtime"
"fastfetch","yyjson","runtime"
"fastlane","ruby","runtime"
"fastlane","terminal-notifier","runtime"
"faudio","sdl3","runtime"
"fb303","fbthrift","runtime"
"fb303","fmt","runtime"
"fb303","folly","runtime"
"fb303","gflags","runtime"
"fb303","glog","runtime"
"fbthrift","double-conversion","runtime"
"fbthrift","fizz","runtime"
"fbthrift","fmt","runtime"
