"package","github_repo","git","eco_guess","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","license"
"python@3.10","","","","c/c++","1879644","0","5377075","825213","766344","549945","True","True","False","0.00436250","A","python-2.0"
"git","","https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.55.0.tar.xz","","c/c++","1832306","0","3237461","801310","1676551","1613902","True","True","False","0.00420876","A","gpl-2.0-only and gpl-2.0-or-later and lgpl-2.1-or-later and bsd-3-clause and mit"
"awscli","aws/aws-cli","https://github.com/aws/aws-cli.git","","c/c++","1751886","0","2312196","733314","1857487","2104550","True","True","False","0.00402404","A","apache-2.0"
"aom","","https://aomedia.googlesource.com/aom.git","","c/c++","1485175","0","2836709","539345","1426260","1138387","True","True","False","0.00401880","A","bsd-2-clause"
"brotli","google/brotli","https://github.com/google/brotli.git","","c/c++","1156315","0","2082845","465859","967575","1108984","True","True","True","0.00401249","A","mit"
"libogg","","","","c/c++","281060","0","539388","87789","201467","295596","True","True","False","0.00400957","A","bsd-3-clause"
"pkgconf","pkgconf/pkgconf","https://github.com/pkgconf/pkgconf.git","","c/c++","612084","0","985","807","452193","1994354","True","True","False","0.00397424","A","isc"
"ncurses","","","","c/c++","964676","0","1321218","373546","965738","1198202","True","True","False","0.00397325","A","x11-distribute-modifications-variant"
"krb5","","","","c/c++","1056264","0","1889031","617691","913225","805112","True","True","False","0.00382124","A","bsd-2-clause and bsd-2-clause-first-lines and bsd-3-clause and bsd-4-clause and brian-gladman-2-clause and cmu-mach-nodoc and fsfullrwd and hpnd and hpnd-export2-us and hpnd-export-us and hpnd-export-us-acknowledgement and hpnd-export-us-modify and isc and mit and mit-cmu and oldap-2.8 and openvision and (bsd-2-clause or gpl-2.0-or-later)"
"libyaml","yaml/libyaml","https://github.com/yaml/libyaml.git","","c/c++","534774","0","902723","356787","427516","452073","True","True","True","0.00378203","A","mit"
"unbound","","","","c/c++","1640424","0","3188288","591969","1594030","1187409","True","True","False","0.00376801","A","bsd-3-clause"
"jpeg-xl","libjxl/libjxl","https://github.com/libjxl/libjxl.git","","c/c++","1621571","0","2723239","726189","1688932","1347926","True","True","True","0.00376727","A","bsd-3-clause"
"gdbm","","","","c/c++","968923","0","2610600","191758","552646","520690","True","True","False","0.00375968","A","gpl-3.0-or-later"
"libevent","libevent/libevent","https://github.com/libevent/libevent.git","","c/c++","850595","0","1493998","465102","768326","674956","True","True","True","0.00375547","A","bsd-3-clause"
"gcc","","","","c/c++","1109102","0","1129140","631285","1587961","1088022","True","True","False","0.00374128","A","gpl-3.0-or-later with gcc-exception-3.1"
"icu4c@77","unicode-org/icu","https://github.com/unicode-org/icu.git","","c/c++","1587966","0","0","0","0","1587966","True","True","True","0.00369094","A","unicode-3.0"
"imath","AcademySoftwareFoundation/Imath","https://github.com/academysoftwarefoundation/imath.git","","c/c++","1008002","0","2215311","400554","798337","617807","True","True","False","0.00362213","A","bsd-3-clause"
"c-ares","c-ares/c-ares","https://github.com/c-ares/c-ares.git","","c/c++","1237988","0","1950818","480268","1555096","965772","True","True","True","0.00356583","A","mit"
"autoconf","","","","c/c++","707705","0","1420819","194673","792412","422916","True","True","False","0.00355712","A","gpl-3.0-or-later and (gpl-3.0-or-later with autoconf-exception-3.0)"
