"package","github","gitlab","bitbucket","sourcehut","codeberg","custom","eco_guess"
"certifi","https://github.com/certifi/python-certifi.git","","","","","",""
"cffi","","","","","","",""
"cfitsio","","","","","","",""
"cfn-lint","https://github.com/aws-cloudformation/cfn-lint.git","","","","","",""
"cgal","https://github.com/cgal/cgal.git","","","","","",""
"cgif","https://github.com/dloebl/cgif.git","","","","","",""
"cgns","https://github.com/cgns/cgns.git","","","","","",""
"checkov","","","","","","",""
"chezmoi","https://github.com/twpayne/chezmoi.git","","","","","",""
"chibi-scheme","https://github.com/ashinn/chibi-scheme.git","","","","","",""
"chruby","https://github.com/postmodern/chruby.git","","","","","",""
"circleci","https://github.com/circleci-public/circleci-cli.git","","","","","",""
"cjson","https://github.com/davegamble/cjson.git","","","","","",""
"clamav","https://github.com/cisco-talos/clamav.git","","","","","",""
"clang-format","https://github.com/llvm/llvm-project.git","","","","","",""
"cliclick","https://github.com/bluem/cliclick.git","","","","","",""
"clisp","","","","","","",""
"cloc","https://github.com/aldanial/cloc.git","","","","","",""
"clojure","https://github.com/clojure/brew-install.git","","","","","",""
"cloudflared","https://github.com/cloudflare/cloudflared.git","","","","","",""
"cmake","https://github.com/kitware/cmake.git","","","","","",""
"cmake-docs","https://github.com/kitware/cmake.git","","","","","",""
"cmatrix","https://github.com/abishekvashok/cmatrix.git","","","","","",""
"cmocka","","","","","","",""
"cocoapods","https://github.com/cocoapods/cocoapods.git","","","","","",""
"colima","https://github.com/abiosoft/colima.git","","","","","",""
"commitizen","","","","","","",""
"composer","","","","","","",""
"conan","","","","","","",""
"conftest","https://github.com/open-policy-agent/conftest.git","","","","","",""
"confuse","https://github.com/libconfuse/libconfuse.git","","","","","",""
"cookiecutter","https://github.com/cookiecutter/cookiecutter.git","","","","","",""
"coreutils","","","","","","",""
"cosign","https://github.com/sigstore/cosign.git","","","","","",""
"cowsay","https://github.com/cowsay-org/cowsay.git","","","","","",""
"cpio","","","","","","",""
"cppcheck","https://github.com/cppcheck-opensource/cppcheck.git","","","","","",""
"cppzmq","https://github.com/zeromq/cppzmq.git","","","","","",""
"cpu_features","https://github.com/google/cpu_features.git","","","","","",""
"cryptography","","","","","","",""
"crystal","https://github.com/crystal-lang/crystal.git","","","","","",""
"cscope","","","","","","",""
"cunit","","","","","","",""
"cups","https://github.com/openprinting/cups.git","","","","","",""
"curl","","","","","","",""
"cyrus-sasl","https://github.com/cyrusimap/cyrus-sasl.git","","","","","",""
"cython","","","","","","",""
"d2","https://github.com/terrastruct/d2.git","","","","","",""
"daemontools","","","","","","",""
"dav1d","","https://code.videolan.org/videolan/dav1d.git","","","","",""
"dbmate","https://github.com/amacneil/dbmate.git","","","","","",""
"dbus","","","","","","",""
"deno","https://github.com/denoland/deno.git","","","","","",""
"dependency-check","https://github.com/dependency-check/dependencycheck.git","","","","","",""
"dfu-util","","","","","","",""
"dialog","","","","","","",""
"difftastic","https://github.com/wilfred/difftastic.git","","","","","",""
"diffutils","","","","","","",""
"direnv","https://github.com/direnv/direnv.git","","","","","",""
"dive","https://github.com/wagoodman/dive.git","","","","","",""
"dnsmasq","","","","","","",""
"docbook","","","","","https://codeberg.org/docbook/docbook.git","",""
"docbook-xsl","https://github.com/docbook/xslt10-stylesheets.git","","","","","",""
"docker","https://github.com/docker/cli.git","","","","","",""
"docker-buildx","https://github.com/docker/buildx.git","","","","","",""
"docker-completion","https://github.com/docker/cli.git","","","","","",""
"docker-compose","https://github.com/docker/compose.git","","","","","",""
