"package","github_repo"
"grafana","grafana/grafana"
"graphene","ebassi/graphene"
"graphite2","silnrsi/graphite"
"groonga","groonga/groonga"
"grpc","grpc/grpc"
"grpcurl","fullstorydev/grpcurl"
"grype","anchore/grype"
"gum","charmbracelet/gum"
"hadolint","hadolint/hadolint"
"handbrake","HandBrake/HandBrake"
"harfbuzz","harfbuzz/harfbuzz"
"hdf5","HDFGroup/hdf5"
"hdrhistogram_c","HdrHistogram/HdrHistogram_c"
"helix","helix-editor/helix"
"helm","helm/helm"
"helmfile","helmfile/helmfile"
"hidapi","libusb/hidapi"
"highway","google/highway"
"hiredis","redis/hiredis"
"htop","htop-dev/htop"
"httpie","httpie/cli"
"hub","mislav/hub"
"hugo","gohugoio/hugo"
"hunspell","hunspell/hunspell"
"hyperkit","moby/hyperkit"
"icu4c@75","unicode-org/icu"
"icu4c@76","unicode-org/icu"
"icu4c@77","unicode-org/icu"
"icu4c@78","unicode-org/icu"
"ideviceinstaller","libimobiledevice/ideviceinstaller"
"imath","AcademySoftwareFoundation/Imath"
"ios-deploy","ios-control/ios-deploy"
"iperf3","esnet/iperf"
"iproute2mac","brona/iproute2mac"
"istioctl","istio/istio"
"jadx","skylot/jadx"
"jansson","akheron/jansson"
"jasper","jasper-software/jasper"
"jbig2dec","ArtifexSoftware/jbig2dec"
"jbig2enc","agl/jbig2enc"
"jemalloc","jemalloc/jemalloc"
"jenv","jenv/jenv"
"jfrog-cli","jfrog/jfrog-cli"
"jo","jpmens/jo"
"jpeg-turbo","libjpeg-turbo/libjpeg-turbo"
"jpeg-xl","libjxl/libjxl"
"jq","jqlang/jq"
"json-c","json-c/json-c"
"jsoncpp","open-source-parsers/jsoncpp"
"julia","JuliaLang/julia"
"just","casey/just"
"k3d","k3d-io/k3d"
"k6","grafana/k6"
"k9s","derailed/k9s"
"kcov","SimonKagstrom/kcov"
"keyring","jaraco/keyring"
"kind","kubernetes-sigs/kind"
"kotlin","JetBrains/kotlin"
"ktlint","pinterest/ktlint"
"kubeconform","yannh/kubeconform"
"kubectx","ahmetb/kubectx"
"kubernetes-cli","kubernetes/kubernetes"
"kubeseal","bitnami-labs/sealed-secrets"
"kustomize","kubernetes-sigs/kustomize"
"lazydocker","jesseduffield/lazydocker"
"lazygit","jesseduffield/lazygit"
"lcov","linux-test-project/lcov"
"leptonica","DanBloomberg/leptonica"
"libass","libass/libass"
"libavif","AOMediaCodec/libavif"
"libb2","BLAKE2/libb2"
"libblastrampoline","JuliaLinearAlgebra/libblastrampoline"
"libcbor","PJK/libcbor"
"libclc","llvm/llvm-project"
"libdatrie","tlwg/libdatrie"
"libde265","strukturag/libde265"
"libdeflate","ebiggers/libdeflate"
"libdicom","ImagingDataCommons/libdicom"
"libepoxy","anholt/libepoxy"
"libevent","libevent/libevent"
"libexif","libexif/libexif"
"libffi","libffi/libffi"
"libfido2","Yubico/libfido2"
"libfyaml","pantoniou/libfyaml"
"libgeotiff","OSGeo/libgeotiff"
"libgit2","libgit2/libgit2"
"libgit2@1.7","libgit2/libgit2"
"libgit2@1.8","libgit2/libgit2"
"libharu","libharu/libharu"
"libheif","strukturag/libheif"
"libimagequant","ImageOptim/libimagequant"
"libimobiledevice","libimobiledevice/libimobiledevice"
"libimobiledevice-glue","libimobiledevice/libimobiledevice-glue"
"libiscsi","sahlberg/libiscsi"
"libkml","libkml/libkml"
"liblerc","Esri/lerc"
"liblqr","carlobaldassi/liblqr"
"libmaxminddb","maxmind/libmaxminddb"
"libnet","libnet/libnet"
"libnghttp2","nghttp2/nghttp2"
"libnghttp3","ngtcp2/nghttp3"
"libngtcp2","ngtcp2/ngtcp2"
"libnsl","thkukuk/libnsl"
"libomp","llvm/llvm-project"
"libpaper","rrthomas/libpaper"
"libplist","libimobiledevice/libplist"
"libproxy","libproxy/libproxy"
"libpsl","rockdaboot/libpsl"
"libraqm","HOST-Oman/libraqm"
"librdkafka","confluentinc/librdkafka"
"libsamplerate","libsndfile/libsamplerate"
"libscrypt","technion/libscrypt"
"libsndfile","libsndfile/libsndfile"
"libspiro","fontforge/libspiro"
"libspng","randy408/libspng"
"libtatsu","libimobiledevice/libtatsu"
"libtommath","libtom/libtommath"
"libultrahdr","google/libultrahdr"
"libunibreak","adah1972/libunibreak"
"libuninameslist","fontforge/libuninameslist"
"libunwind","libunwind/libunwind"
"libusb","libusb/libusb"
"libusbmuxd","libimobiledevice/libusbmuxd"
"libusrsctp","sctplab/usrsctp"
"libvidstab","georgmartius/vid"
"libvmaf","Netflix/vmaf"
"libvpx","webmproject/libvpx"
"libwebsockets","warmcat/libwebsockets"
"libxcrypt","besser82/libxcrypt"
"libxkbcommon","xkbcommon/libxkbcommon"
"libxmlb","hughsie/libxmlb"
"libxmlsec1","lsh123/xmlsec"
"libyaml","yaml/libyaml"
"libzen","MediaArea/ZenLib"
"lima","lima-vm/lima"
"linux-pam","linux-pam/linux-pam"
"litehtml","litehtml/litehtml"
"llama.cpp","ggml-org/llama"
"lld","llvm/llvm-project"
"lld@21","llvm/llvm-project"
"llhttp","nodejs/llhttp"
"llvm","llvm/llvm-project"
"llvm@16","llvm/llvm-project"
"llvm@18","llvm/llvm-project"
"llvm@19","llvm/llvm-project"
"llvm@20","llvm/llvm-project"
