"package","avg_downloads","2021","2022","2023","2024","2025"
"libyaml","534774","0","902723","356787","427516","452073"
"docker","532299","0","707814","239614","518365","663406"
"ghostscript","530114","0","896806","302235","525572","395846"
"libass","523758","0","1016533","168937","545196","364369"
"gobject-introspection","522107","0","1231511","246608","347438","262874"
"rubberband","521210","0","1233867","245444","302391","303140"
"libxml2","520962","0","745566","250964","577854","509466"
"jq","517103","0","608777","250050","568956","640630"
"dav1d","516721","0","855686","211908","539140","460153"
"libusb","512095","0","1001176","130089","447295","469822"
"tcl-tk","504348","0","960431","357311","427978","271672"
"x265","495571","0","647376","121813","655584","557512"
"libsndfile","494974","0","1131947","198779","262207","386964"
"mpg123","492407","0","550470","198574","647967","572619"
"flac","490471","0","1151948","183732","255828","370377"
"nvm","481434","0","827523","235816","421318","441082"
"python-setuptools","476082","0","0","0","590666","361498"
"folly","474026","0","927316","243649","432781","292358"
"python@3.14","465925","0","0","0","0","465925"
"srt","464860","0","1012893","204712","305709","336128"
"netpbm","457559","0","875415","239127","359471","356225"
"fizz","455848","0","897633","224615","413239","287906"
"helm","454806","0","628822","200068","479448","510887"
"rav1e","453835","0","932588","248632","294625","339496"
"fbthrift","453755","0","899984","235122","392440","287476"
"libbluray","452628","0","1205830","111223","189370","304091"
"fb303","452539","0","893797","233536","401924","280902"
"abseil","448307","0","95745","190364","667698","839422"
"wangle","440946","0","896583","220266","389071","257867"
"uv","440547","0","0","0","127657","753437"
"numpy","440092","0","589182","144545","623393","403250"
"libmpc","435028","0","705552","291897","437753","304911"
"redis","430610","0","851365","222409","284950","363717"
"qemu","428950","0","641065","267620","444755","362362"
"libfido2","428495","0","996262","184873","352371","180475"
"expat","425033","0","169570","132111","400007","998444"
"six","420464","0","1314388","209478","110772","47218"
"libvpx","418166","0","837238","128883","299486","407060"
"libssh","405225","0","528589","131743","540928","419642"
"libksba","402629","0","832902","146345","403227","228045"
"svt-av1","402269","0","239974","240854","557142","571106"
"rust","402215","0","442445","230268","470018","466131"
"pcre","401587","0","1143711","133872","205244","123522"
"neovim","399934","0","472320","165103","412890","549426"
"frei0r","398792","0","650875","174881","391344","378069"
"cocoapods","396699","0","563789","193327","437433","392248"
"python-packaging","393852","0","0","20982","774324","386251"
"fzf","388538","0","437744","121269","456519","538623"
