"package","avg_downloads","avg_downloads_share","2021","2022","2023","2024","2025"
"execa","3549894962","0.00130183","2248771579","2954827652","3564430856","4141912607","4839532116"
"cross-spawn","3548636608","0.00130137","2520901639","3016891310","3362794282","3682747480","5159848333"
"pify","3526061017","0.00129309","2880184529","3300325397","3582334774","3571197989","4296262399"
"eslint-visitor-keys","3489107832","0.00127954","1450303495","2655132600","3367746650","3778773907","6193582509"
"argparse","3485207914","0.00127811","1299544459","2341474795","3433116715","4323093711","6028809890"
"define-property","3472260169","0.00127336","2914959438","3959999227","3845174554","3347161381","3294006249"
"path-key","3449793390","0.00126512","1837594866","2581621394","3334968576","4022662249","5472119865"
"pretty-format","3389865099","0.00124314","1294356384","2247312644","3507009920","4249056279","5651590270"
"is-stream","3372840331","0.00123690","1850347121","2578321486","3291384770","4010124925","5134023353"
"iconv-lite","3359139231","0.00123187","1784037010","2504737749","3142654454","3796630329","5567636613"
"form-data","3345244273","0.00122678","1911605901","2671753306","3403389351","3787329440","4952143368"
"extend-shallow","3325830706","0.00121966","2478288475","3805190482","3809073239","3267761242","3268840094"
"braces","3294142055","0.00120804","2214056256","2991201042","3270111403","3454128878","4541212700"
"fill-range","3276925440","0.00120172","2156101940","2997242417","3278214868","3443294706","4509773273"
"micromatch","3267364191","0.00119822","2181270719","3089776722","3228705040","3383562300","4453506177"
"webidl-conversions","3230392481","0.00118466","1376116609","2834059632","3345704311","3716997798","4879084055"
"slash","3195581553","0.00117189","1621845710","2466397510","3299104218","3800178404","4790381926"
"signal-exit","3190643836","0.00117008","1265268178","1822980064","2422630372","4069673801","6372666767"
"universalify","3171654366","0.00116312","1643135792","2431807354","3265077296","3862666567","4655584821"
"make-dir","3165793093","0.00116097","2165420035","2602168045","3035607807","3568494983","4457274599"
"@babel/types","3144196272","0.00115305","2086196296","3073122068","2873817679","3146295833","4541549486"
"@jest/types","3114244518","0.00114207","1463441975","2643096644","3678143520","3554819621","4231720833"
"@babel/code-frame","3085584582","0.00113156","2180458906","2795234412","2903830619","3223505896","4324893077"
"is-glob","3063610751","0.00112350","2174551227","2941004918","3048078256","3083835550","4070583806"
"to-regex-range","3034680347","0.00111289","1994539136","2820075828","3138060686","3134149410","4086576678"
"whatwg-url","3009995770","0.00110384","1184676444","2502171482","3096653378","3521377077","4745100472"
"ignore","2996359828","0.00109883","1817463090","2517563581","2711923918","3017690382","4917158173"
"shebang-command","2978338713","0.00109223","1776356143","2462410799","2933702737","3264218320","4455005567"
"shebang-regex","2974870210","0.00109095","1779800234","2465304587","2936456823","3266106674","4426682735"
"y18n","2948564213","0.00108131","1832236382","2580571957","2950869701","3179730150","4199412877"
"mime","2944965524","0.00107999","2085550122","2577583019","2901676195","3182909795","3977108493"
"globby","2936557852","0.00107690","2095258248","2744408166","3026055046","3205441040","3611626763"
"eslint-scope","2933967055","0.00107595","1417845969","2230891029","2961319844","3416311119","4643467314"
"parse-json","2901433517","0.00106402","2227303741","2567772199","2830592366","2956261166","3925238113"
"mime-db","2882321734","0.00105701","1938792893","2342174353","2492829187","2821216685","4816595553"
"picomatch","2852247377","0.00104599","1199237679","1781401938","2039711732","2795656807","6445228732"
"pkg-dir","2846876227","0.00104402","2290000860","2611881778","2854469850","2997884357","3480144290"
"strip-bom","2840518038","0.00104168","1714503206","2303941388","2827336252","3144943441","4211865905"
"minimist","2824223807","0.00103571","2018914633","2483649583","2815059365","2893588634","3909906824"
"tr46","2811903826","0.00103119","962844676","2271967967","2877948621","3359728287","4587029580"
"jsesc","2786158204","0.00102175","1685882388","2236582295","2634492770","3029760367","4344073200"
"buffer","2785211646","0.00102140","1641197624","2194045309","2676583774","3214492534","4199738993"
"normalize-path","2761855530","0.00101284","1963887785","2503845826","2753961377","2848681963","3738900701"
"http-errors","2754102727","0.00100999","2121308037","2613338768","2715665364","2745074926","3575126543"
"@types/yargs","2752744552","0.00100950","1268133313","2352682002","3305884546","3239791982","3597230921"
"onetime","2745353456","0.00100678","1542684735","1991505454","2509353517","3252210413","4431013161"
"@babel/parser","2744636447","0.00100652","1754228152","2310508618","2645439630","2866476487","4146529352"
"path-type","2738173506","0.00100415","2137328262","2414489242","2659508756","2878337170","3601204103"
"npm-run-path","2728239717","0.00100051","1543833176","2114064850","2693591841","3250646371","4039062348"
"@jridgewell/trace-mapping","2722092374","0.00099825","0","978858094","2246124035","3088375892","4575011477"
"mime-types","2718082982","0.00099678","1792872356","2259315938","2449243660","2673174363","4415808597"
"graceful-fs","2715231885","0.00099574","1817595443","2322494193","2637958248","2913359444","3884752098"
"convert-source-map","2690911086","0.00098682","1316825891","1711022879","2509480414","3356748175","4560478073"
"async","2674037462","0.00098063","2082605623","2542775274","2635315240","2765578572","3343912604"
"mimic-fn","2670905517","0.00097948","1521808207","2057033436","2612565645","3221461719","3941658581"
"lodash","2654403345","0.00097343","2141561232","2327423566","2491212302","2672507857","3639311768"
"strip-json-comments","2641283925","0.00096862","1512349744","2116387699","2453463193","2869317347","4254901646"
"doctrine","2625224961","0.00096273","1574804939","2083275057","2614321783","3082384564","3771338465"
"jsonfile","2623360949","0.00096205","1634805381","2315460939","2697260846","2892793378","3576484202"
"chokidar","2618495304","0.00096026","1862948848","2238968433","2299414511","2549102083","4142042647"
"agent-base","2615063835","0.00095900","1200023815","1631739498","2172240785","3253148233","4818166848"
"anymatch","2584028455","0.00094762","1935992244","2359480018","2603834486","2641675763","3379159767"
"@babel/generator","2575411352","0.00094446","1570900275","2223044140","2471506171","2760324799","3851281379"
"is-extendable","2573743693","0.00094385","1980305921","2782940886","2934322268","2603211704","2567937687"
"@babel/helper-validator-identifier","2561177505","0.00093924","1537160819","2169773348","2401243778","2731315822","3966393759"
"balanced-match","2552334078","0.00093600","1465171399","2101460577","2422727104","2803233075","3969078235"
"cosmiconfig","2515650390","0.00092255","1499758636","1983668440","2508705658","2891900611","3694218608"
"https-proxy-agent","2515466253","0.00092248","1045689098","1602040191","2176134865","3178855994","4574611120"
"jest-worker","2486390970","0.00091182","1281902990","2037019462","2718051702","2867338301","3527642397"
"@babel/runtime","2482444876","0.00091037","1615466400","2129980106","2545206721","2688822559","3432748597"
"bytes","2480322424","0.00090959","1594480161","2389060605","2712759939","2717590005","2987721413"
"picocolors","2479845700","0.00090942","237630812","2163002377","2578246036","3050141849","4370207428"
"statuses","2474166980","0.00090733","1170930484","1921821655","2528066114","2781170912","3968845738"
"regenerator-runtime","2460468847","0.00090231","1703704498","2041991533","2482856140","2977858722","3095933342"
"entities","2456254706","0.00090077","1260249104","1666665079","2355752896","2772116106","4226490346"
"path-to-regexp","2451457546","0.00089901","1376674492","1931371439","2354629179","2676043998","3918568624"
"typescript","2428496667","0.00089059","1056713957","1653105599","2102720029","2859919375","4470024378"
"readdirp","2425394044","0.00088945","1714010414","2071621609","2176597640","2294749587","3869990971"
"is-arrayish","2421010862","0.00088784","1523088892","1965146759","2317616662","2622308721","3676893277"
"postcss-value-parser","2420239645","0.00088756","2544358822","2642188169","2341391655","2061660998","2511598581"
"@babel/core","2419154811","0.00088716","1493102522","2106682047","2399962686","2602877257","3493149543"
"get-proto","2416975787","0.00088636","0","0","0","0","2416975787"
"loader-utils","2416453196","0.00088617","1798019507","2649270499","2732126978","2362028432","2540820568"
"isobject","2409528004","0.00088363","2018066666","2711004016","2496058909","2291142391","2531368038"
"@babel/traverse","2406651455","0.00088258","1544189651","2054472631","2321077995","2463602016","3649914984"
"browserslist","2396165212","0.00087873","1596921742","2041438614","2174334478","2535918830","3632212398"
"p-try","2387159154","0.00087543","1855888259","2426535180","2345592738","2329577865","2978201731"
"cookie","2384189079","0.00087434","1296260072","1841880902","2332585707","2611410631","3838808085"
"jest-util","2378636349","0.00087230","896616602","1824392313","2939762218","2805952625","3426457988"
"fast-deep-equal","2377779603","0.00087199","1639882604","1999217882","2206560480","2473545218","3569691831"
"depd","2372846837","0.00087018","1268890955","2023301467","2547935267","2633424235","3390682265"
"isexe","2370153440","0.00086919","1061983753","1565269225","1977919103","2786864604","4458730519"
"source-map-support","2359483558","0.00086528","1350722923","1958501147","2302901335","2631515177","3553777210"
"node-fetch","2348261383","0.00086116","1170904706","1832248478","2373346425","2733113490","3631693816"
"@babel/helper-plugin-utils","2335528923","0.00085649","1504224577","2272691623","2394127277","2358417529","3148183613"
"@babel/template","2320849551","0.00085111","1415747586","1899448708","2238230917","2575836687","3474983861"
"has-symbols","2308376272","0.00084654","1277073152","1837591416","2171716374","2389200983","3866299435"
"js-tokens","2305400030","0.00084544","1416632495","1791946155","2104117091","2454371059","3759933350"
"once","2300092406","0.00084350","1385018352","1875337006","2250800432","2545998910","3443307331"
"setprototypeof","2295278530","0.00084173","1654756059","2147907391","2305312207","2368958590","2999458404"
"function-bind","2293277136","0.00084100","1164203647","1587780586","2054423622","2688056798","3971921030"
"is-descriptor","2291878835","0.00084049","1989480780","2517870631","2461831928","2255707832","2234503004"
"ansi-escapes","2286350448","0.00083846","1467291153","1828318984","2056990166","2492232524","3586919415"
"is-extglob","2279020241","0.00083577","1335413150","1908823866","2182570298","2477888864","3490405030"
"get-intrinsic","2277469716","0.00083520","934572342","1547454136","2212933954","2652442062","4039946089"
"human-signals","2262481914","0.00082970","798217418","1522796460","2293131780","3020462198","3677801716"
"ci-info","2259760545","0.00082871","1136491175","1880842688","2263656523","2453033355","3564778987"
"@jridgewell/gen-mapping","2250275658","0.00082523","0","991471453","2246122397","2342021254","3421487531"
"object-inspect","2245247736","0.00082338","1230126415","1795545694","2158512508","2520307456","3521746609"
"wrappy","2241553705","0.00082203","1332912554","1825893323","2190739931","2480405333","3377817386"
"es-define-property","2234001437","0.00081926","0","0","0","1299791092","3168211782"
"optionator","2233312697","0.00081901","1333336134","1977913497","2331847040","2371374686","3152092128"
"is-core-module","2227464871","0.00081686","1013527246","1732754800","2256022710","2586024060","3548995540"
"core-util-is","2224880017","0.00081592","1428402049","2037336826","2305571061","2405257638","2947832515"
"fast-glob","2222932790","0.00081520","1078420421","1757946040","2164293323","2469391489","3644612677"
"hosted-git-info","2210433382","0.00081062","1384587059","1795534873","2239518819","2511858473","3120667686"
"sprintf-js","2210309873","0.00081057","1243267796","1631258930","1977061920","2637449084","3562511639"
"electron-to-chromium","2207112993","0.00080940","1259403505","1776388914","2023104347","2434107727","3542560476"
"type-check","2203640524","0.00080813","1304997888","1990679843","2322579746","2311339650","3088605493"
"caniuse-lite","2201962795","0.00080751","1235361295","1743271445","2023651706","2435652458","3571877072"
"concat-map","2201332805","0.00080728","1204483355","1852319704","2182742019","2427596246","3339522701"
"prelude-ls","2192072693","0.00080388","1282501142","1969224351","2307136938","2306991997","3094509039"
"levn","2190405226","0.00080327","1286392064","1971471757","2308910856","2305535160","3079716295"
"call-bound","2181729364","0.00080009","0","0","0","0","2181729364"
"ini","2172216169","0.00079660","1345901318","1785639977","2003575116","2381348621","3344615816"
"callsites","2163659095","0.00079346","1461245619","1760207221","2041474881","2273600346","3281767411"
"rxjs","2159692155","0.00079201","1314298122","1992850061","2303319488","2200231054","2987762051"
"tough-cookie","2154612337","0.00079015","1976476615","2048735347","2045146888","1979498822","2723204016"
"write-file-atomic","2151343941","0.00078895","1196479497","1651408024","2181759771","2525872619","3201199795"
"es-errors","2148077856","0.00078775","0","0","0","1334179349","2961976363"
"axios","2144677290","0.00078650","972241269","1539876925","2315039308","2600482216","3295746736"
"esprima","2138713556","0.00078432","1473037966","1807899765","2045532772","2279941319","3087155962"
"@jridgewell/sourcemap-codec","2137958311","0.00078404","0","780420994","1922992554","2357891082","3490528615"
"slice-ansi","2131931263","0.00078183","1336543047","1805879090","2044268441","2332061343","3140904396"
"undici-types","2126866054","0.00077997","0","0","210131330","1897047542","4273419291"
"import-fresh","2113212453","0.00077496","1415216363","1717244209","1993398845","2215335373","3224867477"
"binary-extensions","2106222584","0.00077240","1589825478","1905035177","2056120594","2204462755","2775668918"
"postcss-selector-parser","2090163008","0.00076651","1758813530","1894153564","1747087184","1861472163","3189288601"
"@babel/highlight","2086838577","0.00076529","1596190286","2142854859","2309565287","2597783425","1787799031"
"inflight","2056497700","0.00075417","1184733967","1739196374","2101303565","2337090745","2920163853"
"pump","2053257604","0.00075298","1795637331","2023011353","1972882173","2020005432","2454751733"
"get-caller-file","2052942232","0.00075286","1303136666","1687899596","1968807431","2219295063","3085572405"
"p-map","2051864487","0.00075247","1487896941","1932859539","2079795125","2072548376","2686222458"
"fs.realpath","2049238915","0.00075150","1178989688","1719795604","2093294227","2330105390","2924009670"
"path-is-absolute","2045497637","0.00075013","1189934559","1736915666","2085436355","2307469807","2907731799"
"@typescript-eslint/typescript-estree","2040183328","0.00074818","818433967","1338950619","1822949255","2533548123","3687034680"
"is-binary-path","2037062001","0.00074704","1502760036","1868158194","2045768846","2100156393","2668466536"
"node-releases","2006897955","0.00073598","1089119901","1661769916","1895617708","2184680959","3203301293"
"util-deprecate","1996878292","0.00073230","1237303503","1620362780","1903946961","2186968686","3035809530"
"is-accessor-descriptor","1993750202","0.00073115","2007001193","2593268794","2421743980","1531726036","1415011008"
"is-data-descriptor","1993365514","0.00073101","2005984404","2592846643","2421584636","1531651569","1414760321"
"safer-buffer","1987654268","0.00072892","1294475455","1597150252","1848251295","2139427453","3058966888"
"es-abstract","1978148326","0.00072543","1706674844","1846567135","1860763170","1967097210","2509639274"
"read-pkg","1973330302","0.00072367","2007535720","1932655834","1927038844","1855940969","2143480144"
"@typescript-eslint/types","1971825104","0.00072311","616989510","1227679629","1765886282","2513165673","3735404426"
"uri-js","1971088332","0.00072284","1297824341","1642072364","1874834465","2109013052","2931697440"
"ieee754","1954976964","0.00071694","1268766154","1660601350","1922084929","2183077425","2740354964"
"@babel/helper-module-imports","1951809583","0.00071577","1150995872","1580209781","1852421215","2167881114","3007539934"
"object-assign","1946128093","0.00071369","1305935082","1581780116","1833416410","2077629636","2931879221"
"path-parse","1943782886","0.00071283","1125514282","1558443991","1863303852","2126661717","3044990592"
"ajv-keywords","1943368511","0.00071268","856408711","1529415598","2126696413","2349365950","2854955883"
"follow-redirects","1941780844","0.00071210","1308959648","1596146689","1835523927","2149616526","2818657433"
"@typescript-eslint/visitor-keys","1937916614","0.00071068","613830636","1217160232","1751332153","2483689861","3623570189"
"escalade","1936239950","0.00071006","836419001","1332943988","1679083556","2323601022","3509152184"
"parse5","1935399287","0.00070976","1294296089","1633118919","1897198336","2070163581","2782219514"
"is-wsl","1934661558","0.00070949","1329025221","1731267606","1937080629","1973589932","2702344404"
"@babel/helper-module-transforms","1932555337","0.00070871","1125623882","1580057960","1865735944","2121187361","2970171539"
"is-plain-object","1931141683","0.00070819","1269416460","1725093224","1987046940","2136401407","2537750385"
"array-union","1928418685","0.00070720","1246820019","1795216808","2008035164","2134826885","2457194553"
"indent-string","1926722052","0.00070657","1368920264","1640318285","1884834360","2074419551","2665117804"
"call-bind","1926081134","0.00070634","915858231","1412290424","1855090375","2472860564","2974306078"
"yaml","1920125563","0.00070415","669390157","1092067869","1733032621","2401069795","3705067376"
"is-plain-obj","1918582933","0.00070359","1050829911","1612133187","1951509833","2145070895","2833370840"
"core-js","1911753867","0.00070108","1756104002","2126600073","1928708892","1714306103","2033050267"
"fast-json-stable-stringify","1910900380","0.00070077","1267443483","1548204983","1781063711","2029108846","2928680880"
"@babel/helpers","1908576077","0.00069992","1098468970","1546103879","1819211339","2127931615","2951164583"
"delayed-stream","1906181692","0.00069904","1158901870","1467758680","1800654046","2130294372","2973299492"
"jest-get-type","1903854052","0.00069819","999523624","1635216108","2158243323","2245756632","2480530576"
"combined-stream","1902666413","0.00069775","1226583983","1449188797","1765539345","2112083753","2959936187"
"bn.js","1892147530","0.00069389","1478426026","1946616116","1950042459","1826062500","2259590549"
"chownr","1889276877","0.00069284","1260832669","1643026032","1853285597","1944923115","2744316975"
"acorn-walk","1885622275","0.00069150","938244710","1608303436","1982117297","2266440445","2633005489"
"@nodelib/fs.stat","1880939063","0.00068978","1031807275","1547984755","1817990711","2075274745","2931637831"
"asynckit","1878916521","0.00068904","1130176245","1442263647","1776792165","2107537604","2937812948"
"diff","1874635497","0.00068747","963954522","1524194142","1788700552","2170956541","2925371730"
"restore-cursor","1872580942","0.00068672","1258754631","1508675234","1655875756","2053857244","2885741845"
"esutils","1872236849","0.00068659","1107219690","1495622834","1761758878","2062879506","2933703340"
"cli-cursor","1871033985","0.00068615","1256291310","1510288147","1657740064","2056506157","2874344248"
"http-proxy-agent","1870605030","0.00068599","621604623","1273718520","1758345479","2394990793","3304365738"
"base64-js","1865449669","0.00068410","1258844408","1516521271","1779145809","2042223113","2730513747"
"domutils","1861186890","0.00068254","1226083844","1567624829","1855277556","2040048982","2616899240"
"require-directory","1848608181","0.00067793","1004011129","1465762170","1799191918","2070230302","2903845390"
"on-finished","1847561702","0.00067754","907266522","1467252986","1921303619","2124919209","2817066176"
"espree","1847199263","0.00067741","950992742","1357942219","1729138622","2070017415","3127905320"
"raw-body","1842893574","0.00067583","1197192943","1607881962","1925926968","1939586412","2543879587"
"@babel/compat-data","1841658845","0.00067538","887298859","1455689400","1813157796","2100237272","2951910902"
"normalize-package-data","1834934810","0.00067291","1182488044","1538623641","1890407448","2109395345","2453759572"
"negotiator","1824454663","0.00066907","955514154","1420336729","1619849419","1793047106","3333525909"
"tmp","1813515545","0.00066506","1181569374","1498898032","1760386815","2044491728","2582231780"
"@babel/helper-compilation-targets","1813514428","0.00066506","877808063","1451147479","1788007142","2065568603","2885040856"
"istanbul-lib-instrument","1810916203","0.00066411","881664268","1337247190","1594692342","2195203957","3045773258"
"supports-preserve-symlinks-flag","1810099692","0.00066381","0","979170835","1577407656","1933596303","2750223977"
"is-callable","1804951078","0.00066192","1218893563","1531601746","1809412090","1945780461","2519067531"
"imurmurhash","1793808655","0.00065783","1003153377","1400963453","1673544757","1990142878","2901238810"
"dotenv","1785853220","0.00065491","902244252","1335471405","1707825646","2006525079","2977199719"
"strip-final-newline","1785774551","0.00065489","641721393","1111861886","1739289883","2374365710","3061633884"
"eslint","1782221469","0.00065358","927590952","1314306926","1663216847","2011170181","2994822440"
"buffer-from","1777150723","0.00065172","1126579610","1562207904","1696109237","1890509407","2610347459"
"side-channel","1772115948","0.00064988","635645572","1259813001","1651736629","2159950824","3153433714"
"read-pkg-up","1771228679","0.00064955","1901701294","1782232142","1738511161","1648550187","1785148613"
"@typescript-eslint/scope-manager","1770841697","0.00064941","473321115","1069945221","1590016531","2307701715","3413223904"
"serialize-javascript","1769003800","0.00064873","1152165639","1711056670","1944244210","1883109034","2154443448"
"is-buffer","1768659673","0.00064861","1431160272","1902892338","1960305315","1702972337","1845968105"
"es-object-atoms","1765982851","0.00064763","0","0","0","655117846","2876847856"
"encodeurl","1763322682","0.00064665","891667271","1209949976","1409961134","1770499985","3534535045"
"yocto-queue","1760800050","0.00064573","481154439","870326561","1564337194","2363424576","3524757480"
"dom-serializer","1756999984","0.00064433","1052145105","1469834013","1774952963","1979398174","2508669665"
"is-regex","1752557424","0.00064270","1267854629","1560215041","1626267455","1713992004","2594457994"
"define-properties","1752099980","0.00064254","1024144778","1478735885","1794133937","1970298261","2493187043"
"ipaddr.js","1740976263","0.00063846","932015241","1402002835","1797501161","1987468405","2585893674"
"find-cache-dir","1738931335","0.00063771","1410542864","1689202286","1789063621","1823513570","1982334334"
"domelementtype","1738720072","0.00063763","1358933903","1635627224","1709367840","1775454074","2214217319"
"fast-levenshtein","1734299155","0.00063601","956728260","1398336911","1672340010","1899577367","2744513230"
"object.assign","1728277319","0.00063380","1138868044","1504836029","1666473921","1869479419","2461729182"
"jest-diff","1713900071","0.00062853","935609391","1438711035","1814956060","1917290140","2462933730"
"process-nextick-args","1709018679","0.00062674","1353627195","1519036733","1659445772","1782568955","2230414742"
"array-flatten","1708015246","0.00062637","1283347528","1684248442","1902327652","1758099764","1912052846"
"jest-message-util","1704131550","0.00062494","798772768","1263036032","1888800493","1989965379","2580083082"
"figures","1694626753","0.00062146","1318622781","1528622938","1604956788","1790350792","2230580466"
"fastq","1694257003","0.00062132","712092218","1178540160","1578903933","2010453274","2991295430"
"@babel/helper-string-parser","1691355156","0.00062026","0","290305942","1357321681","2026179722","3091613279"
"flatted","1689963210","0.00061975","907374039","1289152474","1556005840","1911086598","2786197103"
"json-parse-even-better-errors","1674905420","0.00061423","636912274","1061493784","1610786663","2118005616","2947328767"
"@types/estree","1674510055","0.00061408","482393965","1040733733","1540933319","1984911845","3323577416"
"object-keys","1674038631","0.00061391","1135078023","1435094470","1611043253","1794387973","2394589437"
"domhandler","1670065575","0.00061245","964691916","1331982925","1664114689","1917245948","2472292401"
"nanoid","1665695384","0.00061085","605510262","1135670845","1551158204","1951981122","3084156489"
"@babel/helper-validator-option","1659402613","0.00060854","685580377","1243457317","1597420676","1978695812","2791858884"
"lines-and-columns","1655669678","0.00060717","720942762","1141072878","1605134077","1974976732","2836221945"
"deep-is","1655169598","0.00060699","930127710","1367535948","1601233968","1799781715","2577168651"
"finalhandler","1652136257","0.00060588","952672979","1333420634","1629202929","1763258070","2582126675"
"flat-cache","1651414580","0.00060561","860515599","1172135505","1457030911","1889059697","2878331192"
"events","1650951945","0.00060544","1070187160","1419531784","1623094680","1835078249","2306867852"
"prettier","1649474181","0.00060490","799860340","1284466272","1532877464","1928940796","2701226036"
"end-of-stream","1646437171","0.00060379","1239363120","1427895921","1568666427","1718489025","2277771366"
"dir-glob","1640749922","0.00060170","1062858394","1461747751","1696216595","1847367765","2135559105"
"has-property-descriptors","1638003667","0.00060069","0","550277031","1293203565","2137422952","2571111121"
"file-entry-cache","1636349615","0.00060009","872099337","1176127900","1445010800","1863596741","2824913301"
"body-parser","1634434365","0.00059939","914827352","1344324982","1752700117","1789949007","2370370367"
"error-ex","1627373065","0.00059680","969561269","1286819019","1585280444","1780342615","2514861980"
"jest-regex-util","1623685765","0.00059544","768912688","1345301121","1840889702","1831316798","2332008519"
"diff-sequences","1622948995","0.00059517","855538691","1360573673","1761844464","1957851169","2178936978"
"@typescript-eslint/utils","1618605877","0.00059358","0","484521752","1131685985","1863363904","2994851869"
"gopd","1617818206","0.00059329","0","53788835","1106035295","1904713842","3406734852"
