repo,repo_id,package,has_npm_funding,npm_funding_url,fetched_at,status
daaku/nodejs-tmpl,2171213,tmpl,False,,2026-06-29T23:54:29+00:00,ok
davisjam/safe-regex,90781457,safe-regex,False,,2026-06-29T23:54:29+00:00,ok
dchest/tweetnacl-js,15649752,tweetnacl,False,,2026-06-29T23:54:29+00:00,ok
dcodeio/long.js,8678904,@xtuc/long,False,,2026-06-29T23:54:29+00:00,ok
debug-js/debug,2871998,debug,False,,2026-06-29T23:54:29+00:00,ok
definitelytyped/definitelytyped,6093316,@types/node,False,,2026-06-29T23:54:29+00:00,ok
defunctzombie/node-process,7580644,process,False,,2026-06-29T23:54:29+00:00,ok
dmitrysoshnikov/regexp-tree,85459304,regexp-tree,False,,2026-06-29T23:54:29+00:00,ok
doowb/ansi-colors,47135420,ansi-colors,False,,2026-06-29T23:54:29+00:00,ok
dougwilson/nodejs-depd,20848667,depd,False,,2026-06-29T23:54:29+00:00,ok
eemeli/yaml,119439276,yaml,True,https://github.com/sponsors/eemeli,2026-06-29T23:54:29+00:00,ok
ehmicky/human-signals,214467546,human-signals,False,,2026-06-29T23:54:29+00:00,ok
emotion-js/emotion,92570536,@emotion/memoize,False,,2026-06-29T23:54:29+00:00,ok
epoberezkin/fast-deep-equal,94483360,fast-deep-equal,False,,2026-06-29T23:54:29+00:00,ok
epoberezkin/fast-json-stable-stringify,108103016,fast-json-stable-stringify,False,,2026-06-29T23:54:29+00:00,ok
epoberezkin/json-schema-traverse,93333933,json-schema-traverse,False,,2026-06-29T23:54:29+00:00,ok
es-shims/array-includes,28753032,array-includes,False,,2026-06-29T23:54:29+00:00,error
es-shims/dunder-proto,898274312,dunder-proto,False,,2026-06-29T23:54:29+00:00,ok
es-shims/es-object-atoms,773229339,es-object-atoms,False,,2026-06-29T23:54:29+00:00,ok
es-shims/es-set-tostringtag,580683868,es-set-tostringtag,False,,2026-06-29T23:54:29+00:00,ok
es-shims/math-intrinsics,902014040,math-intrinsics,False,,2026-06-29T23:54:29+00:00,ok
es-shims/object.values,41723335,object.values,False,,2026-06-29T23:54:29+00:00,error
es-shims/regexp.prototype.flags,26932422,regexp.prototype.flags,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
es-shims/string.prototype.trimend,114682758,string.prototype.trimend,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
es-shims/string.prototype.trimstart,114682105,string.prototype.trimstart,True,https://github.com/sponsors/ljharb,2026-06-29T23:54:29+00:00,ok
eslint-community/eslint-utils,568240379,@eslint-community/eslint-utils,True,https://opencollective.com/eslint,2026-06-29T23:54:29+00:00,ok
eslint/eslint,11061773,eslint,True,https://eslint.org/donate,2026-06-29T23:54:29+00:00,ok
eslint/js,27620277,eslint-visitor-keys,True,https://opencollective.com/eslint,2026-06-29T23:54:29+00:00,ok
eslint/rewrite,791446923,@eslint/core,False,,2026-06-29T23:54:29+00:00,ok
estools/escodegen,3611422,escodegen,False,,2026-06-29T23:54:29+00:00,ok
estools/esquery,11412938,esquery,False,,2026-06-29T23:54:29+00:00,ok
estools/esrecurse,27429822,esrecurse,False,,2026-06-29T23:54:29+00:00,ok
estools/estraverse,6145439,estraverse,False,,2026-06-29T23:54:29+00:00,ok
estools/esutils,14677293,esutils,False,,2026-06-29T23:54:29+00:00,ok
ethers-io/ethers.js,63465664,@ethersproject/logger,True,https://gitcoin.co/grants/13/ethersjs-complete-simple-and-tiny-2,2026-06-29T23:54:29+00:00,ok
evanw/esbuild,61137153,esbuild,False,,2026-06-29T23:54:29+00:00,ok
evanw/node-source-map-support,7682781,source-map-support,False,,2026-06-29T23:54:29+00:00,ok
eventualbuddha/lines-and-columns,47284288,lines-and-columns,False,,2026-06-29T23:54:29+00:00,ok
exodusoss/bytes,885154008,@exodus/bytes,False,,2026-06-29T23:54:29+00:00,ok
expressjs/body-parser,15669006,body-parser,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
expressjs/serve-static,17464338,serve-static,True,https://opencollective.com/express,2026-06-29T23:54:29+00:00,ok
facebook/create-react-app,63537249,confusing-browser-globals,False,,2026-06-29T23:54:29+00:00,ok
facebook/metro,76504246,metro-source-map,False,,2026-06-29T23:54:29+00:00,ok
facebook/react,10270250,react-is,False,,2026-06-29T23:54:29+00:00,ok
facebook/watchman,6930489,bser,False,,2026-06-29T23:54:29+00:00,ok
fastify/fast-uri,419317518,fast-uri,True,https://github.com/sponsors/fastify,2026-06-29T23:54:29+00:00,ok
faye/websocket-driver-node,9733816,websocket-driver,False,,2026-06-29T23:54:29+00:00,ok
fb55/boolbase,16864585,boolbase,True,https://github.com/sponsors/fb55,2026-06-29T23:54:29+00:00,ok
fb55/css-select,3411063,css-select,True,https://github.com/sponsors/fb55,2026-06-29T23:54:29+00:00,ok
fb55/css-what,4460687,css-what,True,https://github.com/sponsors/fb55,2026-06-29T23:54:29+00:00,ok
fb55/domelementtype,6627835,domelementtype,True,https://github.com/sponsors/fb55,2026-06-29T23:54:29+00:00,ok
fb55/domhandler,5414232,domhandler,True,https://github.com/fb55/domhandler?sponsor=1,2026-06-29T23:54:29+00:00,ok
fb55/domutils,6627949,domutils,True,https://github.com/fb55/domutils?sponsor=1,2026-06-29T23:54:29+00:00,ok
fb55/entities,3172629,entities,True,https://github.com/fb55/entities?sponsor=1,2026-06-29T23:54:29+00:00,ok
fb55/htmlparser2,2279062,htmlparser2,True,https://github.com/fb55/htmlparser2?sponsor=1,2026-06-29T23:54:29+00:00,ok
fb55/nth-check,16864923,nth-check,True,https://github.com/fb55/nth-check?sponsor=1,2026-06-29T23:54:29+00:00,ok
felixge/node-combined-stream,1787452,combined-stream,False,,2026-06-29T23:54:29+00:00,ok
felixge/node-delayed-stream,1783893,delayed-stream,False,,2026-06-29T23:54:29+00:00,ok
feross/buffer,14494363,buffer,True,https://github.com/sponsors/feross,2026-06-29T23:54:29+00:00,ok
feross/ieee754,15489525,ieee754,True,https://github.com/sponsors/feross,2026-06-29T23:54:29+00:00,ok
feross/is-buffer,25997846,is-buffer,True,https://github.com/sponsors/feross,2026-06-29T23:54:29+00:00,ok
feross/queue-microtask,207021895,queue-microtask,True,https://github.com/sponsors/feross,2026-06-29T23:54:29+00:00,ok
feross/run-parallel,18700638,run-parallel,True,https://github.com/sponsors/feross,2026-06-29T23:54:29+00:00,ok
feross/safe-buffer,49538897,safe-buffer,True,https://github.com/sponsors/feross,2026-06-29T23:54:29+00:00,ok
firebase/firebase-js-sdk,89290483,@firebase/util,False,,2026-06-29T23:54:29+00:00,ok
floating-ui/floating-ui,54994103,@floating-ui/utils,False,,2026-06-29T23:54:29+00:00,ok
follow-redirects/follow-redirects,6697086,follow-redirects,True,https://github.com/sponsors/RubenVerborgh,2026-06-29T23:54:29+00:00,ok
form-data/form-data,1755793,form-data,False,,2026-06-29T23:54:29+00:00,ok
formatjs/formatjs,19117456,@formatjs/fast-memoize,False,,2026-06-29T23:54:29+00:00,ok
