repo_id,repo,ecosystem,value_score,risk_score
243395141,unicode-org/icu4x,crates,52.856,62
29918975,python-attrs/attrs,pypi,51.951,62
21224182,jonschlinkert/normalize-path,npm,48.3699,62
5414232,fb55/domhandler,npm,45.1977,62
704249795,ljharb/set-function-length,npm,40.8022,62
406051759,rustcrypto/formats,crates,37.4272,62
17755831,ljharb/object.assign,npm,37.1703,62
568240379,eslint-community/eslint-utils,npm,30.9637,62
429511342,ardatan/whatwg-node,npm,29.022,62
14423385,medikoo/es6-symbol,npm,28.277,62
41388258,qix-/node-error-ex,npm,27.1446,62
174421655,lukeed/dequal,npm,26.3894,62
308516559,ljharb/get-intrinsic,npm,72.1013,61
2056549,isaacs/minimatch,npm,69.6451,61
492639579,dtolnay/unicode-ident,crates,54.102,61
23000311,jsdom/webidl-conversions,npm,49.9136,61
800543709,isaacs/package-json-from-dist,npm,39.012,61
216847853,taiki-e/pin-project-lite,crates,33.3371,61
3858354,isaacs/chownr,npm,32.8299,61
15669006,expressjs/body-parser,npm,27.8931,61
86429676,isaacs/minizlib,npm,27.779,61
71014420,jsdom/whatwg-mimetype,npm,27.703,61
26932422,es-shims/regexp.prototype.flags,npm,26.9254,61
16864923,fb55/nth-check,npm,26.6016,61
184941159,dtolnay/trybuild,crates,85.6639,60
1874305,qix-/color-convert,npm,61.7725,60
54980593,pypa/setuptools,pypi,58.3494,60
54432168,ardatan/graphql-tools,npm,52.6816,60
32238354,import-js/eslint-plugin-import,npm,39.7121,60
5265803,pillarjs/path-to-regexp,npm,35.1381,60
89984100,teddriggs/darling,crates,29.64,60
37490572,streamich/memfs,npm,28.1615,60
40920306,postcss/postcss-value-parser,npm,65.7952,59
200259335,jawah/charset_normalizer,pypi,61.7821,59
41053676,chalk/wrap-ansi,npm,55.7957,59
10498729,mathiasbynens/jsesc,npm,48.7981,59
9103992,ljharb/object-keys,npm,47.4436,59
30012910,inspect-js/is-callable,npm,45.7682,59
18006791,tkem/cachetools,pypi,36.2777,59
12391440,isaacs/core-util-is,npm,35.4847,59
54252316,dtolnay/indoc,crates,32.0464,59
61231712,isaacs/fs.realpath,npm,31.5099,59
28753032,es-shims/array-includes,npm,25.2717,59
2871998,debug-js/debug,npm,79.5362,58
67273122,dtolnay/quote,crates,77.7613,58
47475908,sindresorhus/execa,npm,48.907,58
6825724,requests/requests-oauthlib,pypi,39.7043,58
6627949,fb55/domutils,npm,35.8376,58
596892,pallets/flask,pypi,35.4592,58
18464187,jquast/wcwidth,pypi,34.2808,58
4879977,pillarjs/send,npm,30.7841,58
7730829,psycopg/psycopg2,pypi,28.5082,58
1042809,oozcitak/xmlbuilder-js,npm,28.3932,58
557980,socketio/socket.io,npm,26.4595,58
3955647,lodash/lodash,npm,82.5461,57
9440238,blakeembrey/change-case,npm,68.3764,57
