repo,repo_id,total_commits_github,total_contributors_github,active_contributors_github,bf_commits_github,hhi_commits_github,total_commits_git,contributors_git,bf_commits_git,hhi_commits_git,commits_git_2021_2025,active_contributors_git_2021_2025,bf_commits_git_2021_2025,hhi_commits_git_2021_2025,concentration_class,github_fetched_at,git_fetched_at
autotools-mirror/autoconf,47662429,5581,88,88,2,2118,7088,143,3,1392,262,28,1,4074,D,2026-05-19T11:22:38+00:00,2026-05-19T11:22:46+00:00
autotools-mirror/libtool,47662711,2464,149,149,1,2859,4516,307,3,1316,272,60,1,2915,D,2026-05-19T11:22:39+00:00,2026-05-19T11:22:46+00:00
autotools-mirror/m4,66880383,707,13,13,1,7434,708,13,1,8501,110,4,1,6342,A,2026-05-19T11:24:30+00:00,2026-05-19T11:22:47+00:00
aws/aws-cli,6780767,12924,334,332,2,2191,9166,490,2,1887,3034,138,1,6632,D,2026-05-19T11:22:41+00:00,2026-05-19T11:22:47+00:00
aws/aws-sdk-js-crypto-helpers,149673986,252,27,25,3,1728,255,26,3,1444,149,21,3,1255,D,2026-05-19T11:22:41+00:00,2026-05-19T11:22:48+00:00
aws/aws-sdk-js-v3,87228090,3771,161,158,2,2330,12375,164,1,5040,10005,135,1,6123,B,2026-05-19T11:22:42+00:00,2026-05-19T11:22:48+00:00
axios/axios,23088740,1794,444,441,4,894,1830,615,6,642,809,300,5,1149,D,2026-05-19T11:22:44+00:00,2026-05-19T11:22:48+00:00
azure/azure-sdk-for-js,108311273,19400,398,395,9,538,19870,583,10,503,12464,384,5,836,D,2026-05-19T11:22:45+00:00,2026-05-19T11:22:49+00:00
azure/azure-sdk-for-python,4127088,20217,403,400,9,538,21420,878,10,515,13850,603,11,523,D,2026-05-19T11:22:46+00:00,2026-05-19T11:22:49+00:00
azuread/microsoft-authentication-library-for-python,67243113,1267,43,41,1,8027,851,47,1,7430,409,31,1,7965,B,2026-05-19T11:22:46+00:00,2026-05-19T11:22:51+00:00
babel/babel,24560307,17389,412,409,3,1441,17119,1192,4,1203,3152,242,3,1781,D,2026-05-19T11:22:48+00:00,2026-05-19T11:22:51+00:00
babel/babel-polyfills,190579283,444,24,23,1,6719,443,24,1,6748,229,20,1,5145,B,2026-05-19T11:22:47+00:00,2026-05-19T11:22:52+00:00
bdwgc/bdwgc,2109456,5809,166,166,1,8374,6477,203,1,6637,2504,73,1,8653,B,2026-05-19T11:22:49+00:00,2026-05-19T11:22:53+00:00
beatgammit/base64-js,2853282,149,11,11,1,5876,133,15,1,5732,1,1,1,10000,B,2026-05-19T11:22:49+00:00,2026-05-19T11:22:54+00:00
benjaminp/six,77868600,539,59,59,1,5418,504,66,1,4986,35,10,1,5200,C,2026-05-19T11:22:50+00:00,2026-05-19T11:22:55+00:00
besser82/libxcrypt,35503965,857,26,26,1,5284,857,26,1,5284,267,19,1,5769,B,2026-05-19T11:22:51+00:00,2026-05-19T11:22:55+00:00
bitflags/bitflags,29287955,764,87,86,1,3418,537,90,1,2838,342,36,1,5911,C,2026-05-19T11:22:52+00:00,2026-05-19T11:22:57+00:00
blakeembrey/array-flatten,17789771,71,8,6,1,7816,70,6,1,7776,12,2,1,5000,B,2026-05-19T11:22:53+00:00,2026-05-19T11:22:57+00:00
blakeembrey/change-case,9440238,323,25,23,1,7501,319,23,1,7451,162,12,1,7009,B,2026-05-19T11:22:54+00:00,2026-05-19T11:22:57+00:00
bluss/bencher,65987276,47,4,4,1,8397,42,4,1,8220,0,0,0,0,A,2026-05-19T11:22:56+00:00,2026-05-19T11:22:58+00:00
boto/boto3,24774658,7535,148,147,1,5291,5156,173,1,5053,2732,68,1,8097,B,2026-05-19T11:22:57+00:00,2026-05-19T11:22:59+00:00
boto/botocore,6670942,12440,177,176,1,3132,9451,218,1,2789,3901,72,1,7074,C,2026-05-19T11:22:59+00:00,2026-05-19T11:22:59+00:00
boto/s3transfer,49535299,719,41,40,2,2427,544,47,2,1947,215,28,2,2480,D,2026-05-19T11:22:59+00:00,2026-05-19T11:22:59+00:00
braveg1rl/performance-now,336187529,1,1,1,1,10000,1,1,1,10000,1,1,1,10000,A,2026-05-19T11:23:01+00:00,2026-05-19T11:23:00+00:00
brianc/node-postgres,991475,2747,321,320,1,4751,2573,373,1,3882,325,97,4,1399,C,2026-05-19T11:23:03+00:00,2026-05-19T11:23:00+00:00
broofa/mime,534940,388,48,47,1,6960,342,55,1,5658,120,7,1,8655,B,2026-05-19T11:23:03+00:00,2026-05-19T11:23:01+00:00
browserify/events,1649251,131,15,15,2,3227,122,17,2,2686,11,1,1,10000,C,2026-05-19T11:23:04+00:00,2026-05-19T11:23:01+00:00
browserify/node-util,14568009,154,10,10,2,3390,143,11,2,3187,9,4,2,3086,C,2026-05-19T11:23:05+00:00,2026-05-19T11:23:01+00:00
browserify/randombytes,29300004,40,8,8,1,3162,46,8,2,3034,8,2,1,7812,C,2026-05-19T11:23:07+00:00,2026-05-19T11:23:01+00:00
browserify/resolve,1915099,613,55,55,1,7120,691,63,1,4921,205,8,1,8869,C,2026-05-19T11:23:08+00:00,2026-05-19T11:23:02+00:00
browserslist/browserslist,27971466,1543,182,181,1,6910,1518,194,1,6645,442,60,1,6151,B,2026-05-19T11:23:10+00:00,2026-05-19T11:23:04+00:00
browserslist/caniuse-lite,80221890,1750,13,12,2,3608,1722,14,2,3551,742,10,1,4811,C,2026-05-19T11:23:11+00:00,2026-05-19T11:23:04+00:00
browserslist/update-db,505548145,171,12,12,1,7715,160,14,1,7042,158,14,1,7008,B,2026-05-19T11:23:12+00:00,2026-05-19T11:23:04+00:00
burntsushi/aho-corasick,37290678,290,32,31,1,7026,295,32,1,6523,127,13,1,7929,B,2026-05-19T11:23:21+00:00,2026-05-19T11:23:05+00:00
burntsushi/jiff,759017108,634,46,46,1,7946,634,46,1,7946,549,40,1,8003,B,2026-05-19T11:23:15+00:00,2026-05-19T11:23:05+00:00
burntsushi/memchr,37290652,264,46,45,1,4701,261,48,1,4447,112,21,1,5808,C,2026-05-19T11:23:16+00:00,2026-05-19T11:23:06+00:00
burntsushi/quickcheck,17559913,615,79,79,1,5565,561,92,1,4449,38,13,2,1731,C,2026-05-19T11:23:18+00:00,2026-05-19T11:23:07+00:00
burntsushi/same-file,78375612,58,13,13,1,4037,58,13,1,3835,6,2,1,7222,C,2026-05-19T11:23:19+00:00,2026-05-19T11:23:07+00:00
burntsushi/termcolor,141345580,1010,164,164,1,5125,977,185,1,4567,24,10,1,2917,C,2026-05-19T11:23:20+00:00,2026-05-19T11:23:07+00:00
burntsushi/ucd-generate,123997498,170,15,15,1,6677,176,15,1,6249,59,10,1,6151,B,2026-05-19T11:23:22+00:00,2026-05-19T11:23:08+00:00
burntsushi/walkdir,42685794,185,35,35,1,5279,185,39,1,4749,12,5,1,4722,C,2026-05-19T11:23:24+00:00,2026-05-19T11:23:08+00:00
burntsushi/winapi-util,146040682,35,7,7,1,6914,35,7,1,6914,17,5,1,5986,B,2026-05-19T11:23:25+00:00,2026-05-19T11:23:09+00:00
businho/pytest-ruff,599731435,44,7,7,1,6767,39,7,1,6410,39,7,1,6410,B,2026-05-19T11:23:26+00:00,2026-05-19T11:23:09+00:00
bytecodealliance/rustix,295544240,2199,123,123,1,7184,2207,126,1,7132,2146,123,1,7136,B,2026-05-19T11:23:28+00:00,2026-05-19T11:23:09+00:00
bytecodealliance/wasi-rs,196445196,146,25,25,2,1834,148,26,2,1762,59,18,2,2359,D,2026-05-19T11:23:29+00:00,2026-05-19T11:23:09+00:00
c-ares/c-ares,571708,2716,163,163,2,2084,2947,180,2,1900,880,76,1,7195,D,2026-05-19T11:23:31+00:00,2026-05-19T11:23:10+00:00
calvinmetcalf/minimalistic-assert,29144257,3,2,2,1,5556,3,2,1,5556,0,0,0,0,B,2026-05-19T11:23:32+00:00,2026-05-19T11:23:10+00:00
calvinmetcalf/process-nextick-args,36039131,21,7,7,1,4649,27,8,1,5089,0,0,0,0,B,2026-05-19T11:23:33+00:00,2026-05-19T11:23:10+00:00
caolan/async,698041,1525,235,234,2,2066,1603,266,3,1480,192,19,1,2911,D,2026-05-19T11:23:36+00:00,2026-05-19T11:23:11+00:00
certbot/certbot,26516210,9892,383,383,3,1183,9105,536,4,1001,1137,87,2,1888,D,2026-05-19T11:23:38+00:00,2026-05-19T11:23:11+00:00
certifi/python-certifi,3060959,301,38,36,2,2554,303,39,2,1901,158,19,2,1856,D,2026-05-19T11:23:37+00:00,2026-05-19T11:23:11+00:00
chaijs/type-detect,12107007,182,17,17,2,2704,129,16,2,2868,3,1,1,10000,C,2026-05-19T11:23:38+00:00,2026-05-19T11:23:12+00:00
chalk/ansi-regex,20451415,60,13,13,1,4700,63,15,1,4084,16,7,1,3516,C,2026-05-19T11:23:39+00:00,2026-05-19T11:23:12+00:00
chalk/ansi-styles,11803168,110,19,19,1,4281,114,21,1,3892,21,8,1,3560,C,2026-05-19T11:23:40+00:00,2026-05-19T11:23:12+00:00
chalk/chalk,11855195,331,58,58,1,3848,348,66,1,3070,63,11,1,3988,C,2026-05-19T11:23:40+00:00,2026-05-19T11:23:13+00:00
chalk/slice-ansi,43191689,61,11,11,1,5399,69,12,1,4329,12,3,1,7083,C,2026-05-19T11:23:41+00:00,2026-05-19T11:23:13+00:00
chalk/strip-ansi,15014856,71,11,11,1,6489,73,13,1,5737,10,2,1,8200,B,2026-05-19T11:23:42+00:00,2026-05-19T11:23:13+00:00
chalk/supports-color,11855007,193,38,38,1,4583,193,43,1,4016,43,14,1,3802,C,2026-05-19T11:23:43+00:00,2026-05-19T11:23:13+00:00
chalk/wrap-ansi,41053676,75,10,10,1,4962,78,11,1,4596,11,4,1,5537,C,2026-05-19T11:23:43+00:00,2026-05-19T11:23:14+00:00
chalker/safer-buffer,125825141,49,6,6,1,7734,49,6,1,7734,0,0,0,0,B,2026-05-19T11:23:45+00:00,2026-05-19T11:23:14+00:00
chardet/chardet,5196969,1044,53,52,1,7182,989,54,1,7184,161,13,1,6970,B,2026-05-19T11:23:46+00:00,2026-05-19T11:23:14+00:00
cheeriojs/dom-serializer,18991884,1434,21,19,1,5874,1417,19,1,5654,1079,4,1,8466,B,2026-05-19T11:23:47+00:00,2026-05-19T11:23:14+00:00
chicoxyzzy/node-releases,73765596,468,11,11,2,4486,454,11,2,4478,223,5,1,5952,C,2026-05-19T11:23:47+00:00,2026-05-19T11:23:15+00:00
chronotope/chrono,18210201,1730,235,234,3,1470,1597,255,3,1434,995,150,1,2981,D,2026-05-19T11:23:50+00:00,2026-05-19T11:23:15+00:00
chronotope/humantime,59320323,125,19,19,1,3711,117,20,1,3363,44,13,1,3657,C,2026-05-19T11:23:50+00:00,2026-05-19T11:23:15+00:00
clap-rs/clap,31315121,8674,409,406,2,2909,6752,581,2,2474,3886,306,1,5701,D,2026-05-19T11:23:53+00:00,2026-05-19T11:23:15+00:00
cloudflare/cloudflare-python,753271547,6601,14,13,1,6364,6579,12,1,6556,6147,11,1,8301,B,2026-05-19T11:23:52+00:00,2026-05-19T11:23:15+00:00
colinhacks/zod,245704608,1684,462,460,1,2572,2607,534,1,4460,1943,451,1,3958,C,2026-05-19T11:23:59+00:00,2026-05-19T11:23:16+00:00
colorjs/color-name,27038309,49,8,8,1,5035,41,8,1,4337,14,3,2,3571,C,2026-05-19T11:23:54+00:00,2026-05-19T11:23:16+00:00
comex/rust-shlex,37886228,63,9,8,1,4163,49,8,2,3210,30,6,2,2622,C,2026-05-19T11:23:55+00:00,2026-05-19T11:23:16+00:00
component/escape-html,5444800,36,8,8,1,5000,36,8,1,5000,0,0,0,0,B,2026-05-19T11:23:57+00:00,2026-05-19T11:23:16+00:00
component/toidentifier,114743189,81,2,2,1,9756,81,2,1,9756,31,1,1,10000,A,2026-05-19T11:23:58+00:00,2026-05-19T11:23:16+00:00
conventional-changelog/commitlint,51575745,3239,273,270,2,2180,3274,291,3,1443,1811,176,6,1570,D,2026-05-19T11:24:01+00:00,2026-05-19T11:23:17+00:00
conventional-changelog/conventional-changelog,15639771,1681,152,148,1,4045,1813,158,1,3424,393,48,1,4058,C,2026-05-19T11:24:00+00:00,2026-05-19T11:23:17+00:00
cosmiconfig/cosmiconfig,45750507,414,34,33,2,1645,468,35,2,1949,166,11,2,3022,D,2026-05-19T11:24:02+00:00,2026-05-19T11:23:17+00:00
coveragepy/coveragepy,138421996,7328,170,169,1,9071,7255,199,1,8840,2638,97,1,8904,A,2026-05-19T11:24:04+00:00,2026-05-19T11:23:18+00:00
cpburnz/python-pathspec,14648551,402,27,27,1,7807,355,28,1,7441,159,10,1,7664,B,2026-05-19T11:24:05+00:00,2026-05-19T11:23:18+00:00
crate-py/rpds,608018848,612,20,18,1,7314,424,18,1,5906,384,18,1,5911,B,2026-05-19T11:24:06+00:00,2026-05-19T11:23:18+00:00
criterion-rs/criterion.rs,1081104682,1034,128,126,1,4632,1377,136,2,2971,214,68,4,936,C,2026-05-19T11:24:07+00:00,2026-05-19T11:23:18+00:00
crossbeam-rs/crossbeam,35566048,1418,149,147,2,2074,1862,160,2,2580,456,50,1,5381,C,2026-05-19T11:24:08+00:00,2026-05-19T11:23:18+00:00
css-modules/icss-utils,42766912,64,12,11,2,1983,61,11,2,2022,1,0,0,0,D,2026-05-19T11:24:09+00:00,2026-05-19T11:23:19+00:00
cssnano/cssnano,33943153,2626,116,115,1,3558,2587,128,1,3474,541,44,1,7582,C,2026-05-19T11:24:11+00:00,2026-05-19T11:23:19+00:00
csstools/postcss-plugins,219192307,4879,127,126,1,4260,4943,135,1,4127,3733,53,1,5732,C,2026-05-19T11:24:12+00:00,2026-05-19T11:23:20+00:00
csstree/csstree,67236461,1245,27,27,1,9322,1211,31,1,9255,235,16,1,7995,A,2026-05-19T11:24:13+00:00,2026-05-19T11:23:20+00:00
curl/curl,569041,37112,411,409,1,3237,38676,1454,1,2977,10831,654,2,2535,C,2026-05-19T11:17:23+00:00,2026-05-19T11:23:20+00:00
cuviper/autocfg,135481335,120,10,9,1,6816,87,9,1,6044,38,4,1,6440,B,2026-05-19T11:24:14+00:00,2026-05-19T11:23:20+00:00
cyan4973/xxhash,19330466,2032,114,113,1,5546,1484,123,1,4002,555,71,2,2751,C,2026-05-19T11:24:15+00:00,2026-05-19T11:23:20+00:00
daaku/nodejs-makeerror,2097803,22,2,2,1,8347,20,2,1,8200,1,1,1,10000,A,2026-05-19T11:24:16+00:00,2026-05-19T11:23:21+00:00
daaku/nodejs-tmpl,2171213,15,4,4,1,6533,13,4,1,6095,3,1,1,10000,B,2026-05-19T11:24:17+00:00,2026-05-19T11:23:21+00:00
dateutil/dateutil,26876372,1433,107,107,1,4705,1150,130,2,2615,68,15,2,2764,C,2026-05-19T11:24:19+00:00,2026-05-19T11:23:21+00:00
