repo,repo_id,total_commits_github,total_contributors_github,active_contributors_github,bf_commits_github,hhi_commits_github,total_commits_git,contributors_git,bf_commits_git,hhi_commits_git,commits_git_2021_2025,active_contributors_git_2021_2025,bf_commits_git_2021_2025,hhi_commits_git_2021_2025,concentration_class,github_fetched_at,git_fetched_at
epoberezkin/json-schema-traverse,93333933,40,5,5,1,7700,41,6,1,6228,2,1,1,10000,B,2026-05-19T11:23:03+00:00,2026-05-19T11:23:32+00:00
es-shims/array-includes,28753032,233,2,2,1,9915,234,2,1,9915,49,1,1,10000,A,2026-05-19T11:23:04+00:00,2026-05-19T11:23:32+00:00
es-shims/dunder-proto,898274312,10,1,1,1,10000,10,1,1,10000,10,1,1,10000,A,2026-05-19T11:23:05+00:00,2026-05-19T11:23:32+00:00
es-shims/es-object-atoms,773229339,16,1,1,1,10000,16,1,1,10000,16,1,1,10000,A,2026-05-19T11:23:06+00:00,2026-05-19T11:23:32+00:00
es-shims/es-set-tostringtag,580683868,34,1,1,1,10000,34,1,1,10000,34,1,1,10000,A,2026-05-19T11:23:08+00:00,2026-05-19T11:23:32+00:00
es-shims/math-intrinsics,902014040,10,1,1,1,10000,10,1,1,10000,10,1,1,10000,A,2026-05-19T11:23:09+00:00,2026-05-19T11:23:33+00:00
es-shims/object.values,41723335,126,1,1,1,10000,126,1,1,10000,40,1,1,10000,A,2026-05-19T11:23:11+00:00,2026-05-19T11:23:33+00:00
es-shims/regexp.prototype.flags,26932422,170,2,2,1,9767,169,2,1,9766,73,1,1,10000,A,2026-05-19T11:23:12+00:00,2026-05-19T11:23:33+00:00
es-shims/string.prototype.trimend,114682758,73,2,2,1,8724,73,2,1,8724,43,1,1,10000,A,2026-05-19T11:23:14+00:00,2026-05-19T11:23:34+00:00
es-shims/string.prototype.trimstart,114682105,67,2,2,1,8619,67,2,1,8619,37,1,1,10000,A,2026-05-19T11:23:15+00:00,2026-05-19T11:23:34+00:00
eslint-community/eslint-utils,568240379,180,10,9,2,3194,180,9,2,3194,112,9,1,3088,C,2026-05-19T11:23:16+00:00,2026-05-19T11:23:34+00:00
eslint/eslint,11061773,8729,416,412,4,1093,8666,1172,11,394,2755,325,5,819,D,2026-05-19T11:23:20+00:00,2026-05-19T11:23:34+00:00
eslint/js,27620277,571,60,57,1,3201,681,62,3,1866,261,26,3,1245,D,2026-05-19T11:23:19+00:00,2026-05-19T11:23:34+00:00
eslint/rewrite,791446923,345,21,19,3,1817,444,20,2,1714,335,19,2,1995,D,2026-05-19T11:23:21+00:00,2026-05-19T11:23:35+00:00
estools/escodegen,3611422,550,47,47,1,4929,476,55,1,3925,1,1,1,10000,C,2026-05-19T11:23:22+00:00,2026-05-19T11:23:35+00:00
estools/esquery,11412938,151,22,22,2,2386,140,22,2,2251,33,7,2,3021,D,2026-05-19T11:23:23+00:00,2026-05-19T11:23:36+00:00
estools/esrecurse,27429822,61,10,10,1,3480,52,10,1,3306,4,2,1,6250,C,2026-05-19T11:23:25+00:00,2026-05-19T11:23:37+00:00
estools/estraverse,6145439,176,26,26,1,3964,150,27,1,3618,2,2,1,5000,C,2026-05-19T11:23:26+00:00,2026-05-19T11:23:37+00:00
estools/esutils,14677293,57,6,6,1,3863,45,6,1,3600,0,0,0,0,C,2026-05-19T11:23:28+00:00,2026-05-19T11:23:37+00:00
ethers-io/ethers.js,63465664,792,1,1,1,10000,783,1,1,10000,781,1,1,10000,A,2026-05-19T11:23:29+00:00,2026-05-19T11:23:38+00:00
evanw/esbuild,61137153,4420,119,119,1,9172,4428,128,1,9135,2802,99,1,8986,A,2026-05-19T11:23:30+00:00,2026-05-19T11:23:38+00:00
evanw/node-source-map-support,7682781,333,62,61,2,2272,253,71,2,1649,11,4,2,2893,D,2026-05-19T11:23:32+00:00,2026-05-19T11:23:39+00:00
eventualbuddha/lines-and-columns,47284288,47,1,1,1,10000,35,2,1,9445,10,2,1,8200,A,2026-05-19T11:23:34+00:00,2026-05-19T11:23:39+00:00
executablebooks/markdown-it-py,249956697,350,33,30,1,5021,348,30,1,5119,176,20,1,4558,B,2026-05-19T11:22:36+00:00,2026-05-19T11:23:40+00:00
executablebooks/mdurl,387293763,37,4,3,1,8809,37,3,1,8809,37,3,1,8809,A,2026-05-19T11:22:36+00:00,2026-05-19T11:23:40+00:00
exodusoss/bytes,885154008,983,6,5,1,9897,983,5,1,9897,714,3,1,9944,A,2026-05-19T11:22:37+00:00,2026-05-19T11:23:40+00:00
expressjs/body-parser,15669006,788,38,37,1,7010,789,42,1,6946,215,20,1,3822,B,2026-05-19T11:22:38+00:00,2026-05-19T11:23:40+00:00
expressjs/serve-static,17464338,403,20,19,1,7740,404,22,1,7655,96,10,1,3378,B,2026-05-19T11:22:38+00:00,2026-05-19T11:23:41+00:00
facebook/create-react-app,63537249,2260,450,449,4,1101,2772,932,9,731,136,74,11,450,D,2026-05-19T11:22:41+00:00,2026-05-19T11:23:41+00:00
facebook/metro,76504246,3853,323,322,6,612,5112,463,8,439,1727,155,3,1335,D,2026-05-19T11:22:41+00:00,2026-05-19T11:23:42+00:00
facebook/react,10270250,18002,410,409,6,535,18876,1911,8,420,7473,368,5,761,D,2026-05-19T11:22:42+00:00,2026-05-19T11:23:42+00:00
facebook/watchman,6930489,4464,315,314,2,1901,13900,463,2,2561,8797,267,2,3361,C,2026-05-19T11:22:43+00:00,2026-05-19T11:23:42+00:00
facebook/zstd,29759715,10182,357,356,1,3285,8856,410,2,2084,2038,220,2,1879,D,2026-05-19T11:22:45+00:00,2026-05-19T11:23:42+00:00
facelessuser/soupsieve,160789418,372,14,14,1,8857,348,15,1,8727,86,6,1,7864,A,2026-05-19T11:22:44+00:00,2026-05-19T11:23:42+00:00
fastify/fast-uri,419317518,155,13,12,2,2651,155,12,2,2651,140,11,2,2888,C,2026-05-19T11:22:45+00:00,2026-05-19T11:23:44+00:00
faye/websocket-driver-node,9733816,352,9,9,1,9223,341,9,1,9199,3,1,1,10000,A,2026-05-19T11:22:46+00:00,2026-05-19T11:23:44+00:00
fb55/boolbase,16864585,16,3,3,1,7734,15,4,1,4400,3,2,1,5556,C,2026-05-19T11:22:46+00:00,2026-05-19T11:23:45+00:00
fb55/css-select,3411063,1810,25,22,1,8561,1795,25,1,8473,1195,7,1,8661,A,2026-05-19T11:22:48+00:00,2026-05-19T11:23:45+00:00
fb55/css-what,4460687,1497,25,23,1,7051,1488,25,1,6837,1061,6,1,7579,B,2026-05-19T11:22:48+00:00,2026-05-19T11:23:46+00:00
fb55/domelementtype,6627835,59,6,5,1,8388,58,6,1,7968,14,2,1,8025,B,2026-05-19T11:22:49+00:00,2026-05-19T11:23:46+00:00
fb55/domhandler,5414232,1626,20,18,1,7177,1617,20,1,6852,1188,1,1,10000,B,2026-05-19T11:22:50+00:00,2026-05-19T11:23:46+00:00
fb55/domutils,6627949,1945,21,18,1,7431,1937,19,1,7239,1499,5,1,8658,B,2026-05-19T11:22:52+00:00,2026-05-19T11:23:47+00:00
fb55/entities,3172629,1920,23,20,1,8276,1914,21,1,8008,1499,8,1,8653,A,2026-05-19T11:22:53+00:00,2026-05-19T11:23:48+00:00
fb55/htmlparser2,2279062,2335,58,55,1,6824,2304,65,1,6338,1324,10,1,7478,B,2026-05-19T11:22:54+00:00,2026-05-19T11:23:48+00:00
fb55/nth-check,16864923,1043,7,6,1,8084,1040,6,1,7968,932,1,1,10000,B,2026-05-19T11:22:55+00:00,2026-05-19T11:23:48+00:00
felixge/node-combined-stream,1787452,71,12,12,1,3858,73,13,2,2922,0,0,0,0,C,2026-05-19T11:22:56+00:00,2026-05-19T11:23:49+00:00
felixge/node-delayed-stream,1783893,42,4,4,1,8639,45,4,1,6948,0,0,0,0,B,2026-05-19T11:22:57+00:00,2026-05-19T11:23:49+00:00
feross/buffer,14494363,945,68,67,1,6013,879,73,1,5332,24,12,3,1493,B,2026-05-19T11:22:58+00:00,2026-05-19T11:23:49+00:00
feross/ieee754,15489525,98,5,4,1,8933,84,4,1,8747,0,0,0,0,A,2026-05-19T11:22:59+00:00,2026-05-19T11:23:50+00:00
feross/is-buffer,25997846,96,6,5,1,8696,82,7,1,7977,0,0,0,0,B,2026-05-19T11:23:01+00:00,2026-05-19T11:23:50+00:00
feross/queue-microtask,207021895,51,5,5,1,7824,46,5,1,7609,6,1,1,10000,B,2026-05-19T11:23:02+00:00,2026-05-19T11:23:51+00:00
feross/run-parallel,18700638,90,5,4,1,8642,81,4,1,8489,3,1,1,10000,A,2026-05-19T11:23:03+00:00,2026-05-19T11:23:51+00:00
feross/safe-buffer,49538897,85,8,7,1,7770,72,7,1,7396,0,0,0,0,B,2026-05-19T11:23:04+00:00,2026-05-19T11:23:51+00:00
ffmpeg/ffmpeg,1614410,106837,312,312,5,990,115329,2270,8,588,21288,574,4,987,D,2026-05-19T11:23:08+00:00,2026-05-19T11:23:51+00:00
firebase/firebase-js-sdk,89290483,4368,213,209,4,898,4232,226,6,701,1890,115,5,868,D,2026-05-19T11:23:07+00:00,2026-05-19T11:23:52+00:00
floating-ui/floating-ui,54994103,2384,120,118,1,4400,2235,124,1,4600,1429,98,1,6349,C,2026-05-19T11:23:09+00:00,2026-05-19T11:23:52+00:00
follow-redirects/follow-redirects,6697086,375,33,32,1,5365,359,35,1,5254,88,14,1,6874,B,2026-05-19T11:23:09+00:00,2026-05-19T11:23:52+00:00
fontconfig/fontconfig,926884194,2490,126,126,2,2824,2813,154,2,2010,451,53,1,4126,D,2026-05-19T11:23:12+00:00,2026-05-19T11:23:53+00:00
form-data/form-data,1755793,331,40,40,1,2953,260,47,2,1851,60,8,1,5728,D,2026-05-19T11:23:12+00:00,2026-05-19T11:23:54+00:00
formatjs/formatjs,19117456,5842,322,317,1,4360,6371,349,1,4765,2348,158,1,6260,C,2026-05-19T11:23:15+00:00,2026-05-19T11:23:54+00:00
freedesktop-unofficial-mirror/cairo,34372735,9963,147,147,2,1946,11122,218,2,1571,0,0,0,0,D,2026-05-19T11:23:15+00:00,2026-05-19T11:23:54+00:00
freetype/freetype,187000659,6914,165,165,1,4574,8545,231,1,3196,1498,92,2,2922,C,2026-05-19T11:23:17+00:00,2026-05-19T11:23:55+00:00
frenic/csstype,104001328,367,13,12,1,9195,345,12,1,9147,73,5,1,8426,A,2026-05-19T11:23:18+00:00,2026-05-19T11:23:55+00:00
frommi/miniz_oxide,96124162,525,57,57,2,3633,506,59,1,3621,170,34,1,5433,C,2026-05-19T11:23:19+00:00,2026-05-19T11:23:56+00:00
fsevents/fsevents,1402936,239,33,33,2,2037,231,35,2,1827,20,6,1,4100,D,2026-05-19T11:23:20+00:00,2026-05-19T11:23:56+00:00
fsspec/filesystem_spec,130727736,1676,301,301,3,1524,2069,319,2,2310,1106,242,4,1341,D,2026-05-19T11:23:24+00:00,2026-05-19T11:23:57+00:00
fsspec/s3fs,53987953,734,134,134,3,1858,841,151,2,1947,353,92,2,1825,D,2026-05-19T11:23:24+00:00,2026-05-19T11:23:57+00:00
garycourt/uri-js,989080,81,9,8,1,7998,66,11,1,6706,4,2,1,6250,B,2026-05-19T11:23:25+00:00,2026-05-19T11:23:58+00:00
gcc-mirror/gcc,22711503,94958,183,183,13,328,229021,2545,29,126,43396,814,21,187,D,2026-05-19T11:23:29+00:00,2026-05-19T11:23:58+00:00
getsentry/sentry-javascript,3328572,12510,407,402,6,563,12503,668,7,509,8043,335,4,830,D,2026-05-19T11:23:30+00:00,2026-05-19T11:23:58+00:00
giampaolo/psutil,20101515,6616,205,205,1,7791,6164,226,1,7384,725,81,1,6508,B,2026-05-19T11:23:30+00:00,2026-05-19T11:23:58+00:00
git/git,36502,74349,425,425,4,1536,59882,2305,15,345,12794,539,7,530,D,2026-05-19T11:23:34+00:00,2026-05-19T11:23:59+00:00
gitlab-freedesktop-mirrors/libxcb,444023705,257,7,7,1,4247,296,21,2,3062,0,0,0,0,C,2026-05-19T11:23:32+00:00,2026-05-19T11:24:00+00:00
gitoxidelabs/gitoxide,136510559,15305,187,183,1,7346,14182,193,1,7067,11913,176,1,6913,B,2026-05-19T11:23:34+00:00,2026-05-19T11:24:00+00:00
gitpython-developers/gitdb,1126093,443,34,33,1,4972,366,35,1,4403,69,16,2,1736,C,2026-05-19T11:22:36+00:00,2026-05-19T11:24:01+00:00
gitpython-developers/smmap,1865144,236,18,15,1,3505,194,17,1,3191,65,6,1,3416,C,2026-05-19T11:22:37+00:00,2026-05-19T11:24:02+00:00
gkz/levn,13287279,47,3,2,1,9535,41,2,1,9460,4,0,0,0,A,2026-05-19T11:22:37+00:00,2026-05-19T11:17:29+00:00
gkz/optionator,13435927,96,6,5,1,9145,86,5,1,9043,11,2,1,7551,A,2026-05-19T11:22:38+00:00,2026-05-19T11:24:03+00:00
gkz/prelude-ls,4457759,229,12,11,1,7190,198,11,1,6954,6,0,0,0,B,2026-05-19T11:22:39+00:00,2026-05-19T11:24:04+00:00
gkz/type-check,13182168,50,3,2,1,9524,40,3,1,8772,7,0,0,0,A,2026-05-19T11:22:39+00:00,2026-05-19T11:24:04+00:00
gmp-mirror/gmp,681340775,8640,12,12,1,7431,18260,20,2,3688,284,5,2,3576,C,2026-05-19T11:22:40+00:00,2026-05-19T11:24:05+00:00
gnome/gdk-pixbuf,4533539,2928,160,160,5,824,6353,613,31,276,363,80,2,2013,D,2026-05-19T11:22:41+00:00,2026-05-19T11:24:06+00:00
gnome/glib,4537082,25134,258,258,5,952,28860,1366,11,522,6237,479,4,1320,D,2026-05-19T11:22:43+00:00,2026-05-19T11:24:06+00:00
gnome/libxml2,4537118,4025,271,271,1,5161,7790,372,2,3066,2713,99,1,8019,C,2026-05-19T11:22:44+00:00,2026-05-19T11:24:07+00:00
gnome/pango,4537144,6050,156,156,2,2569,6038,217,2,1971,1286,83,1,6109,D,2026-05-19T11:22:44+00:00,2026-05-19T11:24:07+00:00
gnutls/gnutls,58873704,17516,216,216,1,6122,21196,258,1,4441,1212,97,1,3540,C,2026-05-19T11:22:46+00:00,2026-05-19T11:24:09+00:00
gnutls/libtasn1,59017205,1376,17,17,1,5098,1626,23,1,4405,83,6,1,7376,C,2026-05-19T11:22:46+00:00,2026-05-19T11:24:10+00:00
gnutls/nettle,59017402,4707,48,48,1,8960,4759,70,1,8364,579,19,1,6596,A,2026-05-19T11:22:47+00:00,2026-05-19T11:24:11+00:00
google/brotli,24993138,1411,121,120,2,2979,1079,125,2,2617,316,52,1,4299,C,2026-05-19T11:22:48+00:00,2026-05-19T11:24:11+00:00
google/zerocopy,534354967,1656,72,70,2,3692,1660,72,2,3672,1417,62,2,3546,C,2026-05-19T11:22:49+00:00,2026-05-19T11:24:12+00:00
googleapis/google-cloud-python,16316451,60398,399,392,5,666,60277,1040,6,566,38476,554,3,1146,D,2026-05-19T11:22:51+00:00,2026-05-19T11:24:12+00:00
googlechrome/workbox,55424670,1310,77,76,2,2787,1335,81,2,2540,262,26,2,2302,C,2026-05-19T11:22:51+00:00,2026-05-19T11:24:12+00:00
gpg/libgpg-error,42075984,761,35,35,1,7813,1416,49,2,2939,305,17,1,4203,C,2026-05-19T11:22:52+00:00,2026-05-19T11:24:12+00:00
grahamdumpleton/wrapt,10357291,1232,34,34,1,8462,1121,37,1,8172,503,18,1,7742,A,2026-05-19T11:22:53+00:00,2026-05-19T11:24:13+00:00
graydon/exhaustigen-rs,432630522,1,1,1,1,10000,1,1,1,10000,1,1,1,10000,A,2026-05-19T11:22:54+00:00,2026-05-19T11:24:14+00:00
gregberge/svgr,102155012,643,125,124,1,5733,585,132,1,5150,188,67,1,3456,B,2026-05-19T11:22:55+00:00,2026-05-19T11:24:14+00:00
grncdr/merge-stream,10579821,65,10,10,2,2800,54,11,2,2469,0,0,0,0,D,2026-05-19T11:22:56+00:00,2026-05-19T11:24:14+00:00
grpc/grpc,27729880,54278,304,302,7,635,40916,1059,9,545,9541,439,6,760,D,2026-05-19T11:22:58+00:00,2026-05-19T11:24:15+00:00
gsnedders/python-webencodings,7043404,46,6,6,1,4197,43,6,1,4278,0,0,0,0,C,2026-05-19T11:22:58+00:00,2026-05-19T11:24:16+00:00
guillaumegomez/doc-comment,127254922,59,2,2,1,9667,44,2,1,9556,0,0,0,0,A,2026-05-19T11:22:59+00:00,2026-05-19T11:24:16+00:00
gulpjs/glob-parent,29154915,89,10,9,2,3210,89,10,2,2853,23,4,2,3000,C,2026-05-19T11:23:01+00:00,2026-05-19T11:24:17+00:00
gweis/isodate,6449370,115,18,18,2,2714,163,21,1,4037,27,4,2,3827,C,2026-05-19T11:23:02+00:00,2026-05-19T11:24:18+00:00
gyscos/zstd-rs,52115335,551,65,64,1,5965,527,65,1,5892,241,47,1,4867,B,2026-05-19T11:23:04+00:00,2026-05-19T11:24:18+00:00
hapijs/hoek,5831189,541,48,48,3,1357,573,55,3,1855,37,10,3,1790,D,2026-05-19T11:23:04+00:00,2026-05-19T11:24:19+00:00
harfbuzz/harfbuzz,5050525,21225,261,259,1,5281,20567,288,1,5266,8162,153,1,5301,B,2026-05-19T11:23:07+00:00,2026-05-19T11:24:19+00:00
hiddentao/fast-levenshtein,9490451,63,9,9,1,7113,56,10,1,6505,0,0,0,0,B,2026-05-19T11:23:07+00:00,2026-05-19T11:24:23+00:00
httplib2/httplib2,53002916,442,62,61,1,3271,557,72,2,2283,58,19,1,4287,D,2026-05-19T11:23:08+00:00,2026-05-19T11:24:24+00:00
hukkin/tomli,370616797,333,15,14,1,4732,312,13,1,8898,290,10,1,9226,A,2026-05-19T11:23:10+00:00,2026-05-19T11:24:24+00:00
hyperium/http,84983058,476,125,125,3,1426,451,131,3,1296,146,69,5,1077,D,2026-05-19T11:23:11+00:00,2026-05-19T11:24:25+00:00
hyperium/http-body,183281612,118,27,27,2,1856,118,27,2,1856,88,23,3,1477,D,2026-05-19T11:23:13+00:00,2026-05-19T11:24:25+00:00
iarna/aproba,31432421,47,6,6,1,8008,47,6,1,8008,2,2,1,5000,A,2026-05-19T11:23:13+00:00,2026-05-19T11:24:26+00:00
import-js/eslint-plugin-import,32238354,2256,350,350,2,2332,2147,390,2,2020,531,141,1,2861,D,2026-05-19T11:23:17+00:00,2026-05-19T11:24:27+00:00
indexmap-rs/indexmap,68294628,1000,52,52,1,4244,769,58,2,3579,319,39,1,5826,C,2026-05-19T11:23:16+00:00,2026-05-19T11:24:28+00:00
indutny/bn.js,19176350,411,28,28,1,5049,428,32,1,4488,15,7,1,3867,C,2026-05-19T11:23:18+00:00,2026-05-19T11:24:29+00:00
indygreg/python-zstandard,67307930,1512,44,44,1,8824,1510,46,1,8798,385,27,1,7263,A,2026-05-19T11:23:20+00:00,2026-05-19T11:24:29+00:00
inikulin/parse5,8862593,1795,37,36,1,5672,1838,40,1,5448,1101,15,1,5210,B,2026-05-19T11:23:21+00:00,2026-05-19T11:24:29+00:00
inspect-js/array-buffer-byte-length,607836784,28,1,1,1,10000,28,1,1,10000,25,1,1,10000,A,2026-05-19T11:23:22+00:00,2026-05-19T11:24:29+00:00
inspect-js/available-typed-arrays,235965505,68,3,3,1,9425,68,3,1,9425,38,3,1,8989,A,2026-05-19T11:23:23+00:00,2026-05-19T11:24:30+00:00
inspect-js/functions-have-names,198357138,62,1,1,1,10000,62,1,1,10000,16,1,1,10000,A,2026-05-19T11:23:25+00:00,2026-05-19T11:24:30+00:00
inspect-js/has-bigints,201714166,56,2,2,1,9649,56,2,1,9649,24,2,1,9201,A,2026-05-19T11:23:26+00:00,2026-05-19T11:24:30+00:00
inspect-js/has-property-descriptors,481834578,19,1,1,1,10000,19,1,1,10000,18,1,1,10000,A,2026-05-19T11:23:28+00:00,2026-05-19T11:24:30+00:00
inspect-js/has-proto,577580747,32,1,1,1,10000,32,1,1,10000,31,1,1,10000,A,2026-05-19T11:23:29+00:00,2026-05-19T11:24:31+00:00
inspect-js/has-symbols,68573418,68,1,1,1,10000,68,1,1,10000,31,1,1,10000,A,2026-05-19T11:23:31+00:00,2026-05-19T11:24:31+00:00
inspect-js/has-tostringtag,392913710,40,1,1,1,10000,40,1,1,10000,29,1,1,10000,A,2026-05-19T11:23:32+00:00,2026-05-19T11:24:31+00:00
inspect-js/hasown,703350811,25,2,2,1,9232,25,2,1,9232,18,1,1,10000,A,2026-05-19T11:23:34+00:00,2026-05-19T11:24:31+00:00
inspect-js/is-accessor-descriptor,41658954,99,3,3,1,5233,95,3,1,5262,48,1,1,10000,B,2026-05-19T11:22:36+00:00,2026-05-19T11:24:31+00:00
inspect-js/is-arguments,15725461,161,2,2,1,9877,161,2,1,9877,31,1,1,10000,A,2026-05-19T11:22:37+00:00,2026-05-19T11:24:32+00:00
inspect-js/is-array-buffer,45977026,64,3,2,1,5323,65,3,1,4956,39,2,1,8580,C,2026-05-19T11:22:37+00:00,2026-05-19T11:24:32+00:00
inspect-js/is-bigint,149682261,67,2,2,1,9706,67,2,1,9706,34,2,1,9429,A,2026-05-19T11:22:38+00:00,2026-05-19T11:24:32+00:00
inspect-js/is-boolean-object,34700259,103,1,1,1,10000,103,1,1,10000,39,1,1,10000,A,2026-05-19T11:22:39+00:00,2026-05-19T11:24:32+00:00
inspect-js/is-callable,30012910,354,8,7,1,9608,354,7,1,9608,52,1,1,10000,A,2026-05-19T11:22:39+00:00,2026-05-19T11:24:33+00:00
inspect-js/is-core-module,24578130,114,4,4,1,9483,,,,,,,,,,2026-05-19T11:22:40+00:00,
inspect-js/is-data-descriptor,41659073,80,4,4,1,5053,77,4,1,5112,50,2,1,9608,B,2026-05-19T11:22:41+00:00,2026-05-19T11:24:33+00:00
inspect-js/is-data-view,751048078,20,1,1,1,10000,20,1,1,10000,20,1,1,10000,A,2026-05-19T11:22:42+00:00,2026-05-19T11:24:33+00:00
inspect-js/is-date-object,29991041,101,1,1,1,10000,101,1,1,10000,34,1,1,10000,A,2026-05-19T11:22:43+00:00,2026-05-19T11:24:33+00:00
inspect-js/is-descriptor,41658845,87,5,5,1,4795,82,5,1,4813,31,1,1,10000,C,2026-05-19T11:22:44+00:00,2026-05-19T11:24:34+00:00
inspect-js/is-number-object,29991666,104,1,1,1,10000,104,1,1,10000,39,1,1,10000,A,2026-05-19T11:22:45+00:00,2026-05-19T11:24:34+00:00
inspect-js/is-regex,15930063,170,4,4,1,9651,170,4,1,9651,43,1,1,10000,A,2026-05-19T11:22:46+00:00,2026-05-19T11:24:34+00:00
inspect-js/is-string,30010185,99,1,1,1,10000,99,1,1,10000,38,1,1,10000,A,2026-05-19T11:22:47+00:00,2026-05-19T11:24:34+00:00
inspect-js/is-symbol,29791606,115,1,1,1,10000,115,1,1,10000,37,1,1,10000,A,2026-05-19T11:22:48+00:00,2026-05-19T11:24:34+00:00
inspect-js/is-typed-array,43528820,155,2,2,1,9872,155,2,1,9872,63,2,1,9688,A,2026-05-19T11:22:49+00:00,2026-05-19T11:24:35+00:00
inspect-js/node-supports-preserve-symlinks-flag,443970899,17,1,1,1,10000,17,1,1,10000,17,1,1,10000,A,2026-05-19T11:22:50+00:00,2026-05-19T11:24:35+00:00
inspect-js/object-inspect,11683441,206,10,10,1,9147,257,11,1,6227,89,4,1,9341,B,2026-05-19T11:22:51+00:00,2026-05-19T11:24:35+00:00
inspect-js/typed-array-buffer,649850465,31,1,1,1,10000,31,1,1,10000,28,1,1,10000,A,2026-05-19T11:22:52+00:00,2026-05-19T11:24:35+00:00
inspect-js/which-boxed-primitive,201685155,61,2,2,1,9678,61,2,1,9678,21,1,1,10000,A,2026-05-19T11:22:53+00:00,2026-05-19T11:24:35+00:00
inspect-js/which-typed-array,43708371,170,2,2,1,9883,170,2,1,9883,77,2,1,9744,A,2026-05-19T11:22:54+00:00,2026-05-19T11:24:36+00:00
ipython/traitlets,14993021,2008,101,99,3,1438,1405,111,4,1088,282,35,2,2527,D,2026-05-19T11:22:55+00:00,2026-05-19T11:24:36+00:00
isaacs/chownr,3858354,50,3,3,1,9224,55,5,1,7666,12,2,1,7222,B,2026-05-19T11:22:56+00:00,2026-05-19T11:24:36+00:00
isaacs/cliui,634056857,85,14,12,2,1917,120,14,2,1913,14,3,1,5702,D,2026-05-19T11:22:57+00:00,2026-05-19T11:24:37+00:00
isaacs/core-util-is,12391440,24,4,4,1,6458,26,6,1,5533,8,1,1,10000,B,2026-05-19T11:22:58+00:00,2026-05-19T11:24:37+00:00
isaacs/fs-minipass,102982143,86,10,8,1,4317,86,8,1,4317,38,4,1,5350,C,2026-05-19T11:23:00+00:00,2026-05-19T11:24:37+00:00
isaacs/fs.realpath,61231712,12,1,1,1,10000,14,2,1,7551,6,2,1,5556,B,2026-05-19T11:23:01+00:00,2026-05-19T11:24:37+00:00
isaacs/inherits,1580001,31,5,5,1,7627,34,7,1,6384,8,3,1,4688,B,2026-05-19T11:23:02+00:00,2026-05-19T11:24:37+00:00
isaacs/isexe,49804297,37,1,1,1,10000,38,2,1,9488,11,2,1,8347,A,2026-05-19T11:23:03+00:00,2026-05-19T11:24:38+00:00
isaacs/minimatch,2056549,371,30,30,1,8255,377,36,1,7947,173,18,1,7831,B,2026-05-19T11:23:05+00:00,2026-05-19T11:24:38+00:00
isaacs/minipass,84886212,272,10,10,1,9140,275,12,1,8942,114,7,1,8338,A,2026-05-19T11:23:13+00:00,2026-05-19T11:24:38+00:00
isaacs/minizlib,86429676,91,5,5,1,8940,93,6,1,8564,20,5,1,5800,A,2026-05-19T11:23:07+00:00,2026-05-19T11:24:38+00:00
isaacs/node-glob,357681,775,48,48,1,8561,779,54,1,8332,300,22,1,8467,A,2026-05-19T11:23:08+00:00,2026-05-19T11:24:38+00:00
isaacs/node-graceful-fs,2077020,227,28,28,1,6661,229,31,1,6406,34,10,1,4360,B,2026-05-19T11:23:09+00:00,2026-05-19T11:24:39+00:00
isaacs/node-lru-cache,679662,571,49,49,1,7981,584,60,1,7630,319,25,1,8497,B,2026-05-19T11:23:11+00:00,2026-05-19T11:24:39+00:00
isaacs/node-mkdirp,2718248,83,9,9,1,7756,148,12,2,4142,40,4,1,7712,C,2026-05-19T11:23:13+00:00,2026-05-19T11:24:39+00:00
isaacs/node-tar,1534331,800,46,44,1,7891,797,46,1,7884,182,14,1,6210,B,2026-05-19T11:23:14+00:00,2026-05-19T11:24:39+00:00
isaacs/once,5409660,23,6,6,1,6219,25,7,1,5328,8,2,1,6250,B,2026-05-19T11:23:15+00:00,2026-05-19T11:24:40+00:00
isaacs/package-json-from-dist,800543709,6,1,1,1,10000,6,1,1,10000,6,1,1,10000,A,2026-05-19T11:23:16+00:00,2026-05-19T11:24:40+00:00
isaacs/path-scurry,591569499,127,5,5,1,9232,127,5,1,9232,122,5,1,9202,A,2026-05-19T11:23:19+00:00,2026-05-19T11:24:40+00:00
isaacs/rimraf,1341324,352,32,32,1,7518,354,34,1,7385,158,13,1,7336,B,2026-05-19T11:23:19+00:00,2026-05-19T11:24:40+00:00
isaacs/sax-js,508894,255,37,37,1,5753,264,45,1,5260,28,5,1,3520,B,2026-05-19T11:23:21+00:00,2026-05-19T11:24:40+00:00
isaacs/wrappy,24208073,16,7,7,2,2578,16,7,2,2578,1,1,1,10000,C,2026-05-19T11:23:22+00:00,2026-05-19T11:24:41+00:00
isaacs/yallist,48222381,63,2,2,1,9385,65,3,1,8826,14,2,1,7551,A,2026-05-19T11:23:24+00:00,2026-05-19T11:24:41+00:00
istanbuljs/istanbuljs,81482340,545,119,117,2,1765,662,121,3,1669,112,35,3,1368,D,2026-05-19T11:23:26+00:00,2026-05-19T11:24:41+00:00
istanbuljs/schema,211950686,30,2,1,1,10000,30,1,1,10000,2,1,1,10000,A,2026-05-19T11:23:27+00:00,2026-05-19T11:24:41+00:00
istanbuljs/test-exclude,60489570,98,16,14,1,3692,126,14,2,3464,5,1,1,10000,C,2026-05-19T11:23:28+00:00,2026-05-19T11:24:42+00:00
