repo,repo_id,active_contributors,hhi_commits,bus_factor_commits,loc,concentration_class,complexity_class
aiyaapp/aiyaeffectsandroid,84385164,1,10000,1,0,A,
akai-katto/dandere2x,171577816,5,8371,1,0,A,
akemin-dayo/appsync,19905299,4,9369,1,0,A,
akheron/jansson,183362,10,3989,1,0,C,
akopytov/sysbench,31806094,2,5719,1,0,B,
aksnzhy/xlearn,93925242,1,10000,1,0,A,
akylas/oss-documentscanner,283503342,70,7466,1,0,B,
alan-crl/inkeys,694066978,3,9817,1,0,A,
alandefreitas/matplotplusplus,291173540,39,2573,2,0,C,
albar965/littlenavmap,62588725,8,8306,1,0,A,
albertlauncher/albert,22259044,2,9963,1,0,A,
albertodemichelis/squirrel,48373929,10,1243,4,0,D,
albfan/miraclecast,22542684,13,6181,1,0,B,
aldostools/webman-mod,52849620,23,9128,1,0,A,
alecthomas/entityx,6377564,4,3061,2,0,C,
alekmaul/pvsneslib,32628824,23,5048,1,0,B,
aleksoid1978/mpc-be,453620090,17,4943,1,0,C,
aleksoid1978/videorenderer,122810316,5,6137,1,0,B,
alembic/alembic,21405257,14,6730,1,0,B,
alephsecurity/xnu-qemu-arm64,190453050,1,10000,1,0,A,
alex-spataru/qsimpleupdater,26097294,7,2789,2,0,C,
alexaltea/orbital,108667201,1,10000,1,0,A,
alexandrerouma/sdrplusplus,271154586,58,6799,1,0,B,
alexays/waybar,144071425,75,472,8,0,D,
alexbatalov/fallout1-ce,599573253,7,8214,1,0,A,
alexbatalov/fallout2-ce,493957253,24,8236,1,0,A,
alexdobin/star,17778869,8,8592,1,0,A,
alexfanw/huster-cs,229448035,1,10000,1,0,A,
alexfru/smallerc,6812127,3,5533,1,0,B,
alexgalhardo/software-engineering,237513443,1,10000,1,0,A,
alexkay/spek,2057149,8,4244,1,0,C,
alexliniger/mpcc,151059718,2,5000,1,0,B,
alfiecg24/trollinstallerx,766661694,3,7404,1,0,B,
alibaba/alios-things,101866073,25,1536,3,0,D,
alibaba/alisql,64289545,4,2800,2,0,C,
alibaba/async_simple,460260102,30,2300,2,0,D,
alibaba/gaiax,456772654,20,6426,1,0,B,
alibaba/graph-learn,250229724,13,2345,2,0,D,
