repo,repo_id,openssf_score,cve_count_5y,ossfuzz_enrolled,fetched_at
coveragepy/coveragepy,138421996,7.7,0,False,2026-04-27
cpburnz/python-pathspec,14648551,5.3,0,True,2026-04-27
criterion-rs/criterion.rs,1081104682,5.7,0,False,2026-04-27
crossbeam-rs/crossbeam,35566048,6.3,9,False,2026-04-27
crypto-browserify/randombytes,29300004,3.6,0,False,2026-04-27
css-modules/icss-utils,42766912,2.9,0,False,2026-04-27
cssnano/cssnano,33943153,7.5,0,False,2026-04-27
csstools/postcss-plugins,219192307,7.5,0,False,2026-04-27
csstree/csstree,67236461,3.9,0,False,2026-04-27
cuviper/autocfg,135481335,3.6,0,False,2026-04-27
cyan4973/xxhash,19330466,7.3,,False,2026-04-06
daaku/nodejs-makeerror,2097803,2.5,0,False,2026-04-27
daaku/nodejs-tmpl,2171213,2.6,1,False,2026-04-27
dateutil/dateutil,26876372,5.3,0,True,2026-04-27
davepacheco/node-extsprintf,4058064,3.4,0,False,2026-04-27
davidhalter/parso,90668463,5.6,0,True,2026-04-27
davisjam/safe-regex,90781457,3.3,0,False,2026-04-27
dchest/tweetnacl-js,15649752,2.0,0,False,2026-04-27
dcodeio/long.js,8678904,3.3,0,False,2026-04-27
dcodeio/protobuf.js,8507859,5.9,0,False,2026-04-27
debug-js/debug,2871998,3.5,2,False,2026-04-27
definitelytyped/definitelytyped,6093316,7.0,0,False,2026-04-27
django/asgiref,48501860,4.4,0,False,2026-04-27
djc/rustc-version-rs,41272773,4.2,0,False,2026-04-27
dmitrysoshnikov/regexp-tree,85459304,3.0,0,False,2026-04-27
dominictarr/through,4885140,2.7,0,False,2026-04-27
doowb/ansi-colors,47135420,3.0,0,False,2026-04-27
douglasdwyer/wasm_sync,668034655,2.2,0,False,2026-04-27
dougwilson/nodejs-depd,20848667,3.3,0,False,2026-04-27
dtolnay/anyhow,212936374,5.4,0,False,2026-04-27
dtolnay/automod,173074854,4.3,0,False,2026-04-27
dtolnay/dissimilar,229514821,5.2,0,False,2026-04-27
dtolnay/indoc,54252316,4.8,0,False,2026-04-27
dtolnay/itoa,61962375,5.5,0,True,2026-04-27
dtolnay/no-panic,143469762,4.5,0,False,2026-04-27
dtolnay/paste,155652490,4.3,1,False,2026-04-27
dtolnay/proc-macro2,91860126,5.4,0,False,2026-04-27
dtolnay/quote,67273122,5.4,0,False,2026-04-27
dtolnay/ref-cast,106295902,4.7,0,False,2026-04-27
dtolnay/rustversion,183990447,4.5,0,False,2026-04-27
