repo,repo_id,total_commits_lifetime,total_contributors_lifetime,active_contributors,hhi_commits_lifetime,bf_commits_lifetime,concentration_fetched_at,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,sast_findings_total,sast_findings_error,sast_findings_security,bestpractices_badge_id,security_fetched_at,github_sponsors,funding_class,has_funding_yml,funding_yml_platforms,has_funding_json,foundation_host,funding_fetched_at,stars,forks,watchers,visibility_fetched_at,repo_age_years_2025_eoy,active_contributors,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,loc_per_ac,cve_per_ac,nni_per_ac,loc_per_ac_pctl,cve_per_ac_pctl,nni_per_ac_pctl,workload_burden_percentile,workload_class,workload_fetched_at
aio-libs/aiosignal,205007356,802,13,9,108,9,2026-04-27T23:50:02+00:00,653,329,32,9.73,18,0.69,13,2025,581,18592,4.1986,39.11,7.4,openssf_local,0,False,1,1,1,,2026-05-03T17:32:33+01:00,3,B,False,,False,,2026-04-28T00:16:13+00:00,163,21,8,2026-04-27T13:18:12Z,6.3,9,10,True,5,2026-04-22T10:29:32Z,7,7,1.0,0,1.0,1.1,0.0714,72.5556,0.0,0.0,36.23,39.03,27.49,33.87,C,2026-04-27T13:18:12Z
aio-libs/async-timeout,67703198,420,26,21,663,21,2026-04-27T23:50:04+00:00,690,531,81,15.25,27,0.4,4,2025,975,78975,5.7213,45.99,5.9,openssf_local,0,False,0,0,0,,2026-04-27T16:03:32+01:00,3,B,False,,False,,2026-04-28T00:16:14+00:00,572,58,14,2026-04-27T13:18:12Z,9.3,21,0,True,5,2026-03-16T16:26:48Z,13,12,0.923,1,-0.9,-1.0,-0.0385,32.8571,0.0,0.0476,16.85,39.03,39.75,29.68,D,2026-04-27T13:18:12Z
aio-libs/frozenlist,204197530,932,20,15,666,15,2026-04-27T23:50:06+00:00,1646,1062,85,8.00,31,0.28,5,2025,1707,145095,6.2532,48.62,6.5,openssf_local,0,False,1,1,1,,2026-05-03T23:21:24+01:00,3,B,True,,False,,2026-04-28T00:16:14+00:00,121,36,8,2026-04-27T13:18:12Z,6.4,15,0,True,5,2026-04-06T16:26:17Z,37,35,0.946,2,0.1,0.6,0.0676,109.7333,0.0,0.1333,46.19,39.03,48.43,44.36,C,2026-04-27T13:18:12Z
aio-libs/multidict,51206425,1664,63,56,1596,2,2026-04-27T23:50:08+00:00,16654,13446,2267,16.86,2300,2.31,59,2025,29738,67416046,15.0109,81.19,7.4,openssf_local,0,True,2,1,2,,2026-04-27T21:27:58+01:00,3,B,True,"open_collective,tidelift,- https",False,,2026-05-17T23:35:54+00:00,490,122,14,2026-04-27T13:18:12Z,9.9,56,10,True,5,2026-04-25T15:12:01Z,54,54,1.0,0,4.6,6.1,0.1389,297.3929,0.0,0.0,70.72,39.03,27.49,42.33,C,2026-04-27T13:18:12Z
aio-libs/propcache,866565706,183,13,11,1626,3,2026-04-27T23:50:12+00:00,2076,1280,104,8.12,50,0.42,5,2025,3274,340496,7.1049,53.78,6.8,openssf_local,0,False,2,2,2,,2026-04-27T21:28:15+01:00,3,B,True,,False,,2026-04-28T00:16:15+00:00,33,18,7,2026-04-27T13:18:12Z,1.2,11,9,True,2,2026-04-22T21:34:21Z,16,14,0.875,2,2.2,2.2,0.0,188.7273,0.0,0.1818,60.64,39.03,53.42,50.19,B,2026-04-27T13:18:12Z
aio-libs/yarl,64756820,1921,102,91,1233,3,2026-04-27T23:50:14+00:00,10405,7711,673,8.73,909,0.92,59,2025,15972,10749156,11.8900,70.99,7.4,openssf_local,0,True,1,1,1,,2026-04-27T16:08:08+01:00,3,B,True,,False,,2026-04-28T00:16:15+00:00,1479,188,22,2026-04-27T13:18:12Z,9.4,91,10,True,5,2026-04-22T11:53:35Z,105,92,0.876,13,2.3,2.0,-0.0143,114.3407,0.0,0.1429,47.76,39.03,49.55,45.2,B,2026-04-27T13:18:12Z
ajv-validator/ajv,35914020,2721,212,190,5738,1,2026-04-27T23:50:16+00:00,26567,23033,1934,8.4,1816,0.87,133,2024,22166,42869044,14.2830,78.90,6.6,openssf_local,1,False,8,0,8,in_progress,2026-04-27T14:57:00+01:00,18,C,True,"github,tidelift,open_collective",False,,2026-04-28T00:16:16+00:00,14689,956,110,2026-04-27T13:18:12Z,10.6,190,8,True,4,2026-04-24T13:46:23Z,721,529,0.734,192,-60.4,-43.1,0.12,139.8263,0.0053,1.0105,53.14,80.68,91.66,73.25,A,2026-04-27T13:18:12Z
ajv-validator/ajv-formats,281084700,109,11,9,6732,1,2026-04-27T23:50:19+00:00,674,606,19,3.14,20,0.53,6,2024,566,10754,3.5825,35.89,3.9,openssf_local,0,False,1,0,1,,2026-05-03T17:33:20+01:00,18,C,True,"github,open_collective",False,,2026-04-28T00:16:16+00:00,221,41,3,2026-04-27T13:18:12Z,5.4,9,0,True,2,2024-08-18T19:30:51Z,74,33,0.446,41,-5.2,-3.8,0.0946,74.8889,0.0,4.5556,37.23,39.03,99.27,52.45,B,2026-04-27T13:18:12Z
ajv-validator/ajv-keywords,60477053,366,26,16,6414,1,2026-05-17T23:35:35+00:00,1976,1703,109,6.4,114,0.6,31,2022,45,4905,3.3943,34.40,4.5,openssf_local,0,False,3,0,3,,2026-05-18T00:38:03+01:00,16,C,True,"github,tidelift",False,,2026-05-17T23:35:56+00:00,257,50,7,2026-04-27T13:03:00Z,9.6,16,,True,2,2023-04-17T03:40:20Z,28,14,0.5,14,-3.1,-1.8,0.2321,123.5,0.0,0.875,50.0,39.03,86.79,55.33,B,2026-04-27T13:03:00Z
alexcrichton/tar-rs,21946092,548,86,79,4042,1,2026-04-27T23:50:20+00:00,7941,5702,575,10.08,668,1.82,102,2025,4169,2397175,9.9931,63.65,7.6,openssf_local,2,True,0,0,0,,2026-05-03T23:21:24+01:00,0,A,False,,False,,2026-04-28T00:16:16+00:00,717,234,14,2026-04-27T13:18:12Z,11.5,79,10,True,5,2026-04-04T11:35:45Z,85,31,0.365,54,-1.5,-1.9,-0.0235,100.519,0.0253,0.6835,44.29,88.19,82.59,68.58,A,2026-04-27T13:18:12Z
