repo,repo_id,total_commits_lifetime,total_contributors_lifetime,active_contributors,hhi_commits_lifetime,bf_commits_lifetime,concentration_fetched_at,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile,openssf_score,openssf_score_source,cve_count_5y,ossfuzz_enrolled,sast_findings_total,sast_findings_error,sast_findings_security,bestpractices_badge_id,security_fetched_at,github_sponsors,funding_class,has_funding_yml,funding_yml_platforms,has_funding_json,foundation_host,funding_fetched_at,stars,forks,watchers,visibility_fetched_at,repo_age_years_2025_eoy,active_contributors,openssf_maintained,has_issues,push_cadence_years,pushed_at,issues_opened_5y,issues_closed_5y,issue_close_ratio,net_new_issues_5y,slope_opened,slope_closed,issue_trend_score,loc_per_ac,cve_per_ac,nni_per_ac,loc_per_ac_pctl,cve_per_ac_pctl,nni_per_ac_pctl,workload_burden_percentile,workload_class,workload_fetched_at
csstools/postcss-plugins,219192307,4893,141,125,3245,1,2026-04-27T23:50:19+00:00,93022,76635,8097,10.57,19754,3.02,407,2025,280640,2272342080,21.2934,92.32,7.5,openssf_local,0,False,30,12,30,,2026-04-27T14:54:34+01:00,6,B,True,"github,open_collective",False,,2026-04-28T00:16:05+00:00,1043,85,9,2026-04-27T13:18:15Z,6.2,125,10,True,5,2026-04-27T08:56:46Z,354,368,1.04,-14,-13.0,-11.9,0.0155,744.176,0.0,-0.112,84.6,39.03,12.04,34.13,C,2026-04-27T13:18:15Z
csstree/csstree,67236461,1249,30,27,9262,1,2026-04-27T23:50:20+00:00,19432,15350,1711,11.15,2548,1.87,178,2025,26568,45457848,14.3062,79.01,3.9,openssf_local,0,False,7,0,7,,2026-04-27T16:10:47+01:00,0,A,True,open_collective,False,,2026-04-28T00:16:06+00:00,2095,112,23,2026-04-27T13:18:15Z,9.3,27,10,True,5,2026-03-05T14:58:51Z,126,96,0.762,30,-0.2,-1.9,-0.0675,719.7037,0.0,1.1111,83.82,39.03,91.99,67.01,A,2026-04-27T13:18:15Z
curl/curl,569041,38542,1500,410,2938,1,2026-04-27T23:50:26+00:00,315586,220690,41225,18.68,48730,8.15,610,2025,701074,28901775650,26.9792,98.39,8.9,openssf_local,88,True,6,3,6,gold,2026-05-03T20:00:58+01:00,62,C,True,"github,open_collective",False,,2026-05-17T23:35:54+00:00,41686,7157,767,2026-04-27T18:55:26Z,15.8,410,10,True,5,2026-04-27T15:47:01Z,2720,2740,1.007,-20,-3.8,-0.2,0.0066,769.722,0.2146,-0.0488,84.83,98.71,16.52,51.71,B,2026-04-27T18:55:26Z
cuviper/autocfg,135481335,120,10,9,5938,1,2026-04-27T23:50:25+00:00,1425,889,75,8.44,61,0.73,8,2025,1216,91200,5.8029,46.22,3.6,openssf_local,0,False,0,0,0,,2026-04-27T16:09:08+01:00,0,A,False,,False,,2026-04-28T00:16:06+00:00,113,29,3,2026-04-27T13:18:15Z,7.6,9,0,True,3,2026-02-05T23:34:11Z,23,18,0.783,5,-0.5,0.0,0.1087,158.3333,0.0,0.5556,57.05,39.03,78.61,55.94,B,2026-04-27T13:18:15Z
cyan4973/xxhash,19330466,2073,124,113,5090,1,2026-04-27T23:50:27+00:00,63689,55764,1695,3.04,1375,2.91,92,2025,62296,105591720,15.4834,82.57,7.3,openssf_local,0,False,0,0,0,,2026-04-06T13:37:02+01:00,0,A,False,,False,,2026-04-28T00:16:07+00:00,10994,893,173,2026-04-27T13:18:15Z,11.7,113,10,True,5,2026-04-13T13:14:32Z,218,210,0.963,8,-10.1,-10.2,-0.0023,563.6195,0.0,0.0708,80.8,39.03,41.71,50.86,B,2026-04-27T13:18:15Z
daaku/nodejs-makeerror,2097803,22,2,2,8347,1,2026-04-27T23:50:28+00:00,248,188,18,9.57,20,0.95,15,2021,0,0,0.0000,7.28,2.5,openssf_local,0,False,0,0,0,,2026-04-27T17:06:43+01:00,0,A,False,,False,,2026-04-28T00:16:07+00:00,12,4,2,2026-04-27T13:18:15Z,14.4,2,0,True,1,2021-10-23T14:00:48Z,1,3,3.0,-2,-0.2,-0.6,,124.0,0.0,-1.0,50.34,39.03,0.73,11.27,D,2026-04-27T13:18:15Z
daaku/nodejs-tmpl,2171213,15,4,4,6533,1,2026-04-27T23:50:30+00:00,25,23,0,0,0,0,0,2021,4,0,0.0000,7.28,2.6,openssf_local,1,False,0,0,0,,2026-04-27T16:11:14+01:00,0,A,False,,False,,2026-04-28T00:16:07+00:00,20,24,5,2026-04-27T13:18:15Z,14.4,4,0,True,1,2022-10-23T17:00:57Z,1,1,1.0,0,-0.2,-0.2,,6.25,0.25,0.0,4.09,99.05,27.49,22.33,D,2026-04-27T13:18:15Z
dateutil/dateutil,26876372,1610,133,108,3698,1,2026-04-27T23:50:32+00:00,18978,14234,1504,10.57,2258,1.56,205,2025,58997,88731488,15.1595,81.88,5.3,openssf_local,0,True,1,0,1,,2026-04-27T17:06:50+01:00,0,A,False,,False,,2026-04-28T00:16:08+00:00,2613,543,40,2026-04-27T13:18:15Z,11.1,108,10,True,5,2026-03-03T05:40:58Z,219,94,0.429,125,-5.3,-3.8,0.0342,175.7222,0.0,1.1574,59.41,39.03,92.33,59.82,A,2026-04-27T13:18:15Z
davidhalter/parso,90668463,1149,52,49,7603,1,2026-04-27T23:50:39+00:00,16709,12437,1788,14.38,2560,2.78,180,2025,895,1600260,9.6027,62.27,5.6,openssf_local,0,True,3,0,3,,2026-04-27T17:06:51+01:00,6,B,False,,False,,2026-04-28T00:16:08+00:00,672,116,17,2026-04-27T13:18:15Z,8.6,49,10,True,5,2026-04-03T20:09:17Z,34,30,0.882,4,-3.1,-3.6,-0.0735,341.0,0.0,0.0816,73.85,39.03,42.83,49.79,B,2026-04-27T13:18:15Z
davisjam/safe-regex,90781457,85,6,6,3271,1,2026-04-27T23:50:43+00:00,524,368,19,5.16,33,0.89,10,HEAD,0,0,0.0000,7.28,3.3,openssf_local,0,False,4,0,4,,2026-04-27T17:06:56+01:00,0,A,False,,False,,2026-04-28T00:16:09+00:00,192,11,4,2026-04-27T13:18:15Z,8.6,6,0,True,0,2022-11-01T15:52:16Z,3,0,0.0,3,-0.5,0.0,,87.3333,0.0,0.5,41.49,39.03,76.15,49.77,B,2026-04-27T13:18:15Z
dchest/tweetnacl-js,15649752,413,18,15,8831,1,2026-04-27T23:50:45+00:00,23914,23058,601,2.61,975,1.62,23,2025,2,1202,1.3262,20.30,2,openssf_local,0,False,0,0,0,,2026-04-27T17:06:59+01:00,0,A,False,,False,,2026-04-28T00:16:09+00:00,1922,295,40,2026-04-27T13:18:15Z,12.0,15,1,True,5,2025-08-15T11:43:43Z,22,24,1.091,-2,-1.8,-1.6,0.0455,1594.2667,0.0,-0.1333,91.88,39.03,10.69,33.72,C,2026-04-27T13:18:15Z
dcodeio/long.js,8678904,143,19,18,5403,1,2026-04-27T23:50:47+00:00,3715,2638,200,7.58,243,1.93,45,2025,14308,2861600,9.5712,62.16,3.3,openssf_local,0,False,0,0,0,,2026-04-27T15:08:26+01:00,1,B,True,github,False,,2026-04-28T00:16:10+00:00,921,207,21,2026-04-27T13:18:15Z,12.8,18,0,True,4,2025-04-17T17:32:07Z,22,37,1.682,-15,-1.9,0.2,0.4773,206.3889,0.0,-0.8333,62.65,39.03,1.57,15.65,D,2026-04-27T13:18:15Z
debug-js/debug,2871998,553,121,107,1553,3,2026-04-27T23:50:52+00:00,1013,648,71,10.96,,,,2021,153,10863,4.0630,38.19,3.5,openssf_local,2,False,0,0,0,,2026-04-27T14:53:40+01:00,0,A,False,,False,,2026-04-28T00:16:10+00:00,11443,968,133,2026-04-27T13:18:15Z,14.1,107,2,True,5,2026-04-01T12:03:30Z,152,117,0.77,35,-4.8,-5.4,-0.0197,9.4673,0.0187,0.3271,5.21,86.56,65.01,30.83,C,2026-04-27T13:18:15Z
definitelytyped/definitelytyped,6093316,91057,21992,385,47,385,2026-04-27T23:50:55+00:00,1106290,855347,25352,2.96,17344,0.07,780,2025,12417162,314799891024,31.2423,99.31,7,openssf_local,0,False,,,,,2026-04-27T14:52:37+01:00,0,A,False,,False,,2026-04-28T00:16:11+00:00,51205,30505,633,2026-04-27T13:18:15Z,13.2,385,10,True,5,2026-04-27T00:14:51Z,980,3982,4.063,-3002,-98.9,-678.0,-2.9546,2873.4805,0.0,-7.7974,95.24,39.03,0.06,5.93,D,2026-04-27T13:18:15Z
defunctzombie/node-process,7580644,74,16,15,3285,2,2026-05-17T23:35:34+00:00,385,338,26,7.69,,,,HEAD,0,0,0.0000,7.28,3.3,openssf_local,0,False,0,0,0,,2026-05-18T00:38:03+01:00,0,A,False,,False,,2026-05-17T23:35:55+00:00,129,67,11,2026-04-27T13:03:16Z,13.0,15,,True,0,2020-08-07T11:25:53Z,4,0,0.0,4,-0.2,0.0,,25.6667,0.0,0.2667,13.49,39.03,61.2,31.82,C,2026-04-27T13:03:16Z
django/asgiref,48501860,494,113,106,2379,2,2026-04-27T23:50:54+00:00,4621,3088,222,7.19,261,0.77,22,2025,4194,931068,8.5073,58.37,4.4,openssf_local,0,False,0,0,0,,2026-04-27T17:07:05+01:00,153,D,False,,False,,2026-04-28T00:16:11+00:00,1619,241,41,2026-04-27T13:18:15Z,10.0,106,5,True,5,2026-02-23T06:35:28Z,143,116,0.811,27,-3.4,-3.3,0.0035,43.5943,0.0,0.2547,23.24,39.03,60.41,37.98,C,2026-04-27T13:18:15Z
djc/rustc-version-rs,41272773,116,17,15,3125,2,2026-04-27T23:50:58+00:00,880,658,38,5.78,0,0,0,2024,1581,60078,5.0901,43.35,4.2,openssf_local,0,False,0,0,0,,2026-04-27T17:07:10+01:00,32,C,True,"github,patreon",False,,2026-04-28T00:16:12+00:00,64,23,3,2026-04-27T13:18:15Z,10.4,15,0,True,2,2024-08-28T09:21:44Z,7,17,2.429,-10,-0.7,-2.7,-1.4286,58.6667,0.0,-0.6667,31.19,39.03,2.41,14.31,D,2026-04-27T13:18:15Z
dmitrysoshnikov/regexp-tree,85459304,624,28,24,5042,1,2026-04-27T23:50:59+00:00,13601,9706,695,7.16,968,1.05,57,2025,223,154985,6.6808,51.26,3,openssf_local,0,False,3,1,3,,2026-04-27T17:07:13+01:00,0,A,False,,False,,2026-04-28T00:16:12+00:00,423,46,9,2026-04-27T13:18:15Z,8.8,24,0,True,5,2026-01-21T23:26:41Z,28,9,0.321,19,-1.5,0.2,0.3036,566.7083,0.0,0.7917,80.91,39.03,84.94,64.49,A,2026-04-27T13:18:15Z
doowb/ansi-colors,47135420,124,13,11,3848,1,2026-04-27T23:51:02+00:00,1042,896,42,4.69,30,0.65,7,2022,27,1134,2.3639,29.01,3,openssf_local,0,False,5,0,5,,2026-04-27T17:07:24+01:00,4,B,False,,False,,2026-04-28T00:16:13+00:00,453,35,6,2026-04-27T13:18:15Z,10.1,11,0,True,1,2022-07-11T19:47:40Z,6,1,0.167,5,-0.5,-0.2,0.25,94.7273,0.0,0.4545,42.72,39.03,73.12,49.59,B,2026-04-27T13:18:15Z
douglasdwyer/wasm_sync,668034655,4,1,1,10000,1,2026-04-27T23:51:05+00:00,1638,575,68,11.83,65,1.16,20,2024,1644,111792,5.9140,46.67,2.2,openssf_local,0,False,0,0,0,,2026-04-27T17:07:24+01:00,0,A,False,,False,,2026-04-28T00:16:13+00:00,16,1,1,2026-04-27T13:18:15Z,2.5,1,0,True,2,2024-01-19T23:07:46Z,1,1,1.0,0,0.1,0.1,,1638.0,0.0,0.0,92.44,39.03,27.49,46.29,B,2026-04-27T13:18:15Z
dougwilson/nodejs-depd,20848667,228,2,2,9913,1,2026-04-27T23:51:06+00:00,1966,1415,71,5.02,78,0.3,16,2021,0,0,0.0000,7.28,3.3,openssf_local,0,False,1,0,1,,2026-04-27T16:08:13+01:00,0,A,False,,False,,2026-04-28T00:16:14+00:00,329,40,5,2026-04-27T13:18:16Z,11.5,2,0,True,1,2024-09-03T21:31:02Z,6,2,0.333,4,-0.4,-0.3,0.0833,983.0,0.0,2.0,87.51,39.03,96.02,68.96,A,2026-04-27T13:18:16Z
dtolnay/anyhow,212936374,919,27,25,9274,1,2026-04-27T23:51:08+00:00,6234,4175,490,11.74,348,1.25,32,2025,7619,3733310,10.4467,65.71,5.4,openssf_local,0,False,0,0,0,,2026-04-27T16:05:55+01:00,130,D,True,github,False,,2026-04-28T00:16:14+00:00,6497,207,22,2026-04-27T13:18:16Z,6.2,25,10,True,5,2026-03-24T02:44:34Z,147,127,0.864,20,-4.7,-7.7,-0.102,249.36,0.0,0.8,67.47,39.03,85.27,60.78,A,2026-04-27T13:18:16Z
dtolnay/automod,173074854,130,5,5,9396,1,2026-04-27T23:51:11+00:00,231,132,22,16.67,22,2.75,15,2025,149,3278,2.9632,32.34,4.3,openssf_local,0,False,0,0,0,,2026-04-27T15:07:19+01:00,130,D,True,github,False,,2026-04-28T00:16:15+00:00,182,27,3,2026-04-27T13:18:16Z,6.8,5,0,True,5,2026-02-08T21:31:33Z,7,2,0.286,5,0.7,-0.2,-0.6429,46.2,0.0,1.0,25.59,39.03,89.53,44.71,C,2026-04-27T13:18:16Z
dtolnay/dissimilar,229514821,143,3,3,9321,1,2026-04-27T23:51:14+00:00,1987,1539,230,14.94,274,4.42,66,2025,605,139150,6.5767,50.92,5.2,openssf_local,0,False,0,0,0,,2026-04-27T16:08:52+01:00,130,D,True,github,False,,2026-04-28T00:16:15+00:00,238,16,9,2026-04-27T13:18:16Z,6.0,3,2,True,5,2026-03-15T18:00:06Z,10,8,0.8,2,-1.0,-0.5,0.25,662.3333,0.0,0.6667,82.03,39.03,82.25,64.09,A,2026-04-27T13:18:16Z
dtolnay/indoc,54252316,381,8,7,9432,1,2026-04-27T23:51:16+00:00,1329,871,61,7.00,102,1.29,37,2025,884,53924,5.2821,43.81,4.8,openssf_local,0,False,0,0,0,,2026-04-27T17:07:28+01:00,130,D,True,github,False,,2026-04-28T00:16:16+00:00,778,24,3,2026-04-27T13:18:16Z,9.8,7,4,True,5,2026-03-24T02:45:04Z,11,10,0.909,1,-0.2,0.2,0.1818,189.8571,0.0,0.1429,60.75,39.03,49.55,48.98,B,2026-04-27T13:18:16Z
dtolnay/itoa,61962375,327,15,14,8479,1,2026-04-27T23:49:18+00:00,618,434,39,8.99,19,1.12,8,2025,2270,88530,5.3769,44.38,5.5,openssf_local,0,True,0,0,0,,2026-04-27T17:07:36+01:00,130,D,True,github,False,,2026-04-28T00:16:16+00:00,368,44,5,2026-04-27T13:18:16Z,9.5,14,5,True,5,2026-03-20T00:12:41Z,12,16,1.333,-4,0.6,-0.1,-0.2917,44.1429,0.0,-0.2857,23.91,39.03,5.32,17.06,D,2026-04-27T13:18:16Z
dtolnay/no-panic,143469762,247,3,2,9599,1,2026-04-27T23:49:22+00:00,907,677,54,7.98,76,1.25,13,2025,689,37206,4.9406,42.66,4.5,openssf_local,0,False,0,0,0,,2026-04-27T16:08:20+01:00,130,D,True,github,False,,2026-04-28T00:16:16+00:00,1190,18,11,2026-04-27T13:18:16Z,7.4,2,3,True,5,2026-03-24T02:37:04Z,18,16,0.889,2,1.1,0.9,-0.0556,453.5,0.0,1.0,78.56,39.03,89.53,64.99,A,2026-04-27T13:18:16Z
dtolnay/proc-macro2,91860126,1284,31,30,7745,1,2026-04-27T23:49:25+00:00,7792,6090,671,11.02,428,0.93,44,2025,8264,5545144,11.0755,67.89,5.4,openssf_local,0,False,0,0,0,,2026-04-27T14:53:31+01:00,130,D,True,github,False,,2026-04-28T00:16:17+00:00,917,136,18,2026-04-27T13:18:16Z,8.6,30,5,True,5,2026-04-19T16:20:36Z,87,86,0.989,1,0.4,-3.1,-0.2011,259.7333,0.0,0.0333,68.14,39.03,38.35,46.72,B,2026-04-27T13:18:16Z
dtolnay/quote,67273122,742,27,26,8211,1,2026-04-27T23:49:26+00:00,3613,2358,118,5,47,0.32,9,2025,4116,485688,7.5022,55.28,5.4,openssf_local,0,False,0,0,0,,2026-04-27T14:53:54+01:00,130,D,True,github,False,,2026-04-28T00:16:17+00:00,1537,112,14,2026-04-27T13:18:16Z,9.3,26,10,True,5,2026-03-25T06:01:55Z,73,70,0.959,3,-0.5,-0.7,-0.0137,138.9615,0.0,0.1154,52.91,39.03,47.37,46.07,B,2026-04-27T13:18:16Z
dtolnay/ref-cast,106295902,280,4,4,9787,1,2026-04-27T23:49:31+00:00,1153,765,69,9.02,130,3.33,56,2025,853,58857,5.4088,44.61,4.7,openssf_local,0,False,0,0,0,,2026-04-27T16:08:46+01:00,130,D,True,github,False,,2026-04-28T00:16:18+00:00,219,20,6,2026-04-27T13:18:16Z,8.2,4,3,True,5,2026-03-24T02:43:31Z,15,17,1.133,-2,-0.4,-1.2,-0.2667,288.25,0.0,-0.5,69.82,39.03,3.19,20.56,D,2026-04-27T13:18:16Z
dtolnay/rustversion,183990447,207,3,3,9808,1,2026-04-27T23:49:34+00:00,1474,1127,132,11.71,188,2.58,50,2025,622,82104,5.9351,46.79,4.5,openssf_local,0,False,0,0,0,,2026-04-27T14:55:00+01:00,130,D,True,github,False,,2026-04-28T00:16:18+00:00,394,21,7,2026-04-27T13:18:16Z,6.7,3,2,True,5,2026-03-24T02:45:54Z,20,21,1.05,-1,0.2,0.2,0.0,491.3333,0.0,-0.3333,79.45,39.03,4.42,23.94,D,2026-04-27T13:18:16Z
dtolnay/ryu,142720484,402,8,6,9413,1,2026-04-27T23:49:35+00:00,3997,2960,371,12.53,153,1.49,41,2025,1010,374710,7.7238,56.54,5.5,openssf_local,0,True,0,0,0,,2026-04-27T17:07:37+01:00,130,D,True,github,False,,2026-04-28T00:16:19+00:00,694,38,10,2026-04-27T13:18:16Z,7.4,6,6,True,5,2026-02-16T03:08:30Z,8,8,1.0,0,-0.4,-0.7,-0.1875,666.1667,0.0,0.0,82.14,39.03,27.49,44.5,C,2026-04-27T13:18:16Z
dtolnay/semver,22432442,709,69,64,2542,2,2026-04-27T23:49:37+00:00,3125,2160,334,15.46,244,1.74,25,2025,7082,2365388,9.7220,62.73,5.4,openssf_local,0,False,0,0,0,,2026-04-27T17:07:38+01:00,130,D,True,github,False,,2026-04-28T00:16:19+00:00,663,141,8,2026-04-27T13:18:16Z,11.4,64,5,True,5,2026-04-04T00:25:17Z,53,99,1.868,-46,-3.3,-12.3,-0.8491,48.8281,0.0,-0.7188,27.16,39.03,1.96,12.76,D,2026-04-27T13:18:16Z
dtolnay/syn,67305738,5277,109,102,8575,1,2026-04-27T23:49:41+00:00,68824,58935,6880,11.67,7733,2.03,290,2025,86743,596791840,18.9512,88.53,5.8,openssf_local,0,False,0,0,0,,2026-04-27T14:54:32+01:00,130,D,True,github,False,,2026-04-28T00:16:19+00:00,3310,371,23,2026-04-27T13:18:16Z,9.3,102,10,True,5,2026-04-17T01:46:02Z,371,347,0.935,24,-4.5,-6.8,-0.031,674.7451,0.0,0.2353,82.47,39.03,58.34,57.26,B,2026-04-27T13:18:16Z
dtolnay/target-triple,734167706,43,1,1,10000,1,2026-04-27T23:49:42+00:00,73,56,2,3.57,1,0.5,1,2025,85,170,0.9230,17.66,4.2,openssf_local,0,False,0,0,0,,2026-04-27T16:09:35+01:00,130,D,True,github,False,,2026-04-28T00:16:20+00:00,16,3,1,2026-04-27T13:18:16Z,2.0,1,0,True,3,2025-12-20T17:59:41Z,0,0,,0,,,,73.0,0.0,0.0,36.62,39.03,27.49,34.0,C,2026-04-27T13:18:16Z
dtolnay/thiserror,213836768,827,21,21,9289,1,2026-04-27T23:49:43+00:00,5230,4217,463,10.98,559,2.61,99,2025,6178,2860414,10.1086,64.33,5,openssf_local,0,False,0,0,0,,2026-04-27T16:06:35+01:00,130,D,True,github,False,,2026-04-28T00:16:20+00:00,5412,206,21,2026-04-27T13:18:16Z,6.2,21,6,True,5,2026-03-24T02:34:35Z,157,141,0.898,16,-0.5,-1.1,-0.0191,249.0476,0.0,0.7619,67.36,39.03,84.38,60.53,A,2026-04-27T13:18:16Z
dtolnay/trybuild,184941159,709,26,26,8747,1,2026-04-27T23:49:45+00:00,4318,3616,386,10.67,291,2.02,30,2025,5677,2191322,9.7148,62.61,5.6,openssf_local,0,False,0,0,0,,2026-04-27T14:52:37+01:00,130,D,True,github,False,,2026-04-28T00:16:20+00:00,965,77,7,2026-04-27T13:18:16Z,6.7,26,7,True,5,2026-03-25T06:01:25Z,89,86,0.966,3,-2.8,-5.0,-0.1236,166.0769,0.0,0.1154,57.84,39.03,47.37,47.46,B,2026-04-27T13:18:16Z
dtolnay/unicode-ident,492639579,231,5,5,9406,1,2026-04-27T23:49:48+00:00,2494,2100,58,2.76,95,2.97,29,2025,6196,359368,6.7154,51.49,5.3,openssf_local,0,False,0,0,0,,2026-04-27T15:06:20+01:00,130,D,True,github,False,,2026-04-28T00:16:21+00:00,109,29,2,2026-04-27T13:18:16Z,3.6,5,10,True,4,2026-04-25T04:36:57Z,6,5,0.833,1,-0.2,-0.2,-0.0,498.8,0.0,0.2,79.56,39.03,55.43,55.63,B,2026-04-27T13:18:16Z
eemeli/yaml,119439276,1617,34,32,9309,1,2026-04-27T23:49:50+00:00,21825,19102,2624,13.74,1881,1.35,130,2025,79920,209710080,16.7628,84.98,7.8,openssf_local,1,False,0,0,0,,2026-04-27T17:07:46+01:00,5,B,False,,False,,2026-04-28T00:16:21+00:00,1657,150,15,2026-04-27T13:18:16Z,7.9,32,10,True,5,2026-04-24T13:42:02Z,232,219,0.944,13,-5.3,-5.9,-0.0129,682.0312,0.0312,0.4062,83.03,89.59,70.44,80.62,A,2026-04-27T13:18:16Z
ehmicky/human-signals,214467546,718,5,3,9532,1,2026-04-27T23:49:52+00:00,535,482,3,0.62,4,0.19,1,2025,1197,3591,1.8534,23.62,3.1,openssf_local,0,False,0,0,0,,2026-04-27T17:07:48+01:00,0,A,False,,False,,2026-04-28T00:16:22+00:00,286,14,1,2026-04-27T13:18:16Z,6.2,3,0,True,5,2025-05-25T23:03:22Z,4,4,1.0,0,-0.1,-0.1,,178.3333,0.0,0.0,59.63,39.03,27.49,40.0,C,2026-04-27T13:18:16Z
eliben/pycparser,10589864,655,92,79,4219,1,2026-04-27T23:49:54+00:00,23263,13157,1735,13.19,2939,3.22,196,2025,1784,3095240,10.5338,66.17,5.8,openssf_local,0,True,35,0,35,,2026-04-27T14:52:37+01:00,0,A,False,,False,,2026-04-28T00:16:22+00:00,3537,642,87,2026-04-27T13:18:16Z,12.6,79,6,True,5,2026-04-21T13:22:20Z,126,97,0.77,29,-3.9,-3.0,0.0357,294.4684,0.0,0.3671,70.49,39.03,68.37,57.29,B,2026-04-27T13:18:16Z
emotion-js/emotion,92570536,1865,329,302,1115,6,2026-04-27T23:50:00+00:00,30172,25572,1348,5.27,2145,1.32,231,2025,35251,47518348,14.2327,78.78,5.2,openssf_local,0,False,17,1,17,,2026-04-27T14:56:53+01:00,0,A,True,open_collective,False,,2026-04-28T00:16:22+00:00,18010,1133,93,2026-04-27T13:18:16Z,8.6,302,1,True,5,2025-11-04T12:47:00Z,566,325,0.574,241,-41.5,-30.1,0.1007,99.9073,0.0,0.798,44.18,39.03,85.05,52.73,B,2026-04-27T13:18:16Z
encode/httpcore,237210639,567,59,54,1310,6,2026-04-27T23:50:01+00:00,12969,10257,1079,10.52,762,1.14,18,2025,33298,35928542,13.7185,77.18,5.4,openssf_local,0,True,8,0,8,,2026-04-27T17:07:58+01:00,37,C,False,,False,,2026-04-28T00:16:23+00:00,540,164,23,2026-04-27T13:18:16Z,5.9,54,0,True,5,2026-01-08T03:07:35Z,117,123,1.051,-6,-4.6,-4.5,0.0043,240.1667,0.0,-0.1111,66.46,39.03,12.26,31.68,C,2026-04-27T13:18:16Z
encode/httpx,179492861,1523,247,230,2297,2,2026-04-27T23:50:04+00:00,17750,13656,1134,8.3,1093,0.96,49,2025,22064,25020576,13.2700,75.34,6.3,openssf_local,1,True,2,0,2,,2026-04-27T16:10:17+01:00,37,C,True,github,False,,2026-04-28T00:16:23+00:00,15243,1133,116,2026-04-27T13:18:16Z,6.7,230,0,False,5,2026-03-29T00:19:16Z,0,0,,0,,,,77.1739,0.0043,0.0,38.02,79.79,27.49,43.69,C,2026-04-27T13:18:16Z
epoberezkin/fast-deep-equal,94483360,123,15,11,4923,1,2026-04-27T23:50:07+00:00,914,875,25,2.86,15,0.43,6,HEAD,0,0,0.0000,7.28,3.1,openssf_local,0,False,0,0,0,,2026-04-27T15:05:30+01:00,18,C,True,"github,tidelift",False,,2026-04-28T00:16:24+00:00,2046,112,14,2026-04-27T13:18:16Z,8.5,11,0,True,0,2023-10-05T21:22:34Z,21,7,0.333,14,-0.5,-0.8,-0.0714,83.0909,0.0,1.2727,40.37,39.03,93.23,52.76,B,2026-04-27T13:18:16Z
epoberezkin/fast-json-stable-stringify,108103016,69,11,10,1960,3,2026-04-27T23:50:10+00:00,235,196,23,11.73,30,0.97,23,HEAD,0,0,0.0000,7.28,2.9,openssf_local,0,False,0,0,0,,2026-04-27T17:07:59+01:00,18,C,True,"github,tidelift",False,,2026-04-28T00:16:25+00:00,321,37,3,2026-04-27T13:18:16Z,8.2,10,0,True,0,2023-07-03T08:14:47Z,5,0,0.0,5,0.3,0.0,-0.3,23.5,0.0,0.5,12.15,39.03,76.15,33.05,C,2026-04-27T13:18:16Z
epoberezkin/json-schema-traverse,93333933,45,7,5,6084,1,2026-04-27T23:50:12+00:00,389,328,24,7.32,34,1.31,30,2021,0,0,0.0000,7.28,3.4,openssf_local,0,False,0,0,0,,2026-04-27T15:07:00+01:00,18,C,True,"github,tidelift",False,,2026-04-28T00:16:25+00:00,103,20,3,2026-04-27T13:18:16Z,8.6,5,0,True,1,2021-07-26T06:52:21Z,4,1,0.25,3,-0.3,-0.1,,77.8,0.0,0.6,38.47,39.03,80.07,49.35,B,2026-04-27T13:18:16Z
es-shims/array-includes,28753032,234,3,2,9830,1,2026-04-27T23:50:15+00:00,263,209,9,4.31,15,0.42,12,2025,76,684,1.8865,23.97,4,openssf_local,0,False,0,0,0,,2026-04-27T17:08:05+01:00,73,C,True,"github,tidelift",False,,2026-04-28T00:16:26+00:00,43,13,2,2026-04-27T13:18:16Z,11.0,2,0,True,5,2025-12-30T01:53:57Z,1,0,0.0,1,-0.2,0.0,,131.5,0.0,0.5,52.07,39.03,76.15,53.69,B,2026-04-27T13:18:16Z
es-shims/dunder-proto,898274312,10,1,1,10000,1,2026-04-27T23:50:16+00:00,153,104,23,22.12,5,0.33,2,2024,173,3979,3.0924,32.80,3.9,openssf_local,0,False,0,0,0,,2026-04-27T15:08:22+01:00,73,C,True,"github,tidelift",False,,2026-04-28T00:16:26+00:00,1,1,2,2026-04-27T13:18:16Z,1.1,1,0,True,1,2024-12-17T02:12:42Z,3,2,0.667,1,0.4,0.3,,153.0,0.0,1.0,56.38,39.03,89.53,58.19,B,2026-04-27T13:18:16Z
es-shims/es-object-atoms,773229339,16,1,1,10000,1,2026-05-17T23:35:34+00:00,69,48,6,12.5,5,0.5,3,2025,97,582,1.6828,22.48,4.2,openssf_local,0,False,0,0,0,,2026-05-18T00:38:03+01:00,67,C,True,"github,tidelift",False,,2026-05-17T23:35:55+00:00,5,2,2,2026-04-27T13:03:09Z,1.8,1,,True,2,2025-01-15T00:42:39Z,1,0,0.0,1,0.1,0.0,,69.0,0.0,1.0,34.21,39.03,89.53,49.26,B,2026-04-27T13:03:09Z
