repo,value_class,archived,pushed_at,days_since_push,is_eol,eol_method,source,eol_checked_at
jridgewell/sourcemaps,A,False,2026-03-29T06:03:29Z,29,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
qix-/color-convert,A,False,2025-11-14T18:26:51Z,163,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jonschlinkert/is-extglob,A,False,2019-05-25T08:53:08Z,2529,False,github_archived,api,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/call-bind,A,False,2026-04-09T15:37:36Z,17,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
alexeyraspopov/picocolors,A,False,2024-11-18T17:46:33Z,524,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
eslint/js,A,False,2026-03-10T08:07:55Z,48,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jridgewell/sourcemaps,A,False,2026-03-29T06:03:29Z,29,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ajv-validator/ajv,A,False,2026-02-20T18:05:59Z,65,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
estools/estraverse,A,False,2022-04-04T18:32:01Z,1483,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
micromatch/picomatch,A,False,2025-07-15T19:38:57Z,285,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jestjs/jest,A,False,2026-03-10T02:01:16Z,48,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
ljharb/es-object-atoms,A,False,2025-01-15T00:42:39Z,467,False,github_archived,api,2026-04-27T10:35:07+00:00
chalker/safer-buffer,A,False,2021-04-22T17:24:31Z,1830,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
jshttp/mime-db,A,False,2026-03-02T07:47:18Z,56,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/locate-path,A,False,2025-09-15T23:17:42Z,223,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
tapjs/signal-exit,A,False,2025-10-25T19:21:39Z,183,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
acornjs/acorn,A,False,2026-02-26T14:38:28Z,59,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
lydell/js-tokens,A,False,2025-12-08T21:13:41Z,139,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
definitelytyped/definitelytyped,A,False,2026-03-11T12:05:35Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
sindresorhus/escape-string-regexp,A,False,2025-05-06T15:42:08Z,355,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
tj/commander.js,A,False,2026-03-07T02:38:09Z,51,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
facebook/react,A,False,2026-03-11T14:05:17Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
nodeca/argparse,A,False,2023-11-09T18:31:05Z,899,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
micromatch/is-glob,A,False,2022-12-29T12:56:43Z,1214,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
babel/babel,A,False,2026-03-11T15:26:29Z,46,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
isaacs/isexe,A,False,2026-02-09T16:27:47Z,76,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
postcss/postcss-selector-parser,A,False,2026-01-21T23:16:48Z,95,False,github_archived,top-repos,2026-04-27T10:35:07+00:00
