id,github_repo,packages,pkgs_npm,pkgs_pypi,pkgs_crates,pkgs_cpp,pkgs_total,pr_cum_pct_npm,pr_cum_pct_pypi,pr_cum_pct_crates,pr_cum_pct_cpp,class_npm,class_pypi,class_crates,class_cpp,class_total,is_eol
6635,becheran/grid,grid (crates),0,0,1,0,1,,,99.7326,,,,D,,D,False
6636,becheran/wildmatch,wildmatch (crates),0,0,1,0,1,,,99.0778,,,,D,,D,False
6637,beetbox/audioread,audioread (pypi),0,1,0,0,1,,97.8957,,,,D,,,D,False
6638,behave/behave,behave (pypi),0,1,0,0,1,,98.1499,,,,D,,,D,False
6639,behos/lazy-pool,lazy-pool (crates),0,0,1,0,1,,,99.1075,,,,D,,D,False
6640,belledonnecommunications/bcg729,bcg729 (cpp),0,0,0,1,1,,,,99.7875,,,,D,D,False
6641,belval/pdf2image,pdf2image (pypi),0,1,0,0,1,,97.8102,,,,D,,,D,False
6642,bendotcodes/cookies,universal-cookie (npm),1,0,0,0,1,98.9456,,,,D,,,,D,False
6643,bendrucker/argv-formatter,argv-formatter (npm),1,0,0,0,1,99.2301,,,,D,,,,D,False
6644,bendrucker/git-log-parser,git-log-parser (npm),1,0,0,0,1,99.4143,,,,D,,,,D,False
6645,bendrucker/postgres-array,postgres-array (npm),1,0,0,0,1,91.8803,,,,D,,,,D,False
6646,bendrucker/postgres-bytea,postgres-bytea (npm),1,0,0,0,1,91.9859,,,,D,,,,D,False
6647,bendrucker/postgres-date,postgres-date (npm),1,0,0,0,1,92.0033,,,,D,,,,D,False
6648,bendrucker/postgres-interval,postgres-interval (npm),1,0,0,0,1,91.9684,,,,D,,,,D,False
6649,bendrucker/spawn-error-forwarder,spawn-error-forwarder (npm),1,0,0,0,1,99.2288,,,,D,,,,D,False
6650,benfred/py-spy,py-spy (pypi),0,1,0,0,1,,96.2148,,,,D,,,D,False
6651,benfred/remoteprocess,remoteprocess (crates),0,0,1,0,1,,,99.9774,,,,D,,D,False
6652,benhoyt/inih,inih (cpp),0,0,0,1,1,,,,98.7195,,,,D,D,False
6653,benhoyt/scandir,scandir (pypi),0,1,0,0,1,,90.7912,,,,D,,,D,False
6654,benjamingr/tmp-promise,tmp-promise (npm),1,0,0,0,1,98.8805,,,,D,,,,D,False
6655,benjamn/optimism,optimism (npm),1,0,0,0,1,96.0133,,,,D,,,,D,False
6656,benjamn/private,private (npm),1,0,0,0,1,94.5904,,,,D,,,,D,False
6657,benjamn/recast,recast (npm),1,0,0,0,1,90.6843,,,,D,,,,D,False
6658,benmccann/esm-env,esm-env (npm),1,0,0,0,1,99.9632,,,,D,,,,D,False
6659,benwilber/exitcode,exitcode (crates),0,0,1,0,1,,,99.4815,,,,D,,D,False
6660,berkerpeksag/astor,astor (pypi),0,1,0,0,1,,92.6297,,,,D,,,D,False
6661,berkowski/mio-serial,mio-serial (crates),0,0,1,0,1,,,99.8456,,,,D,,D,False
6662,bernii/querystring-parser,querystring-parser (pypi),0,1,0,0,1,,90.9577,,,,D,,,D,False
6663,berriai/litellm,litellm (pypi),0,1,0,0,1,,94.9675,,,,D,,,D,False
6664,bes-js/fastgate,fastgate (npm),1,0,0,0,1,99.9977,,,,D,,,,D,False
6665,bes-js/herc.ai,hercai (npm),1,0,0,0,1,99.8509,,,,D,,,,D,False
