"package","ecosystem","github_repo","pagerank","value_class","top_eco","top_eco_pkg","top_eco_pct","repo_class","repo_packages","repo_ecosystems","is_eol"
"winapi-i686-pc-windows-gnu","crates","retep998/winapi-rs","0.00078478","B","crates","winapi","37.3922","B","6","crates","False"
"winapi-x86_64-pc-windows-gnu","crates","retep998/winapi-rs","0.00078657","B","crates","winapi","37.3922","B","6","crates","False"
"ws2_32-sys","crates","retep998/winapi-rs","1.391e-05","D","crates","winapi","37.3922","B","6","crates","False"
"is-inside-container","npm","sindresorhus/is-inside-container","0.00062741","A","npm","is-inside-container","37.3666","B","1","npm","False"
"object.assign","npm","ljharb/object.assign","0.00062386","A","npm","object.assign","37.3042","B","1","npm","False"
"httpx","pypi","encode/httpx","0.00190191","B","pypi","httpx","37.2876","B","1","pypi","False"
"is-path-inside","npm","sindresorhus/is-path-inside","0.00062370","A","npm","is-path-inside","37.2419","B","1","npm","False"
"get-caller-file","npm","stefanpenner/get-caller-file","0.00062323","A","npm","get-caller-file","37.1796","B","1","npm","False"
"levn","npm","gkz/levn","0.00062166","A","npm","levn","37.1174","B","1","npm","False"
"base16ct","crates","rustcrypto/formats","0.00016087","C","crates","base64ct","37.1057","B","18","crates","False"
"base64ct","crates","rustcrypto/formats","0.00046226","C","crates","base64ct","37.1057","B","18","crates","False"
"cms","crates","rustcrypto/formats","5.13e-06","D","crates","base64ct","37.1057","B","18","crates","False"
"const-oid","crates","rustcrypto/formats","0.00046177","C","crates","base64ct","37.1057","B","18","crates","False"
"der","crates","rustcrypto/formats","0.00040241","C","crates","base64ct","37.1057","B","18","crates","False"
"der_derive","crates","rustcrypto/formats","4.849e-05","D","crates","base64ct","37.1057","B","18","crates","False"
"pem-rfc7468","crates","rustcrypto/formats","0.00020832","C","crates","base64ct","37.1057","B","18","crates","False"
"phc","crates","rustcrypto/formats","2.746e-05","D","crates","base64ct","37.1057","B","18","crates","False"
"pkcs1","crates","rustcrypto/formats","0.0001367","D","crates","base64ct","37.1057","B","18","crates","False"
"pkcs12","crates","rustcrypto/formats","3.94e-06","D","crates","base64ct","37.1057","B","18","crates","False"
"pkcs5","crates","rustcrypto/formats","6.134e-05","D","crates","base64ct","37.1057","B","18","crates","False"
"pkcs8","crates","rustcrypto/formats","0.00027665","C","crates","base64ct","37.1057","B","18","crates","False"
"sec1","crates","rustcrypto/formats","0.0001349","D","crates","base64ct","37.1057","B","18","crates","False"
"serdect","crates","rustcrypto/formats","0.00011437","D","crates","base64ct","37.1057","B","18","crates","False"
"spki","crates","rustcrypto/formats","0.00032132","C","crates","base64ct","37.1057","B","18","crates","False"
"tls_codec","crates","rustcrypto/formats","1.053e-05","D","crates","base64ct","37.1057","B","18","crates","False"
"tls_codec_derive","crates","rustcrypto/formats","1.127e-05","D","crates","base64ct","37.1057","B","18","crates","False"
"x509-cert","crates","rustcrypto/formats","1.659e-05","D","crates","base64ct","37.1057","B","18","crates","False"
"tqdm","pypi","tqdm/tqdm","0.00189684","B","pypi","tqdm","37.098","B","1","pypi","False"
"negotiator","npm","jshttp/negotiator","0.00062116","A","npm","negotiator","37.0553","B","1","npm","False"
"doctrine","npm","eslint/doctrine","0.00061570","A","npm","doctrine","36.9937","B","1","npm","False"
"ncurses","cpp","","0.00373939","B","cpp","ncurses","36.989","B","1","cpp","False"
"combined-stream","npm","felixge/node-combined-stream","0.00061369","A","npm","combined-stream","36.9323","B","1","npm","False"
"ptyprocess","pypi","pexpect/ptyprocess","0.00189432","B","pypi","ptyprocess","36.9085","B","1","pypi","False"
"rxjs","npm","reactivex/rxjs","0.00061367","A","npm","rxjs","36.871","B","1","npm","False"
"proptest","crates","proptest-rs/proptest","0.00258146","B","crates","proptest","36.826","B","3","crates","False"
"proptest-derive","crates","proptest-rs/proptest","6.888e-05","D","crates","proptest","36.826","B","3","crates","False"
"proptest-macro","crates","proptest-rs/proptest","0.00014755","D","crates","proptest","36.826","B","3","crates","False"
"css-tree","npm","csstree/csstree","0.00061364","A","npm","css-tree","36.8096","B","1","npm","False"
"@formatjs/bigdecimal","npm","formatjs/formatjs","0.00003940","D","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"@formatjs/ecma402-abstract","npm","formatjs/formatjs","0.00013803","C","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"@formatjs/fast-memoize","npm","formatjs/formatjs","0.00015247","C","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"@formatjs/icu-messageformat-parser","npm","formatjs/formatjs","0.00005203","D","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"@formatjs/icu-skeleton-parser","npm","formatjs/formatjs","0.00005281","D","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"@formatjs/intl","npm","formatjs/formatjs","0.00001545","D","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"@formatjs/intl-localematcher","npm","formatjs/formatjs","0.00007663","C","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"intl-messageformat","npm","formatjs/formatjs","0.00005119","D","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"intl-messageformat-parser","npm","formatjs/formatjs","0.00001699","D","npm","@formatjs/fast-memoize","36.7485","B","10","npm","True"
"react-intl","npm","formatjs/formatjs","0.00001567","D","npm","@formatjs/fast-memoize","36.7485","B","10","npm","False"
"psutil","pypi","giampaolo/psutil","0.00187158","B","pypi","psutil","36.7214","B","1","pypi","False"
"minimalistic-assert","npm","calvinmetcalf/minimalistic-assert","0.00060647","A","npm","minimalistic-assert","36.6879","B","1","npm","False"
"tmpl","npm","daaku/nodejs-tmpl","0.00060625","A","npm","tmpl","36.6273","B","1","npm","False"
"pkgconf","cpp","pkgconf/pkgconf","0.00372675","B","cpp","pkgconf","36.5688","B","1","cpp","False"
"update-browserslist-db","npm","browserslist/update-db","0.00060278","A","npm","update-browserslist-db","36.567","B","1","npm","False"
"walkdir","crates","burntsushi/walkdir","0.00272155","B","crates","walkdir","36.5538","B","1","crates","False"
"smmap","pypi","gitpython-developers/smmap","0.00181965","B","pypi","smmap","36.538","B","2","pypi","False"
"smmap2","pypi","gitpython-developers/smmap","1.402e-05","D","pypi","smmap","36.538","B","2","pypi","False"
"boolbase","npm","fb55/boolbase","0.00060211","A","npm","boolbase","36.5068","B","1","npm","False"
"on-finished","npm","jshttp/on-finished","0.00059877","A","npm","on-finished","36.4469","B","1","npm","False"
"run-parallel","npm","feross/run-parallel","0.00059833","A","npm","run-parallel","36.3871","B","1","npm","False"
"decorator","pypi","","0.00181939","B","pypi","decorator","36.3561","B","1","pypi","False"
"environment","npm","sindresorhus/environment","0.00059718","A","npm","environment","36.3273","B","1","npm","False"
"blake2","crates","rustcrypto/hashes","0.00011568","D","crates","sha2","36.2829","B","12","crates","False"
"md-5","crates","rustcrypto/hashes","0.00033047","C","crates","sha2","36.2829","B","12","crates","False"
"md4","crates","rustcrypto/hashes","2.62e-06","D","crates","sha2","36.2829","B","12","crates","False"
"ripemd","crates","rustcrypto/hashes","3.084e-05","D","crates","sha2","36.2829","B","12","crates","False"
"sha-1","crates","rustcrypto/hashes","0.0001459","D","crates","sha2","36.2829","B","12","crates","False"
"sha1","crates","rustcrypto/hashes","0.00049824","C","crates","sha2","36.2829","B","12","crates","False"
"sha1-checked","crates","rustcrypto/hashes","1.74e-05","D","crates","sha2","36.2829","B","12","crates","False"
"sha2","crates","rustcrypto/hashes","0.00131675","B","crates","sha2","36.2829","B","12","crates","False"
"sha3","crates","rustcrypto/hashes","0.00015002","D","crates","sha2","36.2829","B","12","crates","False"
"sm3","crates","rustcrypto/hashes","1.87e-06","D","crates","sha2","36.2829","B","12","crates","False"
"streebog","crates","rustcrypto/hashes","9.243e-05","D","crates","sha2","36.2829","B","12","crates","False"
"whirlpool","crates","rustcrypto/hashes","7.21e-06","D","crates","sha2","36.2829","B","12","crates","False"
"asynckit","npm","alexindigo/asynckit","0.00059674","B","npm","asynckit","36.2677","B","1","npm","False"
"xxhash","cpp","cyan4973/xxhash","0.00316393","B","cpp","xxhash","36.2121","B","1","cpp","False"
"fastq","npm","mcollina/fastq","0.00059504","B","npm","fastq","36.2082","B","1","npm","False"
"sniffio","pypi","python-trio/sniffio","0.00181347","B","pypi","sniffio","36.1747","B","1","pypi","False"
"p-map","npm","sindresorhus/p-map","0.00059369","B","npm","p-map","36.1488","B","1","npm","False"
"flatted","npm","webreflection/flatted","0.00059183","B","npm","flatted","36.0896","B","1","npm","False"
"assign-symbols","npm","jonschlinkert/assign-symbols","0.00059082","B","npm","assign-symbols","36.0305","B","1","npm","False"
"either","crates","rayon-rs/either","0.00266856","B","crates","either","36.016","B","1","crates","False"
"azure-nspkg","pypi","","0.0018084","B","pypi","azure-nspkg","35.9939","B","1","pypi","False"
"domutils","npm","fb55/domutils","0.00059041","B","npm","domutils","35.9715","B","1","npm","False"
"fast-json-stable-stringify","npm","epoberezkin/fast-json-stable-stringify","0.00058947","B","npm","fast-json-stable-stringify","35.9125","B","1","npm","False"
"tiff","cpp","","0.00295302","B","cpp","tiff","35.8792","B","1","cpp","False"
"sax","npm","isaacs/sax-js","0.00058931","B","npm","sax","35.8536","B","1","npm","False"
"beautifulsoup4","pypi","","0.00179216","B","pypi","beautifulsoup4","35.8147","B","1","pypi","False"
"pump","npm","mafintosh/pump","0.00058927","B","npm","pump","35.7947","B","1","npm","False"
"indexmap","crates","indexmap-rs/indexmap","0.00262686","B","crates","indexmap","35.7533","B","1","crates","False"
"@octokit/openapi-types","npm","octokit/openapi-types.ts","0.00058860","B","npm","@octokit/openapi-types","35.7358","B","1","npm","False"
"human-signals","npm","ehmicky/human-signals","0.00058778","B","npm","human-signals","35.677","B","1","npm","False"
"lxml","pypi","lxml/lxml","0.00176995","B","pypi","lxml","35.6377","B","1","pypi","False"
"core-util-is","npm","isaacs/core-util-is","0.00058462","B","npm","core-util-is","35.6186","B","1","npm","False"
"freetype","cpp","","0.00265563","B","cpp","freetype","35.5798","B","1","cpp","False"
"dotenv","npm","motdotla/dotenv","0.00058378","B","npm","dotenv","35.5602","B","1","npm","False"
"is-wsl","npm","sindresorhus/is-wsl","0.00058000","B","npm","is-wsl","35.5022","B","1","npm","False"
"itertools","crates","rust-itertools/itertools","0.00257539","B","crates","itertools","35.4958","B","1","crates","False"
"pathspec","pypi","cpburnz/python-pathspec","0.00176623","B","pypi","pathspec","35.461","B","1","pypi","False"
"dom-serializer","npm","cheeriojs/dom-serializer","0.00057748","B","npm","dom-serializer","35.4445","B","1","npm","False"
"is-regex","npm","inspect-js/is-regex","0.00057573","B","npm","is-regex","35.3869","B","1","npm","False"
"encodeurl","npm","pillarjs/encodeurl","0.00057516","B","npm","encodeurl","35.3294","B","1","npm","False"
"harfbuzz","cpp","harfbuzz/harfbuzz","0.00258381","B","cpp","harfbuzz","35.2885","B","1","cpp","False"
"msal","pypi","azuread/microsoft-authentication-library-for-python","0.00176372","B","pypi","msal","35.2847","B","1","pypi","False"
"path-to-regexp","npm","pillarjs/path-to-regexp","0.00057344","B","npm","path-to-regexp","35.272","B","1","npm","False"
"compiler_builtins","crates","rust-lang/compiler-builtins","0.00018257","C","crates","libm","35.2414","B","2","crates","False"
"libm","crates","rust-lang/compiler-builtins","0.00236161","B","crates","libm","35.2414","B","2","crates","False"
"@jimp/core","npm","jimp-dev/jimp","0.00006381","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/custom","npm","jimp-dev/jimp","0.00001467","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/diff","npm","jimp-dev/jimp","0.00000258","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/file-ops","npm","jimp-dev/jimp","0.00000992","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/js-bmp","npm","jimp-dev/jimp","0.00000304","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/js-gif","npm","jimp-dev/jimp","0.00000265","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/js-jpeg","npm","jimp-dev/jimp","0.00000434","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/js-png","npm","jimp-dev/jimp","0.00000435","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/js-tiff","npm","jimp-dev/jimp","0.00000303","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-blit","npm","jimp-dev/jimp","0.00001892","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-blur","npm","jimp-dev/jimp","0.00001503","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-circle","npm","jimp-dev/jimp","0.00001335","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-color","npm","jimp-dev/jimp","0.00001737","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-contain","npm","jimp-dev/jimp","0.00001505","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-cover","npm","jimp-dev/jimp","0.00001503","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-crop","npm","jimp-dev/jimp","0.00001997","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-displace","npm","jimp-dev/jimp","0.00001504","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-dither","npm","jimp-dev/jimp","0.00001501","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-fisheye","npm","jimp-dev/jimp","0.00001332","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-flip","npm","jimp-dev/jimp","0.00001505","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-hash","npm","jimp-dev/jimp","0.00000453","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-mask","npm","jimp-dev/jimp","0.00001504","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-print","npm","jimp-dev/jimp","0.00001503","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-quantize","npm","jimp-dev/jimp","0.00000265","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-resize","npm","jimp-dev/jimp","0.00002356","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-rotate","npm","jimp-dev/jimp","0.00001505","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/plugin-threshold","npm","jimp-dev/jimp","0.00001334","D","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/types","npm","jimp-dev/jimp","0.00012296","C","npm","@jimp/types","35.215","B","30","npm","False"
"@jimp/utils","npm","jimp-dev/jimp","0.00005971","D","npm","@jimp/types","35.215","B","30","npm","False"
"jimp","npm","jimp-dev/jimp","0.00001646","D","npm","@jimp/types","35.215","B","30","npm","False"
"read-pkg","npm","sindresorhus/read-pkg","0.00056836","B","npm","read-pkg","35.1582","B","1","npm","False"
"importlib-resources","pypi","python/importlib_resources","0.00169423","B","pypi","importlib-resources","35.1153","B","1","pypi","False"
"mdn-data","npm","mdn/data","0.00056744","B","npm","mdn-data","35.1015","B","1","npm","False"
"@octokit/types","npm","octokit/types.ts","0.00055768","B","npm","@octokit/types","35.0457","B","1","npm","False"
"m4","cpp","","0.00248499","B","cpp","m4","35.0084","B","1","cpp","False"
"abbrev","npm","npm/abbrev-js","0.00055532","B","npm","abbrev","34.9902","B","1","npm","False"
"time","crates","time-rs/time","0.00136697","B","crates","time","34.9885","B","4","crates","False"
"time-core","crates","time-rs/time","0.00063403","C","crates","time","34.9885","B","4","crates","False"
"time-macros","crates","time-rs/time","0.00048392","C","crates","time","34.9885","B","4","crates","False"
"time-macros-impl","crates","time-rs/time","4.326e-05","D","crates","time","34.9885","B","4","crates","False"
"aiosignal","pypi","aio-libs/aiosignal","0.00168222","B","pypi","aiosignal","34.947","B","1","pypi","False"
"through","npm","dominictarr/through","0.00055156","B","npm","through","34.935","B","1","npm","False"
"esrecurse","npm","estools/esrecurse","0.00055091","B","npm","esrecurse","34.8799","B","1","npm","False"
"typescript","npm","microsoft/typescript","0.00054957","B","npm","typescript","34.825","B","1","npm","False"
"types-aiofiles","pypi","python/typeshed","4.181e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-beautifulsoup4","pypi","python/typeshed","1.367e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-certifi","pypi","python/typeshed","3.354e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-croniter","pypi","python/typeshed","3.472e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-cryptography","pypi","python/typeshed","2.583e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-dataclasses","pypi","python/typeshed","4.584e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-deprecated","pypi","python/typeshed","4.28e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-freezegun","pypi","python/typeshed","1.401e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-jinja2","pypi","python/typeshed","1.266e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-mock","pypi","python/typeshed","1.917e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-paramiko","pypi","python/typeshed","5.191e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-pillow","pypi","python/typeshed","1.659e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-psycopg2","pypi","python/typeshed","1.631e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-pymysql","pypi","python/typeshed","3.245e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-pyopenssl","pypi","python/typeshed","7.88e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-python-dateutil","pypi","python/typeshed","0.00032015","C","pypi","types-requests","34.7834","B","23","pypi","False"
"types-python-slugify","pypi","python/typeshed","2.155e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-pytz","pypi","python/typeshed","0.00013415","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-requests","pypi","python/typeshed","0.00048011","C","pypi","types-requests","34.7834","B","23","pypi","False"
"types-retry","pypi","python/typeshed","1.839e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-tabulate","pypi","python/typeshed","4.415e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-ujson","pypi","python/typeshed","1.57e-05","D","pypi","types-requests","34.7834","B","23","pypi","False"
"types-urllib3","pypi","python/typeshed","0.00012236","D","pypi","types-requests","34.7834","B","23","pypi","False"
"regenerate","npm","mathiasbynens/regenerate","0.00054941","B","npm","regenerate","34.77","B","1","npm","False"
"snapbox","crates","assert-rs/snapbox","0.00225438","B","crates","snapbox","34.7361","B","3","crates","False"
"snapbox-macros","crates","assert-rs/snapbox","9.388e-05","D","crates","snapbox","34.7361","B","3","crates","False"
"trycmd","crates","assert-rs/snapbox","0.00017572","C","crates","snapbox","34.7361","B","3","crates","False"
"icu","cpp","unicode-org/icu","0.00248467","B","cpp","icu","34.7283","B","1","cpp","False"
"spdx-exceptions","npm","kemitchell/spdx-exceptions.json","0.00054522","B","npm","spdx-exceptions","34.7155","B","1","npm","False"
"fetch-blob","npm","node-fetch/fetch-blob","0.00054164","B","npm","fetch-blob","34.6613","B","1","npm","False"
"mypy-extensions","pypi","python/mypy_extensions","0.00163047","B","pypi","mypy-extensions","34.6203","B","1","pypi","False"
"side-channel-map","npm","ljharb/side-channel-map","0.00054059","B","npm","side-channel-map","34.6073","B","1","npm","False"
"p-try","npm","sindresorhus/p-try","0.00053772","B","npm","p-try","34.5535","B","1","npm","False"
"engine.io","npm","socketio/socket.io","0.00007157","C","npm","socket.io-parser","34.4999","B","7","npm","False"
"engine.io-client","npm","socketio/socket.io","0.00006575","D","npm","socket.io-parser","34.4999","B","7","npm","False"
"engine.io-parser","npm","socketio/socket.io","0.00009778","C","npm","socket.io-parser","34.4999","B","7","npm","False"
"socket.io","npm","socketio/socket.io","0.00006508","D","npm","socket.io-parser","34.4999","B","7","npm","False"
"socket.io-adapter","npm","socketio/socket.io","0.00006991","D","npm","socket.io-parser","34.4999","B","7","npm","False"
"socket.io-client","npm","socketio/socket.io","0.00005433","D","npm","socket.io-parser","34.4999","B","7","npm","False"
"socket.io-parser","npm","socketio/socket.io","0.00011202","C","npm","socket.io-parser","34.4999","B","7","npm","False"
"bytes","crates","tokio-rs/bytes","0.00251576","B","crates","bytes","34.4846","B","1","crates","False"
"pyopenssl","pypi","pyca/pyopenssl","0.00162079","B","pypi","pyopenssl","34.4582","B","1","pypi","False"
"nghttp2","cpp","nghttp2/nghttp2","0.00244938","B","cpp","nghttp2","34.4521","B","1","cpp","False"
"escape-html","npm","component/escape-html","0.00053574","B","npm","escape-html","34.4463","B","1","npm","False"
"tough-cookie","npm","salesforce/tough-cookie","0.00053489","B","npm","tough-cookie","34.3928","B","1","npm","False"
"is-symbol","npm","inspect-js/is-symbol","0.00053382","B","npm","is-symbol","34.3394","B","1","npm","False"
"propcache","pypi","aio-libs/propcache","0.00162069","B","pypi","propcache","34.2962","B","1","pypi","False"
"jsbn","npm","andyperlitch/jsbn","0.00053355","B","npm","jsbn","34.2861","B","1","npm","False"
"itoa","crates","dtolnay/itoa","0.00248038","B","crates","itoa","34.2365","B","1","crates","False"
"write-file-atomic","npm","npm/write-file-atomic","0.00053242","B","npm","write-file-atomic","34.2328","B","1","npm","False"
"libselinux","cpp","","0.00240876","B","cpp","libselinux","34.1806","B","1","cpp","False"
"ipaddr.js","npm","whitequark/ipaddr.js","0.00052996","B","npm","ipaddr.js","34.1798","B","1","npm","False"
"distlib","pypi","pypa/distlib","0.00155992","B","pypi","distlib","34.1402","B","1","pypi","False"
"node-domexception","npm","jimmywarting/node-domexception","0.00052870","B","npm","node-domexception","34.1269","B","1","npm","True"
"normalize-package-data","npm","npm/normalize-package-data","0.00052841","B","npm","normalize-package-data","34.0741","B","1","npm","False"
"@hapi/hoek","npm","hapijs/hoek","0.00044023","B","npm","@hapi/hoek","34.0214","B","2","npm","False"
"hoek","npm","hapijs/hoek","0.00008722","C","npm","@hapi/hoek","34.0214","B","2","npm","True"
"phf","crates","rust-phf/rust-phf","0.00063904","C","crates","phf_shared","33.9961","B","5","crates","False"
"phf_codegen","crates","rust-phf/rust-phf","0.00022859","C","crates","phf_shared","33.9961","B","5","crates","False"
"phf_generator","crates","rust-phf/rust-phf","0.00040904","C","crates","phf_shared","33.9961","B","5","crates","False"
"phf_macros","crates","rust-phf/rust-phf","0.00031914","C","crates","phf_shared","33.9961","B","5","crates","False"
"phf_shared","crates","rust-phf/rust-phf","0.00080819","B","crates","phf_shared","33.9961","B","5","crates","False"
"requests-toolbelt","pypi","requests/toolbelt","0.00151733","B","pypi","requests-toolbelt","33.9884","B","1","pypi","False"
"regexpu-core","npm","mathiasbynens/regexpu-core","0.00052461","B","npm","regexpu-core","33.9689","B","1","npm","False"
"libxau","cpp","","0.00233453","B","cpp","libxau","33.9174","B","1","cpp","False"
"axios","npm","axios/axios","0.00052146","B","npm","axios","33.9168","B","1","npm","False"
"d","npm","medikoo/d","0.00052047","B","npm","d","33.8647","B","1","npm","False"
"httpcore","pypi","encode/httpcore","0.0014343","B","pypi","httpcore","33.845","B","1","pypi","False"
"fast-uri","npm","fastify/fast-uri","0.00051542","B","npm","fast-uri","33.8132","B","1","npm","False"
"optionator","npm","gkz/optionator","0.00051445","B","npm","optionator","33.7617","B","1","npm","False"
"loom","crates","tokio-rs/loom","0.00239308","B","crates","loom","33.7568","B","1","crates","False"
"fastest-levenshtein","npm","ka-weihe/fastest-levenshtein","0.00051346","B","npm","fastest-levenshtein","33.7104","B","1","npm","False"
"jsonschema-specifications","pypi","python-jsonschema/jsonschema-specifications","0.00143379","B","pypi","jsonschema-specifications","33.7016","B","1","pypi","False"
"libxcb","cpp","","0.00229149","B","cpp","libxcb","33.6591","B","1","cpp","False"
"sprintf-js","npm","alexei/sprintf.js","0.00051259","B","npm","sprintf-js","33.6591","B","1","npm","False"
"parseurl","npm","pillarjs/parseurl","0.00050939","B","npm","parseurl","33.6082","B","1","npm","False"
"azure-common","pypi","","0.00141416","B","pypi","azure-common","33.5602","B","1","pypi","False"
"has-values","npm","jonschlinkert/has-values","0.00050801","B","npm","has-values","33.5574","B","1","npm","False"
"fastrand","crates","smol-rs/fastrand","0.00238825","B","crates","fastrand","33.518","B","1","crates","False"
"open","npm","sindresorhus/open","0.00042420","B","npm","open","33.5066","B","2","npm","False"
"opn","npm","sindresorhus/open","0.00008375","C","npm","open","33.5066","B","2","npm","True"
"safe-regex-test","npm","ljharb/safe-regex-test","0.00050604","B","npm","safe-regex-test","33.456","B","1","npm","False"
"typing-inspection","pypi","","0.00140796","B","pypi","typing-inspection","33.4194","B","1","pypi","False"
"nodejs","cpp","","0.00218509","B","cpp","nodejs","33.4127","B","1","cpp","False"
"tmp","npm","raszi/node-tmp","0.00050223","B","npm","tmp","33.4058","B","1","npm","False"
"prettier","npm","prettier/prettier","0.00050163","B","npm","prettier","33.3556","B","1","npm","False"
"tweetnacl","npm","dchest/tweetnacl-js","0.00050134","B","npm","tweetnacl","33.3055","B","1","npm","False"
"pin-project-lite","crates","taiki-e/pin-project-lite","0.00237208","B","crates","pin-project-lite","33.2808","B","1","crates","False"
"tomlkit","pypi","","0.00140626","B","pypi","tomlkit","33.2788","B","1","pypi","False"
"@opentelemetry/instrumentation-amqplib","npm","open-telemetry/opentelemetry-js-contrib","0.00002014","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-connect","npm","open-telemetry/opentelemetry-js-contrib","0.00001760","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-cucumber","npm","open-telemetry/opentelemetry-js-contrib","0.00000852","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-dataloader","npm","open-telemetry/opentelemetry-js-contrib","0.00001954","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-express","npm","open-telemetry/opentelemetry-js-contrib","0.00002043","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-fs","npm","open-telemetry/opentelemetry-js-contrib","0.00002022","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-generic-pool","npm","open-telemetry/opentelemetry-js-contrib","0.00001639","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-graphql","npm","open-telemetry/opentelemetry-js-contrib","0.00001900","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-hapi","npm","open-telemetry/opentelemetry-js-contrib","0.00001784","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-ioredis","npm","open-telemetry/opentelemetry-js-contrib","0.00001882","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-kafkajs","npm","open-telemetry/opentelemetry-js-contrib","0.00003194","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-knex","npm","open-telemetry/opentelemetry-js-contrib","0.00001558","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-koa","npm","open-telemetry/opentelemetry-js-contrib","0.00001817","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
"@opentelemetry/instrumentation-lru-memoizer","npm","open-telemetry/opentelemetry-js-contrib","0.00001940","D","npm","@opentelemetry/instrumentation-undici","33.2556","B","25","npm","False"
