"package","ecosystem","github_repo","pagerank","value_class","top_eco","top_eco_pkg","top_eco_pct","repo_class","repo_packages","repo_ecosystems","is_eol"
"@babel/plugin-syntax-bigint","npm","babel/babel","0.00021432","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-class-properties","npm","babel/babel","0.00028920","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-class-static-block","npm","babel/babel","0.00019240","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-decorators","npm","babel/babel","0.00014286","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-dynamic-import","npm","babel/babel","0.00018943","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-export-default-from","npm","babel/babel","0.00004499","D","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-export-namespace-from","npm","babel/babel","0.00021638","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-flow","npm","babel/babel","0.00019353","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-import-assertions","npm","babel/babel","0.00014785","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-import-attributes","npm","babel/babel","0.00021723","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-import-meta","npm","babel/babel","0.00023574","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-json-strings","npm","babel/babel","0.00028375","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-jsx","npm","babel/babel","0.00046370","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-logical-assignment-operators","npm","babel/babel","0.00027307","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-nullish-coalescing-operator","npm","babel/babel","0.00035697","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-numeric-separator","npm","babel/babel","0.00035045","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-object-rest-spread","npm","babel/babel","0.00033444","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-optional-catch-binding","npm","babel/babel","0.00034892","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-optional-chaining","npm","babel/babel","0.00033398","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-private-property-in-object","npm","babel/babel","0.00023791","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-top-level-await","npm","babel/babel","0.00028783","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-typescript","npm","babel/babel","0.00030511","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-syntax-unicode-sets-regex","npm","babel/babel","0.00010934","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-arrow-functions","npm","babel/babel","0.00025364","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-async-generator-functions","npm","babel/babel","0.00016671","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-async-to-generator","npm","babel/babel","0.00024459","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-block-scoped-functions","npm","babel/babel","0.00024737","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-block-scoping","npm","babel/babel","0.00026009","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-class-properties","npm","babel/babel","0.00016657","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-class-static-block","npm","babel/babel","0.00016017","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-classes","npm","babel/babel","0.00026189","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-computed-properties","npm","babel/babel","0.00025268","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-destructuring","npm","babel/babel","0.00031210","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-dotall-regex","npm","babel/babel","0.00027471","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-duplicate-keys","npm","babel/babel","0.00023369","B","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
"@babel/plugin-transform-duplicate-named-capturing-groups-regex","npm","babel/babel","0.00010363","C","npm","@babel/helper-plugin-utils","92.2502","A","202","npm","False"
