repo,repo_id,total_commits,total_contributors,bus_factor,hhi,fetched_at
burntsushi/aho-corasick,37290678,300,35,1,6520,2026-04-27T23:48:35+00:00
burntsushi/jiff,759017108,634,46,1,7946,2026-04-27T23:48:36+00:00
burntsushi/memchr,37290652,269,50,1,4493,2026-04-27T23:48:37+00:00
burntsushi/quickcheck,17559913,650,93,1,4982,2026-04-27T23:48:39+00:00
burntsushi/same-file,78375612,59,14,1,3901,2026-04-27T23:48:41+00:00
burntsushi/termcolor,141345580,1040,185,1,4834,2026-04-27T23:48:44+00:00
burntsushi/ucd-generate,123997498,176,16,1,6229,2026-04-27T23:48:44+00:00
burntsushi/walkdir,42685794,192,41,1,4901,2026-04-27T23:48:46+00:00
burntsushi/winapi-util,146040682,35,7,1,6914,2026-04-27T23:48:48+00:00
businho/pytest-ruff,599731435,44,7,1,6767,2026-04-27T23:48:51+00:00
bytecodealliance/rustix,295544240,2207,124,1,7132,2026-04-27T23:48:53+00:00
bytecodealliance/wasi-rs,196445196,149,26,2,1761,2026-04-27T23:48:55+00:00
c-ares/c-ares,571708,2954,183,2,1762,2026-04-27T23:48:59+00:00
calvinmetcalf/minimalistic-assert,29144257,3,2,1,5556,2026-04-27T23:48:59+00:00
calvinmetcalf/process-nextick-args,36039131,28,9,1,2615,2026-04-27T23:49:01+00:00
caolan/async,698041,1991,273,8,1016,2026-04-27T23:49:04+00:00
certbot/certbot,26516210,11381,549,4,891,2026-04-27T23:49:08+00:00
certifi/python-certifi,3060959,338,40,24,732,2026-04-27T23:49:07+00:00
chaijs/type-detect,12107007,183,18,2,2675,2026-04-27T23:49:08+00:00
chalk/ansi-regex,20451415,64,15,1,4131,2026-04-27T23:49:10+00:00
chalk/ansi-styles,11803168,116,21,1,3850,2026-04-27T23:49:11+00:00
chalk/chalk,11855195,369,67,1,3096,2026-04-27T23:49:12+00:00
chalk/slice-ansi,43191689,70,13,1,4100,2026-04-27T23:49:14+00:00
chalk/strip-ansi,15014856,75,13,1,5815,2026-04-27T23:49:17+00:00
chalk/supports-color,11855007,202,42,1,4184,2026-04-27T23:49:18+00:00
chalk/wrap-ansi,41053676,80,12,1,4361,2026-04-27T23:49:21+00:00
