repo,repo_id,total_commits,total_contributors,bus_factor,hhi,fetched_at
inspect-js/which-boxed-primitive,201685155,61,2,1,9678,2026-04-27T23:48:12+00:00
inspect-js/which-typed-array,43708371,170,2,1,9883,2026-04-27T23:48:13+00:00
ipython/traitlets,14993021,2027,114,4,1325,2026-04-27T23:48:15+00:00
isaacs/chownr,3858354,55,5,1,7623,2026-04-27T23:48:16+00:00
isaacs/cliui,634056857,140,19,8,536,2026-04-27T23:48:17+00:00
isaacs/core-util-is,12391440,26,6,1,5503,2026-04-27T23:48:18+00:00
isaacs/fs-minipass,102982143,86,10,2,2699,2026-05-17T23:35:36+00:00
isaacs/fs.realpath,61231712,14,2,1,7347,2026-04-27T23:48:20+00:00
isaacs/inherits,1580001,34,7,1,6341,2026-04-27T23:48:22+00:00
isaacs/isexe,49804297,38,2,1,9481,2026-04-27T23:48:24+00:00
isaacs/minimatch,2056549,378,36,1,7952,2026-04-27T23:48:24+00:00
isaacs/minipass,84886212,275,12,1,8941,2026-04-27T23:48:28+00:00
isaacs/minizlib,86429676,93,6,1,8559,2026-04-27T23:48:29+00:00
isaacs/node-glob,357681,779,53,1,8332,2026-04-27T23:48:31+00:00
isaacs/node-graceful-fs,2077020,231,31,1,6432,2026-04-27T23:48:33+00:00
isaacs/node-lru-cache,679662,576,59,1,7629,2026-04-27T23:48:34+00:00
isaacs/node-mkdirp,2718248,148,12,2,2439,2026-04-27T23:48:36+00:00
isaacs/node-tar,1534331,796,48,1,7524,2026-04-27T23:48:37+00:00
isaacs/once,5409660,25,7,1,5264,2026-04-27T23:48:40+00:00
isaacs/package-json-from-dist,800543709,6,1,1,10000,2026-04-27T23:48:41+00:00
isaacs/path-scurry,591569499,127,5,1,9232,2026-04-27T23:48:43+00:00
isaacs/rimraf,1341324,352,34,1,7371,2026-04-27T23:48:45+00:00
isaacs/sax-js,508894,266,45,1,5287,2026-04-27T23:48:46+00:00
isaacs/wrappy,24208073,16,7,2,2578,2026-05-17T23:35:37+00:00
isaacs/yallist,48222381,65,3,1,8817,2026-04-27T23:48:48+00:00
istanbuljs/istanbuljs,81482340,670,129,5,921,2026-04-27T23:48:51+00:00
istanbuljs/schema,211950686,30,2,1,8100,2026-04-27T23:48:52+00:00
istanbuljs/test-exclude,60489570,128,18,2,1866,2026-04-27T23:48:55+00:00
jamesmunns/postcard,179385478,382,70,4,1754,2026-04-27T23:48:58+00:00
jaraco/jaraco.develop,48289082,1170,29,1,7849,2026-04-27T23:49:00+00:00
jaraco/pytest-perf,372026120,321,15,1,7215,2026-04-27T23:49:02+00:00
jaraco/zipp,157774633,908,33,1,8261,2026-04-27T23:49:02+00:00
jaredhanson/utils-merge,11349896,23,4,1,7618,2026-04-27T23:49:05+00:00
jaredwray/cacheable,9267870,2030,109,1,2845,2026-04-27T23:49:06+00:00
jaredwray/keyv,96540810,2125,83,1,6120,2026-04-27T23:49:09+00:00
jawah/charset_normalizer,200259335,799,27,17,2215,2026-04-27T23:49:10+00:00
jbgutierrez/path-parse,34113780,17,5,1,5225,2026-04-27T23:49:11+00:00
jd/tenacity,65468547,585,106,2,2170,2026-04-27T23:49:13+00:00
jensyt/imurmurhash-js,11802843,11,1,1,10000,2026-04-27T23:49:15+00:00
jestjs/jest,15062869,7553,1730,13,661,2026-04-27T23:49:21+00:00
jimmywarting/node-domexception,371470141,18,2,1,8951,2026-05-03T16:23:44+00:00
jimp-dev/jimp,24008065,1169,177,2,2730,2026-04-27T23:49:19+00:00
jmespath/jmespath.py,8300763,578,32,1,7769,2026-04-27T23:49:22+00:00
joblib/joblib,654608,1611,151,2,1611,2026-04-27T23:49:26+00:00
jonathanong/ee-first,20707897,93,2,1,8252,2026-04-27T23:49:28+00:00
jonschlinkert/assign-symbols,45661176,14,2,1,7551,2026-04-27T23:49:31+00:00
jonschlinkert/define-property,40633359,39,3,1,6976,2026-04-27T23:49:34+00:00
jonschlinkert/extend-shallow,25867410,47,3,1,7411,2026-04-27T23:49:35+00:00
jonschlinkert/fill-range,27113310,135,6,1,8588,2026-04-27T23:49:38+00:00
jonschlinkert/get-value,24911025,103,7,1,8339,2026-04-27T23:49:39+00:00
jonschlinkert/global-prefix,31455984,51,10,2,3349,2026-04-27T23:49:43+00:00
jonschlinkert/has-value,24310408,38,3,1,8518,2026-04-27T23:49:44+00:00
jonschlinkert/has-values,33009186,21,1,1,10000,2026-04-27T23:49:46+00:00
jonschlinkert/is-extendable,38225016,16,4,1,3906,2026-04-27T23:49:49+00:00
jonschlinkert/is-extglob,31788841,19,2,1,7341,2026-04-27T23:49:53+00:00
jonschlinkert/is-number,24313173,62,4,1,7875,2026-04-27T23:49:53+00:00
jonschlinkert/is-plain-object,24306940,51,7,2,3110,2026-04-27T23:49:55+00:00
jonschlinkert/isobject,21342886,60,9,1,3575,2026-04-27T23:49:59+00:00
jonschlinkert/kind-of,24491562,121,12,1,7412,2026-04-27T23:50:01+00:00
jonschlinkert/map-cache,32450614,12,2,1,8403,2026-04-27T23:50:03+00:00
jonschlinkert/normalize-path,21224182,42,3,1,9082,2026-04-27T23:50:05+00:00
jonschlinkert/object-visit,38545952,35,2,1,9445,2026-04-27T23:50:08+00:00
jonschlinkert/word-wrap,18260583,73,14,1,4320,2026-04-27T23:50:09+00:00
jorgebucaran/colorette,34648097,357,18,1,8966,2026-04-27T23:50:15+00:00
joshuakgoldberg/ts-api-utils,597893818,961,12,9,600,2026-04-27T23:50:15+00:00
jpadilla/pyjwt,1408162,961,165,3,1123,2026-04-27T23:50:17+00:00
jprichardson/node-fs-extra,2791348,1134,98,1,4314,2026-04-27T23:50:19+00:00
jprichardson/node-jsonfile,5754307,186,27,1,4060,2026-04-27T23:50:22+00:00
jquast/wcwidth,18464187,476,23,1,6082,2026-04-27T23:50:22+00:00
jquery/esprima,2833537,1239,69,1,6838,2026-04-27T23:50:25+00:00
jridgewell/resolve-uri,196878944,154,4,1,4561,2026-04-27T23:50:27+00:00
jridgewell/sourcemaps,897142826,879,26,1,5843,2026-04-27T23:50:29+00:00
jsdom/tr46,36964214,86,9,2,2853,2026-04-27T23:50:31+00:00
jsdom/webidl-conversions,23000311,98,7,1,3705,2026-04-27T23:50:33+00:00
jsdom/whatwg-mimetype,71014420,42,5,1,8209,2026-04-27T23:50:36+00:00
jsdom/whatwg-url,34761352,409,23,1,3532,2026-04-27T23:50:38+00:00
jsdom/xml-name-validator,28553202,29,2,1,7622,2026-04-27T23:50:42+00:00
jshttp/accepts,15482433,269,16,1,7274,2026-04-27T23:50:46+00:00
jshttp/content-disposition,24216676,178,17,1,5128,2026-04-27T23:50:47+00:00
jshttp/content-type,30172150,133,12,1,7031,2026-04-27T23:50:50+00:00
jshttp/cookie,4475810,382,48,1,4622,2026-04-27T23:50:51+00:00
jshttp/etag,22894570,148,7,1,8828,2026-04-27T23:50:53+00:00
jshttp/forwarded,24300217,179,6,1,9024,2026-04-27T23:50:55+00:00
jshttp/fresh,4617552,231,21,1,6239,2026-04-27T23:50:58+00:00
jshttp/http-errors,23806086,325,23,1,5570,2026-04-27T23:51:00+00:00
jshttp/media-typer,20814275,233,6,1,8676,2026-04-27T23:51:02+00:00
jshttp/methods,8274071,107,13,1,6224,2026-04-27T23:51:05+00:00
jshttp/mime-db,22970419,889,98,1,6693,2026-04-27T23:51:07+00:00
jshttp/mime-types,19380178,520,21,1,7186,2026-04-27T23:51:10+00:00
jshttp/negotiator,3275614,301,22,1,4995,2026-04-27T23:51:12+00:00
jshttp/on-finished,15349765,302,14,1,7723,2026-04-27T23:51:14+00:00
jshttp/range-parser,4627131,170,14,1,6743,2026-04-27T23:51:17+00:00
jshttp/statuses,17690272,317,15,1,6616,2026-04-27T23:49:20+00:00
jshttp/type-is,15484233,359,21,1,7146,2026-04-27T23:49:22+00:00
jshttp/vary,20498698,231,8,1,8665,2026-04-27T23:49:25+00:00
jslicense/spdx-correct.js,34817196,119,8,1,7393,2026-04-27T23:49:29+00:00
jslicense/spdx-exceptions.json,40062896,44,2,1,9556,2026-05-17T23:35:34+00:00
jslicense/spdx-expression-parse.js,40067336,169,5,1,9083,2026-04-27T23:49:31+00:00
jslicense/spdx-license-ids,26001547,151,6,2,4424,2026-04-27T23:49:34+00:00
json5/json5,4463453,446,29,1,3789,2026-04-27T23:49:36+00:00
juliangruber/balanced-match,13538817,126,17,1,3590,2026-04-27T23:49:38+00:00
juliangruber/brace-expansion,13539234,155,25,1,3215,2026-04-27T23:49:41+00:00
juliangruber/isarray,10227611,97,15,4,2168,2026-04-27T23:49:43+00:00
justmoon/node-extend,3967764,198,15,1,6096,2026-04-27T23:49:45+00:00
jviereck/regjsparser,14087781,355,16,2,2848,2026-04-27T23:49:46+00:00
ka-weihe/fastest-levenshtein,158960628,134,8,1,8573,2026-04-27T23:49:49+00:00
kaelzhang/node-ignore,12519245,348,22,1,3339,2026-04-27T23:49:51+00:00
kemitchell/spdx-exceptions.json,40062896,44,2,1,9556,2026-04-27T23:49:55+00:00
kemitchell/validate-npm-package-license.js,35000460,56,2,1,9649,2026-04-27T23:49:56+00:00
kevinbeaty/any-promise,26247715,40,4,1,6938,2026-04-27T23:49:58+00:00
kevva/dir-glob,49264969,32,6,1,5781,2026-04-27T23:50:00+00:00
kevva/shebang-command,47402913,12,2,1,6944,2026-04-27T23:50:02+00:00
kilian/electron-to-chromium,78972540,5056,12,1,9752,2026-04-27T23:50:05+00:00
kjd/idna,10323585,424,31,1,6084,2026-04-27T23:50:09+00:00
knurling-rs/defmt,282262730,2426,90,3,1108,2026-04-27T23:50:11+00:00
kpdecker/jsdiff,1542219,632,85,2,2516,2026-04-27T23:50:13+00:00
krb5/krb5,4307702,20273,184,7,541,2026-04-27T23:50:17+00:00
kriskowal/asap,11295071,120,12,1,3469,2026-04-27T23:50:18+00:00
kriszyp/json-schema,947175,99,17,1,4292,2026-04-27T23:50:20+00:00
langchain-ai/langchain,552661142,15810,3676,22,254,2026-04-27T23:50:25+00:00
laurent-laporte-pro/deprecated,111412148,313,23,1,3770,2026-04-27T23:50:23+00:00
lddubeau/xmlchars,139881982,236,5,2,287,2026-05-03T16:23:45+00:00
legrandin/pycryptodome,19378935,3045,162,1,4223,2026-04-27T23:50:26+00:00
libevent/libevent,1856976,5173,339,2,2461,2026-04-27T23:50:29+00:00
libexpat/libexpat,80314213,5010,123,2,2925,2026-04-27T23:50:30+00:00
libffi/libffi,321154,1931,222,1,2846,2026-04-27T23:50:32+00:00
libidn/libidn2,87378214,1157,13,1,4207,2026-04-27T23:50:33+00:00
libjpeg-turbo/libjpeg-turbo,39760454,3002,52,1,8996,2026-04-27T23:50:35+00:00
libjxl/libjxl,340219494,3278,133,4,996,2026-04-27T23:50:41+00:00
libpixman/pixman,81675971,2340,124,1,3324,2026-04-27T23:50:44+00:00
libuv/libuv,14812739,5689,639,4,1077,2026-04-27T23:50:50+00:00
linusu/buffer-from,66025821,19,2,1,9003,2026-04-27T23:50:48+00:00
linux-audit/audit-userspace,52464964,3227,80,4,1209,2026-04-27T23:50:49+00:00
linux-pam/linux-pam,76264690,2470,218,3,1391,2026-04-27T23:50:53+00:00
litejs/natural-compare-lite,9146732,60,4,1,9033,2026-04-27T23:50:53+00:00
ljharb/call-bind,308533760,72,1,1,10000,2026-04-27T23:50:55+00:00
ljharb/call-bind-apply-helpers,898190951,12,1,1,10000,2026-04-27T23:50:59+00:00
ljharb/call-bound,898125972,20,1,1,10000,2026-04-27T23:50:59+00:00
ljharb/concat-map,548993448,33,1,1,2351,2026-04-27T23:51:03+00:00
ljharb/define-data-property,689109338,44,1,1,10000,2026-04-27T23:51:06+00:00
ljharb/define-properties,28768789,135,2,1,9852,2026-04-27T23:51:08+00:00
ljharb/es-abstract,28995155,1043,13,1,9380,2026-04-27T23:51:10+00:00
ljharb/es-define-property,756570458,15,1,1,10000,2026-04-27T23:51:12+00:00
ljharb/es-errors,752160492,16,1,1,10000,2026-04-27T23:51:15+00:00
ljharb/es-object-atoms,773229339,16,1,1,10000,2026-04-27T23:51:18+00:00
ljharb/es-shim-unscopables,480458584,23,1,1,10000,2026-04-27T23:49:19+00:00
ljharb/es-to-primitive,32377814,154,2,1,9871,2026-04-27T23:49:23+00:00
ljharb/get-intrinsic,308516559,111,2,1,9646,2026-04-27T23:49:26+00:00
ljharb/get-proto,911035271,8,1,1,10000,2026-04-27T23:49:27+00:00
ljharb/gopd,560708130,26,1,1,10000,2026-04-27T23:49:32+00:00
ljharb/has-bigints,201714166,56,2,1,9649,2026-04-27T23:49:35+00:00
ljharb/internal-slot,216159146,73,1,1,10000,2026-04-27T23:49:37+00:00
ljharb/object-keys,9103992,351,10,1,7502,2026-04-27T23:49:38+00:00
ljharb/object.assign,17755831,355,7,1,9665,2026-04-27T23:49:40+00:00
ljharb/possible-typed-array-names,760136716,16,1,1,10000,2026-04-27T23:49:43+00:00
ljharb/qs,22266795,994,78,1,4096,2026-04-27T23:49:44+00:00
ljharb/safe-regex-test,540138887,36,3,1,8441,2026-04-27T23:49:47+00:00
ljharb/set-function-length,704249795,34,1,1,10000,2026-04-27T23:49:49+00:00
ljharb/side-channel,225239081,73,4,1,8945,2026-04-27T23:49:53+00:00
ljharb/side-channel-list,901451610,10,1,1,10000,2026-04-27T23:49:54+00:00
ljharb/side-channel-map,901191461,9,1,1,10000,2026-04-27T23:49:57+00:00
ljharb/side-channel-weakmap,901188921,12,1,1,10000,2026-04-27T23:49:59+00:00
lodash/lodash,3955647,7700,264,1,7307,2026-04-27T23:50:02+00:00
loganfsmyth/gensync,132383032,19,3,1,5014,2026-04-27T23:50:03+00:00
lokathor/bytemuck,209673558,481,72,1,4852,2026-04-27T23:50:05+00:00
lukeed/dequal,174421655,58,5,1,8677,2026-04-27T23:50:08+00:00
lukeed/escalade,273568715,47,4,1,8778,2026-04-27T23:50:10+00:00
lukeed/kleur,140393403,125,16,1,7478,2026-04-27T23:50:13+00:00
lxml/lxml,1353927,6906,178,62,2004,2026-04-27T23:50:16+00:00
lydell/js-tokens,17552490,166,5,1,7115,2026-04-27T23:50:17+00:00
lz4/lz4,18106269,3798,207,1,4405,2026-04-27T23:50:21+00:00
madler/zlib,2359378,1030,88,1,4248,2026-04-27T23:50:21+00:00
mafintosh/end-of-stream,14732255,50,9,1,5344,2026-04-27T23:50:23+00:00
mafintosh/pump,12118126,75,7,1,8005,2026-04-27T23:50:25+00:00
mafintosh/tar-stream,15340089,240,43,1,5586,2026-04-27T23:50:28+00:00
marshallpierce/rust-base64,47371310,538,56,1,4414,2026-04-27T23:50:30+00:00
mathiasbynens/cssesc,12001360,28,5,1,6250,2026-04-27T23:50:31+00:00
mathiasbynens/emoji-regex,24557614,119,18,1,7076,2026-04-27T23:50:32+00:00
mathiasbynens/jsesc,10498729,133,9,1,8562,2026-04-27T23:50:36+00:00
mathiasbynens/punycode.js,2755924,150,19,1,7295,2026-04-27T23:50:40+00:00
mathiasbynens/regenerate,10182772,124,6,1,8762,2026-04-27T23:50:44+00:00
mathiasbynens/regexpu-core,49437324,180,7,1,4593,2026-04-27T23:50:46+00:00
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,16,1,1,10000,2026-04-27T23:50:48+00:00
mathiasbynens/unicode-property-aliases-ecmascript,88333533,25,3,1,8496,2026-04-27T23:50:49+00:00
matklad/once_cell,143220272,523,59,4,1802,2026-04-27T23:50:52+00:00
matplotlib/matplotlib,1385122,54363,1911,6,547,2026-04-27T23:50:56+00:00
mcavage/node-assert-plus,4767976,38,11,3,1330,2026-04-27T23:50:57+00:00
mcollina/fastq,37368217,124,30,1,4508,2026-04-27T23:50:58+00:00
mcollina/reusify,42106515,36,8,1,3897,2026-04-27T23:51:01+00:00
mdn/data,70901646,1382,122,7,639,2026-04-27T23:51:04+00:00
medikoo/d,10817569,87,2,1,9773,2026-04-27T23:51:06+00:00
medikoo/es5-ext,1792941,1676,11,1,9810,2026-04-27T23:51:08+00:00
medikoo/es6-symbol,14423385,114,6,1,8978,2026-04-27T23:51:10+00:00
medikoo/type,177198492,204,2,1,9522,2026-04-27T23:51:13+00:00
mhammond/pywin32,108187130,4961,115,1,5341,2026-04-27T23:51:15+00:00
micheles/decorator,14656555,418,32,1,6323,2026-04-27T23:51:17+00:00
micromark/micromark,157420458,656,21,1,8908,2026-04-27T23:47:53+00:00
micromatch/anymatch,11458302,178,14,1,4525,2026-04-27T23:47:54+00:00
micromatch/braces,25475303,251,14,1,7244,2026-04-27T23:47:55+00:00
micromatch/is-extglob,31788841,19,2,1,7341,2026-05-17T23:35:35+00:00
micromatch/is-glob,28179425,68,7,1,5967,2026-04-27T23:47:58+00:00
micromatch/micromatch,27359938,604,31,1,7343,2026-04-27T23:47:58+00:00
micromatch/picomatch,156211895,278,29,1,3477,2026-04-27T23:48:00+00:00
micromatch/to-regex-range,40355891,79,5,1,7888,2026-04-27T23:48:02+00:00
microsoft/tslib,34414315,313,41,3,1289,2026-04-27T23:48:04+00:00
microsoft/typescript,20929025,36754,935,8,410,2026-04-27T23:48:06+00:00
microsoft/windows-rs,208102250,2071,84,1,4953,2026-04-27T23:48:06+00:00
minimistjs/minimist,549230701,169,22,7,1251,2026-04-27T23:48:07+00:00
mitsuhiko/insta,165561258,996,71,1,4682,2026-04-27T23:48:09+00:00
mlocati/gettext-iconv-windows,12751919,276,4,1,9784,2026-04-27T23:48:11+00:00
mm2/little-cms,507969,1351,75,1,6063,2026-04-27T23:48:12+00:00
moment/moment,1424470,4064,690,2,1560,2026-04-27T23:48:15+00:00
more-itertools/more-itertools,4144530,2335,143,1,3696,2026-04-27T23:48:15+00:00
motdotla/dotenv,11205780,997,112,1,5880,2026-04-27T23:48:16+00:00
moxystudio/node-cross-spawn,21335844,229,22,1,7636,2026-04-27T23:48:18+00:00
mozilla/source-map,2014930,718,94,1,3540,2026-04-27T23:48:19+00:00
mrabarnett/mrab-regex,309446978,496,14,9,57,2026-04-27T23:48:20+00:00
mrmlnc/fast-glob,77467076,854,30,1,9153,2026-04-27T23:48:22+00:00
msgpack/msgpack-python,2242705,916,86,1,5178,2026-04-27T23:48:24+00:00
mvdnes/spin-rs,21686666,392,58,2,2121,2026-04-27T23:48:26+00:00
mysticatea/abort-controller,105228556,49,5,1,8092,2026-04-27T23:48:27+00:00
mysticatea/event-target-shim,31137469,127,7,1,8072,2026-04-27T23:48:29+00:00
netflix/vmaf,51317975,2147,112,1,3423,2026-04-27T23:48:32+00:00
nghttp2/nghttp2,11452676,8820,169,1,8729,2026-04-27T23:48:35+00:00
nicolo-ribaudo/babel-preset-current-node-syntax,253327079,54,3,1,8289,2026-04-27T23:48:35+00:00
nlnetlabs/unbound,94195301,8280,141,1,6723,2026-04-27T23:48:38+00:00
node-fetch/fetch-blob,186960326,98,14,2,2229,2026-04-27T23:48:38+00:00
node-fetch/node-fetch,29849956,640,116,7,598,2026-04-27T23:48:40+00:00
nodeca/argparse,4325614,267,24,18,474,2026-04-27T23:48:42+00:00
nodeca/js-yaml,2504175,1295,80,73,1112,2026-04-27T23:48:43+00:00
nodeca/pako,16231859,375,24,23,102,2026-04-27T23:48:45+00:00
nodejs/node,27193779,46644,4339,19,200,2026-04-27T23:48:52+00:00
nodejs/readable-stream,5187096,475,56,3,1809,2026-04-27T23:48:48+00:00
nodejs/string_decoder,95052330,57,9,1,3801,2026-04-27T23:48:50+00:00
nodejs/undici,133092972,3868,363,3,1759,2026-04-27T23:48:58+00:00
nodelib/nodelib,129310478,405,6,1,9755,2026-04-27T23:48:54+00:00
npm/abbrev-js,554893,96,11,3,1410,2026-04-27T23:48:58+00:00
npm/cacache,193812470,772,38,1,3565,2026-04-27T23:49:00+00:00
npm/fs-minipass,102982143,86,10,2,2699,2026-04-27T23:49:03+00:00
npm/hosted-git-info,25002984,292,37,4,1072,2026-04-27T23:49:04+00:00
npm/inflight,19442260,38,9,2,2175,2026-04-27T23:49:06+00:00
npm/ini,2167680,175,28,3,1288,2026-04-27T23:49:07+00:00
npm/json-parse-even-better-errors,211384370,99,8,3,1090,2026-04-27T23:49:09+00:00
npm/mute-stream,5159166,92,12,4,922,2026-04-27T23:49:10+00:00
npm/node-semver,1357199,540,102,2,2472,2026-04-27T23:49:12+00:00
npm/node-which,2169708,179,21,1,3465,2026-04-27T23:49:13+00:00
npm/nopt,1544436,184,27,3,1239,2026-04-27T23:49:15+00:00
npm/normalize-package-data,9301720,363,41,4,1433,2026-04-27T23:49:18+00:00
npm/ssri,193817839,231,16,2,1869,2026-04-27T23:49:20+00:00
npm/unique-slug,35246620,92,14,7,802,2026-04-27T23:49:24+00:00
npm/wrappy,24208073,16,7,2,2578,2026-04-27T23:49:27+00:00
npm/write-file-atomic,23896209,210,28,4,946,2026-04-27T23:49:30+00:00
numpy/numpy,908607,41136,2071,9,510,2026-04-27T23:49:36+00:00
nv/cssom,1025209,212,23,1,5265,2026-04-27T23:49:34+00:00
nvzqz/static-assertions,100129252,288,5,1,9257,2026-05-17T23:35:34+00:00
nvzqz/static-assertions-rs,100129252,288,5,1,9257,2026-04-27T23:49:37+00:00
oauthlib/oauthlib,2811323,1819,204,3,1247,2026-04-27T23:49:39+00:00
octokit/openapi-types.ts,304109193,508,14,5,1102,2026-04-27T23:49:41+00:00
octokit/types.ts,216109757,670,28,21,816,2026-04-27T23:49:43+00:00
oozcitak/xmlbuilder-js,1042809,677,33,1,8068,2026-04-27T23:49:44+00:00
open-telemetry/opentelemetry-js,185901023,3217,380,10,424,2026-04-27T23:49:49+00:00
open-telemetry/opentelemetry-js-contrib,255986659,2721,328,10,421,2026-04-27T23:49:53+00:00
open-telemetry/opentelemetry-python,185478926,2105,354,12,346,2026-04-27T23:49:55+00:00
open-telemetry/opentelemetry-python-contrib,220524743,2997,456,14,367,2026-05-17T23:27:22+00:00
openssl/openssl,7634677,39683,1492,6,630,2026-04-27T23:49:57+00:00
opensuse/ca-certificates,10785433,150,18,2,2131,2026-04-27T23:49:57+00:00
p11-glue/p11-kit,12060420,1517,108,2,2264,2026-04-27T23:49:58+00:00
pallets/click,19103692,3064,424,3,1261,2026-04-27T23:50:03+00:00
pallets/flask,596892,5531,862,2,1601,2026-04-27T23:50:07+00:00
pallets/itsdangerous,1945034,677,44,1,2723,2026-04-27T23:50:06+00:00
pallets/jinja,994551,2949,335,2,2705,2026-04-27T23:50:12+00:00
pallets/markupsafe,734244,844,49,1,3705,2026-04-27T23:50:10+00:00
pallets/werkzeug,997338,5917,514,2,1893,2026-04-27T23:50:17+00:00
pandas-dev/pandas,858127,37835,4191,9,487,2026-04-27T23:50:19+00:00
paramiko/paramiko,119609,4039,189,1,4658,2026-04-27T23:50:18+00:00
paulmillr/chokidar,4090287,1752,122,2,3326,2026-04-27T23:50:21+00:00
paulmillr/readdirp,4494405,469,37,1,3620,2026-04-27T23:50:22+00:00
pcre2project/pcre2,398251321,2237,62,1,4365,2026-04-27T23:50:24+00:00
pest-parser/pest,56964647,1349,144,2,2284,2026-04-27T23:50:27+00:00
peternator7/strum,80964373,346,120,10,781,2026-04-27T23:50:28+00:00
petkaantonov/bluebird,12670444,2114,238,1,5994,2026-04-27T23:50:31+00:00
pexpect/ptyprocess,24727748,154,21,1,3572,2026-04-27T23:50:31+00:00
pillarjs/encodeurl,60721766,48,9,1,5165,2026-04-27T23:50:33+00:00
pillarjs/finalhandler,20547377,409,12,1,6455,2026-04-27T23:50:37+00:00
pillarjs/iconv-lite,2743221,312,41,1,5058,2026-04-27T23:50:41+00:00
pillarjs/parseurl,17533192,186,9,1,8087,2026-04-27T23:50:45+00:00
pillarjs/path-to-regexp,5265803,379,41,1,7274,2026-04-27T23:50:46+00:00
pillarjs/send,4879977,613,36,1,5936,2026-04-27T23:50:48+00:00
pkgconf/pkgconf,4180110,2160,97,1,6489,2026-04-27T23:50:50+00:00
pnggroup/libpng,3768025,4681,117,95,208,2026-04-27T23:50:52+00:00
postcss/postcss,13078968,4205,439,1,5465,2026-04-27T23:50:55+00:00
postcss/postcss-selector-parser,36500102,382,46,2,2558,2026-04-27T23:50:56+00:00
prettier/prettier,75104123,11186,806,11,668,2026-04-27T23:51:02+00:00
primus/eventemitter3,13100677,389,32,2,3012,2026-04-27T23:51:01+00:00
proptest-rs/proptest,94702898,1140,95,2,2085,2026-04-27T23:51:03+00:00
protobufjs/protobuf.js,8507859,1045,127,1,4317,2026-05-17T23:35:36+00:00
protocolbuffers/protobuf,23357588,22945,1413,8,528,2026-04-27T23:51:09+00:00
psf/requests,1362490,6442,787,110,401,2026-04-27T23:51:12+00:00
psycopg/psycopg2,7730829,3178,144,1,4853,2026-04-27T23:51:12+00:00
pvorb/clone,2317381,225,33,1,4483,2026-05-17T23:35:36+00:00
pvorb/node-clone,2317381,225,33,1,4483,2026-04-27T23:51:14+00:00
py4j/py4j,1045976,798,43,1,6373,2026-04-27T23:51:15+00:00
pyasn1/pyasn1,512723255,1024,30,2,2464,2026-04-27T23:51:17+00:00
pyasn1/pyasn1-modules,512723354,351,16,2,2356,2026-04-27T23:49:20+00:00
pyca/bcrypt,9993757,992,40,37,391,2026-04-27T23:49:24+00:00
pyca/cryptography,11939484,15107,372,2,1665,2026-04-27T23:49:31+00:00
pyca/pynacl,8350032,833,78,3,1351,2026-04-27T23:49:30+00:00
pyca/pyopenssl,15778059,2397,116,5,724,2026-04-27T23:49:35+00:00
pydantic/pydantic,90194616,5488,753,5,757,2026-04-27T23:49:39+00:00
pydantic/typing-inspection,930576948,48,3,1,7769,2026-04-27T23:49:37+00:00
pygments/pygments,205564111,7145,917,5,1024,2026-04-27T23:49:42+00:00
pypa/distlib,436970140,1306,41,1,8756,2026-04-27T23:49:41+00:00
pypa/packaging,19837758,981,140,4,920,2026-04-27T23:49:45+00:00
pypa/pip,1446467,15969,878,6,652,2026-04-27T23:49:47+00:00
pypa/setuptools,54980593,16613,640,2,2035,2026-04-27T23:49:51+00:00
pypa/virtualenv,1446474,1150,155,1,3462,2026-04-27T23:49:51+00:00
pypa/wheel,98346885,1006,89,2,2317,2026-04-27T23:49:52+00:00
pyparsing/pyparsing,91262163,1677,76,1,7116,2026-04-27T23:49:54+00:00
pytest-dev/iniconfig,66012563,193,16,1,4590,2026-04-27T23:49:58+00:00
pytest-dev/pluggy,34739117,942,58,5,728,2026-04-27T23:50:00+00:00
pytest-dev/pytest,37489525,17297,1104,4,871,2026-04-27T23:50:04+00:00
python-attrs/attrs,29918975,1778,186,1,5889,2026-04-27T23:50:05+00:00
python-cffi/cffi,696427398,3573,100,1,7542,2026-04-27T23:50:07+00:00
python-greenlet/greenlet,3003137,1223,86,1,3116,2026-04-27T23:50:09+00:00
python-hyper/brotlicffi,43543393,435,22,1,3796,2026-04-27T23:50:11+00:00
python-hyper/h11,57372073,482,34,1,4996,2026-04-27T23:50:14+00:00
python-jsonschema/jsonschema,3072629,3004,120,1,6043,2026-04-27T23:50:15+00:00
python-jsonschema/referencing,569027868,867,7,1,5213,2026-04-27T23:50:18+00:00
python-pillow/pillow,5171600,20655,502,2,2103,2026-04-27T23:50:23+00:00
python-poetry/poetry,123303402,3796,653,3,1336,2026-05-17T23:27:22+00:00
python-poetry/poetry-core,238972646,1003,110,3,1105,2026-04-27T23:50:23+00:00
python-poetry/tomlkit,140365570,467,47,2,2769,2026-04-27T23:50:24+00:00
python-trio/sniffio,142657210,89,17,3,1521,2026-04-27T23:50:27+00:00
python/importlib_metadata,306448340,1805,69,1,7024,2026-04-27T23:50:28+00:00
python/importlib_resources,306147182,1102,51,1,5453,2026-04-27T23:50:30+00:00
python/mypy,7053637,13545,847,3,1681,2026-04-27T23:50:34+00:00
python/mypy_extensions,165752308,68,24,3,1337,2026-04-27T23:50:33+00:00
python/typeshed,31696383,11599,1716,12,304,2026-04-27T23:50:44+00:00
