repo,repo_id,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile
blakeembrey/change-case,9440238,1224,1069,72,6.74,114,2.15,51,2025,3465,249480,6.5958,51.03
bluss/bencher,65987276,1697,1327,99,7.46,76,1.03,12,HEAD,0,0,0.0000,7.28
boto/boto3,24774658,21266,16213,539,3.32,713,0.62,34,2025,20923,11277497,11.8057,70.53
boto/botocore,6670942,105655,83190,4865,5.85,5373,0.81,31,2025,92076,447949740,18.3037,87.61
boto/s3transfer,49535299,21999,16075,951,5.92,814,0.5,17,2025,13651,12982101,12.3172,72.59
braveg1rl/performance-now,336187529,,,,,,,,,0,,,
brianc/node-postgres,991475,19763,16568,1022,6.17,1040,0.42,41,2025,13470,13766340,12.4290,72.71
broofa/mime,534940,1879,1699,59,3.47,90,2.37,37,2025,7649,451291,6.9057,52.06
browserify/events,1649251,2287,1554,161,10.36,151,0.95,23,2021,327,52647,5.5589,44.95
browserify/node-util,14568009,3200,2506,203,8.1,229,0.57,37,2022,50,10150,3.9439,37.73
browserify/randombytes,29300004,132,97,16,16.49,14,0.7,8,2023,28,448,1.7994,23.39
browserify/resolve,1915099,3831,3185,383,12.03,420,1,27,2025,1657,634631,8.3205,57.68
browserslist/browserslist,27971466,5524,4834,371,7.67,482,0.91,151,2025,16324,6056204,10.8293,67.43
browserslist/caniuse-lite,80221890,2011,1801,102,5.66,99,0.92,27,2025,278587,28415874,10.9598,67.55
browserslist/update-db,505548145,819,712,64,8.99,60,0.98,16,2025,1716,109824,5.8644,46.44
burntsushi/aho-corasick,37290678,22230,12432,1012,8.14,1367,1.58,67,2025,33098,33495176,13.5848,76.15
burntsushi/jiff,759017108,123974,68907,4574,6.64,5525,1.41,108,2025,217410,994433340,19.5365,90.14
burntsushi/memchr,37290652,69297,43812,3569,8.15,3412,1.11,158,2025,202605,723097245,18.8528,88.42
burntsushi/quickcheck,17559913,2855,2397,164,6.84,80,0.53,6,2025,831,136284,6.4753,49.77
burntsushi/same-file,78375612,950,466,35,7.51,25,0.36,7,2025,30,1050,2.3210,28.56
burntsushi/termcolor,141345580,2856,1982,194,9.79,186,0.83,36,2024,414,80316,5.9954,47.25
burntsushi/ucd-generate,123997498,62256,60099,732,1.22,1190,2.8,62,2024,15647,11453604,12.0176,71.22
