repo,repo_id,loc_2025_eoy,sloc_2025_eoy,scc_complexity_2025_eoy,scc_density_2025_eoy,cognitive_total,cognitive_avg,cognitive_max,loc_year,churn_5y_total,hotspot_raw,hotspot_log,hotspot_percentile
gnome/pango,4537144,94994,62545,10205,16.32,12492,5.75,1699,2025,71609,730769845,19.4629,89.91
gnutls/gnutls,58873704,552674,427754,47458,11.09,48582,6.48,285,2025,493246,23408468668,26.6226,97.59
gnutls/libtasn1,59017205,16816,12091,2701,22.34,3379,19.09,348,2023,5716,15438916,12.8934,74.20
gnutls/nettle,59017402,111183,73295,4635,6.32,4751,2.54,286,2025,59147,274146345,17.4946,86.35
google/brotli,24993138,83681,67511,8797,13.03,5871,7.63,686,2025,91480,804749560,19.5694,90.25
google/zerocopy,534354967,173852,156111,1205,0.77,1174,0.87,76,2025,,,,
googleapis/google-cloud-python,16316451,106537,77570,4478,5.77,2855,0.73,59,2025,,,,
googlechrome/workbox,55424670,54850,38496,1842,4.78,2128,0.65,29,2025,40375,74370750,15.0414,81.31
gpg/libgpg-error,42075984,49215,38906,6311,16.22,8898,7.42,566,2025,13938,87962718,15.7488,83.14
grahamdumpleton/wrapt,10357291,18868,11881,1049,8.83,1237,0.76,61,2025,40441,42422609,13.9181,77.87
graydon/exhaustigen-rs,432630522,217,156,13,8.33,12,0.71,4,2021,217,2821,2.6802,30.85
gregberge/svgr,102155012,6950,6218,309,4.97,338,0.75,47,2025,308257,95251413,13.6749,76.83
grncdr/merge-stream,10579821,146,112,6,5.36,9,0.33,4,HEAD,0,0,0.0000,7.28
grpc/grpc,27729880,1249392,953685,78931,8.28,78645,1.22,362,2025,7773487,613569102397,33.7451,100.00
gsnedders/python-webencodings,7043404,1410,1046,16,1.53,36,1.16,10,HEAD,0,0,0.0000,7.28
guillaumegomez/doc-comment,127254922,491,292,41,14.04,67,9.57,17,HEAD,0,0,0.0000,7.28
gulpjs/glob-parent,29154915,336,266,14,5.26,13,0.48,5,2023,1180,16520,3.6132,36.24
gweis/isodate,6449370,2308,1717,104,6.06,252,3.04,34,2024,5483,570232,7.5574,55.39
gyscos/zstd-rs,52115335,12324,9286,229,2.47,296,0.58,53,2025,33948,7774092,10.7006,66.74
hapijs/hoek,5831189,5684,4026,283,7.03,474,1.03,109,2025,976,276208,7.3352,54.59
harfbuzz/harfbuzz,5050525,206211,147328,17457,11.85,21066,2.72,510,2025,419154,7317171378,23.8501,95.64
hiddentao/fast-levenshtein,9490451,496,380,30,7.89,62,4.77,24,HEAD,0,0,0.0000,7.28
httplib2/httplib2,53002916,11344,9374,853,9.10,1463,3.14,241,2025,15156,12928068,12.2553,72.48
hukkin/tomli,370616797,1580,1182,253,21.40,264,3.72,23,2025,12930,3271290,9.8878,63.19
hyperium/http,84983058,17759,10664,784,7.35,567,0.79,33,2025,6817,5344528,11.0979,68.12
hyperium/http-body,183281612,3473,2597,161,6.20,73,0.32,9,2025,6957,1120077,8.4900,58.26
iarna/aproba,31432421,249,231,35,15.15,56,1,18,2025,2,70,0.7425,16.63
import-js/eslint-plugin-import,32238354,37677,32880,1819,5.53,1977,1.37,89,2025,16298,29646062,13.7319,77.29
indexmap-rs/indexmap,68294628,15725,10747,845,7.86,649,0.62,15,2025,23975,20258875,12.8212,73.85
indutny/bn.js,19176350,6195,5120,517,10.1,570,1.05,32,2025,172,88924,6.0748,47.71
indygreg/python-zstandard,67307930,88689,59399,9727,16.38,9556,3.83,200,2025,247712,2409494624,21.5112,93.12
inikulin/parse5,8862593,14402,11431,2060,18.02,541,1.17,46,2025,42451,87449060,15.3372,82.11
inspect-js/array-buffer-byte-length,607836784,43,31,1,3.23,2,0.5,2,2024,53,53,0.5215,15.37
inspect-js/available-typed-arrays,235965505,35,24,2,8.33,3,1,3,2025,100,200,0.9563,18.00
inspect-js/functions-have-names,198357138,96,77,20,25.97,21,1.62,13,2025,6,120,1.1174,18.81
inspect-js/has-bigints,201714166,55,43,5,11.63,3,0.43,2,2025,6,30,0.6576,16.17
inspect-js/has-property-descriptors,481834578,79,59,2,3.39,3,0.6,2,2024,107,214,0.9702,18.23
inspect-js/has-proto,577580747,164,124,29,23.39,31,5.17,9,2024,246,7134,3.5343,35.44
inspect-js/has-symbols,68573418,197,118,28,23.73,24,2.4,18,2025,27,756,2.1163,26.61
inspect-js/has-tostringtag,392913710,113,75,8,10.67,5,0.5,2,2024,121,968,1.9909,24.89
inspect-js/hasown,703350811,77,59,0,0.00,0,0,0,2025,187,0,0.0000,7.28
inspect-js/is-accessor-descriptor,41658954,196,163,22,13.50,29,1.61,28,2025,1627,35794,4.3734,40.37
inspect-js/is-arguments,15725461,91,70,13,18.57,6,0.6,3,2025,42,546,1.8722,23.85
inspect-js/is-array-buffer,45977026,92,68,8,11.76,7,1.17,6,2025,346,2768,2.4241,29.47
inspect-js/is-bigint,149682261,106,85,12,14.12,6,0.4,3,2025,65,780,2.0269,25.34
inspect-js/is-boolean-object,34700259,106,85,4,4.71,5,0.42,4,2025,51,204,1.1994,19.84
inspect-js/is-callable,30012910,345,292,53,18.15,36,0.9,8,2025,301,15953,4.2963,39.79
inspect-js/is-core-module,24578130,226,192,38,19.79,73,4.29,29,2025,150,5700,3.4669,34.86
inspect-js/is-data-descriptor,41659073,127,103,19,18.45,20,1.54,19,2025,1108,21052,3.9615,37.84
inspect-js/is-data-view,751048078,99,74,8,10.81,7,0.88,7,2024,126,1008,2.0075,25.11
inspect-js/is-date-object,29991041,70,55,2,3.64,4,0.5,3,2025,33,66,0.7307,16.51
inspect-js/is-descriptor,41658845,182,141,13,9.22,18,0.82,16,2025,1099,14287,3.4858,35.21
inspect-js/is-number-object,29991666,74,60,3,5.00,5,0.62,4,2025,37,111,0.9511,17.89
inspect-js/is-regex,15930063,195,146,10,6.85,10,0.56,5,2025,123,1230,2.1801,27.41
inspect-js/is-string,30010185,77,61,3,4.92,5,0.62,4,2025,39,117,0.9645,18.12
inspect-js/is-symbol,29791606,128,102,10,9.80,7,0.37,4,2025,74,740,1.9527,24.66
inspect-js/is-typed-array,43528820,119,95,4,4.21,4,0.27,2,2025,221,884,1.6400,22.13
inspect-js/node-supports-preserve-symlinks-flag,443970899,41,31,2,6.45,0,0,0,2022,41,82,0.7745,16.86
inspect-js/object-inspect,11683441,1844,1575,112,7.11,126,0.85,27,2025,797,89264,5.9580,47.02
inspect-js/typed-array-buffer,649850465,42,28,2,7.14,1,0.2,1,2024,87,174,0.9278,17.78
inspect-js/which-boxed-primitive,201685155,77,65,11,16.92,9,1,8,2025,60,660,1.9267,24.31
inspect-js/which-typed-array,43708371,222,180,26,14.44,31,1.41,8,2025,421,10946,3.7578,36.81
ipython/traitlets,14993021,16674,12488,1004,8.04,1613,1.64,55,2025,27148,27256592,13.3109,75.46
isaacs/chownr,3858354,688,624,50,8.01,45,0.55,7,2025,766,38300,4.9260,42.32
isaacs/cliui,634056857,1087,816,68,8.33,56,0.65,17,2025,218,14824,4.3037,39.91
isaacs/core-util-is,12391440,195,139,5,3.6,4,0.24,1,2021,160,800,1.7172,22.82
isaacs/fs-minipass,102982143,1394,1194,86,7.2,125,0.56,19,2025,1061,91246,5.8692,46.56
isaacs/fs.realpath,61231712,444,312,68,21.79,88,3.26,32,2025,21,1428,2.4685,29.70
isaacs/inherits,1580001,135,108,8,7.41,2,0.14,1,2025,35,280,1.4851,20.87
isaacs/isexe,49804297,502,374,48,12.83,29,0.83,6,2025,957,45936,5.0391,43.12
isaacs/minimatch,2056549,22417,18603,655,3.52,636,3.83,296,2025,47909,31380395,13.1843,74.89
isaacs/minipass,84886212,4295,3407,398,11.68,215,0.48,47,2025,10499,4178602,10.4590,65.83
isaacs/minizlib,86429676,2010,1582,88,5.56,0,0,0,2025,2036,179168,6.4505,49.54
isaacs/node-glob,357681,5399,4410,439,9.95,300,0.91,43,2025,29047,12751633,11.7980,70.41
isaacs/node-graceful-fs,2077020,1725,1387,239,17.23,301,1.6,80,2025,823,196697,6.9405,52.41
isaacs/node-lru-cache,679662,9548,7569,615,8.13,297,0.74,47,2025,31267,19229205,12.5394,73.05
isaacs/node-mkdirp,2718248,1357,1191,148,12.43,89,0.74,20,2023,2599,384652,7.4214,54.82
isaacs/node-tar,1534331,19345,16576,1262,7.61,1111,0.66,104,2025,47551,60009362,14.5058,80.16
isaacs/once,5409660,194,174,8,4.60,13,0.68,3,2025,65,520,1.7363,22.94
isaacs/package-json-from-dist,800543709,340,231,10,4.33,12,1.09,12,2024,362,3620,2.6659,30.73
isaacs/path-scurry,591569499,6590,4991,609,12.2,766,2.48,243,2025,15328,9334752,11.6580,69.84
isaacs/rimraf,1341324,6284,5611,600,10.69,494,0.7,32,2025,25018,15010800,12.2222,72.13
isaacs/sax-js,508894,4816,4487,334,7.44,373,4.19,209,2025,3944,1317296,9.0802,60.21
isaacs/wrappy,24208073,80,61,6,9.84,,,,2021,0,0,0.0000,7.28
isaacs/yallist,48222381,774,666,100,15.02,25,0.57,5,2024,1599,159900,6.4221,49.08
istanbuljs/istanbuljs,81482340,12217,10140,659,6.5,1004,1,38,2025,2283,1504497,9.4700,61.70
istanbuljs/schema,211950686,796,728,12,1.65,11,0.61,5,2021,8,96,1.0630,18.46
istanbuljs/test-exclude,60489570,679,571,28,4.9,28,0.53,11,2024,177,4956,3.2910,33.94
jamesmunns/postcard,179385478,19459,14331,934,6.52,1841,2.25,250,2025,66608,62211872,14.3298,79.13
jaraco/jaraco.develop,48289082,1589,1249,50,4,0,0,0,2025,2216,110800,5.7131,45.87
jaraco/pytest-perf,372026120,426,326,20,6.13,0,0,0,2025,800,16000,3.8392,37.27
jaraco/zipp,157774633,1661,1381,52,3.77,0,0,0,2025,5613,291876,6.4648,49.66
jaredhanson/utils-merge,11349896,89,58,3,5.17,4,0.31,4,HEAD,0,0,0.0000,7.28
jaredwray/cacheable,9267870,23399,17622,953,5.41,735,0.38,42,2025,71318,67966054,14.4604,79.82
jaredwray/keyv,96540810,15591,12242,826,6.75,635,0.48,24,2025,59015,48746390,13.9193,77.98
jawah/charset_normalizer,200259335,6759,5578,457,8.19,751,3.66,155,2025,36529,16693753,12.1406,71.79
jbgutierrez/path-parse,34113780,172,140,12,8.57,10,1.11,5,2021,78,936,2.1138,26.49
jd/tenacity,65468547,4775,3437,339,9.86,352,0.8,14,2025,8918,3023202,10.0001,63.76
jensyt/imurmurhash-js,11802843,150,89,12,13.48,34,3.78,17,HEAD,0,0,0.0000,7.28
jestjs/jest,15062869,161588,123604,7738,6.26,8348,0.67,1338,2025,214490,1659723620,20.7322,91.74
jimp-dev/jimp,24008065,10769,7720,659,8.54,738,1.59,56,2024,,,,
jmespath/jmespath.py,8300763,2911,2249,326,14.5,363,1.26,36,2025,389,126814,6.5154,50.34
joblib/joblib,654608,27646,18686,2481,13.28,2498,1.92,61,2025,27011,67014291,15.0443,81.42
jonathanong/ee-first,20707897,222,158,7,4.43,10,0.42,7,HEAD,0,0,0.0000,7.28
jonschlinkert/assign-symbols,45661176,121,94,11,11.7,9,0.82,7,HEAD,0,0,0.0000,7.28
jonschlinkert/define-property,40633359,163,136,7,5.15,7,0.29,4,HEAD,0,0,0.0000,7.28
jonschlinkert/extend-shallow,25867410,624,488,119,24.39,168,3.57,13,HEAD,0,0,0.0000,7.28
jonschlinkert/fill-range,27113310,959,782,75,9.59,96,0.61,23,2024,61,4575,3.3712,34.29
jonschlinkert/get-value,24911025,1989,1602,287,17.92,311,2.49,41,2025,1960,562520,8.0975,57.45
jonschlinkert/global-prefix,31455984,111,67,13,19.4,16,2.67,12,2024,0,0,0.0000,7.28
jonschlinkert/has-value,24310408,123,100,7,7,5,0.28,3,HEAD,0,0,0.0000,7.28
jonschlinkert/has-values,33009186,151,118,4,3.39,7,0.33,7,HEAD,0,0,0.0000,7.28
jonschlinkert/is-extendable,38225016,48,29,2,6.9,1,0.2,1,HEAD,0,0,0.0000,7.28
jonschlinkert/is-number,24313173,426,371,14,3.77,19,0.53,6,HEAD,0,0,0.0000,7.28
jonschlinkert/is-plain-object,24306940,81,54,4,7.41,4,0.5,4,HEAD,0,0,0.0000,7.28
jonschlinkert/isobject,21342886,35,25,3,12,1,0.2,1,2024,0,0,0.0000,7.28
jonschlinkert/kind-of,24491562,790,625,121,19.36,223,2.69,110,2023,0,0,0.0000,7.28
jonschlinkert/map-cache,32450614,140,48,4,8.33,5,0.5,1,HEAD,0,0,0.0000,7.28
jonschlinkert/normalize-path,21224182,289,217,35,16.13,44,2.2,23,HEAD,0,0,0.0000,7.28
jonschlinkert/object-visit,38545952,133,103,10,9.71,11,0.69,6,HEAD,0,0,0.0000,7.28
jonschlinkert/word-wrap,18260583,130,100,10,10,11,0.52,8,2023,71,710,1.9342,24.43
jorgebucaran/colorette,34648097,450,419,14,3.34,1,0.03,1,2025,1462,20468,3.7226,36.35
joshuakgoldberg/ts-api-utils,597893818,9690,5939,679,11.43,614,1.21,65,2025,27169,18447751,12.5596,73.17
jpadilla/pyjwt,1408162,6892,5375,530,9.86,365,0.9,28,2025,5755,3050150,10.2467,64.91
jprichardson/node-fs-extra,2791348,11096,8789,332,3.78,488,0.35,14,2025,10241,3400012,10.1160,64.45
jprichardson/node-jsonfile,5754307,903,761,21,2.76,45,0.3,9,2025,6,126,1.1345,19.15
jquast/wcwidth,18464187,10644,9788,130,1.33,308,2.17,26,2025,28395,3691350,9.4288,61.47
jquery/esprima,2833537,82948,52436,10760,20.52,9033,2.94,249,2021,630,6778800,11.2893,68.81
jridgewell/resolve-uri,196878944,57151,49356,100,0.20,52,0.01,19,2025,162521,16252100,10.4443,65.60
jridgewell/sourcemaps,897142826,11191,8838,617,6.98,658,0.85,54,2025,39876,24603492,12.8406,74.08
jsdom/tr46,36964214,949,754,121,16.05,176,4.29,74,2025,882,106722,6.1463,47.94
jsdom/webidl-conversions,23000311,2070,1710,112,6.55,138,0.57,12,2025,4284,479808,7.4567,54.93
jsdom/whatwg-mimetype,71014420,761,632,55,8.70,68,0.83,28,2025,530,29150,4.7640,41.51
jsdom/whatwg-url,34761352,2607,2110,501,23.74,597,3.13,66,2025,5783,2897283,10.1607,64.79
jsdom/xml-name-validator,28553202,75,65,8,12.31,10,0.77,4,2023,155,1240,2.0928,26.26
jshttp/accepts,15482433,586,393,25,6.36,23,0.27,7,2025,28,700,2.0693,26.15
jshttp/content-disposition,24216676,1425,1179,0,0.00,0,0,0,2025,642,0,0.0000,7.28
jshttp/content-type,30172150,513,420,6,1.43,9,0.24,4,2025,106,636,1.7150,22.71
jshttp/cookie,4475810,1555,1160,98,8.45,102,0.54,34,2025,5654,554092,7.4885,55.16
jshttp/etag,22894570,703,460,25,5.43,24,0.43,12,2025,0,0,0.0000,7.28
jshttp/forwarded,24300217,346,232,14,6.03,18,0.6,11,2025,228,3192,2.7754,31.31
jshttp/fresh,4617552,447,310,22,7.10,30,0.53,19,2025,75,1650,2.5612,30.39
jshttp/http-errors,23806086,834,603,46,7.63,43,0.65,28,2025,170,7820,3.7338,36.47
jshttp/media-typer,20814275,265,163,14,8.59,15,0.5,9,2025,0,0,0.0000,7.28
jshttp/methods,8274071,190,137,12,8.76,13,0.59,3,2025,0,0,0.0000,7.28
jshttp/mime-db,22970419,867,553,97,17.54,37,0.9,4,2025,482,46754,5.3443,44.27
jshttp/mime-types,19380178,515,337,31,9.2,42,0.66,11,2025,156,4836,3.3052,34.06
jshttp/negotiator,3275614,2862,2116,147,6.95,161,0.32,11,2025,182,26754,4.9101,42.20
jshttp/on-finished,15349765,1438,1118,40,3.58,39,0.18,6,2025,208,8320,3.7419,36.70
jshttp/range-parser,4627131,281,179,17,9.50,19,0.83,19,2025,0,0,0.0000,7.28
jshttp/statuses,17690272,532,361,19,5.26,19,0.3,3,2025,42,798,2.1252,26.72
jshttp/type-is,15484233,648,425,22,5.18,12,0.14,8,2025,152,3344,2.9750,32.45
jshttp/vary,20498698,662,541,4,0.74,5,0.05,3,2025,0,0,0.0000,7.28
jslicense/spdx-correct.js,34817196,856,779,28,3.59,44,0.88,6,2024,39,1092,2.3428,28.67
jslicense/spdx-exceptions.json,40062896,94,87,5,5.75,5,0.33,2,2024,107,535,1.5823,21.90
jslicense/spdx-expression-parse.js,40067336,388,321,41,12.77,49,1.53,6,2023,60,2460,2.8980,32.00
jslicense/spdx-license-ids,26001547,132,118,7,5.93,8,0.5,5,2025,157,1099,1.9856,24.77
json5/json5,4463453,3294,2675,199,7.44,268,1.18,26,2024,1964,390836,7.5781,55.62
juliangruber/balanced-match,13538817,289,250,28,11.2,39,5.57,19,2024,912,25536,4.3294,40.14
juliangruber/brace-expansion,13539234,425,315,37,11.75,102,3.52,92,2025,1078,39886,4.7915,41.63
juliangruber/isarray,10227611,65,53,1,1.89,0,0,0,2025,14,14,0.3540,14.91
justmoon/node-extend,3967764,756,654,38,5.81,61,1.56,46,2025,32,1216,2.4161,29.24
jviereck/regjsparser,14087781,2313,1554,294,18.92,155,2.72,24,2025,2707,795858,8.4780,58.14
ka-weihe/fastest-levenshtein,158960628,309,284,49,17.25,41,2.41,11,2024,36,1764,2.6643,30.62
kaelzhang/node-ignore,12519245,2814,2155,70,3.25,70,0.68,6,2025,3299,230930,6.5137,50.23
kemitchell/validate-npm-package-license.js,35000460,86,79,10,12.66,16,5.33,12,HEAD,0,0,0.0000,7.28
kevinbeaty/any-promise,26247715,685,538,49,9.11,38,0.51,11,HEAD,0,0,0.0000,7.28
kevva/dir-glob,49264969,127,105,11,10.48,16,1.07,8,HEAD,0,0,0.0000,7.28
kevva/shebang-command,47402913,38,31,2,6.45,3,1.5,3,HEAD,0,0,0.0000,7.28
kilian/electron-to-chromium,78972540,4820,4794,15,0.31,16,0.64,3,2025,14569,218535,5.0133,43.00
kjd/idna,10323585,39202,32591,187,0.57,244,0.04,41,2025,129969,24304203,11.6297,69.50
knurling-rs/defmt,282262730,17714,13468,1006,7.47,1693,2.28,204,2025,65935,66330610,14.4720,79.93
kpdecker/jsdiff,1542219,8715,7151,473,6.61,409,0.77,50,2025,13125,6208125,11.0192,67.78
krb5/krb5,4307702,451913,318118,59578,18.73,59501,6.5,332,2025,72339,4309812942,23.2040,95.41
kriskowal/asap,11295071,18597,18067,125,0.69,133,0.02,13,2022,0,0,0.0000,7.28
kriszyp/json-schema,947175,489,377,148,39.26,202,5.61,100,2021,92,13616,4.2779,39.68
langchain-ai/langchain,552661142,315710,245786,14481,5.89,21573,1.84,289,2025,2854219,41331945339,26.8602,98.28
laurent-laporte-pro/deprecated,111412148,3022,1990,143,7.19,97,0.56,12,2025,1733,247819,6.9910,52.98
legrandin/pycryptodome,19378935,122488,90664,6036,6.66,5862,1.34,70,2025,41090,248019240,17.4438,86.12
libevent/libevent,1856976,101407,69958,11925,17.05,10170,3.76,100,2025,10692,127502100,16.4246,84.75
libexpat/libexpat,80314213,39626,30103,5471,18.17,3272,3.72,101,2025,41272,225799112,17.2540,85.89
libffi/libffi,321154,76877,54778,6608,12.06,4585,4.01,170,2025,17505,115673040,16.2096,84.17
libidn/libidn2,87378214,9194,6117,1391,22.74,1434,11.75,92,2025,7689,10695399,12.2160,72.02
libjpeg-turbo/libjpeg-turbo,39760454,164952,107868,16075,14.9,18885,6.97,410,2025,293431,4716903325,22.9973,94.84
libjxl/libjxl,340219494,178381,140869,23372,16.59,29396,5.28,319,2025,480511,11230503092,24.8217,96.44
libuv/libuv,14812739,110482,76288,12054,15.8,9685,3.03,134,2025,54406,655809924,19.3270,89.45
linusu/buffer-from,66025821,84,62,10,16.13,12,3,4,2021,1,10,0.3135,14.79
linux-audit/audit-userspace,52464964,83755,65021,11209,17.24,14518,7.39,424,2025,43527,487894143,18.7852,88.19
linux-pam/linux-pam,76264690,51652,36059,9738,27.01,,,,2025,17640,171778320,16.9373,85.32
litejs/natural-compare-lite,9146732,154,125,15,12,23,2.88,23,2024,174,2610,2.7009,30.96
ljharb/call-bind,308533760,167,125,5,4,7,0.58,2,2024,224,1120,1.8304,23.51
ljharb/call-bind-apply-helpers,898190951,110,68,6,8.82,9,0.9,3,2025,253,1518,2.0323,25.57
ljharb/call-bound,898125972,80,52,2,3.85,1,0.08,1,2025,222,444,1.1204,19.04
ljharb/concat-map,548993448,67,59,4,6.78,8,0.73,4,2025,97,388,1.3918,20.53
ljharb/define-data-property,689109338,459,376,28,7.45,36,1.33,35,2024,647,18116,4.1116,38.76
ljharb/define-properties,28768789,219,194,14,7.22,15,1.15,10,2025,66,924,2.1476,27.06
ljharb/es-abstract,28995155,110334,86517,11551,13.35,12926,2.43,67,2025,148793,1718707943,21.0144,91.97
ljharb/es-define-property,756570458,70,54,4,7.41,3,1.5,2,2024,79,316,1.3302,20.41
ljharb/es-errors,752160492,47,29,0,0,0,0,0,2024,68,0,0.0000,7.28
ljharb/es-shim-unscopables,480458584,135,93,10,10.75,7,0.64,5,2025,155,1550,2.2839,28.10
ljharb/es-to-primitive,32377814,563,442,41,9.28,54,1.04,16,2025,322,13202,4.0731,38.30
ljharb/get-intrinsic,308516559,647,569,27,4.75,21,0.51,13,2025,309,8343,3.6054,36.12
ljharb/get-proto,911035271,105,70,9,12.86,4,0.22,4,2025,140,1260,2.1492,27.18
ljharb/gopd,560708130,55,39,1,2.56,0,0,0,2024,129,129,0.6364,16.06
ljharb/internal-slot,216159146,198,153,21,13.73,20,0.62,5,2024,55,1155,2.3468,28.90
ljharb/object-keys,9103992,456,396,57,14.39,67,1.46,26,2025,62,3534,3.1730,33.37
ljharb/object.assign,17755831,574,447,46,10.29,57,0.88,19,2025,90,4140,3.2757,33.72
ljharb/possible-typed-array-names,760136716,36,28,1,3.57,3,3,3,2025,58,58,0.5331,15.48
ljharb/qs,22266795,5053,4267,319,7.48,933,1.99,154,2025,8377,2672263,9.8281,62.96
ljharb/safe-regex-test,540138887,58,44,1,2.27,1,0.14,1,2025,69,69,0.5554,15.60
ljharb/set-function-length,704249795,291,222,36,16.22,25,0.6,17,2025,349,12564,3.9896,37.96
ljharb/side-channel,225239081,147,107,7,6.54,5,0.31,1,2024,589,4123,2.5023,30.05
ljharb/side-channel-list,901451610,217,154,16,10.39,17,0.65,6,2024,244,3904,2.9397,32.11
ljharb/side-channel-map,901191461,182,130,8,6.15,8,0.35,3,2025,199,1592,2.1957,27.52
ljharb/side-channel-weakmap,901188921,198,147,32,21.77,30,1.3,8,2025,221,7072,3.5630,35.67
lodash/lodash,3955647,118935,81822,7846,9.59,9016,1.45,1296,2025,1720,13495120,12.6024,73.39
loganfsmyth/gensync,132383032,862,715,61,8.53,80,0.68,15,HEAD,0,0,0.0000,7.28
lokathor/bytemuck,209673558,8608,5380,687,12.77,334,1.3,37,2025,12559,8628033,11.6312,69.61
lukeed/dequal,174421655,1217,938,118,12.58,228,2.78,99,2024,12,1416,2.3120,28.33
lukeed/escalade,273568715,487,372,36,9.68,41,0.66,6,2024,98,3528,3.1296,33.03
lukeed/kleur,140393403,548,441,31,7.03,17,0.35,9,2022,10,310,1.5675,21.79
lxml/lxml,1353927,42839,34378,3625,10.54,4511,1.57,103,2025,119500,433187500,18.0725,87.16
lydell/js-tokens,17552490,4201,3806,189,4.97,148,0.88,38,2025,1372,259308,7.1500,54.01
lz4/lz4,18106269,29512,20351,4065,19.97,5359,6.74,357,2025,21407,87019455,15.6298,82.80
madler/zlib,2359378,45341,31717,5793,18.26,6360,9.12,368,2025,11941,69174213,15.3420,82.22
mafintosh/end-of-stream,14732255,235,189,32,16.93,29,0.71,15,2025,4,128,1.0614,18.35
mafintosh/pump,12118126,205,160,30,18.75,25,0.78,6,2025,10,300,1.5531,21.67
mafintosh/tar-stream,15340089,2229,1798,178,9.9,218,1.08,30,2024,2857,508546,7.7860,56.77
marshallpierce/rust-base64,47371310,7800,5259,404,7.68,412,1.51,30,2025,18034,7285736,11.0976,68.00
mathiasbynens/cssesc,12001360,456,411,24,5.84,145,8.06,37,HEAD,0,0,0.0000,7.28
mathiasbynens/emoji-regex,24557614,148,90,4,4.44,5,0.38,3,2025,524,2096,1.9013,24.08
mathiasbynens/jsesc,10498729,1403,1339,37,2.76,19,0.54,3,2024,157,5809,3.4734,34.98
mathiasbynens/punycode.js,2755924,831,582,58,9.97,106,2.86,41,2023,69,4002,3.2674,33.60
mathiasbynens/regenerate,10182772,2122,1794,289,16.11,305,4.55,61,HEAD,0,0,0.0000,7.28
mathiasbynens/regexpu-core,49437324,8905,8442,338,4.00,408,3.29,58,2025,11336,3831568,10.2587,65.14
mathiasbynens/unicode-canonical-property-names-ecmascript,88346537,85,80,0,0,0,0,0,2024,0,0,0.0000,7.28
mathiasbynens/unicode-property-aliases-ecmascript,88333533,126,121,5,4.13,6,3,6,2025,14,70,0.9152,17.55
matklad/once_cell,143220272,4072,2384,187,7.84,295,1.27,78,2025,6105,1141635,8.6094,58.60
matplotlib/matplotlib,1385122,372848,272701,20647,7.57,30211,1.65,163,2025,548041,11315402527,24.7623,96.33
mcollina/fastq,37368217,1605,1234,56,4.54,64,0.28,13,2025,893,50008,5.1822,43.58
mcollina/reusify,42106515,194,142,9,6.34,7,0.54,2,2025,28,252,1.4624,20.64
mdn/data,70901646,123,98,10,10.20,,,,2025,3,30,0.6270,15.83
medikoo/d,10817569,549,502,43,8.57,49,0.91,11,2024,22,946,2.2379,27.75
medikoo/es5-ext,1792941,16897,15128,764,5.05,882,0.8,74,2024,467,356788,7.7001,56.31
medikoo/es6-symbol,14423385,350,282,50,17.73,54,1.93,22,2024,28,1400,2.4971,29.93
medikoo/type,177198492,3289,2864,288,10.06,508,0.81,43,2024,924,266112,7.2994,54.36
mhammond/pywin32,108187130,446754,349705,65438,18.71,70941,4.32,1080,2025,347797,22759140086,26.6861,97.82
micheles/decorator,14656555,3306,2641,115,4.35,206,1.16,41,2025,6351,730365,7.8509,57.00
micromark/micromark,157420458,23301,15433,715,4.63,1138,0.64,62,2025,112466,80413190,14.4202,79.70
micromatch/anymatch,11458302,355,292,23,7.88,37,0.62,19,2022,6,138,1.1664,19.72
micromatch/braces,25475303,3277,2529,171,6.76,234,0.94,81,2025,1387,237177,7.0249,53.10
micromatch/is-extglob,31788841,144,122,4,3.28,5,0.83,5,HEAD,0,0,0.0000,7.28
micromatch/is-glob,28179425,479,414,56,13.53,104,2.74,82,2021,267,14952,4.2635,39.56
micromatch/micromatch,27359938,13625,10909,79,0.72,103,0.05,34,2024,165,13035,4.2251,39.45
micromatch/picomatch,156211895,19334,16032,225,1.4,373,0.17,198,2025,572,128700,6.4930,50.11
micromatch/to-regex-range,40355891,747,590,67,11.36,86,1.18,18,2024,6,402,1.5486,21.44
microsoft/tslib,34414315,1567,1364,542,39.74,865,3.13,46,2024,2765,1498630,9.4128,61.35
microsoft/typescript,20929025,4059848,2469868,144381,5.85,89276,0.62,582,2025,,,,
microsoft/windows-rs,208102250,2272898,2262591,101065,4.47,840,1.72,59,2025,,,,
minimistjs/minimist,549230701,1356,1133,87,7.68,0,0,0,2025,4162,362094,7.0379,53.21
mitsuhiko/insta,165561258,23978,19682,1287,6.54,1898,2.25,69,2025,72089,92778543,15.1076,81.65
mlocati/gettext-iconv-windows,12751919,,,,,,,,,0,,,
mm2/little-cms,507969,71890,46547,9825,21.11,10981,5.57,211,2025,18632,183059400,17.0486,85.55
moment/moment,1424470,331855,305950,15968,5.22,0,0,0,2024,39573,631901664,19.3242,89.33
more-itertools/more-itertools,4144530,16514,14109,503,3.57,1229,0.94,62,2025,18518,9314554,11.5329,69.27
motdotla/dotenv,11205780,1845,1314,109,8.3,40,0.46,11,2025,5549,604841,7.6436,55.73
moxystudio/node-cross-spawn,21335844,907,657,58,8.83,145,1.81,79,2024,17,986,2.2229,27.64
mozilla/source-map,2014930,12795,9919,592,5.97,723,1.31,37,2025,6020,3563840,10.4812,65.94
