"package","github_repo","repo_url"
"ember-cli-app-version","ember-cli/ember-cli-app-version","https://github.com/ember-cli/ember-cli-app-version"
"lz-utils","",""
"isutf8","hcodes/isutf8","https://github.com/hcodes/isutf8"
"agenda","agenda/agenda","https://github.com/agenda/agenda"
"ranges-sort","codsen/codsen","https://github.com/codsen/codsen"
"koa-json","koajs/json","https://github.com/koajs/json"
"lodash.clamp","lodash/lodash","https://github.com/lodash/lodash"
"babel-plugin-angularjs-annotate","schmod/babel-plugin-angularjs-annotate","https://github.com/schmod/babel-plugin-angularjs-annotate"
"apisauce","infinitered/apisauce","https://github.com/infinitered/apisauce"
"file-size","Nijikokun/file-size","https://github.com/Nijikokun/file-size"
"bootstrap-table","wenzhixin/bootstrap-table","https://github.com/wenzhixin/bootstrap-table"
"hotscript","gvergnaud/HOTScript","https://github.com/gvergnaud/HOTScript"
"codesandbox-import-util-types","",""
"redux-devtools","reduxjs/redux-devtools","https://github.com/reduxjs/redux-devtools"
"react-calendly","tcampb/react-calendly","https://github.com/tcampb/react-calendly"
"argue-cli","TrigenSoftware/Argue","https://github.com/TrigenSoftware/Argue"
"omit-empty","jonschlinkert/omit-empty","https://github.com/jonschlinkert/omit-empty"
"react-router-dom-v5-compat","remix-run/react-router","https://github.com/remix-run/react-router"
"markdown-it-task-lists","revin/markdown-it-task-lists","https://github.com/revin/markdown-it-task-lists"
"leaflet-draw","Leaflet/Leaflet.draw","https://github.com/Leaflet/Leaflet.draw"
"highcharts-angular","highcharts/highcharts-angular","https://github.com/highcharts/highcharts-angular"
"ngx-mat-select-search","bithost-gmbh/ngx-mat-select-search","https://github.com/bithost-gmbh/ngx-mat-select-search"
"browserslist-useragent-regexp","browserslist/browserslist-useragent-regexp","https://github.com/browserslist/browserslist-useragent-regexp"
"ranges-apply","codsen/codsen","https://github.com/codsen/codsen"
"jora","discoveryjs/jora","https://github.com/discoveryjs/jora"
"oci-image-builder","google/nodejs-container-image-builder","https://github.com/google/nodejs-container-image-builder"
"pdfobject","pipwerks/PDFObject","https://github.com/pipwerks/PDFObject"
"lodash.indexof","lodash/lodash","https://github.com/lodash/lodash"
"volar-service-typescript","volarjs/services","https://github.com/volarjs/services"
"speech-rule-engine","zorkow/speech-rule-engine","https://github.com/zorkow/speech-rule-engine"
"isomorphic-base64","ksheedlo/isomorphic-base64","https://github.com/ksheedlo/isomorphic-base64"
"fnv-plus","tjwebb/fnv-plus","https://github.com/tjwebb/fnv-plus"
"vega-embed","vega/vega-embed","https://github.com/vega/vega-embed"
"close-with-grace","mcollina/close-with-grace","https://github.com/mcollina/close-with-grace"
"babel-plugin-jsx-v-model","nickmessing/babel-plugin-jsx-v-model","https://github.com/nickmessing/babel-plugin-jsx-v-model"
"lodash.head","lodash/lodash","https://github.com/lodash/lodash"
"remark-lint-no-undefined-references","remarkjs/remark-lint","https://github.com/remarkjs/remark-lint"
"postcss-extend-rule","csstools/postcss-extend-rule","https://github.com/csstools/postcss-extend-rule"
"bwip-js","metafloor/bwip-js","https://github.com/metafloor/bwip-js"
"react-data-table-component","jbetancur/react-data-table-component","https://github.com/jbetancur/react-data-table-component"
"save-pixels","mikolalysenko/save-pixels","https://github.com/mikolalysenko/save-pixels"
"twilio-video","twilio/twilio-video.js","https://github.com/twilio/twilio-video.js"
"prepin","commenthol/prepin","https://github.com/commenthol/prepin"
"express-request-id","floatdrop/express-request-id","https://github.com/floatdrop/express-request-id"
"obj-extend","mlmorg/obj-extend","https://github.com/mlmorg/obj-extend"
"eslint-plugin-antfu","antfu/eslint-plugin-antfu","https://github.com/antfu/eslint-plugin-antfu"
"adbkit-apkreader","openstf/adbkit-apkreader","https://github.com/openstf/adbkit-apkreader"
"vue-cookies","cmp-cc/vue-cookies","https://github.com/cmp-cc/vue-cookies"
"rcfinder","spenceralger/rcfinder","https://github.com/spenceralger/rcfinder"
"parse-repo","dgoguerra/parse-repo","https://github.com/dgoguerra/parse-repo"
"jest-svg-transformer","cwmoo740/jest-svg-transformer","https://github.com/cwmoo740/jest-svg-transformer"
"ranges-push","codsen/codsen","https://github.com/codsen/codsen"
"nuka-carousel","FormidableLabs/nuka-carousel","https://github.com/FormidableLabs/nuka-carousel"
"lzma-native","addaleax/lzma-native","https://github.com/addaleax/lzma-native"
"react-native-inappbrowser-reborn","proyecto26/react-native-inappbrowser","https://github.com/proyecto26/react-native-inappbrowser"
"svg-to-vue","visualfanatic/svg-to-vue","https://github.com/visualfanatic/svg-to-vue"
"react-simple-maps","zcreativelabs/react-simple-maps","https://github.com/zcreativelabs/react-simple-maps"
"stylelint-config-prettier-scss","prettier/stylelint-config-prettier-scss","https://github.com/prettier/stylelint-config-prettier-scss"
"string-collapse-leading-whitespace","codsen/codsen","https://github.com/codsen/codsen"
"expect.js","LearnBoost/expect.js","https://github.com/LearnBoost/expect.js"
"validate.io-number-primitive","validate-io/number-primitive","https://github.com/validate-io/number-primitive"
