"package","avg_downloads","avg_downloads_share","2021","2022","2023","2024","2025"
"sha2","84386845","0.00202019","15576989","35845184","65375730","105473510","199662815"
"clap_lex","83988419","0.00201065","0","16669229","59253837","118097954","225921077"
"tracing","83855366","0.00200746","18180331","36968902","59382496","103167430","201577673"
"futures-sink","83711828","0.00200403","20139149","35485787","60805596","105062058","197066554"
"futures-channel","82973389","0.00198635","20504092","35018353","60230794","104448695","194665015"
"h2","82730964","0.00198055","18302300","29196529","48522277","101648368","215985346"
"typenum","82558495","0.00197642","19349089","38246568","58785534","97863146","198548141"
"fnv","81821329","0.00195877","20264458","33973428","59919697","97999900","196949163"
"chrono","81798711","0.00195823","20149292","33193687","57609268","101995709","196045601"
"unicode-width","81123693","0.00194207","22088478","37401246","48101835","85213050","212813858"
"pin-utils","80920188","0.00193720","18501854","32609401","59031088","99313466","195145133"
"tokio-util","80544827","0.00192821","18163440","39599206","59182318","97833209","187945962"
"tempfile","80509591","0.00192737","15569932","28915466","58666120","101963391","197433049"
"futures-io","79532965","0.00190399","19799708","33459172","56781167","100738008","186886771"
"form_urlencoded","79203222","0.00189609","17200423","31650979","57186702","100490426","189487581"
"uuid","78864989","0.00188800","12700221","26526727","57285102","103766275","194046621"
"toml_edit","78846888","0.00188756","631574","2847164","37533220","120144380","233078104"
"nix","78283051","0.00187407","15962187","30929324","53669154","94373052","196481539"
"cpufeatures","77565656","0.00185689","9583456","31406064","57415655","100121294","189301812"
"futures","76834009","0.00183938","22116761","33587825","54655754","97498660","176311047"
"pkg-config","76338348","0.00182751","17882307","32690323","54224627","96100357","180794130"
"errno","76098229","0.00182176","3164968","4938445","41627602","107671643","223088489"
"wasi","75994483","0.00181928","14718815","27596293","47804544","74387938","215464829"
"winnow","75341334","0.00180364","0","0","30267723","100584572","245854379"
"tinyvec","75126180","0.00179849","20101376","34138590","56866101","107662491","156862344"
"nom","74382372","0.00178068","17200331","33343507","54773769","94655072","171939184"
"spin","74311883","0.00177900","11873836","27370792","60416376","115222768","156675646"
"rustc_version","74185311","0.00177597","19542142","35661887","51800142","94231340","169691048"
"zerocopy","74038154","0.00177244","456315","1153924","8160796","89371500","271048235"
"tokio-rustls","73694219","0.00176421","7567893","18309347","38722063","97786042","206085750"
"tokio-macros","73513723","0.00175989","15655129","27558353","49571191","90308283","184475662"
"futures-macro","73460984","0.00175863","18245359","29745484","51317078","92886041","175110961"
"ring","72446744","0.00173435","9997160","18995443","40355029","102475080","190411011"
"tracing-attributes","72384591","0.00173286","10906844","26788067","51127599","88616841","184483606"
"num-integer","71945870","0.00172236","22805815","39521846","57323837","87330052","152747802"
"untrusted","71827762","0.00171953","9604961","19062768","41852090","101466073","187152922"
"equivalent","71637668","0.00171498","0","0","22682199","102573283","232932858"
"clap_derive","71368662","0.00170854","2834060","18494243","47351006","94512483","193651519"
"httparse","71136464","0.00170298","17201968","29566537","47949661","85282228","175681926"
"futures-executor","70369171","0.00168461","17240291","28653530","49257352","90918025","165776659"
"num_cpus","70282537","0.00168254","22711499","40654904","68990643","91506032","127549607"
"crc32fast","69617811","0.00166662","14856533","32145584","47774696","88541857","164770387"
"tinyvec_macros","69517302","0.00166422","15919062","30278509","57732955","103305169","140350818"
"redox_syscall","69022641","0.00165237","14437739","20131592","46651199","94201228","169691448"
"async-trait","68901125","0.00164947","14056079","27329728","51950362","86624191","164545265"
"rustc-hash","68667628","0.00164388","7178500","15982868","33770052","77881625","208525098"
"crypto-common","68381892","0.00163704","126336","27123047","50588717","88182173","175889188"
"rustls-webpki","68026968","0.00162854","0","0","22774866","96780057","220579920"
"flate2","67891545","0.00162530","13072277","25479700","48243373","87006665","165655710"
"signal-hook-registry","67437053","0.00161442","13833176","23834319","43143871","82016943","174356957"
"time-macros","67281419","0.00161069","6996901","25469437","48861354","86385570","168693836"
"rustversion","67027638","0.00160462","4809684","18521028","41335301","81100352","189371827"
"env_logger","66994361","0.00160382","19185269","30568084","47094776","83497718","154625962"
"unicode-normalization","66847686","0.00160031","19904646","34299007","56988563","107090662","115955556"
"webpki-roots","66724090","0.00159735","7393157","16432654","35399516","82216560","192178565"
"iana-time-zone","66640375","0.00159534","12274","9847142","49582344","93027650","180732465"
"crossbeam-epoch","66462955","0.00159110","17697321","31319408","46623170","86273396","150401484"
"subtle","66305029","0.00158732","12681297","24269920","43465638","82133102","168975191"
"object","66257450","0.00158618","16079798","26240503","45260961","85177609","158528380"
"rustls-pemfile","66112875","0.00158272","355651","14410651","37051483","100473233","178273357"
"thread_local","66102410","0.00158247","17513579","24947078","45211432","84641195","158198768"
"shlex","65915455","0.00157799","8148279","14666617","27001383","67998182","211762814"
"darling_core","65896734","0.00157754","8365596","20964368","39719899","84143587","176290223"
"darling","65880461","0.00157715","8362956","20961818","39715631","84120613","176241290"
"darling_macro","65878204","0.00157710","8367177","20967656","39722031","84111324","176222832"
"reqwest","65731511","0.00157359","13009015","22202121","36642530","80469967","176333926"
"hex","65649029","0.00157161","13993486","27497426","46733266","82201484","157819487"
"clap_builder","65530994","0.00156879","0","0","30191568","91546102","205917301"
"unicode-xid","64797090","0.00155122","41159800","50549563","40986556","61285411","130004123"
"gimli","64253987","0.00153821","15009238","23848787","43028075","84587285","154796550"
"anstyle","64117868","0.00153496","0","2105","28545677","92274375","199767183"
"strum_macros","64051009","0.00153336","7337961","17553402","34473230","85121674","175768782"
"tower-service","63436031","0.00151863","14428615","26178470","44019941","78541564","154011566"
"crossbeam-deque","63397694","0.00151772","16644042","25152459","43399543","83122721","148669709"
"mime","63182895","0.00151257","13888856","24378917","45097995","81402681","151146030"
"try-lock","63144873","0.00151166","14047951","24902353","44910444","79883156","151980464"
"want","63081590","0.00151015","15147341","25459363","45785035","78567206","150449007"
"glob","62533908","0.00149704","13062536","22349635","41099366","78793938","157364067"
"termcolor","62436532","0.00149471","17666906","35411512","56809420","78929289","123365537"
"strum","62311245","0.00149171","7038462","16131816","32157692","82281533","173946723"
